q00000001_00: Resolutions and Omens                                                    | 覚悟と兆し
q21000049_00: Door of Dragon Force: The Beast's Lair                                   | 【竜力の扉】魔獣の栖
q21000050_00: Missing One's Hometown                                                   | 郷土愛の痛み
q21000051_00: A Situation in the Waterway                                              | 水路に拡がる危機
q21000052_00: An Unworthy Opponent                                                     | 分不相応の相手
q21000053_00: Menace of the Ruins                                                      | 古跡の厄介者
q21000054_00: High Difficulty: Danger at the Ruins                                     | 【高難度】危機迫る古跡
q21000055_00: Lure of the Shadow                                                       | 引きつける影
q21000056_00: High Difficulty: Monsters Full of Ambition                               | 【高難度】野望集めし魔物
q21000057_00: Toward a New World                                                       | 新天地へ向けて
q21000058_00: Demon Close at Hand                                                      | 身近に潜みし魔
q21000059_00: Friends to the End                                                       | 友情はどこまでも
q21000060_00: As a Knight                                                              | 騎士として
q21000061_00: The Evil Resounding in the Cave                                          | 洞窟に満ちる悪
q21000062_00: A Trial of Strength's Outcome                                            | 力試しの結果
q21000063_00: High Difficulty: Save the Island                                         | 【高難度】島を救え
q21000064_00: High Difficulty: Desolate Land                                           | 【高難度】荒涼の地
q21000065_00: Door of Jewelry: Recklessness                                            | 【宝飾の扉】無鉄砲もいいところ
q21000066_00: A Deathly Black Shadow                                                   | 深奥の黒き影
q21000067_00: Guardian of Ancient Remains                                              | 遺跡の守り人
q21000068_00: An Embellished Rumor                                                     | 噂の尾ひれ
q21000069_00: Headlong into Danger                                                     | 猪突猛進
q21000070_00: Living Hell                                                              | この世の地獄
q21000071_00: High Difficulty: An Overheard Voice                                      | 【高難度】漏れ聞こえる声
q21000072_00: Wall in One's Path                                                       | 立ちはだかる壁
q21000073_00: Secure the Outpost                                                       | 宿場の確保
q21000074_00: High Difficulty: For Youthful Strength                                   | 【高難度】若き力のために
q21000075_00: What Lies beneath the Waters                                             | 水底に潜むもの
q21000076_00: Door of Jewelry: Newcomer's Highlight                                    | 【宝飾の扉】新米の見せ場
q21000077_00: Door of Treasures: The Fool's Burial Ground                              | 【財宝の扉】愚者葬られし場
q21000078_00: Door of Jewelry: Eliminate Invaders                                      | 【宝飾の扉】異物排除
q21000079_00: In Search of Gems                                                        | 珠玉を求む
q21000080_00: That Day and Now                                                         | あの日と今
q21000081_00: High Difficulty: The Sealed Darkness                                     | 【高難度】封ぜられた闇
q21000082_00: A Great Cursed Shadow                                                    | 呪われし巨影
q21000083_00: Death-Defying Area                                                       | 命知らずの地
q21000084_00: At the End of One's Wandering                                            | 放浪の果てに
q21000085_00: The Stolen Valuables                                                     | 消えた貴重品
q21000086_00: High Difficulty: Don't Let Your Guard Down                               | 【高難度】油断大敵
q21000087_00: Door of Dragon Force: A Monstrous Encounter                              | 【竜力の扉】巨魔との邂逅
q21000088_00: The Good Old Days                                                        | 懐かしき日
q21000089_00: Call from the Undead                                                     | 亡者の誘い声
q21000090_00: A Place of Regrets                                                       | 悔恨の地
q21000091_00: Door of Gemstones: Absolutely No Entry!                                  | 【昌石の扉】立入厳禁！
q21000092_00: An End to Greed                                                          | 強欲の結末
q21000093_00: Solitary Master                                                          | 孤独の主
q21000094_00: High Difficulty: Unusual Prescence                                       | 【高難度】ただならぬ気配
q21000095_00: Door of Treasures: Thunderous Roar                                       | 【財宝の扉】轟きし咆哮
q21000096_00: A Sign of Nightmares                                                     | 悪夢の象徴
q21000097_00: Secret Dealings                                                          | 秘密の取引き
q21000098_00: High Difficulty: Deathly Battle Along the Coast                          | 【高難度】海岸沿いの死闘
q21000099_00: Door of Dragon Force: Raging Horned Demon                                | 【竜力の扉】猛る魔角
q21013000_00: 【2.2WQ】Solitary Island                                                 | 【2.2WQ】孤島
q21014000_00: Protecting the Protectors                                                | 守り人を守る人
q21014001_00: Fount of Nostalgia                                                       | 懐古たる洗礼
q21014002_00: High Difficulty: Lurker in the Deep Woods                                | 【高難度】密林の潜伏者
q21014003_00: Wealth and Power                                                         | 富と力
q21014004_00: First to Trade                                                           | 通商の先駆け
q21014005_00: Time Restriction: Late Night Harvest                                     | 【時限採取】深夜の採草道
q21014006_00: Time Restriction: Rainy Collection                                       | 【時限採取】雨天の採水道
q21014007_00: Door of Treasures: The Green over Rainbow                                | 【財宝の扉】虹覆う緑
q21014008_00: A Suspicious Eyewitness                                                  | 胡乱の目撃者
q21014009_00: Heartache's Cause                                                        | 心痛の原因
q21014010_00: Don't Look Behind You                                                    | 振り向いてはいけない
q21014011_00: The Warm Night Outlaw                                                    | 熱帯夜の無法者
q21014012_00: Searching for a Partner!                                                 | 相棒を探して！
q21014013_00: The Arisen Corps' Blunder                                                | 覚者隊の失態
q21014014_00: Water Grove Wayfarers                                                    | 水林の旅人達
q21014015_00: Medal To Set an Example                                                  | 見せしめの勲章
q21014016_00: Simian Relatives                                                         | 類猿の血族
q21014017_00: Snow-White Gleam in the Deep Woods                                       | 密林に輝く純白
q21014018_00: Elanic Contrast                                                          | エラニック・コントラスト
q21014019_00: Brethren Hiding Poison                                                   | 毒秘めし同胞
q21014020_00: A Call from Beneath the Ivy                                              | 蔦覆い隠す呼び声
q21014021_00: A Trampled Heart                                                         | 踏み砕かれた心
q21014022_00: High Difficulty: Rushing Wild                                            | 【高難度】駆けゆく野生
q21014023_00: Time Restriction: Dredging at Dawn                                       | 【時限採取】暁の採泥道
q21014024_00: Door of Gemstones: Howls of the Beasts                                   | 【昌石の扉】野獣たちの咆哮
q21015000_00: The Store Girl's Trials                                                  | 看板娘の小手調べ
q21015001_00: A Commendable Novice                                                     | 殊勝なる若輩者
q21015002_00: High Difficulty: The Specter's Invasion                                  | 【高難度】魔影の侵攻
q21015003_00: To the Faraway Child                                                     | 遠き地の子へ
q21015004_00: Eyes Fixed on the Future                                                 | 未来を見据える瞳
q21015005_00: Time Restriction: Midday Harvest                                         | 【時限採取】真昼の採草道
q21015006_00: Time Restriction: Cloudy Mining                                          | 【時限採取】曇天の採石道
q21015007_00: Door of Gemstones: Cruel Steel Claws                                     | 【昌石の扉】無慈悲なる鋼爪
q21015008_00: Pride of the Weak                                                        | 弱腰の矜持
q21015009_00: Ordeal of the Weak                                                       | 弱腰の試練
q21015010_00: An Old Hand at the Spear                                                 | 昔取った槍柄
q21015011_00: Teacher and Pupil's Unspoken Affection                                   | 寡黙な師弟愛
q21015012_00: A Foreign Investigation                                                  | 異邦捜査線
q21015013_00: The Troubled Fortification                                               | 惑いし砦守
q21015014_00: Missing Cohort                                                           | 消えた僚友
q21015015_00: Champion from that Day                                                   | かの日の強者
q21015016_00: Lightning Scorching the Waterway                                         | 水路を焦がす稲妻
q21015017_00: Disturbance Stirring Curiosity                                           | 好奇が呼ぶ不穏
q21015018_00: Cruel Winged Shadow                                                      | 残酷なる翼影
q21015019_00: Fierce Tail and Splendid Wings                                           | 猛き尾と芳しき翼
q21015020_00: Flawless Grave-Robbing                                                   | 無縫の墓荒らし
q21015021_00: King of the Fairies                                                      | 小妖精の王
q21015022_00: High Difficulty: The Fierce King's Roar                                  | 【高難度】猛き王者の咆哮
q21015023_00: Time Restriction: Mining in the Dead of Night                            | 【時限採取】真夜中の採岩道
q21015024_00: Door of Treasures: Claws that Cleave the Glacier                         | 【財宝の扉】氷河裂く爪
q21016000_00: Source of Disturbance                                                    | 騒ぎの原因
q21016001_00: Verifying a Rumor                                                        | 噂の検証
q21016002_00: High Difficulty: To End This                                             | 【高難度】終止符を打つために
q21016003_00: A Kind Reward                                                            | 優しさの報酬
q21016004_00: The Young Custodian                                                      | 幼き家守
q21016005_00: Time Restriction: Dusk Logging                                           | 【時限採取】夕暮の採木道
q21016006_00: Time Restriction: Fine Weather Harvest                                   | 【時限採取】晴天の採草道
q21016007_00: Door of Dragon Force: Verdant Tyrant                                     | 【竜力の扉】侵緑の暴虐者
q21016008_00: Flight of the Ravenous Birds                                             | 蝕鳥たちの舞
q21016009_00: Blue Road to Death                                                       | 蒼き死路
q21016010_00: Guardian of the Diseased Forest                                          | 病み森の番人
q21016011_00: The Thorny Path to Understanding                                         | 理解への茨道
q21016012_00: Rampage of Old Soldiers                                                  | 老兵の大暴れ
q21016013_00: The Inept Scholar                                                        | 鈍腕の好学者
q21016014_00: Assault of Demons                                                        | 侵魔の強襲
q21016015_00: Where the Sage Sleeps                                                    | 賢者の眠る地
q21016016_00: Beckoning Demons                                                         | 侵鬼の手招き
q21016017_00: For the Green Garden                                                     | 緑園のために
q21016018_00: Two Grotesque Feet                                                       | 異形の二本足
q21016019_00: Rampaging Wild Beasts                                                    | 跋扈する狂獣たち
q21016020_00: Wandering Puppets                                                        | 彷徨う傀儡
q21016021_00: Stagnant Wings                                                           | 淀みの狂翼
q21016022_00: High Difficulty: The Green Demon's Return                                | 【高難度】再来の緑魔
q21016023_00: Time Restriction: Logging in the Rain                                    | 【時限採取】雨天の採木道
q21016024_00: Door of Jewelry: Guarding Treasure in the Defiled Forest                 | 【宝飾の扉】穢れし森の宝守り
q21017000_00: Dining Danger                                                            | 食堂の危機
q21017001_00: Dragon Disaster                                                          | 竜魔事変
q21017002_00: High Difficulty: The Mayhem Abyss                                        | 【高難度】深淵の伏魔殿
q21017003_00: Equivalent Support                                                       | 支援の対価
q21017004_00: Foresight                                                                | 先見の明
q21017005_00: Time Restriction: Daybreak Mining                                        | 【時限採取】早朝の採石道
q21017006_00: Time Restriction: Fine Weather Treasure Hunt                             | 【時限採取】晴天の採宝道
q21017007_00: Door of Jewelry: Elegy of the Grotesque                                  | 【宝飾の扉】異形たちの挽歌
q21017008_00: Seeds of Contemplation                                                   | 長考の種
q21017009_00: Eyes Burdened by Tomorrow                                                | 明日を担う瞳
q21017010_00: The Steady Beasts' Path                                                  | 冷徹なる獣道
q21017011_00: Just Reparations                                                         | 正義の代償
q21017012_00: Gnawing Footsteps                                                        | 蝕みの足音
q21017013_00: When the Footsteps Fade                                                  | 消えた足音に気付く時
q21017014_00: Concealed Kindliness                                                     | 隠された懇情
q21017015_00: An Evil Gaze                                                             | 魔の視線
q21017016_00: Scrap Maker                                                              | スクラップ・メイカー
q21017017_00: Ancient Vengeance Demon                                                  | いにしえの復讐鬼
q21017018_00: The Dark Summoner Witch                                                  | 闇獣使いの魔女
q21017019_00: Frozen Blaze                                                             | 凍て付きし業炎
q21017020_00: An Old Enemy                                                             | 旧知の宿敵
q21017021_00: Proof of Quarantine                                                      | 防疫の証明
q21017022_00: High Difficulty: A Disastrous Encounter                                  | 【高難度】邂逅の厄災
q21017023_00: Time Restriction: Cloudy Excavation                                      | 【時限採取】曇天の採掘道
q21017024_00: Door of Dragon Force: Uninvited Wings                                    | 【竜力の扉】招かれざる侵翼
q22018000_00: Another Misfortune                                                       | 弱り目に盗み目
q22018001_00: The Fiends' Early Recruitment                                            | 悪鬼軍の青田刈り
q22018002_00: A Reckless Action                                                        | 命知らずの敢行
q22018003_00: The Cowardly Soldier's Distraction                                       | 弱卒の憂さ晴らし
q22018004_00: Thinking of You                                                          | 想いし君へ
q22018005_00: Serve from Above                                                         | 高みの奉仕家
q22018006_00: Waiting to Catch Monsters                                                | 日和見の魔物捕り
q22018007_00: Time Restriction: Evening Harvest                                        | 【時限採取】暮夜の採草道
q22018008_00: Rioting Beasts                                                           | 騒乱の野獣たち
q22018009_00: Love Thy Neighbor                                                        | 異邦の隣人愛
q22018010_00: Demon Army's Surprise Attack                                             | 武装鬼軍の奇襲
q22018011_00: Expose The One in the Shadows                                            | 暗躍者の露払い
q22018012_00: Time Restriction: Mining Free of Demons                                  | 【時限採取】鬼の居ぬ間の採石道
q22018013_00: The Merchant's Requital                                                  | 豪商の恩返し
q22018014_00: Dangerous Daydream                                                       | 剣呑たる白昼夢
q22018015_00: The Clerk's Misery                                                       | 女番頭の憂い事
q22018016_00: High Difficulty: Evil Dragon Army, Attack!                               | 【高難度】悪しき竜軍、強襲！
q22018017_00: The Peddler's Consideration                                              | 行商人の気配り
q22018018_00: Investing for Independence                                               | 自立への投資
q22018019_00: Happy Days Once Again                                                    | 睦まじき日をもう一度
q22018020_00: The Fiend's Troops Attack                                                | 悪鬼中隊の進撃
q22018021_00: In Return for a Bed and a Meal                                           | 一宿一飯の恩
q22018022_00: Time Restriction: Gathering Under Clear Skies                            | 【時限採取】晴天の採取道
q22018023_00: Reckless Fate                                                            | 命知らずの命運
q22018024_00: Eyes That Speak of a Deep Bond                                           | 絆湛えし瞳
q22018025_00: The Orc Platoon Creeps Closer                                            | 伏し迫るオーク小隊
q22018026_00: Guard of the Base                                                        | より所の守り人
q22018027_00: Time Restriction: Gathering Before the Demons Return                     | 【時限採取】鬼の居ぬ間の採取道
q22018028_00: Cause of Unease                                                          | 不安の矛先
q22018029_00: A Little Favor                                                           | ちいさなおねがい
q22018030_00: Malicious Armor                                                          | 積怨の禍つ鎧
q22018031_00: High Difficulty: Exorcising a Hundred Ghosts and a Thousand Demons       | 【高難度】百鬼千魔を調伏せよ
q22018032_00: The White Terror                                                         | 真白き戦慄
q22018033_00: Ancient Evil Eye                                                         | いにしえの邪眼
q22018034_00: Nightmare of the Dark Forest                                             | 暗然たる森の悪夢
q22018035_00: Indomitable Proof                                                        | 不撓不屈の証明
q22018036_00: A Bitter Old Grudge                                                      | やるかたなき宿怨
q22018037_00: Eager to Train                                                           | 練磨の魁
q22018038_00: Something Spilling from the Darkness                                     | 闇より溢れ出る異変
q22018039_00: An Intruder in Too Deep                                                  | 飛んで火に入る闖入者
q22018040_00: The Last Lie                                                             | 最後の嘘
q22018041_00: Fury in the Fog                                                          | 霧の中に猛る狂乱
q22018042_00: Apparition Lurking in Darkness                                           | 怪異は深き闇に潜む
q22018043_00: A Disturbing Portent                                                     | 不穏の先触れ
q22018044_00: Beguiled and Agitated                                                    | 蠱惑のアジテーション
q22018045_00: The Gatekeeper's Pride                                                   | 門番の矜持
q22018046_00: Time Restriction: Early Dawn Bug Hunting                                 | 【時限採取】早暁の採虫道
q22018047_00: Time Restriction: Collecting Before the Demons Return                    | 【時限採取】鬼の居ぬ間の回収道
q22018048_00: Self-Righteous Conviction                                                | 独りよがりの信念
q22018049_00: High Difficulty: The Demon Army Counterattacks                           | 【高難度】逆襲の悪鬼軍
q22018050_00: Flames of Darkness                                                       | 暗晦の炎
q22018051_00: Flickering Shadow of Flame                                               | 徘徊する炎の影
q22018052_00: A Difficult Journey                                                      | 石拾うにも苦難の道程
q22018053_00: Judge of Truth                                                           | 真偽の判定者
q22018054_00: Unshakeable Anxiety                                                      | 拭えぬ心労
q22018055_00: Lost in the Haze                                                         | 行方を眩ます陽炎
q22018056_00: Time Restriction: Collecting Ash Before the Demons Return                | 【時限採取】鬼の居ぬ間の採灰道
q22018057_00: The Power to Deter Evil                                                  | 悪を断ち切る抑止力
q22018058_00: High Difficulty: Rescue Acre Selund                                      | 【高難度】アッカーシェラン各地より救援要請
q22020000_00: Furious Charge                                                           | 激昂の突進
q22020001_00: Furious Encounter                                                        | 激昂の邂逅
q22020002_00: Furious Deathly Battle                                                   | 激昂の死闘
q22020003_00: Furious Fight                                                            | 激昂の激闘
q22020004_00: Furious Executioner                                                      | 激昂の処刑人
q22020005_00: Furious Black Smoke                                                      | 激昂の黒煙
q29300000_00: Dacreim Fortress Recapture Battle                                        | ダクレイム砦奪還戦
q29300001_00: Jifule Fortress Capture Battle                                           | ジフール砦攻略戦
q29300002_00: The Deathly Battle of the Forest of Mist                                 | 霧の森の死闘
q29300003_00: Resurrection of the Flame of Despair                                     | 蘇りし絶望の炎
q29999989_00:                                                                          | クエスト検証用ID１
q29999990_00:                                                                          | クエスト検証用ID２
q29999991_00:                                                                          | 須田テスト突発！
q29999992_00:                                                                          | 須田テスト用納品
q29999993_00:                                                                          | クエスト検証用ID５
q29999994_00:                                                                          | 須田テスト用クエスト
q29999995_00:                                                                          | クエスト検証用ID７
q29999996_00:                                                                          | クエスト検証用ID８
q29999997_00:                                                                          | クエスト検証用ID９
q29999998_00:                                                                          | 2.2GM戦闘仮組
q29999999_00:                                                                          | 2.3ダンジョンクエスト検証用
q30200001_00: Request from an Official                                                 | 執務官からの依頼
q30200002_00: A Favor to Ask                                                           | お願いがあります
q30200003_00: Too Many Monsters                                                        | 増えすぎた魔物
q30200004_00: Subjugate Monsters                                                       | 魔物征伐
q30200005_00: Favor for an Official                                                    | 執務官からの頼み事
q30200006_00: Suppresion Order from an Official                                        | 執務官からの討伐依頼
q30200007_00: Why Not Test Your Strength?                                              | 力試しをしてみませんか？
q30200008_00: Preserve Public Order                                                    | 治安維持のため
q30200009_00: Eliminate the Threat                                                     | 脅威排除
q30200010_00: For the Peace of Lestania                                                | レスタニア平安のため
q30200011_00: Delivery Request From An Acquisitor                                      | 欲しがりさんからの納品依頼
q30200012_00: I Want This!                                                             | これが欲しいの！
q30200013_00: Request From An Acquisitor                                               | 欲しがりさんからの頼まれ事
q30200014_00: I Want That!                                                             | あれが欲しいの！
q30200015_00: Delivery Request From A Connoisseur                                      | モノ好きさんからの納品依頼
q30200016_00: For Stockpiling                                                          | 備蓄のために
q30200017_00: Request From A Connoisseur                                               | モノ好きさんからの頼まれ事
q30200018_00: A Friend Needs Advice                                                    | お友達からの相談
q30200019_00: Request from a Spoiled Girl                                              | 我儘娘の頼み事
q30200020_00: Resupply Help                                                            | 調達を手伝って
q30200021_00: High Difficulty: Subjugation Order                                       | 【高難度】討伐命令
q30200022_00: High Difficulty: Monsters to Evade                                       | 【高難度】忌避すべき魔物
q30200023_00: High Difficulty: A Trial for the Arisen                                  | 【高難度】覚者への試練
q30200024_00: High Difficulty: Eliminate the Threat                                    | 【高難度】脅威は排除せよ
q30200025_00: High Difficulty: The One Who Threatens the Peace                         | 【高難度】平穏を脅かす者
q30200026_00: High Difficulty: Emergency Subjugation Demand                            | 【高難度】緊急討伐要請
q30200027_00: High Difficulty: Subjugation Duty                                        | 【高難度】討伐任務
q30200028_00: High Difficulty: A Challenge to the Arisen                               | 【高難度】覚者への挑戦状
q30200029_00: High Difficulty: Emergency Subjugation Order                             | 【高難度】緊急討伐命令
q30200030_00: High Difficulty: Searching for a Hero                                    | 【高難度】強者求む
q30200031_00: High Difficulty: Request for Provisions                                  | 【高難度】調達のお願い
q30200032_00: High Difficulty: Replenishment Request                                   | 【高難度】補給のお願い
q30200033_00: High Difficulty: Request to Gather Supplies                              | 【高難度】物資手配依頼
q30200034_00: High Difficulty: Assigned to Harvesting                                  | 【高難度】採取の代行
q30200035_00: High Difficulty: For a Friend                                            | 【高難度】友達のために
q30200036_00: High Difficulty: Necessary Supplies                                      | 【高難度】必要な物資
q30200037_00: High Difficulty: Delivery Request                                        | 【高難度】納品依頼
q30200038_00: High Difficulty: Emergency Replenishment Demand                          | 【高難度】緊急補給要請
q30200039_00: High Difficulty: To Secure Supplies                                      | 【高難度】物資確保のため
q30200040_00: High Difficulty: Order to Provide Supplies                               | 【高難度】物資調達命令
q40000001_00: Highway Security                                                         | 街道の安全確保
q40000002_00: Dangerous Beasts                                                         | 害獣駆除
q40000003_00: On the Outskirts                                                         | 周辺治安維持
q40000004_00: Growing Number of Monsters                                               | 魔物の増加傾向に関して
q40000005_00: White Knights: Protection of Travelers                                   | 白騎団　往来の安全確保
q40000006_00: White Knights: Elimination                                               | 白騎団　討伐任務
q40000007_00: White Knights: Emergency Elimination                                     | 白騎団　緊急討伐指令
q40000008_00: White Wings: Extermination (Hidell Plains)                               | 白翼覚者隊・駆除任務　ハイデル平原
q40000009_00: White Wings: Elimination (Hidell Plains)                                 | 白翼覚者隊・討伐任務　ハイデル平原
q40000010_00: Area Order: Temple Outskirts Demon Extermination                         | ＜エリアオーダー＞神殿近郊魔物征伐
q40000011_00: Would've Gone There                                                      | 本当は自分で行くんだが――
q40000012_00: For the Crafting Room                                                    | クラフトルーム備品補充のお願い
q40000013_00: Dents in Armor                                                           | 武具の手入れ用品お願い
q40000014_00: A Plea for Craft Materials                                               | クラフト材料譲ってくれよ
q40000015_00: Capitivated                                                              | あのヒトを虜に
q40000016_00: Actually, I Lost It!                                                     | じ、実は紛失したんです！
q40000017_00: For a Master                                                             | 我が主のために――
q40000018_00: White Wings: Collection (Hidell Plains)                                  | 白翼覚者隊・収集依頼　ハイデル平原
q40000019_00: White Wings: Delivery (Hidell Plains)                                    | 白翼覚者隊・納品依頼　ハイデル平原
q40000020_00: Area Order: White Dragon Temple Resupply                                 | ＜エリアオーダー＞白竜神殿補給
q40000021_00: A Hunting Competition                                                    | ハンティング競争
q40000022_00: Travel Safety                                                            | 周囲定期警戒
q40000023_00: Sick in the Stomach                                                      | 腹の具合が――
q40000024_00: Rags to Riches                                                           | 内緒の儲け話
q40000025_00: Trembling with Joy                                                       | 武者震い
q40000026_00: The Hidden Land                                                          | 他地域への侵入阻止
q40000027_00: Sparring Contest                                                         | 貴様の腕を見せてみろ
q40000028_00: Gritten Fort: Cooperation                                                | グリッテン砦・協力要請
q40000029_00: Gritten Fort: Elimination                                                | グリッテン砦・討伐任務
q40000030_00: Area Order: Fort Subjugation Mission                                     | ＜エリアオーダー＞砦の征伐任務
q40000031_00: Deadlines                                                                | 提出命令
q40000032_00: Resupplying Help                                                         | 調達を手伝ってくれ
q40000033_00: The Side Job                                                             | 内緒の小金稼ぎ
q40000034_00: From an Acquaintance                                                     | 知り合いの頼み
q40000035_00: A Personal Request                                                       | 私的依頼
q40000036_00: Souvenirs                                                                | 郷里への土産に
q40000037_00: Betland Materials Request                                                | バートランド名産品の入手依頼
q40000038_00: Gritten Fort: Collection                                                 | グリッテン砦・物資調達
q40000039_00: Gritten Fort: Delivery                                                   | グリッテン砦・補給手配
q40000040_00: Area Order: Gritten Fort Resupply                                        | ＜エリアオーダー＞グリッテン砦補給
q40000041_00: A Suspicious Glance                                                      | 怪しい視線
q40000042_00: A Traveler's Lament                                                      | 往来の悩み
q40000043_00: Out of Water                                                             | 水汲みもできやしない
q40000044_00: To Be Rid of Them                                                        | 退治するはずだったんだが
q40000045_00: Vengeance for the Pig!                                                   | ブタの仇をとって！
q40000046_00: The Cause of Illness                                                     | 病気の原因
q40000047_00: A Sight from the Tower                                                   | 塔から見たら――
q40000048_00: White Wings: Cooperation (Hidell Plains)                                 | 白翼覚者隊・協力要請　ハイデル平原
q40000049_00: White Wings: Elimination (Hidell Plains)                                 | 白翼覚者隊・討伐任務　ハイデル平原
q40000050_00: Area Order: Hidell Demon Extermination                                   | ＜エリアオーダー＞ハイデル魔物征伐
q40000051_00: Remedy Ingredients                                                       | 薬の材料を届けてください
q40000052_00: Equipment Repairs                                                        | 装具修理に
q40000053_00: Drinking Necessities                                                     | 酒の具材
q40000054_00: Fertilizer Ingredients                                                   | 肥料の材料
q40000055_00: Does Anyone Have This?                                                   | 誰かアレ持ってない？
q40000056_00: In Search of Rarities                                                    | 希少資材の提供依頼
q40000057_00: Hidell Materials Request                                                 | ハイデル名産品の入手依頼
q40000058_00: White Wings: Collection (Hidell Plains)                                  | 白翼覚者隊・収集依頼　ハイデル平原
q40000059_00: White Wings: Delivery (Hidell Plains)                                    | 白翼覚者隊・納品依頼　ハイデル平原
q40000060_00: Area Order: Hidell Resupply                                              | ＜エリアオーダー＞ハイデル補給
q40000061_00: The Hard Truth                                                           | 言いにくいのですが――
q40000062_00: An Uneasy Stroll                                                         | 散歩の不安
q40000063_00: The Guard's Concern                                                      | 警備が心配だ！
q40000064_00: Where'd That Come From?!                                                 | あんなのが出たんだよ！！
q40000065_00: A Demand                                                                 | 何とかせぃ
q40000066_00: Business Rivals                                                          | 商売仇
q40000067_00: What Lurks in the Waters                                                 | 青海に潜む危機
q40000068_00: White Wings: Cooperation (Breya Coast)                                   | 白翼覚者隊・協力要請　ブリア海岸
q40000069_00: White Wings: Elimination (Breya Coast)                                   | 白翼覚者隊・討伐任務　ブリア海岸
q40000070_00: Area Order: Breya Demon Extermination                                    | ＜エリアオーダー＞ブリア魔物征伐
q40000071_00: For the New Menu!                                                        | 海竜亭の新メニューにご協力を！
q40000072_00: Safe Arrival                                                             | 素材入荷に協力を
q40000073_00: A Treasure from the Sea                                                  | 海からの宝物
q40000074_00: For a Child                                                              | あの子のために
q40000075_00: Taste the Salt                                                           | 潮風の品
q40000076_00: Storage Woes                                                             | 備蓄が心配だ！
q40000077_00: Breya Materials Request                                                  | ブリア名産品の入手依頼
q40000078_00: White Wings: Collection (Breya Coast)                                    | 白翼覚者隊・収集依頼　ブリア海岸
q40000079_00: White Wings: Delivery (Breya Coast)                                      | 白翼覚者隊・納品依頼　ブリア海岸
q40000080_00: Area Order: Breya Resupply                                               | ＜エリアオーダー＞ブリア補給
q40000081_00: A Secret Agreement                                                       | ある部族との密約
q40000082_00: For Kinoza's Peace!                                                      | キノザに平和を！
q40000083_00: Bathing in Tar                                                           | 魅惑のタール風呂
q40000084_00: Peddlers and Miners                                                      | 行商人と鉱員の敵
q40000085_00: Costly Service                                                           | 高くつくと教えてあげたいの
q40000086_00: Shining Skill                                                            | 輝く戦技
q40000087_00: From Where Did They Spawn                                                | どっから湧いてきたんだい
q40000088_00: White Wings: Cooperation (Volden Mines)                                  | 白翼覚者隊・協力要請　ボルド鉱山
q40000089_00: White Wings: Elimination (Volden Mines)                                  | 白翼覚者隊・討伐任務　ボルド鉱山
q40000090_00: Area Order: Volden Demon Extermination                                   | ＜エリアオーダー＞ボルド魔物征伐
q40000091_00: Road Blocks                                                              | 鉱山は道が険しいよ
q40000092_00: Careful Selection                                                        | 厳選素材
q40000093_00: Restocking                                                               | 仕入れ仕事
q40000094_00: Famous Cuisine                                                           | 温泉宿の自慢料理
q40000095_00: Water of Paradise                                                        | 極楽！　湯の素
q40000096_00: Securing Goods                                                           | 商品確保を
q40000097_00: Volden Materials Request                                                 | ボルド名産品の入手依頼
q40000098_00: White Wings: Collection (Volden Mines)                                   | 白翼覚者隊・収集依頼　ボルド鉱山
q40000099_00: White Wings: Delivery (Volden Mines)                                     | 白翼覚者隊・納品依頼　ボルド鉱山
q40000100_00: Area Order: Volden Resupply                                              | ＜エリアオーダー＞ボルド補給
q40000101_00: Shadow Over the Valley                                                   | 渓谷を覆う影
q40000102_00: Annoyances                                                               | うざいのよ
q40000103_00: Worries                                                                  | 心配ごとについて
q40000104_00: A Threat in Jingen                                                       | ジンゲンの脅威
q40000105_00: Enemy of the Valley                                                      | 谷合いの強敵
q40000106_00: Barrier Defense                                                          | 関所警備情報
q40000107_00: Back Pains                                                               | ぎっくり腰の原因
q40000108_00: White Wings: Cooperation (Dowe Valley)                                   | 白翼覚者隊・協力要請　ダウ渓谷
q40000109_00: White Wings: Elimination (Dowe Valley)                                   | 白翼覚者隊・討伐任務　ダウ渓谷
q40000110_00: Area Order: Dowe Demon Extermination                                     | ＜エリアオーダー＞ダウ魔物征伐
q40000111_00: Supplies for Jingen                                                      | ジンゲンの物資手配依頼
q40000112_00: A Plea for Stock                                                         | 仕入れのお願い
q40000113_00: Worth the Price                                                          | 価値ある品
q40000114_00: Back Pain Remedy                                                         | 腰の治療薬
q40000115_00: Preparation Is Key                                                       | 備えは万端に
q40000116_00: Refusal to Transact?                                                     | 取引しない？
