"#Index","Key","MsgJp","MsgEn","GmdPath","ArcPath","ArcName","ReadIndex"
"2","q21017023_00_619","<NAME AREA>のエリアマスターは
覚者へ相談したい事があるらしい","The Area Master of <NAME AREA>
would like to seek counsel from the Arisen.","ui\00_message\quest_info\q21017023_00.gmd","\quest\q21017023.arc","q21017023.arc","2"
"4","q22018026_00_1166","＜<SQDI NAME>＞を＜<SQDI NUM>＞個、依頼者に渡す（残り:<SQDI DNUM>）","Deliver <SQDI NUM> <SQDI NAME> to the requester (need: <SQDI DNUM>)","ui\00_message\quest_info\q22018026_00.gmd","\quest\q22018026.arc","q22018026.arc","4"
"5","q22018026_00_1167","指定された場所へ魔物を探しに行く","Go to the designated location to search for enemy","ui\00_message\quest_info\q22018026_00.gmd","\quest\q22018026.arc","q22018026.arc","5"
"6","q22018026_00_1168","発見した魔物を討伐する","Defeat the found demons","ui\00_message\quest_info\q22018026_00.gmd","\quest\q22018026.arc","q22018026.arc","6"
"7","q22018026_00_1169","依頼者に報告する","Report to the requester","ui\00_message\quest_info\q22018026_00.gmd","\quest\q22018026.arc","q22018026.arc","7"
"0","q22018027_00_667","【時限採取】鬼の居ぬ間の採取道","Time Restriction: Gathering Before the Demons Return","ui\00_message\quest_info\q22018027_00.gmd","\quest\q22018027.arc","q22018027.arc","0"
"1","q22018027_00_667","【時限採取クエスト：特殊】
エリアマスターから話を聞き
特定条件の間に採取を行い納品する","【Time Restriction Quest: Special】
Listen to the Area Master's story.
Gather and deliver within the specified time.","ui\00_message\quest_info\q22018027_00.gmd","\quest\q22018027.arc","q22018027.arc","1"
"2","q22018027_00_667","<NAME AREA>のエリアマスターは
覚者へ相談したい事があるらしい","The Area Master of <NAME AREA>
would like to seek counsel from the Arisen.","ui\00_message\quest_info\q22018027_00.gmd","\quest\q22018027.arc","q22018027.arc","2"
"3","q22018027_00_667","オークたちが砦を築くあの地の傍で
監視する斥候たち――
彼らは危険を承知で任務遂行しているの
少しでも、物資調達に役立つため――
日夜恐怖と戦っているのよ","Near the land where the Orcs build
their fortresses, our scouts keep watch――
They undertake their missions knowing the risks.
To aid in securing supplies,
they fight fear day and night.","ui\00_message\quest_info\q22018027_00.gmd","\quest\q22018027.arc","q22018027.arc","3"
"8","q22018027_00_1233","エリアマスターに《<SQDI NAME>》を＜<SQDI NUM>＞つ納品する","Deliver <SQDI NUM> <SQDI NAME> to the Area Master","ui\00_message\quest_info\q22018027_00.gmd","\quest\q22018027.arc","q22018027.arc","8"
"4","q22018027_00_1292","パーティメンバーを拠点内に集める","Gather party members within the location","ui\00_message\quest_info\q22018027_00.gmd","\quest\q22018027.arc","q22018027.arc","4"
"6","q22018027_00_1293","魔物集結スポットの傍にいる斥候に話しかける","Talk to the scout near the Monster Gathering Spot","ui\00_message\quest_info\q22018027_00.gmd","\quest\q22018027.arc","q22018027.arc","6"
"7","q22018027_00_1294","＜スポットボス未出現＞の間に＜魔物集結スポット＞で《<SQDI NAME>》を採取し＜5＞つ納品","During the period of ""Spot Boss not appearing"", 
gather ""<SQDI NAME>"" at a
Monster Gathering Spot and deliver 5 of them","ui\00_message\quest_info\q22018027_00.gmd","\quest\q22018027.arc","q22018027.arc","7"
"5","q22018027_00_1305","エリアマスターから詳細を聞く","Inquire details from the Area Master","ui\00_message\quest_info\q22018027_00.gmd","\quest\q22018027.arc","q22018027.arc","5"
"0","q22018028_00_668","不安の矛先","Cause of Unease","ui\00_message\quest_info\q22018028_00.gmd","\quest\q22018028.arc","q22018028.arc","0"
"1","q22018028_00_668","【納品討伐クエスト】
依頼者に高価なアイテムを渡し
珍しい敵の居場所を聞き出す","【Delivery Hunt Quest】
Hand over a valuable item to the client
and locate the whereabouts of a rare enemy.","ui\00_message\quest_info\q22018028_00.gmd","\quest\q22018028.arc","q22018028.arc","1"
"2","q22018028_00_668","<NAME AREA>にいる何者かが
エリア内で取得できる珍しいアイテムを求めている","Someone in the <NAME AREA> is searching
for rare items that can be found within the area.","ui\00_message\quest_info\q22018028_00.gmd","\quest\q22018028.arc","q22018028.arc","2"
"3","q22018028_00_668","オークはかなり無茶な調教を課しているようで
たまに、戦甲種が軍から逃げ出すらしい
そしてそいつらは、洞窟や水路に身を隠すが
装具の痛みに耐えきれず、暴れだすとか――
はぐれ戦甲種に遭遇したら、気を付けろよ","It appears the Orcs give extremely harsh training,
causing some armored types to flee the ranks.
They hide in caves or waterways
but often can’t stand the pain from their gear
and start to rampage――
Stay alert if you run into a rogue armored type.","ui\00_message\quest_info\q22018028_00.gmd","\quest\q22018028.arc","q22018028.arc","3"
"4","q22018028_00_1166","＜<SQDI NAME>＞を＜<SQDI NUM>＞個、依頼者に渡す（残り:<SQDI DNUM>）","Deliver <SQDI NUM> <SQDI NAME> to the requester (need: <SQDI DNUM>)","ui\00_message\quest_info\q22018028_00.gmd","\quest\q22018028.arc","q22018028.arc","4"
"5","q22018028_00_1167","指定された場所へ魔物を探しに行く","Go to the designated location to search for enemy","ui\00_message\quest_info\q22018028_00.gmd","\quest\q22018028.arc","q22018028.arc","5"
"6","q22018028_00_1168","発見した魔物を討伐する","Defeat the found demons","ui\00_message\quest_info\q22018028_00.gmd","\quest\q22018028.arc","q22018028.arc","6"
"7","q22018028_00_1169","依頼者に報告する","Report to the requester","ui\00_message\quest_info\q22018028_00.gmd","\quest\q22018028.arc","q22018028.arc","7"
"0","q22018029_00_669","ちいさなおねがい","A Little Favor","ui\00_message\quest_info\q22018029_00.gmd","\quest\q22018029.arc","q22018029.arc","0"
"1","q22018029_00_669","【死亡チェッククエスト】
依頼者の願いを聞き入れ
一度も復活することなく狂暴な敵を討伐する","【Mortality Check Quest】
Listen to the requester's wish.
Defeat the ferocious enemy
without reviving even once.","ui\00_message\quest_info\q22018029_00.gmd","\quest\q22018029.arc","q22018029.arc","1"
"2","q22018029_00_669","<NAME AREA>にいる何者かが、魔物との勝負で
腕試しをしているようだ","Someone in the <NAME AREA> 
appears to be testing their skills
in a battle against an enemy.","ui\00_message\quest_info\q22018029_00.gmd","\quest\q22018029.arc","q22018029.arc","2"
"3","q22018029_00_669","この世の中、幼子には厳しすぎるわい
親を失ったり、捕虜経験のある子の中には
酷い心の傷を負った子も多い
時だけが癒してくれるのじゃろうが
少しでも、力になれないかのう――","This world is too harsh for young children.
Many who have lost their parents
or have been prisoners carry deep emotional scars.
Only time can heal them, but I wish there was 
something more we could do to help.","ui\00_message\quest_info\q22018029_00.gmd","\quest\q22018029.arc","q22018029.arc","3"
"4","q22018029_00_1174","指定された場所へ行き、狂暴な魔物を見つける","Go to the designated location
and find the rabid demon","ui\00_message\quest_info\q22018029_00.gmd","\quest\q22018029.arc","q22018029.arc","4"
"5","q22018029_00_1175","遭遇した魔物を討伐する","Defeat the encountered demons","ui\00_message\quest_info\q22018029_00.gmd","\quest\q22018029.arc","q22018029.arc","5"
"6","q22018029_00_1176","依頼者へ経緯を報告する","Report back to the requester","ui\00_message\quest_info\q22018029_00.gmd","\quest\q22018029.arc","q22018029.arc","6"
"0","q22018030_00_670","積怨の禍つ鎧","Malicious Armor","ui\00_message\quest_info\q22018030_00.gmd","\quest\q22018030.arc","q22018030.arc","0"
"1","q22018030_00_670","【敵群討伐クエスト】
依頼者から話を聞き
敵の群れを討伐する","【Enemy Horde Extermination Quest】
Listen to the client's request.
Exterminate the horde of enemies.","ui\00_message\quest_info\q22018030_00.gmd","\quest\q22018030.arc","q22018030.arc","1"
"2","q22018030_00_670","<NAME AREA>からの報告によると
魔物の勢力が一時的に増し、危険な状況にあるという","According to reports from <NAME AREA>, 
enemy forces have temporarily increased, 
and the situation is quite dangerous.","ui\00_message\quest_info\q22018030_00.gmd","\quest\q22018030.arc","q22018030.arc","2"
"3","q22018030_00_670","どうやらあの子、“視える”みたいなのよ
まぁ村から一歩出れば、死体が転がってるような
この世の中じゃ、本当に居てもおかしくないわね
視えるだけの無害なヤツならまだいいけど
竜力を纏って襲ってきたら、どうすりゃいいの？","It seems that child can ""see"" things.
Well, in a world where corpses are scattered
just outside the village, it’s not surprising.
If they’re harmless and only ""see"" things,
that’s one thing, but what if they attack
because of Dragon Force?","ui\00_message\quest_info\q22018030_00.gmd","\quest\q22018030.arc","q22018030.arc","3"
"10","q22018030_00_1169","依頼者に報告する","Report to the requester","ui\00_message\quest_info\q22018030_00.gmd","\quest\q22018030.arc","q22018030.arc","10"
"4","q22018030_00_1222","指定された場所で魔物の群れを探す(残り３)","Search for a group of monsters
at the designated location (3 remaining)","ui\00_message\quest_info\q22018030_00.gmd","\quest\q22018030.arc","q22018030.arc","4"
"6","q22018030_00_1223","残る魔物の群れを探す(残り２)","Search for the remaining groups of monsters
(2 remaining)","ui\00_message\quest_info\q22018030_00.gmd","\quest\q22018030.arc","q22018030.arc","6"
"8","q22018030_00_1224","残る魔物の群れを探す(残り１)","Find the group of monsters that remain
(1 remaining)","ui\00_message\quest_info\q22018030_00.gmd","\quest\q22018030.arc","q22018030.arc","8"
"5","q22018030_00_1225","遭遇した魔物群を討伐する","Defeat the encountered demon group","ui\00_message\quest_info\q22018030_00.gmd","\quest\q22018030.arc","q22018030.arc","5"
"7","q22018030_00_1225","遭遇した魔物群を討伐する","Defeat the encountered demon group","ui\00_message\quest_info\q22018030_00.gmd","\quest\q22018030.arc","q22018030.arc","7"
"9","q22018030_00_1225","遭遇した魔物群を討伐する","Defeat the encountered demon group","ui\00_message\quest_info\q22018030_00.gmd","\quest\q22018030.arc","q22018030.arc","9"
"0","q22018031_00_671","【高難度】百鬼千魔を調伏せよ","High Difficulty: Exorcising a Hundred Ghosts
and a Thousand Demons","ui\00_message\quest_info\q22018031_00.gmd","\quest\q22018031.arc","q22018031.arc","0"
"1","q22018031_00_671","【連続討伐クエスト】
エリアマスターの願いを聞き入れ
一斉進軍してきたオーク軍を撃退する","【Consecutive Conquest Quest】
Listen to the Area Master's request
and defeat the Orc army that has launched 
a simultaneous attack.","ui\00_message\quest_info\q22018031_00.gmd","\quest\q22018031.arc","q22018031.arc","1"
"2","q22018031_00_671","<NAME AREA>のエリアマスターが
付近の不穏な空気を警戒しているようだ","The Area Master of <NAME AREA>
is wary to the unrest in the vicinity.","ui\00_message\quest_info\q22018031_00.gmd","\quest\q22018031.arc","q22018031.arc","2"
"3","q22018031_00_671","オークの奴らが従えている魔物――
あいつら、生き物じゃねえ！
見たんだよ、屍が動き出すところ
あぁ、せめて俺が出撃した時には
奴らと対峙しませんように――！","The monsters the Orcs command――
they aren’t living beings!
I saw it myself, the dead coming back to life.
Ah, I hope I don’t have to face them
when I go out on a mission――!","ui\00_message\quest_info\q22018031_00.gmd","\quest\q22018031.arc","q22018031.arc","3"
"4","q22018031_00_1280","指定された場所を調べる","Investigate the specified location","ui\00_message\quest_info\q22018031_00.gmd","\quest\q22018031.arc","q22018031.arc","4"
"5","q22018031_00_1281","遭遇したオーク軍を撃退する","Defeat the Orc forces you encounter","ui\00_message\quest_info\q22018031_00.gmd","\quest\q22018031.arc","q22018031.arc","5"
"6","q22018031_00_1282","伝達人から火急の知らせを聞く","Listen to urgent news from the messenger","ui\00_message\quest_info\q22018031_00.gmd","\quest\q22018031.arc","q22018031.arc","6"
"8","q22018031_00_1283","各地に進軍してきたオーク軍を撃退する（残り３カ所）","Defeat the Orc forces advancing on each location
(3 locations remaining)","ui\00_message\quest_info\q22018031_00.gmd","\quest\q22018031.arc","q22018031.arc","8"
"9","q22018031_00_1284","各地に進軍してきたオーク軍を撃退する（残り２カ所）","Defeat the Orc forces advancing on each location
(2 locations remaining)","ui\00_message\quest_info\q22018031_00.gmd","\quest\q22018031.arc","q22018031.arc","9"
"10","q22018031_00_1285","各地に進軍してきたオーク軍を撃退する（残り１カ所）","Defeat the Orc forces advancing on each location
(1 location remaining)","ui\00_message\quest_info\q22018031_00.gmd","\quest\q22018031.arc","q22018031.arc","10"
"11","q22018031_00_1286","エリアマスターに経緯を報告する","Report to the Area Master","ui\00_message\quest_info\q22018031_00.gmd","\quest\q22018031.arc","q22018031.arc","11"
"7","q22018031_00_1301","進撃中のオーク軍を追う","Pursue the advancing Orc army","ui\00_message\quest_info\q22018031_00.gmd","\quest\q22018031.arc","q22018031.arc","7"
"0","q22018032_00_672","真白き戦慄","The White Terror","ui\00_message\quest_info\q22018032_00.gmd","\quest\q22018032.arc","q22018032.arc","0"
"1","q22018032_00_672","【死亡チェッククエスト】
依頼者の願いを聞き入れ
一度も復活することなく狂暴な敵を討伐する","【Mortality Check Quest】
Listen to the requester's wish.
Defeat the ferocious enemy
without reviving even once.","ui\00_message\quest_info\q22018032_00.gmd","\quest\q22018032.arc","q22018032.arc","1"
"2","q22018032_00_672","<NAME AREA>にいる何者かが、魔物との勝負で
腕試しをしているようだ","Someone in the <NAME AREA> 
appears to be testing their skills
in a battle against an enemy.","ui\00_message\quest_info\q22018032_00.gmd","\quest\q22018032.arc","q22018032.arc","2"
"3","q22018032_00_672","最近、変な地鳴りが聞こえない？
オークが暴れているのかと思ったけど
こう、大きな生き物が歩いているような――
昔のアッカ―シェランを知っていて
博識な人に、聞いてみようかしら","Recently, have you noticed any odd rumbling?
I thought it might be the Orcs causing the noise,
but it sounds more like a big creature walking――
I wonder if I should consult someone well-versed
in the history of Acre Selund.","ui\00_message\quest_info\q22018032_00.gmd","\quest\q22018032.arc","q22018032.arc","3"
"4","q22018032_00_1174","指定された場所へ行き、狂暴な魔物を見つける","Go to the designated location
and find the rabid demon","ui\00_message\quest_info\q22018032_00.gmd","\quest\q22018032.arc","q22018032.arc","4"
"5","q22018032_00_1175","遭遇した魔物を討伐する","Defeat the encountered demons","ui\00_message\quest_info\q22018032_00.gmd","\quest\q22018032.arc","q22018032.arc","5"
"6","q22018032_00_1176","依頼者へ経緯を報告する","Report back to the requester","ui\00_message\quest_info\q22018032_00.gmd","\quest\q22018032.arc","q22018032.arc","6"
"0","q22018033_00_685","いにしえの邪眼","Ancient Evil Eye","ui\00_message\quest_info\q22018033_00.gmd","\quest\q22018033.arc","q22018033.arc","0"
"1","q22018033_00_685","古の洞窟の奥底に潜む
邪悪な魔物を討伐する","Defeat the evil monster lurking in the depths
of the ancient cave","ui\00_message\quest_info\q22018033_00.gmd","\quest\q22018033.arc","q22018033.arc","1"
"2","q22018033_00_685","<NAME AREA>から緊急報告
至急、魔物らしき脅威を排除されたし、とのこと","Urgent report from <NAME AREA>.
It is imperative to swiftly remove
the presenting threat of monsters.","ui\00_message\quest_info\q22018033_00.gmd","\quest\q22018033.arc","q22018033.arc","2"
"3","q22018033_00_685","おぞましい姿のあの魔物が
姿を消したのも一時のこと――
またしてのかの地に現れたようですね
覚者さま、どうかもう一度この<AREA 19>に
平和をもたらしてくださいませ","That monstrous being, so terrible to behold,
was only gone for a short while――
It has made its appearance in that region again.
Arisen, we beg of thee, kindly restore peace
to <AREA 19> once again.","ui\00_message\quest_info\q22018033_00.gmd","\quest\q22018033.arc","q22018033.arc","3"
"4","q22018033_00_1150","邪悪な魔物を討伐する","Defeat the evil demons","ui\00_message\quest_info\q22018033_00.gmd","\quest\q22018033.arc","q22018033.arc","4"
"0","q22018034_00_686","暗然たる森の悪夢","Nightmare of the Dark Forest","ui\00_message\quest_info\q22018034_00.gmd","\quest\q22018034.arc","q22018034.arc","0"
"1","q22018034_00_686","【敵群討伐クエスト】
依頼者から話を聞き
敵の群れを討伐する","【Enemy Horde Extermination Quest】
Listen to the client's request.
Exterminate the horde of enemies.","ui\00_message\quest_info\q22018034_00.gmd","\quest\q22018034.arc","q22018034.arc","1"
"2","q22018034_00_686","<NAME AREA>からの報告によると
魔物の勢力が一時的に増し、危険な状況にあるという","According to reports from <NAME AREA>, 
enemy forces have temporarily increased, 
and the situation is quite dangerous.","ui\00_message\quest_info\q22018034_00.gmd","\quest\q22018034.arc","q22018034.arc","2"
"3","q22018034_00_686","本音を言うと、どんなに急いでたって
あの森だけは通りたくないね
そりゃあオークも怖いが、やっぱり
生きてる実感のない奴が何より不気味だよ
生きようと必死になってる人間にとっては特にね","Honestly, no matter how urgent it is,
I don’t want to go through that forest.
Orcs are scary, but what’s most unsettling
is the feeling of something that’s not alive.
Especially for someone desperately trying to live.","ui\00_message\quest_info\q22018034_00.gmd","\quest\q22018034.arc","q22018034.arc","3"
"10","q22018034_00_804","依頼者に報告する","Report to the requester","ui\00_message\quest_info\q22018034_00.gmd","\quest\q22018034.arc","q22018034.arc","10"
"4","q22018034_00_1222","指定された場所で魔物の群れを探す(残り３)","Search for a group of monsters
at the designated location (3 remaining)","ui\00_message\quest_info\q22018034_00.gmd","\quest\q22018034.arc","q22018034.arc","4"
"6","q22018034_00_1223","残る魔物の群れを探す(残り２)","Search for the remaining groups of monsters
(2 remaining)","ui\00_message\quest_info\q22018034_00.gmd","\quest\q22018034.arc","q22018034.arc","6"
"8","q22018034_00_1224","残る魔物の群れを探す(残り１)","Find the group of monsters that remain
(1 remaining)","ui\00_message\quest_info\q22018034_00.gmd","\quest\q22018034.arc","q22018034.arc","8"
"5","q22018034_00_1225","遭遇した魔物群を討伐する","Defeat the encountered demon group","ui\00_message\quest_info\q22018034_00.gmd","\quest\q22018034.arc","q22018034.arc","5"
"7","q22018034_00_1225","遭遇した魔物群を討伐する","Defeat the encountered demon group","ui\00_message\quest_info\q22018034_00.gmd","\quest\q22018034.arc","q22018034.arc","7"
"9","q22018034_00_1225","遭遇した魔物群を討伐する","Defeat the encountered demon group","ui\00_message\quest_info\q22018034_00.gmd","\quest\q22018034.arc","q22018034.arc","9"
"0","q22018035_00_687","不撓不屈の証明","Indomitable Proof","ui\00_message\quest_info\q22018035_00.gmd","\quest\q22018035.arc","q22018035.arc","0"
"1","q22018035_00_687","【死亡チェッククエスト】
依頼者の願いを聞き入れ
一度も復活することなく狂暴な敵を討伐する","【Mortality Check Quest】
Listen to the requester's wish.
Defeat the ferocious enemy
without reviving even once.","ui\00_message\quest_info\q22018035_00.gmd","\quest\q22018035.arc","q22018035.arc","1"
"2","q22018035_00_687","<NAME AREA>にいる何者かが、魔物との勝負で
腕試しをしているようだ","Someone in the <NAME AREA> 
appears to be testing their skills
in a battle against an enemy.","ui\00_message\quest_info\q22018035_00.gmd","\quest\q22018035.arc","q22018035.arc","2"
"3","q22018035_00_687","豚の顔をしたオークたちには気をつけろよ
ヤツら、とにかく群れたがる習性があってな
倒すのに手間取っていると
結局は数に圧されて逃げる羽目になる
――経験者の俺が言うんだから間違いねえ","Watch out for Orcs with pig-like faces.
They have a tendency to swarm.
If you take too long to defeat them,
you'll end up overwhelmed by their numbers
and be forced to flee... As someone who has
experienced this, I can tell you this is true.","ui\00_message\quest_info\q22018035_00.gmd","\quest\q22018035.arc","q22018035.arc","3"
"5","q22018035_00_1162","遭遇した魔物を討伐する","Defeat the encountered demons","ui\00_message\quest_info\q22018035_00.gmd","\quest\q22018035.arc","q22018035.arc","5"
"4","q22018035_00_1174","指定された場所へ行き、狂暴な魔物を見つける","Go to the designated location
and find the rabid demon","ui\00_message\quest_info\q22018035_00.gmd","\quest\q22018035.arc","q22018035.arc","4"
"6","q22018035_00_1176","依頼者へ経緯を報告する","Report back to the requester","ui\00_message\quest_info\q22018035_00.gmd","\quest\q22018035.arc","q22018035.arc","6"
"0","q22018036_00_688","やるかたなき宿怨","A Bitter Old Grudge","ui\00_message\quest_info\q22018036_00.gmd","\quest\q22018036.arc","q22018036.arc","0"
"1","q22018036_00_688","【納品討伐クエスト】
依頼者に高価なアイテムを渡し
珍しい敵の居場所を聞き出す","【Delivery Hunt Quest】
Hand over a valuable item to the client
and locate the whereabouts of a rare enemy.","ui\00_message\quest_info\q22018036_00.gmd","\quest\q22018036.arc","q22018036.arc","1"
"2","q22018036_00_688","<NAME AREA>にいる何者かが
エリア内で取得できる珍しいアイテムを求めている","Someone in the <NAME AREA> is searching
for rare items that can be found within the area.","ui\00_message\quest_info\q22018036_00.gmd","\quest\q22018036.arc","q22018036.arc","2"
"3","q22018036_00_688","この前、行商の帰り道で偶然オークどもが
何やら抱えて走り去っていくのを見たんだ
ありゃあ、人間から奪ったものに違いないよ
ちょっと後を追ってみようとしたんだが――
やつらに見つかってあえなく退散、というわけさ","The other day, on my way back from a trading run,
I happened to see the Orcs fleeing with something.
It was clearly taken from humans.
I attempted to follow them, but――
I was discovered and had to make a quick getaway.","ui\00_message\quest_info\q22018036_00.gmd","\quest\q22018036.arc","q22018036.arc","3"
"4","q22018036_00_1124","＜<SQDI NAME>＞を＜<SQDI NUM>＞個、依頼者に渡す（残り:<SQDI DNUM>）","Deliver <SQDI NUM> <SQDI NAME> to the requester (need: <SQDI DNUM>)","ui\00_message\quest_info\q22018036_00.gmd","\quest\q22018036.arc","q22018036.arc","4"
"5","q22018036_00_1167","指定された場所へ魔物を探しに行く","Go to the designated location to search for enemy","ui\00_message\quest_info\q22018036_00.gmd","\quest\q22018036.arc","q22018036.arc","5"
"6","q22018036_00_1168","発見した魔物を討伐する","Defeat the found demons","ui\00_message\quest_info\q22018036_00.gmd","\quest\q22018036.arc","q22018036.arc","6"
"7","q22018036_00_1169","依頼者に報告する","Report to the requester","ui\00_message\quest_info\q22018036_00.gmd","\quest\q22018036.arc","q22018036.arc","7"
"0","q22018037_00_689","練磨の魁","Eager to Train","ui\00_message\quest_info\q22018037_00.gmd","\quest\q22018037.arc","q22018037.arc","0"
"1","q22018037_00_689","【死亡チェッククエスト】
依頼者の願いを聞き入れ
一度も復活することなく狂暴な敵を討伐する","【Mortality Check Quest】
Listen to the requester's wish.
Defeat the ferocious enemy
without reviving even once.","ui\00_message\quest_info\q22018037_00.gmd","\quest\q22018037.arc","q22018037.arc","1"
"2","q22018037_00_689","<NAME AREA>にいる何者かが、魔物との勝負で
腕試しをしているようだ","Someone in the <NAME AREA> 
appears to be testing their skills
in a battle against an enemy.","ui\00_message\quest_info\q22018037_00.gmd","\quest\q22018037.arc","q22018037.arc","2"
"3","q22018037_00_689","我ら一兵卒にとって、訓練は欠かせないもの
それなのに訓練中、少し手強そうな魔物の姿を
チラと見ただけで思わず逃げ帰ってしまう始末
アッカーシェランの今後は、我らの手に
かかっているというのに――情けないばかりです","For us foot soldiers, training is essential.
Yet, even seeing a slightly tough monster
during training makes us flee in fear.
The future of Acre Selund depends on us,
and it’s truly pathetic.","ui\00_message\quest_info\q22018037_00.gmd","\quest\q22018037.arc","q22018037.arc","3"
"5","q22018037_00_1162","遭遇した魔物を討伐する","Defeat the encountered demons","ui\00_message\quest_info\q22018037_00.gmd","\quest\q22018037.arc","q22018037.arc","5"
"4","q22018037_00_1174","指定された場所へ行き、狂暴な魔物を見つける","Go to the designated location
and find the rabid demon","ui\00_message\quest_info\q22018037_00.gmd","\quest\q22018037.arc","q22018037.arc","4"
"6","q22018037_00_1176","依頼者へ経緯を報告する","Report back to the requester","ui\00_message\quest_info\q22018037_00.gmd","\quest\q22018037.arc","q22018037.arc","6"
"0","q22018038_00_690","闇より溢れ出る異変","Something Spilling from the Darkness","ui\00_message\quest_info\q22018038_00.gmd","\quest\q22018038.arc","q22018038.arc","0"
"1","q22018038_00_690","【敵群討伐クエスト】
依頼者から話を聞き
敵の群れを討伐する","【Enemy Horde Extermination Quest】
Listen to the client's request.
Exterminate the horde of enemies.","ui\00_message\quest_info\q22018038_00.gmd","\quest\q22018038.arc","q22018038.arc","1"
"2","q22018038_00_690","<NAME AREA>からの報告によると
魔物の勢力が一時的に増し、危険な状況にあるという","According to reports from <NAME AREA>, 
enemy forces have temporarily increased, 
and the situation is quite dangerous.","ui\00_message\quest_info\q22018038_00.gmd","\quest\q22018038.arc","q22018038.arc","2"
"3","q22018038_00_690","リザードマンと言えば、水辺に棲む魔物――
そんな常識は戦甲種には通じねえ
ヤツらはオークどもに従って、どこにでも現れる
だが、普段見かけることがない場所でヤツらを
見かけたのなら――それは異変というやつだ","When it comes to Lizardmen,
they're known to live near water――
But such common knowledge doesn’t apply
to the armored types.
They follow the Orcs and appear anywhere.
If you spot them in an unusual location,
it’s a sign of something amiss.","ui\00_message\quest_info\q22018038_00.gmd","\quest\q22018038.arc","q22018038.arc","3"
"10","q22018038_00_804","依頼者に報告する","Report to the requester","ui\00_message\quest_info\q22018038_00.gmd","\quest\q22018038.arc","q22018038.arc","10"
"4","q22018038_00_1222","指定された場所で魔物の群れを探す(残り３)","Search for a group of monsters
at the designated location (3 remaining)","ui\00_message\quest_info\q22018038_00.gmd","\quest\q22018038.arc","q22018038.arc","4"
"6","q22018038_00_1223","残る魔物の群れを探す(残り２)","Search for the remaining groups of monsters
(2 remaining)","ui\00_message\quest_info\q22018038_00.gmd","\quest\q22018038.arc","q22018038.arc","6"
"8","q22018038_00_1224","残る魔物の群れを探す(残り１)","Find the group of monsters that remain
(1 remaining)","ui\00_message\quest_info\q22018038_00.gmd","\quest\q22018038.arc","q22018038.arc","8"
"5","q22018038_00_1225","遭遇した魔物群を討伐する","Defeat the encountered demon group","ui\00_message\quest_info\q22018038_00.gmd","\quest\q22018038.arc","q22018038.arc","5"
"7","q22018038_00_1225","遭遇した魔物群を討伐する","Defeat the encountered demon group","ui\00_message\quest_info\q22018038_00.gmd","\quest\q22018038.arc","q22018038.arc","7"
"9","q22018038_00_1225","遭遇した魔物群を討伐する","Defeat the encountered demon group","ui\00_message\quest_info\q22018038_00.gmd","\quest\q22018038.arc","q22018038.arc","9"
"0","q22018039_00_691","飛んで火に入る闖入者","An Intruder in Too Deep","ui\00_message\quest_info\q22018039_00.gmd","\quest\q22018039.arc","q22018039.arc","0"
"1","q22018039_00_691","【迅速救助クエスト】
依頼者が求める人物を捜索し
迅速に救助する","【Swift Rescue Quest】
Search for the person the client is seeking
and rescue them.","ui\00_message\quest_info\q22018039_00.gmd","\quest\q22018039.arc","q22018039.arc","1"
"2","q22018039_00_691","何者かからの、迅速な救援を求める声が
<NAME AREA>から届いているようだ","It seems that a voice requesting swift assistance 
has come from <NAME AREA>.","ui\00_message\quest_info\q22018039_00.gmd","\quest\q22018039.arc","q22018039.arc","2"
"3","q22018039_00_691","こんなご時世だ、何をするのも自由さ
どこへ行こうがどう生きようが、すべて自由
それでも、望んで危地に飛び込もうとする奴は
ただのバカか、あるいは――
よほど強い信念を持っている奴に違いないね","In these times, 
you’re free to do whatever you like.
It’s all up to you where you go and how you live.
Still, those who willingly throw themselves
into danger must either be fools or――
driven by an exceptionally strong conviction.","ui\00_message\quest_info\q22018039_00.gmd","\quest\q22018039.arc","q22018039.arc","3"
"7","q22018039_00_1169","依頼者に報告する","Report to the requester","ui\00_message\quest_info\q22018039_00.gmd","\quest\q22018039.arc","q22018039.arc","7"
"4","q22018039_00_1226","依頼者の求める人物を捜索する","Search for the person the client is seeking.","ui\00_message\quest_info\q22018039_00.gmd","\quest\q22018039.arc","q22018039.arc","4"
"5","q22018039_00_1227","魔物を迅速に討伐し捜索対象を救助する","Defeat the demon quickly and rescue your charge","ui\00_message\quest_info\q22018039_00.gmd","\quest\q22018039.arc","q22018039.arc","5"
"6","q22018039_00_1228","捜索対象の安否を確認する","Confirm the safety of your charge","ui\00_message\quest_info\q22018039_00.gmd","\quest\q22018039.arc","q22018039.arc","6"
"0","q22018040_00_692","最後の嘘","The Last Lie","ui\00_message\quest_info\q22018040_00.gmd","\quest\q22018040.arc","q22018040.arc","0"
"1","q22018040_00_692","【納品クエスト】
依頼者の願いを聞き入れ
指定された物資を集めてくる","【Delivery Quest】
Listen to the requester's wishes
and gather the specified supplies.","ui\00_message\quest_info\q22018040_00.gmd","\quest\q22018040.arc","q22018040.arc","1"
"2","q22018040_00_692","物資を必要としている人物が
<NAME AREA>から協力を求めている","A person in need of supplies is seeking assistance
in <NAME AREA>.","ui\00_message\quest_info\q22018040_00.gmd","\quest\q22018040.arc","q22018040.arc","2"
