0,TUTORIAL_STEP_686,"カスタムメイド工房での<COL ffdc78>《武具のリミット解除》</COL>は
下記の２つを揃えることで
何度でも行うことができます

　①★４まで強化された武器や防具
　②素材やリムなどの必要な費用

また、付与される性能は
<COL ffdc78>リミット解除を試すたびに上書きされる</COL>ため
成功時に付与される性能例を
確認しながら行いましょう","In the <COL ffdc78> ""Limit Breaking Arms"" </COL> at the Custom-Made Workshop, you can perform it as many times as you want by obtaining the following two things:

① Weapons and armor enhanced up to ★4
② Required costs such as materials and Rift Crystals

Also, the <COL ffdc78>granted abilities are overwritten every time you attempt the Limit Break</COL>, so let's proceed while confirming examples of granted abilities upon success.",ui\00_message\tutorial_guide\steps\tutorial_guide_step384.gmd,\tguide\tutorial_guide_384.arc,tutorial_guide_384.arc,0
0,TUTORIAL_STEP_796,仮１,Temporary 1,ui\00_message\tutorial_guide\steps\tutorial_guide_step421.gmd,\tguide\tutorial_guide_421.arc,tutorial_guide_421.arc,0
0,TUTORIAL_STEP_801,"ボルトアイなどが使用する特殊な攻撃
の一つとして、接触すると対象に付着し
一定時間後にダメージを受けるなどの
デメリットを受ける攻撃があります

<COL ffdc78>このようなデメリットを受けてしまった場合
味方から攻撃を受けることで救済してもらえます</COL>","One of the special attacks used by characters like Volt Eye is an attack that attaches to the target upon contact and causes damage after a certain amount of time, resulting in disadvantages for the target. 

<COL ffdc78>If you receive such a disadvantage, you can be relieved by receiving an attack from an ally.</COL>",ui\00_message\tutorial_guide\steps\tutorial_guide_step422.gmd,\tguide\tutorial_guide_422.arc,tutorial_guide_422.arc,0
1,TUTORIAL_STEP_802,"<COL ffdc78>救済が可能な仲間の頭上には
特殊なアイコンが表示されます</COL>

被害を最小限に抑えるために
救済行動を行いやすい立ち回りを意識しましょう","<COL ffdc78>A special icon will be displayed on the heads of teammates who can be assisted.</COL>

To minimize damage, let us be conscious of maneuvering that allows for easy assistance.",ui\00_message\tutorial_guide\steps\tutorial_guide_step422.gmd,\tguide\tutorial_guide_422.arc,tutorial_guide_422.arc,1
0,TUTORIAL_STEP_804,仮１,Temporary 1,ui\00_message\tutorial_guide\steps\tutorial_guide_step423.gmd,\tguide\tutorial_guide_423.arc,tutorial_guide_423.arc,0
0,TUTORIAL_STEP_805,仮１,Temporary 1,ui\00_message\tutorial_guide\steps\tutorial_guide_step424.gmd,\tguide\tutorial_guide_424.arc,tutorial_guide_424.arc,0
0,TUTORIAL_STEP_806,"<COL 78f5ff>黒呪の迷宮に新たな入り口＜深淵＞が追加されました</COL>

<COL ffdc78>船着場から西へ進むと
案内人リュシアンが深淵への入り口の前で待っています</COL>

深淵は全4階層からなる、難易度の高いルートです
クリアを目指して頑張りましょう！","<COL 78f5ff>A new entrance <The Abyss> has been added to the Black Curse Labyrinth</COL>

<COL ffdc78>Go west from the landing. The guide Lucien is waiting for you in front of the entrance to the Abyss</COL>

The Abyss is a highly challenging route consisting of 4 levels in total.
Do your best to clear it!",ui\00_message\tutorial_guide\steps\tutorial_guide_step425.gmd,\tguide\tutorial_guide_425.arc,tutorial_guide_425.arc,0
1,TUTORIAL_STEP_807,"深淵では、
新しい効果の付与される黒呪装具や、
その黒呪装具を交換できる
<COL 78f5ff>《最果てのディードボックス》</COL>を入手できます

最果てのディードボックスは
黒呪の迷宮 案内人に渡すことで
黒呪装具との交換が可能です
","In the Abyss, you can obtain the <COL 78f5ff>Bitterblack Chest of the Farthest End</COL>, a new item that grants special effects, and exchange it with Bitterblack Maze Guide.

The Bitterblack Chest of the Farthest End can be exchanged with Bitterblack Maze Guide for Bitterblack equipment.
",ui\00_message\tutorial_guide\steps\tutorial_guide_step425.gmd,\tguide\tutorial_guide_425.arc,tutorial_guide_425.arc,1
0,TUTORIAL_STEP_808,"過去に挑んだことがあるダンジョンに
滅びの渦が現れ、様々な<COL ffdc78>""異変""</COL>が発生しています

ダンジョン内の""異変""を調査し、
元凶となる<COL 78f5ff>《暗黒の大竜晶》</COL>を
見つけ出して破壊することが目的のコンテンツです","In a dungeon you have previously explored, a vortex of stagnation has appeared, causing various <COL ffdc78>Mutations</COL>.

The objective of this content is to investigate the Mutations within the dungeon and find and destroy the source, the <COL 78f5ff>""Great Dragon Crystal of Darkness"".</COL>",ui\00_message\tutorial_guide\steps\tutorial_guide_step426.gmd,\tguide\tutorial_guide_426.arc,tutorial_guide_426.arc,0
1,TUTORIAL_STEP_809,"＜報酬について＞

多くの異変を調査・解決することで
強力なドラゴンアビリティが付与された
防具を入手できます

ドラゴンアビリティは、闇の眷属である
強大な敵への重要な対抗策です","<Regarding Rewards>

By investigating and resolving various Mutations, you can obtain armor that grants powerful Dragon Abilities.

Dragon Abilities are crucial countermeasures against powerful enemies known as Dark Servants.",ui\00_message\tutorial_guide\steps\tutorial_guide_step426.gmd,\tguide\tutorial_guide_426.arc,tutorial_guide_426.arc,1
2,TUTORIAL_STEP_856,"暗黒の大竜晶破壊戦については
チュートリアルガイドのカテゴリ
<COL ffdc78>＜暗黒の大竜晶破壊戦＞</COL>にまとまっています

プレイしていて分からないことや
気になることがあった時は
まずチュートリアルガイドを確認してみましょう","Regarding the Battle for the Destruction of the Great Dragon Crystal of Darkness,
it is gathered in the category of the Tutorial Guide: <COL ffdc78>Battle for the Destruction of the Great Dragon Crystal of Darkness</COL>.

If there is something you don't understand while playing or if you have any concerns, first, check the Tutorial Guide.",ui\00_message\tutorial_guide\steps\tutorial_guide_step426.gmd,\tguide\tutorial_guide_426.arc,tutorial_guide_426.arc,2
0,TUTORIAL_STEP_810,"暗黒の大竜晶破壊戦では様々な<COL 78f5ff>《異変》</COL>が発生します
その異変を調査・解決することがミッションとなります

ミッションには大きく分けて5種類あります

　<COL ffdc78>・異変を起こしている敵を討伐するミッション
　・闇に呑まれ変異した敵を討伐するミッション
　・《暗黒の竜晶》を破壊するミッション
　・《祝福の結晶》を防衛するミッション
　・《祝福の結晶》を修復するミッション
　　（※パーティープレイ時専用）</COL>","In the Battle for the Destruction of the Great Dragon Crystal of Darkness, various <COL 78f5ff>mutations</COL> occur. 
Investigating and resolving these mutations becomes the mission.

There are five main types of missions:

<COL ffdc78>- Mission to defeat the enemies causing the mutations
- Mission to defeat the enemies that have been consumed by darkness
- Mission to destroy the ""Dragon Crystal of Darkness""
- Mission to defend the ""Crystal of Blessing""
- Mission to mend the ""Crystal of Blessing""
 (*Exclusive to party play)</COL>",ui\00_message\tutorial_guide\steps\tutorial_guide_step427.gmd,\tguide\tutorial_guide_427.arc,tutorial_guide_427.arc,0
1,TUTORIAL_STEP_811,"＜異変を起こしている敵を討伐するミッション＞
複数の敵がランダムで出現します
すべての敵を討伐することでミッションクリアです


＜闇に呑まれ変異した敵を討伐するミッション＞
闇の力に呑まれ<COL ffdc78>強力になった敵</COL>が出現します
難易度の高いミッションですが、達成すると
<COL ffdc78>特別な報酬を追加で入手</COL>できます","<Mission to defeat the enemies causing the disturbances>
Multiple enemies will appear randomly.
Mission will be cleared by defeating all enemies.

<Mission to defeat the enemies mutated by darkness>
Enemies <COL ffdc78>strengthened by the power of darkness</COL> will appear.
This is a high difficulty mission, but if you achieve it, you can obtain <COL ffdc78>additional special rewards</COL>.",ui\00_message\tutorial_guide\steps\tutorial_guide_step427.gmd,\tguide\tutorial_guide_427.arc,tutorial_guide_427.arc,1
2,TUTORIAL_STEP_812,"＜暗黒の竜晶を破壊するミッション＞
ステージ上に、<COL 78f5ff>《暗黒の竜晶》</COL>が出現します
周囲には竜晶の破壊を阻む敵が現れますが
仲間と協力し、ミッションクリアを目指しましょう

＜祝福の結晶を防衛するミッション＞
ステージ上に、<COL 78f5ff>《祝福の結晶》</COL>が出現します
周囲には結晶を破壊しようとする敵が現れるので
敵を迅速に討伐し、結晶を防衛しましょう","<Mission to Destroy the Dragon Crystal of Darkness>
On the stage, the <COL 78f5ff>Dragon Crystal of Darkness</COL> will appear.
Enemies that try to prevent the destruction of the crystal will appear in the vicinity, but let's work together with our comrades and aim to clear the mission.

<Mission to Defend the Crystal of Blessing>
On the stage, the <COL 78f5ff>Crystal of Blessing</COL> will appear.
Enemies that try to destroy the crystal will appear in the vicinity, so let's quickly defeat the enemies and defend the crystal.",ui\00_message\tutorial_guide\steps\tutorial_guide_step427.gmd,\tguide\tutorial_guide_427.arc,tutorial_guide_427.arc,2
3,TUTORIAL_STEP_862,"＜祝福の結晶を修復するミッション＞
ステージ上に
壊れてしまった<COL 78f5ff>《祝福の結晶》</COL>が出現します

<COL ffdc78>周囲に散らばっている《祝福の欠片》を掴み
壊れている祝福の結晶に向かって投げることで
結晶が修復されていきます</COL>

祝福の結晶が本来の姿を取り戻せば
ミッションクリアです","<Mission to Repair the Crystal of Blessing>
On the stage, a <COL 78f5ff>Crystal of Blessing</COL> that has been broken will appear.

<COL ffdc78>Grab the Blessing Fragments scattered around you, and throw them towards the broken Crystal of Blessing.
By doing so, the crystal will gradually be repaired.</COL>

Once the Crystal of Blessing has returned to its original form, the mission will be cleared.",ui\00_message\tutorial_guide\steps\tutorial_guide_step427.gmd,\tguide\tutorial_guide_427.arc,tutorial_guide_427.arc,3
4,TUTORIAL_STEP_813,"一定数以上のミッションを攻略することで
最終目的となる<COL 78f5ff>《暗黒の大竜晶》</COL>が
出現します

暗黒の大竜晶は敵を召喚するだけでなく
それ自体も強力な魔法を使用します

破壊には困難を伴うかもしれませんが
暗黒の大竜晶を破壊すると
<COL ffdc78>ダンジョンからの脱出ゲートが出現し
報酬を受け取ることが可能です</COL>","By clearing a certain number of missions, the ultimate objective, the <COL 78f5ff>Great Dragon Crystal of Darkness</COL>, will appear.

The Great Dragon Crystal of Darkness not only summons enemies but also possesses powerful magic of its own.

Destroying it may come with difficulties, but upon destroying the Great Dragon Crystal of Darkness, <COL ffdc78>an escape gate will appear in the dungeon, allowing you to receive rewards.</COL>",ui\00_message\tutorial_guide\steps\tutorial_guide_step427.gmd,\tguide\tutorial_guide_427.arc,tutorial_guide_427.arc,4
0,TUTORIAL_STEP_870,"ミッションをクリアすることで、チェインが増加します
チェインは<COL 78f5ff>ミッションクリアごとに+1ずつ加算</COL>され
<COL 78f5ff>最大15チェインまで</COL>増加しますが、<COL ffdc78>覚者の死亡</COL>や
<COL ffdc78>ミッション失敗</COL>で減少します

また、一定チェインごとに報酬の宝箱が追加されます
<COL 78f5ff>宝箱の追加は5/10/15チェイン達成</COL>の時に発生し
高いチェイン達成時に追加される宝箱ほど
良い報酬が入っている確率が上がります","By clearing the mission, your chain will increase.
The chain will increase by +1 for <COL 78f5ff>each mission cleared</COL>, up to a <COL 78f5ff>maximum of 15 chains</COL>. However, it will decrease in the event of the <COL ffdc78>Arisen's death</COL> or <COL ffdc78>mission failure.</COL>

Additionally, additional reward boxes will be added at certain chain intervals.
The addition of reward boxes occurs when achieving <COL 78f5ff>5/10/15 chains</COL>, and the higher the chain achieved, the higher the probability of containing better rewards.",ui\00_message\tutorial_guide\steps\tutorial_guide_step428.gmd,\tguide\tutorial_guide_428.arc,tutorial_guide_428.arc,0
1,TUTORIAL_STEP_871,"クリア時に得られる報酬は以下の通りです

<COL 78f5ff>《チェイン報酬》</COL>
5/10/15チェインで宝箱が1つずつ追加
<COL ffdc78>※一度追加された宝箱は
　チェイン数が減少しても消えることはありません</COL>

<COL 78f5ff>《特別報酬》</COL>
変異した敵を討伐するミッションをクリアで追加
<COL ffdc78>※報酬部屋に採取ポイントが追加されます
※クリア回数が多いほど報酬の中身も増えます</COL>","The rewards obtained upon clearing are as follows:

<COL 78f5ff>《Chain Rewards》</COL>
An additional treasure chest for every 5/10/15 chains.
<COL ffdc78>(*Once a treasure chest is added, it will not disappear even if the chain count decreases.)</COL>

<COL 78f5ff>《Special Rewards》</COL>
Clearing missions to defeat mutated enemies will add rewards to the reward room.
<COL ffdc78>(*Collection points will be added as rewards.
*The more times you clear, the more rewards you will receive.)</COL>",ui\00_message\tutorial_guide\steps\tutorial_guide_step428.gmd,\tguide\tutorial_guide_428.arc,tutorial_guide_428.arc,1
2,TUTORIAL_STEP_872,"<COL 78f5ff>《デイリー報酬》</COL>
1日に1回だけアイテムを取得できる、
特別な宝箱が報酬部屋に出現します

<COL 78f5ff>《コンテンツクリア報酬》</COL>
拠点の保管ボックスから“報酬受け取り"" にて
受け取ることができます","<COL 78f5ff>""Daily Rewards""</COL>
Special treasure chests appear in the reward room where you can obtain items once a day.

<COL 78f5ff>""Clear Rewards""</COL>
You can receive rewards from the storage box at the Hall by selecting ""Receive Reward"".",ui\00_message\tutorial_guide\steps\tutorial_guide_step428.gmd,\tguide\tutorial_guide_428.arc,tutorial_guide_428.arc,2
3,TUTORIAL_STEP_873,"ダンジョン内ではクリア報酬以外にも
貴重な素材や、探索に役立つアイテムが入手できる
<COL 78f5ff>《封印された宝箱》</COL>が登場します

<COL 78f5ff>《封印された宝箱≫</COL>は6チェイン、11チェイン達成時に
解放される特別な場所で入手することができます","In the dungeon, in addition to clearing rewards, you can obtain valuable materials and items that are useful for exploration;
<COL 78f5ff>Sealed Treasure Chests</COL> will appear.

<COL 78f5ff>Sealed Treasure Chests</COL> can be obtained in special locations that are unlocked when you achieve a 6-chain or 11-chain.",ui\00_message\tutorial_guide\steps\tutorial_guide_step428.gmd,\tguide\tutorial_guide_428.arc,tutorial_guide_428.arc,3
4,TUTORIAL_STEP_875,"封印された宝箱に触れると、周囲に
<COL ffdc78>《不思議な力》</COL>もしくは<COL ffdc78>《封印の欠片》</COL>が散らばります

<COL ffdc78>不思議な力を全て集めるか、
封印の欠片を全て見つけだし破壊する</COL>ことで
宝箱の封印を解くことができます","When you touch a sealed treasure chest, 
<COL ffdc78>a Mysterious Force</COL> or <COL ffdc78>a Piece of the Seal</COL> scatters around you.

By gathering all the <COL ffdc78>Mysterious Force, or by finding and destroying all the pieces of the seal</COL>, you can unlock the seal of the treasure chest.",ui\00_message\tutorial_guide\steps\tutorial_guide_step428.gmd,\tguide\tutorial_guide_428.arc,tutorial_guide_428.arc,4
0,TUTORIAL_STEP_817,"WMで使うらしいよ
4人同時にテレポートするよ
簡単に言うと集合マーカーだよ","I heard it's used in Warcraft.
You can teleport four people at the same time.
To put it simply, it's a gathering marker.",ui\00_message\tutorial_guide\steps\tutorial_guide_step429.gmd,\tguide\tutorial_guide_429.arc,tutorial_guide_429.arc,0
0,TUTORIAL_STEP_16,"各クエストには、そのクエストがクリア可能かどうかの
指標となる<COL ffdc78>《推奨レベル》</COL>が設定されています

エリア難度、登場する敵レベルの目安となるため、
自分のレベルに見合ったクエストに挑みましょう

<COL ffdc78>また、ジョブレベルだけではなく装備品もレベルに
見合っていることが前提です</COL>","All quests have a <COL ffdc78>""Recommended Level"".</COL>
This will tell you the level of enemies that appear in the quest area.

<COL ffdc78>Note that the recommended level not only
means your vocation level but also your equipment level.</COL>

Be sure to challenge quests that match your level.",ui\00_message\tutorial_guide\steps\tutorial_guide_step43.gmd,\tguide\tutorial_guide_43.arc,tutorial_guide_43.arc,0
1,TUTORIAL_STEP_189,"なおワールドクエストやメインクエストにおいては
仲間やポーンも含め、パーティー４人全員が
《推奨レベル》に適正である事も重要です

装備品がレベルに見合わない場合もクリア難度は
上がるため、挑む前には準備も整えましょう","In ""World Quests"" and ""Main Quests"",
all party memebers, be them friends or pawns,
should also clear the ""Recommended Level"".

If your equipment does not match your level, the quest
difficulty goes up. Be sure to be prepared!",ui\00_message\tutorial_guide\steps\tutorial_guide_step43.gmd,\tguide\tutorial_guide_43.arc,tutorial_guide_43.arc,1
0,TUTORIAL_STEP_820,"<COL 78f5ff>《ハイオーブショップ》が追加されました！</COL>

ハイオーブと引き換えに、強力なクレストや
ユニークな見た目の装備品を作るための
クラフト用素材などが得られます","<COL 78f5ff>《High Orb Shop》 has been added!</COL>

By exchanging High Orbs, you can obtain crafting materials for creating powerful crests and unique-looking equipment.",ui\00_message\tutorial_guide\steps\tutorial_guide_step430.gmd,\tguide\tutorial_guide_430.arc,tutorial_guide_430.arc,0
1,TUTORIAL_STEP_865,"ハイオーブショップで交換できる
<COL 78f5ff>《<ITEM 24821>》</COL>を利用するクラフトレシピは
様々なアチーブメントを取得することで解放されます

<COL ffdc78>黒呪の迷宮、ウォーミッション、大竜晶破壊戦など
コンテンツを複数回クリアすることで
アチーブメントは取得できます</COL>

まだ見ぬ装備を目指して、様々なコンテンツを攻略しましょう","You can exchange <COL 78f5ff>《<ITEM 24821>》</COL> at the High Orb Shop. Crafting recipes using it will be unlocked by obtaining various achievements.

<COL ffdc78>You can obtain achievements by clearing various contents such as Bitterblack Maze, War Missions, and Great Dragon Crystal Destruction Battle multiple times.</COL>

Let's conquer various contents to aim for equipment that has yet to be seen.",ui\00_message\tutorial_guide\steps\tutorial_guide_step430.gmd,\tguide\tutorial_guide_430.arc,tutorial_guide_430.arc,1
0,TUTORIAL_STEP_821,"暗黒の大竜晶破壊戦などでは
竜の力を帯びた強力な防具<COL ffdc78>《竜防具》</COL>を
入手することができます

竜防具を装備すると闇の眷属との戦闘での
対抗手段となる<COL ffdc78>《ドラゴンアビリティ》</COL>の
発動が可能となります

※メインクエストでは竜防具の力が付与されるため
　ドラゴンアビリティが自動的に発動します","In battles like the Battle for the Destruction of the Great Dragon Crystal of Darkness, you can obtain powerful armor imbued with the power of dragons, called <COL ffdc78>Dragon Armor. </COL>

Equipping Dragon Armor enables the activation of <COL ffdc78>Dragon Abilities</COL>, which serve as a means of countering the dark servants in combat.

※ In the main quests, the power of Dragon Armor is bestowed, and Dragon Abilities are automatically activated.",ui\00_message\tutorial_guide\steps\tutorial_guide_step431.gmd,\tguide\tutorial_guide_431.arc,tutorial_guide_431.arc,0
1,TUTORIAL_STEP_822,"ドラゴンアビリティは竜防具に付与されている
理力／精霊竜／火竜／白竜／対黒竜の
<COL ffdc78>各ポイントが一定値を満たすと発動します</COL>
発動に必要なポイントは大きく分けて
２つの計算方法に分類されます

＜理力＞
装備者１人のポイントによって計算

＜精霊竜／火竜／白竜／対黒竜＞
パーティーメンバーのポイント合計によって計算","Dragon abilities are bestowed upon dragon armor.
Force/Spirit Dragon/Fire Dragon/White Dragon/Anti-Black Dragon

<COL ffdc78>The ability is triggered when each point meets a certain value</COL>.
The required points for activation are classified into two calculation methods.

<Force>
Calculated based on the points of the wearer.

<Spirit Dragon/Fire Dragon/White Dragon/Anti-Black Dragon>
Calculated based on the total points of party members.",ui\00_message\tutorial_guide\steps\tutorial_guide_step431.gmd,\tguide\tutorial_guide_431.arc,tutorial_guide_431.arc,1
2,TUTORIAL_STEP_823,"《理力》によって発動可能なドラゴンアビリティ

＜竜の加護＞
戦闘中、物理攻撃力／魔法攻撃力
物理防御力／魔法防御力が増加する
LV UP毎にステータスアップ効果がより上昇

＜竜の祝福＞
ボス撃破時に獲得できる宝箱報酬が増加する
LV UP毎に報酬がより増加","Dragon Abilities Activated by ""Force""

<Dragon Protection>
Increases physical attack/magic attack.
Increases physical defense/magic defense during combat.
Status enhancement effects increase with each level up.

<Dragon Blessing>
Increases the rewards obtained from boss battles.
Rewards increase further with each level up.",ui\00_message\tutorial_guide\steps\tutorial_guide_step431.gmd,\tguide\tutorial_guide_431.arc,tutorial_guide_431.arc,2
3,TUTORIAL_STEP_861,"精霊竜／火竜／白竜／対黒竜によって
発動可能なドラゴンアビリティは、
<COL ffdc78>特定の闇の眷属との戦いでのみ発動します</COL>

理力によって発動可能なドラゴンアビリティは
<COL ffdc78>全ての闇の眷属との戦いで効果が発動します</COL>


※黄金竜の竜防具は理力の加算と合成にのみ有効です","Dragon abilities that can be activated by the Spirit Dragon/Fire Dragon/White Dragon/Anti-Black Dragon <COL ffdc78>are only activated during battles with specific Dark Servants</COL>.

Dragon abilities that can be activated by force, <COL ffdc78>have their effects activated in battles with all Dark Servants</COL>.

※ The Dragon Armor of the Golden Dragon is only effective for force addition and synthesis.",ui\00_message\tutorial_guide\steps\tutorial_guide_step431.gmd,\tguide\tutorial_guide_431.arc,tutorial_guide_431.arc,3
0,TUTORIAL_STEP_826,"<COL ffdc78>《ドラゴンアビリティ：精霊竜》</COL>は
闇の眷属“アバドーン""に対して力を発揮します

竜防具に付与された《精霊竜》のポイントの
パーティーメンバーの合計が一定値を満たすことが
発動の条件となります","<COL ffdc78>Dragon Abilities: Spirit Dragon</COL> will wield its power against the Dark Servant ""Abaddon.""

The condition for activation is that the total points of Spirit Dragons attached to Dragon Armor must meet a certain value when combined with the Party Members.",ui\00_message\tutorial_guide\steps\tutorial_guide_step432.gmd,\tguide\tutorial_guide_432.arc,tutorial_guide_432.arc,0
1,TUTORIAL_STEP_825,"＜ビーストスレイヤー＞

アバドーンの弱点部位に一定量のダメージを与えると
敵に大ダメージを与える追撃が発生します

LV UP毎に追撃のダメージがより増加","<Beast Slayer>

When you deal a certain amount of damage to Abaddon's weak spot, it triggers a follow-up attack that deals massive damage to the enemy.

The damage of the follow-up attack increases with each level up.",ui\00_message\tutorial_guide\steps\tutorial_guide_step432.gmd,\tguide\tutorial_guide_432.arc,tutorial_guide_432.arc,1
2,TUTORIAL_STEP_824,"＜精霊竜の反撃＞

敵が攻撃を放ったタイミングで
攻撃してきた部位や周囲の弱点部位を攻撃すると
<COL 78f5ff>《精霊竜の反撃アイコン》</COL>が増加し
アイコンが満了になると破壊可能部位への
ダメージが大幅に増加します

LV UP毎にダメージがより増加","Counterattack of the Spirit Dragon
 
When the enemy attacks, if you attack the part that was attacked or the weak point area around it, the <COL 78f5ff>Spirit Dragon Counterattack Icon</COL> will increase. When the icon is fully charged, the damage to destructible parts will significantly increase.
 
Damage increases with each LV UP.",ui\00_message\tutorial_guide\steps\tutorial_guide_step432.gmd,\tguide\tutorial_guide_432.arc,tutorial_guide_432.arc,2
3,TUTORIAL_STEP_866,"＜精霊竜の抱擁＞

大ダメージを受けるアバドーンの攻撃
<COL 78f5ff>《キラーアルベ》</COL>のダメージを軽減する
残り体力が少ない場合は発動しません

LV UP毎にダメージをさらに軽減","<Embrace of the Spirit Dragon>

Reduce the damage from Abaddon's attack.
The damage from <COL 78f5ff>Killer Albe</COL> is reduced.
It does not activate when the remaining health is low.

Further reduce damage with each LV UP.",ui\00_message\tutorial_guide\steps\tutorial_guide_step432.gmd,\tguide\tutorial_guide_432.arc,tutorial_guide_432.arc,3
0,TUTORIAL_STEP_829,"<COL ffdc78>《ドラゴンアビリティ：火竜》</COL>は
闇の眷属“バフォメット""に対して力を発揮します

竜防具に付与された《火竜》のポイントの
パーティーメンバーの合計が一定値を満たすことが
発動の条件となります","<COL ffdc78>Dragon Abilities: Fire Dragon</COL> will unleash its power against the Dark Servant ""Baphomet.""

The condition for activation is that the total points of Fire Dragons attached to Dragon Armor, combined with the Party Members, must meet a certain value.",ui\00_message\tutorial_guide\steps\tutorial_guide_step433.gmd,\tguide\tutorial_guide_433.arc,tutorial_guide_433.arc,0
1,TUTORIAL_STEP_827,"＜デーモンスレイヤー＞

バフォメットの弱点部位に一定量のダメージを与えると
敵に大ダメージを与える追撃が発生します

LV UP毎に追撃のダメージがより増加","<Demon Slayer>

When you deal a certain amount of damage to Baphomet's weak spot, it triggers a follow-up attack that deals massive damage to the enemy.

The damage of the follow-up attack increases with each level up.",ui\00_message\tutorial_guide\steps\tutorial_guide_step433.gmd,\tguide\tutorial_guide_433.arc,tutorial_guide_433.arc,1
2,TUTORIAL_STEP_828,"＜火竜の魔防壁＞

敵の《魔法攻撃力上昇》に合わせて
魔法攻撃のダメージを無効化するバリアを展開します

バリア展開中は筋力／魔力／疲労攻力／チャンス攻力
が増加するが、魔法攻撃を受けるか時間経過により
バリアの耐久値は減少していきます

LV UP毎にステータスアップ効果
バリアの耐久値がより上昇","<Demon Bulwark of the Fire Dragon>

Creates a barrier that nullifies magic attacks in response to the enemy's ""Magick Attack Increase"" buff.

While the barrier is active, Strength/Magick/Exhaust Attack/Chance Attack are increased, but the durability of the barrier decreases when receiving magic attacks or over time.

The durability of the barrier increases with each level up, providing additional stat bonuses and duration.",ui\00_message\tutorial_guide\steps\tutorial_guide_step433.gmd,\tguide\tutorial_guide_433.arc,tutorial_guide_433.arc,2
3,TUTORIAL_STEP_867,"＜火竜の浄化＞

<COL 78f5ff>《闇炎》</COL>の状態異常にかかった際に
回復までの時間を短縮します

※回復までの時間は、付与される毎にやや増減します

LV UP毎に回復までの時間がさらに短縮","<Purification of the Fire Dragon>

Shortens the time until recovery when afflicted with the status ailment of <COL 78f5ff><Dark Flame>.</COL>

※ The time until recovery will slightly increase or decrease with each application.

The time until recovery is further shortened with each level up.",ui\00_message\tutorial_guide\steps\tutorial_guide_step433.gmd,\tguide\tutorial_guide_433.arc,tutorial_guide_433.arc,3
0,TUTORIAL_STEP_830,"<COL ffdc78>《ドラゴンアビリティ：白竜》</COL>は
闇の眷属“黒騎士""に対して力を発揮します

竜防具に付与された《白竜》のポイントの
パーティーメンバーの合計が一定値を満たすことが
発動の条件となります","<COL ffdc78>Dragon Ability: White Dragon</COL> will unleash its power against the dark servant, ""Black Knight"". 

The condition for activation is that the total points of the White Dragon attached to dragon armor, combined with the party members, must meet a certain value.",ui\00_message\tutorial_guide\steps\tutorial_guide_step434.gmd,\tguide\tutorial_guide_434.arc,tutorial_guide_434.arc,0
1,TUTORIAL_STEP_832,"＜ゴーストスレイヤー＞

黒騎士の弱点部位に一定量のダメージを与えると
敵に大ダメージを与える追撃が発生します

LV UP毎に追撃のダメージがより増加","<Spirit Slayer>

When you deal a certain amount of damage to the Black Knight's weak spot, it triggers a follow-up attack that deals major damage to the enemy.

The damage of the follow-up attack increases with each level up.",ui\00_message\tutorial_guide\steps\tutorial_guide_step434.gmd,\tguide\tutorial_guide_434.arc,tutorial_guide_434.arc,1
2,TUTORIAL_STEP_831,"＜白竜の防壁＞

敵の《物理攻撃力上昇》に合わせて
物理攻撃のダメージを無効化するバリアを展開します

バリア展開中は筋力／魔力／疲労攻力／チャンス攻力
が増加するが物理攻撃を受けるか時間経過により
バリアの耐久値は減少していきます

LV UP毎にステータスアップ効果／
バリアの耐久値がより上昇","<Bulwark of the White Dragon>

Creates a barrier that nullifies physical attacks in response to the enemy's ""Increase Physical Attack Power"" buff.

While the barrier is active, Strength/Magick/Exhaust Attack/Chance Attack are increased, but the durability of the barrier decreases when receiving physical attacks or over time.

With each level up, the barrier's durability increases along with the effect of stat boosts.",ui\00_message\tutorial_guide\steps\tutorial_guide_step434.gmd,\tguide\tutorial_guide_434.arc,tutorial_guide_434.arc,2
3,TUTORIAL_STEP_868,"＜白竜の刃＞

敵の《鎧硬化》に合わせて
吹き飛ばし力が増加し鎧硬化状態を解除しやすくなる

鎧硬化状態を解除すると、敵が体勢を崩している間
筋力／魔力／疲労攻力／チャンス攻力が増加する
追加効果が発動します

LV UP毎にステータスアップ効果がより上昇","<White Dragon's Edge>

Blow power increases in response to the enemy's ""Armor Harden"" state, making it easier to break through their armor. 
When the armor is broken, while the enemy is off balance, Strength/Magick/Exhaust Attack/Chance Attack increase, triggering additional effects.

The stat bonus for each level up increases.",ui\00_message\tutorial_guide\steps\tutorial_guide_step434.gmd,\tguide\tutorial_guide_434.arc,tutorial_guide_434.arc,3
