"1","q40200160_00_498","この塔、そして我々の存続のために資材の備蓄には注意しておきたいところ
最近は<LQIM>が残り少なくなっているとギルロイから聞いています
手が空いている者で協力し、一気に<LQVA>つ集めてしまいましょう","この塔、そして我々の存続のために資材の備蓄には注意しておきたいところ
最近は<LQIM>が残り少なくなっているとギルロイから聞いています
手が空いている者で協力し、一気に<LQVA>つ集めてしまいましょう","ui\00_message\quest_info\q40200160_00.gmd","\quest\q40200160.arc","q40200160.arc","1"
"0","0","些細で大きな悩み","些細で大きな悩み","ui\00_message\quest_info\q40300035_00.gmd","\quest\q40300035.arc","q40300035.arc","0"
"1","eqenhance_title_sub","ああ、慣れない生活で体中が痛い――
<LQIM>を使って湿布でも作りたいんだけど
こんな状況じゃ<LQVA>つも手に入らないよねぇ","ああ、慣れない生活で体中が痛い――
<LQIM>を使って湿布でも作りたいんだけど
こんな状況じゃ<LQVA>つも手に入らないよねぇ","ui\00_message\quest_info\q40300035_00.gmd","\quest\q40300035.arc","q40300035.arc","1"
"0","0","帰路での災難","帰路での災難","ui\00_message\quest_info\q40300036_00.gmd","\quest\q40300036.arc","q40300036.arc","0"
"1","eqenhance_title_sub","故郷へ戻る途中なのに、装備が壊れてしまったんだ
<LQIM>が<LQVA>個もあれば、とりあえずは修理できる
譲ってくれるというなら、もちろん対価は支払おう！","故郷へ戻る途中なのに、装備が壊れてしまったんだ
<LQIM>が<LQVA>個もあれば、とりあえずは修理できる
譲ってくれるというなら、もちろん対価は支払おう！","ui\00_message\quest_info\q40300036_00.gmd","\quest\q40300036.arc","q40300036.arc","1"
"0","0","秘密の楽しみ","秘密の楽しみ","ui\00_message\quest_info\q40300037_00.gmd","\quest\q40300037.arc","q40300037.arc","0"
"1","eqenhance_title_sub","こんな時だからこそ、気を紛らわす楽しみが必要だよ
<LQIM>が<LQVA>個あればなぁ
何に使うかって？　そりゃあ秘密だけどさ――","こんな時だからこそ、気を紛らわす楽しみが必要だよ
<LQIM>が<LQVA>個あればなぁ
何に使うかって？　そりゃあ秘密だけどさ――","ui\00_message\quest_info\q40300037_00.gmd","\quest\q40300037.arc","q40300037.arc","1"
"0","0","買取りいたします！","買取りいたします！","ui\00_message\quest_info\q40300038_00.gmd","\quest\q40300038.arc","q40300038.arc","0"
"1","eqenhance_title_sub","注目！　<LQIM>、<LQVA>個買い取ります！
あなたにとって不要なものでも、必要とされる方がいます","注目！　<LQIM>、<LQVA>個買い取ります！
あなたにとって不要なものでも、必要とされる方がいます","ui\00_message\quest_info\q40300038_00.gmd","\quest\q40300038.arc","q40300038.arc","1"
"0","0","待ち焦がれる瞳","待ち焦がれる瞳","ui\00_message\quest_info\q40300039_00.gmd","\quest\q40300039.arc","q40300039.arc","0"
"1","eqenhance_title_sub","やっとの思いで手に入れた<LQIM>――
帰る途中で転んでさ、見てみたけどダメになってたよ
頼む、<LQVA>個分けてもらえないかな
弟に、持って帰るって約束しちまったんだ","やっとの思いで手に入れた<LQIM>――
帰る途中で転んでさ、見てみたけどダメになってたよ
頼む、<LQVA>個分けてもらえないかな
弟に、持って帰るって約束しちまったんだ","ui\00_message\quest_info\q40300039_00.gmd","\quest\q40300039.arc","q40300039.arc","1"
"0","0","＜エリアオーダー＞求める人へ行き渡るよう","＜エリアオーダー＞求める人へ行き渡るよう","ui\00_message\quest_info\q40300040_00.gmd","\quest\q40300040.arc","q40300040.arc","0"
"1","eqenhance_title_sub","ここも人数が増えてきましたから、物資の減りが早いようです
今回は<LQIM>を<LQVA>個補充しようかと考えています
もちろんお代は準備しておりますので
お譲りいただける方はご連絡ください","ここも人数が増えてきましたから、物資の減りが早いようです
今回は<LQIM>を<LQVA>個補充しようかと考えています
もちろんお代は準備しておりますので
お譲りいただける方はご連絡ください","ui\00_message\quest_info\q40300040_00.gmd","\quest\q40300040.arc","q40300040.arc","1"
"0","0","ロスからの注意書き","ロスからの注意書き","ui\00_message\quest_info\q40300041_00.gmd","\quest\q40300041.arc","q40300041.arc","0"
"1","eqenhance_title_sub","ここへ来る最中に<LQEM>が
塔の外壁に悪さをしているのを見たぞ
何匹かは討伐しておいたが
<LQVA>匹逃がしてしまったな","ここへ来る最中に<LQEM>が
塔の外壁に悪さをしているのを見たぞ
何匹かは討伐しておいたが
<LQVA>匹逃がしてしまったな","ui\00_message\quest_info\q40300041_00.gmd","\quest\q40300041.arc","q40300041.arc","1"
"0","0","旅人の置き手紙","旅人の置き手紙","ui\00_message\quest_info\q40300042_00.gmd","\quest\q40300042.arc","q40300042.arc","0"
"1","eqenhance_title_sub","数日でしたが、匿ってくださりありがとうございました
護衛兵の皆さまのお強さは存じておりますが
<LQEM>にはお気を付けください
<LQVA>匹とはいえ、魔物は魔物ですからね","数日でしたが、匿ってくださりありがとうございました
護衛兵の皆さまのお強さは存じておりますが
<LQEM>にはお気を付けください
<LQVA>匹とはいえ、魔物は魔物ですからね","ui\00_message\quest_info\q40300042_00.gmd","\quest\q40300042.arc","q40300042.arc","1"
"0","0","ユーリからの注意書き","ユーリからの注意書き","ui\00_message\quest_info\q40300043_00.gmd","\quest\q40300043.arc","q40300043.arc","0"
"1","eqenhance_title_sub","近くで<LQEM>の姿を見かけたら
すぐに討伐することをおすすめしますよ
やつらは餌にありつくためなら
仲間を集めてきますからね
例え<LQVA>体でも、ぬかりなきよう","近くで<LQEM>の姿を見かけたら
すぐに討伐することをおすすめしますよ
やつらは餌にありつくためなら
仲間を集めてきますからね
例え<LQVA>体でも、ぬかりなきよう","ui\00_message\quest_info\q40300043_00.gmd","\quest\q40300043.arc","q40300043.arc","1"
"0","0","商隊の荷物を守れ","商隊の荷物を守れ","ui\00_message\quest_info\q40300044_00.gmd","\quest\q40300044.arc","q40300044.arc","0"
"1","eqenhance_title_sub","懇意にしている商人たちの隊が
<LQEM>に襲われ、ここに来るまでに
荷の半分を失ったそうです――
彼らの安全のためにも、我々の物資のためにも
<LQVA>匹退治しておいてくれませんか","懇意にしている商人たちの隊が
<LQEM>に襲われ、ここに来るまでに
荷の半分を失ったそうです――
彼らの安全のためにも、我々の物資のためにも
<LQVA>匹退治しておいてくれませんか","ui\00_message\quest_info\q40300044_00.gmd","\quest\q40300044.arc","q40300044.arc","1"
"0","0","故郷を一目","故郷を一目","ui\00_message\quest_info\q40300045_00.gmd","\quest\q40300045.arc","q40300045.arc","0"
"1","eqenhance_title_sub","みんなへ――すまないが、俺は故郷へ戻ってみることにする
どうせ死ぬなら、故郷の風景を見てからにしたいんだ
俺からの最後の忠告だが
近くで<LQEM>を<LQVA>匹見かけた
ここに居るつもりなら倒しておいた方がいいんじゃないか","みんなへ――すまないが、俺は故郷へ戻ってみることにする
どうせ死ぬなら、故郷の風景を見てからにしたいんだ
俺からの最後の忠告だが
近くで<LQEM>を<LQVA>匹見かけた
ここに居るつもりなら倒しておいた方がいいんじゃないか","ui\00_message\quest_info\q40300045_00.gmd","\quest\q40300045.arc","q40300045.arc","1"
"0","0","ドリスに伝えてくれ","ドリスに伝えてくれ","ui\00_message\quest_info\q40300046_00.gmd","\quest\q40300046.arc","q40300046.arc","0"
"1","eqenhance_title_sub","<LQVA>匹の<LQEM>からなる群れが
周辺をうろついているな
塔の上部を根城にするつもりのようだ
早めに追っ払っておくよう、ドリスに伝えてくれ","<LQVA>匹の<LQEM>からなる群れが
周辺をうろついているな
塔の上部を根城にするつもりのようだ
早めに追っ払っておくよう、ドリスに伝えてくれ","ui\00_message\quest_info\q40300046_00.gmd","\quest\q40300046.arc","q40300046.arc","1"
"0","0","乱れた筆跡のメモ","乱れた筆跡のメモ","ui\00_message\quest_info\q40300047_00.gmd","\quest\q40300047.arc","q40300047.arc","0"
"1","eqenhance_title_sub","魔物から逃げてここまで来たものの
<LQEM>にやられてもう長くは無さそうだ
気を付けてくれ、<LQVA>匹はいるぞ","魔物から逃げてここまで来たものの
<LQEM>にやられてもう長くは無さそうだ
気を付けてくれ、<LQVA>匹はいるぞ","ui\00_message\quest_info\q40300047_00.gmd","\quest\q40300047.arc","q40300047.arc","1"
"0","0","エリ警備塔の皆さまへ――","エリ警備塔の皆さまへ――","ui\00_message\quest_info\q40300048_00.gmd","\quest\q40300048.arc","q40300048.arc","0"
"1","eqenhance_title_sub","物資のご支援に伺いたいのは山々なのですが
山道に<LQEM>が出没するため
我々もエリ警備塔に近付けずにおります
<LQVA>体ほど始末しておいていただければ
何とかなりそうなのですが――","物資のご支援に伺いたいのは山々なのですが
山道に<LQEM>が出没するため
我々もエリ警備塔に近付けずにおります
<LQVA>体ほど始末しておいていただければ
何とかなりそうなのですが――","ui\00_message\quest_info\q40300048_00.gmd","\quest\q40300048.arc","q40300048.arc","1"
"0","0","護衛兵の急務","護衛兵の急務","ui\00_message\quest_info\q40300049_00.gmd","\quest\q40300049.arc","q40300049.arc","0"
"1","eqenhance_title_sub","さしあたっては<LQEM>を
<LQVA>匹討伐するのが急務だな
あれだけの群れになると
ここを襲われても、メガドに向かわれても厄介だ","さしあたっては<LQEM>を
<LQVA>匹討伐するのが急務だな
あれだけの群れになると
ここを襲われても、メガドに向かわれても厄介だ","ui\00_message\quest_info\q40300049_00.gmd","\quest\q40300049.arc","q40300049.arc","1"
"0","0","＜エリアオーダー＞エリ警備塔魔物征伐","Area Order: Eli Guard Tower Demon Extermination","ui\00_message\quest_info\q40300050_00.gmd","\quest\q40300050.arc","q40300050.arc","0"
"1","eqenhance_title_sub","塔の付近を<LQEM>が徘徊しているようだ
人間の臭いを嗅ぎ付け、狭い本拠点に
侵入されでもすれば我々に全滅の可能性すらある
<LQVA>匹を一斉に討伐する必要があるだろう","塔の付近を<LQEM>が徘徊しているようだ
人間の臭いを嗅ぎ付け、狭い本拠点に
侵入されでもすれば我々に全滅の可能性すらある
<LQVA>匹を一斉に討伐する必要があるだろう","ui\00_message\quest_info\q40300050_00.gmd","\quest\q40300050.arc","q40300050.arc","1"
"0","0","拠点であるならば","拠点であるならば","ui\00_message\quest_info\q40300051_00.gmd","\quest\q40300051.arc","q40300051.arc","0"
"1","eqenhance_title_sub","メガドの近くに拠点があるのは喜ばしいが
<LQIM>も無いとはな――
最低<LQVA>個くらいは確保しておいた方がいいぞ","メガドの近くに拠点があるのは喜ばしいが
<LQIM>も無いとはな――
最低<LQVA>個くらいは確保しておいた方がいいぞ","ui\00_message\quest_info\q40300051_00.gmd","\quest\q40300051.arc","q40300051.arc","1"
"0","0","一般人の保護に備え","一般人の保護に備え","ui\00_message\quest_info\q40300052_00.gmd","\quest\q40300052.arc","q40300052.arc","0"
"1","eqenhance_title_sub","運良く、本拠点を見つけて
逃げ込んでくる一般人がいるやも知れん
彼らのため、<LQIM>
<LQVA>個程度は備えておきたい","運良く、本拠点を見つけて
逃げ込んでくる一般人がいるやも知れん
彼らのため、<LQIM>
<LQVA>個程度は備えておきたい","ui\00_message\quest_info\q40300052_00.gmd","\quest\q40300052.arc","q40300052.arc","1"
"0","0","膏薬の材料集め","膏薬の材料集め","ui\00_message\quest_info\q40300053_00.gmd","\quest\q40300053.arc","q40300053.arc","0"
"1","eqenhance_title_sub","<LQIM>が<LQVA>個あれば
痛みに効く膏薬を作ってやれるんだが
ここでは中々手に入らないか――","<LQIM>が<LQVA>個あれば
痛みに効く膏薬を作ってやれるんだが
ここでは中々手に入らないか――","ui\00_message\quest_info\q40300053_00.gmd","\quest\q40300053.arc","q40300053.arc","1"
"0","0","日々の痛みに耐え","日々の痛みに耐え","ui\00_message\quest_info\q40300054_00.gmd","\quest\q40300054.arc","q40300054.arc","0"
"1","eqenhance_title_sub","個人的な依頼で申し訳ありませんが
<LQIM>を<LQVA>つほどご手配いただけないでしょうか
足の痛みを和らげる薬を作りたいのです
暖炉の火にあたっているだけでは、どうにも――","個人的な依頼で申し訳ありませんが
<LQIM>を<LQVA>つほどご手配いただけないでしょうか
足の痛みを和らげる薬を作りたいのです
暖炉の火にあたっているだけでは、どうにも――","ui\00_message\quest_info\q40300054_00.gmd","\quest\q40300054.arc","q40300054.arc","1"
"0","0","備え付けの寝台修理","備え付けの寝台修理","ui\00_message\quest_info\q40300055_00.gmd","\quest\q40300055.arc","q40300055.arc","0"
"1","eqenhance_title_sub","寝床の補修に使う<LQIM>が欲しい
なんといっても元々がかなり古い物だが
<LQVA>個ほどあれば
とりあえずは間に合うだろう","寝床の補修に使う<LQIM>が欲しい
なんといっても元々がかなり古い物だが
<LQVA>個ほどあれば
とりあえずは間に合うだろう","ui\00_message\quest_info\q40300055_00.gmd","\quest\q40300055.arc","q40300055.arc","1"
"0","0","次回立ち寄り時の依頼","次回立ち寄り時の依頼","ui\00_message\quest_info\q40300056_00.gmd","\quest\q40300056.arc","q40300056.arc","0"
"1","eqenhance_title_sub","次にここに寄る時、<LQIM>を
<LQVA>個補充できれば
先の道中が楽になりそうです
あらかじめの採集を頼めませんか？","次にここに寄る時、<LQIM>を
<LQVA>個補充できれば
先の道中が楽になりそうです
あらかじめの採集を頼めませんか？","ui\00_message\quest_info\q40300056_00.gmd","\quest\q40300056.arc","q40300056.arc","1"
"0","0","見知らぬ旅人のメモ","見知らぬ旅人のメモ","ui\00_message\quest_info\q40300057_00.gmd","\quest\q40300057.arc","q40300057.arc","0"
"1","eqenhance_title_sub","<LQIM>を集めて旅をしている者です
これをご覧になった方、協力してはいただけませんか
次回こちらに立ち寄った際に<LQVA>個を
買い取れるだけの金を用意してまいります","<LQIM>を集めて旅をしている者です
これをご覧になった方、協力してはいただけませんか
次回こちらに立ち寄った際に<LQVA>個を
買い取れるだけの金を用意してまいります","ui\00_message\quest_info\q40300057_00.gmd","\quest\q40300057.arc","q40300057.arc","1"
"0","0","出発した兵士の置き手紙","出発した兵士の置き手紙","ui\00_message\quest_info\q40300058_00.gmd","\quest\q40300058.arc","q40300058.arc","0"
"1","eqenhance_title_sub","いてもたってもいられない――
メガド居住区の様子を見てくることにするよ
勝手をして悪いが、道中の備えとして
<LQIM>を<LQVA>つ拝借していくぜ
代価は置いていくから、また手配してくれ","いてもたってもいられない――
メガド居住区の様子を見てくることにするよ
勝手をして悪いが、道中の備えとして
<LQIM>を<LQVA>つ拝借していくぜ
代価は置いていくから、また手配してくれ","ui\00_message\quest_info\q40300058_00.gmd","\quest\q40300058.arc","q40300058.arc","1"
"0","0","隠れ潜む日々で","隠れ潜む日々で","ui\00_message\quest_info\q40300059_00.gmd","\quest\q40300059.arc","q40300059.arc","0"
"1","eqenhance_title_sub","節約してはいるのですが、どうも
<LQIM>が慢性的に不足しています
<LQVA>個ほど備蓄しておきたいのですが
どなたかお願いできませんか","節約してはいるのですが、どうも
<LQIM>が慢性的に不足しています
<LQVA>個ほど備蓄しておきたいのですが
どなたかお願いできませんか","ui\00_message\quest_info\q40300059_00.gmd","\quest\q40300059.arc","q40300059.arc","1"
"0","0","＜エリアオーダー＞エリ警備塔補給","Area Order: Eli Guard Tower Resupply","ui\00_message\quest_info\q40300060_00.gmd","\quest\q40300060.arc","q40300060.arc","0"
"1","eqenhance_title_sub","魔物の侵入を防ぐため、本拠点の出入り口付近を補強する
各自、<LQIM>を<LQVA>個ずつを集め、提出してほしい
メガドにほど近いこの警備塔を失うわけにはいかない
意志を強く持ち、この局面を乗り越えよう","魔物の侵入を防ぐため、本拠点の出入り口付近を補強する
各自、<LQIM>を<LQVA>個ずつを集め、提出してほしい
メガドにほど近いこの警備塔を失うわけにはいかない
意志を強く持ち、この局面を乗り越えよう","ui\00_message\quest_info\q40300060_00.gmd","\quest\q40300060.arc","q40300060.arc","1"
"0","0","小物なりの挑発？","小物なりの挑発？","ui\00_message\quest_info\q40300061_00.gmd","\quest\q40300061.arc","q40300061.arc","0"
"1","eqenhance_title_sub","任務があったから無視してたんだけど
<LQEM>がやけに周りをウロウロしてたんだよね
今思えば、あれって魔物にバカにされてたのか？
誰か、次に見かけたら<LQVA>匹ぶちのめしてきてよ","任務があったから無視してたんだけど
<LQEM>がやけに周りをウロウロしてたんだよね
今思えば、あれって魔物にバカにされてたのか？
誰か、次に見かけたら<LQVA>匹ぶちのめしてきてよ","ui\00_message\quest_info\q40300061_00.gmd","\quest\q40300061.arc","q40300061.arc","1"
"0","0","いつの日か採れたてを","いつの日か採れたてを","ui\00_message\quest_info\q40300062_00.gmd","\quest\q40300062.arc","q40300062.arc","0"
"1","eqenhance_title_sub","近場でいいから、自分で外に採集に出たいものだわ
採れたてのハーブにキノコ――
そう思って少し外を覗いたら
<LQEM>と目が合って諦めたんだけどね
<LQVA>匹とはいえ、私には始末できないもの","近場でいいから、自分で外に採集に出たいものだわ
採れたてのハーブにキノコ――
そう思って少し外を覗いたら
<LQEM>と目が合って諦めたんだけどね
<LQVA>匹とはいえ、私には始末できないもの","ui\00_message\quest_info\q40300062_00.gmd","\quest\q40300062.arc","q40300062.arc","1"
"0","0","心優しき姉の目線","心優しき姉の目線","ui\00_message\quest_info\q40300063_00.gmd","\quest\q40300063.arc","q40300063.arc","0"
"1","eqenhance_title_sub","居住区に魔物が侵入してくることは
無い、とはわかっているのですが――
塀のすぐ傍に<LQEM>がいるのを見かけて心配なんです
あの<LQVA>体を討伐していただけませんか？","居住区に魔物が侵入してくることは
無い、とはわかっているのですが――
塀のすぐ傍に<LQEM>がいるのを見かけて心配なんです
あの<LQVA>体を討伐していただけませんか？","ui\00_message\quest_info\q40300063_00.gmd","\quest\q40300063.arc","q40300063.arc","1"
"0","0","手負いの後始末","手負いの後始末","ui\00_message\quest_info\q40300064_00.gmd","\quest\q40300064.arc","q40300064.arc","0"
"1","eqenhance_title_sub","す、すみません
先日、15体ほどの<LQEM>と戦闘になり
<LQVA>体逃してしまいました
手負いの状態ですから、普段より危険かもしれません
本当に、すみません――","す、すみません
先日、15体ほどの<LQEM>と戦闘になり
<LQVA>体逃してしまいました
手負いの状態ですから、普段より危険かもしれません
本当に、すみません――","ui\00_message\quest_info\q40300064_00.gmd","\quest\q40300064.arc","q40300064.arc","1"
"0","0","大都市への道のり","大都市への道のり","ui\00_message\quest_info\q40300065_00.gmd","\quest\q40300065.arc","q40300065.arc","0"
"1","eqenhance_title_sub","メガドは大都市だから、商いする上で
無視はできないねぇ――
だが、ここまで来るのに魔物が多いってのは
なかなかに困り物だ
<LQVA>匹くらい、<LQEM>を退治してもらえないかね","メガドは大都市だから、商いする上で
無視はできないねぇ――
だが、ここまで来るのに魔物が多いってのは
なかなかに困り物だ
<LQVA>匹くらい、<LQEM>を退治してもらえないかね","ui\00_message\quest_info\q40300065_00.gmd","\quest\q40300065.arc","q40300065.arc","1"
"0","0","勇む若者からの挑戦状","勇む若者からの挑戦状","ui\00_message\quest_info\q40300066_00.gmd","\quest\q40300066.arc","q40300066.arc","0"
"1","eqenhance_title_sub","勇んでメガドに来てみたはいいけど
護衛兵も多いし、意外と出る幕が無さそうだ
――ということで、思いを同じくする戦士たち
外で<LQEM>を狩ってこないか？
一番早く<LQVA>匹狩った人が勝ちってことで！","勇んでメガドに来てみたはいいけど
護衛兵も多いし、意外と出る幕が無さそうだ
――ということで、思いを同じくする戦士たち
外で<LQEM>を狩ってこないか？
一番早く<LQVA>匹狩った人が勝ちってことで！","ui\00_message\quest_info\q40300066_00.gmd","\quest\q40300066.arc","q40300066.arc","1"
"0","0","素材を抱えて","素材を抱えて","ui\00_message\quest_info\q40300067_00.gmd","\quest\q40300067.arc","q40300067.arc","0"
"1","eqenhance_title_sub","防具の素材集めに外に出たら
<LQEM>に邪魔されてしまって――
せっかく集めた素材を抱えながら戦うのは難しく
結局逃げてきてしまいました
<LQVA>匹の群れです、お気をつけて","防具の素材集めに外に出たら
<LQEM>に邪魔されてしまって――
せっかく集めた素材を抱えながら戦うのは難しく
結局逃げてきてしまいました
<LQVA>匹の群れです、お気をつけて","ui\00_message\quest_info\q40300067_00.gmd","\quest\q40300067.arc","q40300067.arc","1"
"0","0","老賢者の心配の種","老賢者の心配の種","ui\00_message\quest_info\q40300068_00.gmd","\quest\q40300068.arc","q40300068.arc","0"
"1","eqenhance_title_sub","街を取り戻せた高揚感から、若者が
無理をしてしまわないかが気がかりですな
最近見かける<LQVA>匹の
<LQEM>の群れなどに、無暗に戦いを
挑む者が出ないといいのですが","街を取り戻せた高揚感から、若者が
無理をしてしまわないかが気がかりですな
最近見かける<LQVA>匹の
<LQEM>の群れなどに、無暗に戦いを
挑む者が出ないといいのですが","ui\00_message\quest_info\q40300068_00.gmd","\quest\q40300068.arc","q40300068.arc","1"
"0","0","あの大ケガ人の噂","あの大ケガ人の噂","ui\00_message\quest_info\q40300069_00.gmd","\quest\q40300069.arc","q40300069.arc","0"
"1","eqenhance_title_sub","うちの宿屋に大ケガをしたお客様がいらしてね
なんでも<LQEM>にやられたんだとか――！
姿を見たのは<LQVA>匹だったそうよ、ああ怖い――","うちの宿屋に大ケガをしたお客様がいらしてね
なんでも<LQEM>にやられたんだとか――！
姿を見たのは<LQVA>匹だったそうよ、ああ怖い――","ui\00_message\quest_info\q40300069_00.gmd","\quest\q40300069.arc","q40300069.arc","1"
"0","0","＜エリアオーダー＞城塞都市メガド魔物征伐","Area Order: Fortress City Megado Demon Extermination","ui\00_message\quest_info\q40300070_00.gmd","\quest\q40300070.arc","q40300070.arc","0"
"1","eqenhance_title_sub","このメガド周辺をうろつく<LQEM>を
一斉討伐し、魔軍および周辺の魔物どもへの牽制とする！
各々<LQVA>体、気を引き締めて討伐に向かえ！","このメガド周辺をうろつく<LQEM>を
一斉討伐し、魔軍および周辺の魔物どもへの牽制とする！
各々<LQVA>体、気を引き締めて討伐に向かえ！","ui\00_message\quest_info\q40300070_00.gmd","\quest\q40300070.arc","q40300070.arc","1"
"0","0","明日を生きる小さな手","明日を生きる小さな手","ui\00_message\quest_info\q40300071_00.gmd","\quest\q40300071.arc","q40300071.arc","0"
"1","eqenhance_title_sub","<LQIM>を<LQVA>つ欲しいんです
それで小さな飾りを作って、売ってみようと思います","<LQIM>を<LQVA>つ欲しいんです
それで小さな飾りを作って、売ってみようと思います","ui\00_message\quest_info\q40300071_00.gmd","\quest\q40300071.arc","q40300071.arc","1"
"0","0","友人からの頼まれごと","友人からの頼まれごと","ui\00_message\quest_info\q40300072_00.gmd","\quest\q40300072.arc","q40300072.arc","0"
"1","eqenhance_title_sub","僕が必要ってわけじゃないんですけど
<LQIM>を欲しがってる人がいるんですよ
そんなに量が要るわけじゃなくて
<LQVA>個だけでいいらしいんで！","僕が必要ってわけじゃないんですけど
<LQIM>を欲しがってる人がいるんですよ
そんなに量が要るわけじゃなくて
<LQVA>個だけでいいらしいんで！","ui\00_message\quest_info\q40300072_00.gmd","\quest\q40300072.arc","q40300072.arc","1"
"0","0","可憐な強射手","可憐な強射手","ui\00_message\quest_info\q40300073_00.gmd","\quest\q40300073.arc","q40300073.arc","0"
"1","eqenhance_title_sub","今のうちに装備を補強しておきたいのよね～
そのために使う<LQIM>を<LQVA>つ
分けてもらえないかしら
少しだけ採りに行くのも面倒なの","今のうちに装備を補強しておきたいのよね～
そのために使う<LQIM>を<LQVA>つ
分けてもらえないかしら
少しだけ採りに行くのも面倒なの","ui\00_message\quest_info\q40300073_00.gmd","\quest\q40300073.arc","q40300073.arc","1"
"0","0","新・メガドの名物メニュー","新・メガドの名物メニュー","ui\00_message\quest_info\q40300074_00.gmd","\quest\q40300074.arc","q40300074.arc","0"
"1","eqenhance_title_sub","<LQIM>が<LQVA>個余ってる人がいたら
ぜひ買い取らせてね
そろそろ、酒場で出す新メニューを考案したいのよ
今なら、新しいメガドの名物として有名になるかも！","<LQIM>が<LQVA>個余ってる人がいたら
ぜひ買い取らせてね
そろそろ、酒場で出す新メニューを考案したいのよ
今なら、新しいメガドの名物として有名になるかも！","ui\00_message\quest_info\q40300074_00.gmd","\quest\q40300074.arc","q40300074.arc","1"
"0","0","お洒落は挑戦","お洒落は挑戦","ui\00_message\quest_info\q40300075_00.gmd","\quest\q40300075.arc","q40300075.arc","0"
"1","eqenhance_title_sub","前から思ってたんだけど
<LQIM>ってスタイリングに使えないかしら？
新しいスタイルには挑戦が必要なのよぉ
<LQVA>つ、手に入らない？","前から思ってたんだけど
<LQIM>ってスタイリングに使えないかしら？
新しいスタイルには挑戦が必要なのよぉ
<LQVA>つ、手に入らない？","ui\00_message\quest_info\q40300075_00.gmd","\quest\q40300075.arc","q40300075.arc","1"
"0","0","外れの空き家と小さな善意","外れの空き家と小さな善意","ui\00_message\quest_info\q40300076_00.gmd","\quest\q40300076.arc","q40300076.arc","0"
"1","eqenhance_title_sub","少し手入れをすれば使えそうな空き家があるのに
修理のための材料を手に入れる暇が無いんだ
<LQIM>が<LQVA>個あれば
後は俺が何とかするんだがな","少し手入れをすれば使えそうな空き家があるのに
修理のための材料を手に入れる暇が無いんだ
<LQIM>が<LQVA>個あれば
後は俺が何とかするんだがな","ui\00_message\quest_info\q40300076_00.gmd","\quest\q40300076.arc","q40300076.arc","1"
"0","0","依頼に理由が必要か？","依頼に理由が必要か？","ui\00_message\quest_info\q40300077_00.gmd","\quest\q40300077.arc","q40300077.arc","0"
"1","eqenhance_title_sub","<LQIM>を<LQVA>個
きっちり対価は支払うぜ","<LQIM>を<LQVA>個
きっちり対価は支払うぜ","ui\00_message\quest_info\q40300077_00.gmd","\quest\q40300077.arc","q40300077.arc","1"
"0","0","鍛冶屋の思いつき","鍛冶屋の思いつき","ui\00_message\quest_info\q40300078_00.gmd","\quest\q40300078.arc","q40300078.arc","0"
"1","eqenhance_title_sub","ちょっと試したいことがあってなぁ
わはは、うまくいくかはわからんのでな
詳しいことはヒミツだ
とにかく、<LQIM>を<LQVA>個
持ってきてくれんか","ちょっと試したいことがあってなぁ
わはは、うまくいくかはわからんのでな
詳しいことはヒミツだ
とにかく、<LQIM>を<LQVA>個
持ってきてくれんか","ui\00_message\quest_info\q40300078_00.gmd","\quest\q40300078.arc","q40300078.arc","1"
"0","0","荷馬車の事故","荷馬車の事故","ui\00_message\quest_info\q40300079_00.gmd","\quest\q40300079.arc","q40300079.arc","0"
"1","eqenhance_title_sub","なんということだ！　お客様にご注文いただいていた
<LQIM>が<LQVA>個がまだ届かない――！
途中で馬車が事故にでもあったのか！？
このままでは信用に関わる、何としてもかき集めねば","なんということだ！　お客様にご注文いただいていた
<LQIM>が<LQVA>個がまだ届かない――！
途中で馬車が事故にでもあったのか！？
このままでは信用に関わる、何としてもかき集めねば","ui\00_message\quest_info\q40300079_00.gmd","\quest\q40300079.arc","q40300079.arc","1"
"0","0","＜エリアオーダー＞城塞都市メガド補給","Area Order: Fortress City Megado Resupply","ui\00_message\quest_info\q40300080_00.gmd","\quest\q40300080.arc","q40300080.arc","0"
"1","eqenhance_title_sub","このメガド居住区にもいまだ、オークどもに
占領されていた頃の傷跡が残っているのは周知の事実
これらの大規模補修のため
<LQIM>を<LQVA>個買い取ることを発表する
当然のことながら、相応の謝礼は出そう","このメガド居住区にもいまだ、オークどもに
占領されていた頃の傷跡が残っているのは周知の事実
これらの大規模補修のため
<LQIM>を<LQVA>個買い取ることを発表する
当然のことながら、相応の謝礼は出そう","ui\00_message\quest_info\q40300080_00.gmd","\quest\q40300080.arc","q40300080.arc","1"
"0","0","スペシャル任務","Special Mission","ui\00_message\quest_info\q40300090_00.gmd","\quest\q40300090.arc","q40300090.arc","0"
"1","eqenhance_title_sub","おい、これを見たそこのお前！
儂の暇をつぶすために<LQEM>を狩って見せてくれ
もしも<LQVA>匹倒せたなら、
それ相応のスペシャルな報酬をくれてやるわい！","おい、これを見たそこのお前！
儂の暇をつぶすために<LQEM>を狩って見せてくれ
もしも<LQVA>匹倒せたなら、
それ相応のスペシャルな報酬をくれてやるわい！","ui\00_message\quest_info\q40300090_00.gmd","\quest\q40300090.arc","q40300090.arc","1"
