"2","q21000083_00_363","<NAME AREA>にいる何者かが、魔物との勝負で
腕試しをしているようだ","<NAME AREA>にいる何者かが、魔物との勝負で
腕試しをしているようだ","ui\00_message\quest_info\q21000083_00.gmd","\quest\q21000083.arc","q21000083.arc","2"
"1","1","【死亡チェッククエスト】
依頼者の願いを聞き入れ
一度も復活することなく狂暴な敵を討伐する","【死亡チェッククエスト】
依頼者の願いを聞き入れ
一度も復活することなく狂暴な敵を討伐する","ui\00_message\quest_info\q21014001_00.gmd","\quest\q21014001.arc","q21014001.arc","1"
"2","2","<NAME AREA>にいる何者かが、魔物との勝負で
腕試しをしているようだ","<NAME AREA>にいる何者かが、魔物との勝負で
腕試しをしているようだ","ui\00_message\quest_info\q21014001_00.gmd","\quest\q21014001.arc","q21014001.arc","2"
"3","3","フィンダム大陸にはまだまだ誰も見たことのない
摩訶不思議な物が沢山あるって話だ
それを確かめるために調査隊に潜り込んでみたんだ
確かに見たこともないもんは沢山あった
見たこともない魔物もまた、沢山いたけどな","フィンダム大陸にはまだまだ誰も見たことのない
摩訶不思議な物が沢山あるって話だ
それを確かめるために調査隊に潜り込んでみたんだ
確かに見たこともないもんは沢山あった
見たこともない魔物もまた、沢山いたけどな","ui\00_message\quest_info\q21014001_00.gmd","\quest\q21014001.arc","q21014001.arc","3"
"4","4","指定された場所へ行き、狂暴な魔物を見つける","指定された場所へ行き、狂暴な魔物を見つける","ui\00_message\quest_info\q21014001_00.gmd","\quest\q21014001.arc","q21014001.arc","4"
"5","5","遭遇した魔物を討伐する","Defeat the encountered demons","ui\00_message\quest_info\q21014001_00.gmd","\quest\q21014001.arc","q21014001.arc","5"
"6","6","依頼者へ経緯を報告する","Report back to the requester","ui\00_message\quest_info\q21014001_00.gmd","\quest\q21014001.arc","q21014001.arc","6"
"0","0","よう！　こんな所で会うとはな、新人覚者
っと――悪い悪い、もう隊長なんだったな
大活躍だって話、聞いたぜ","よう！　こんな所で会うとはな、新人覚者
っと――悪い悪い、もう隊長なんだったな
大活躍だって話、聞いたぜ","ui\00_message\quest\q21014001.gmd","\quest\q21014001.arc","q21014001.arc","0"
"0","0","――そもそもなんで俺がいるんだ、って顔だな
実は、こっちにある珍しい品を
レスタニアでも売ろうと思って調達しにきたんだ
もちろん表向きは未知の大陸の調査、だけどな","――そもそもなんで俺がいるんだ、って顔だな
実は、こっちにある珍しい品を
レスタニアでも売ろうと思って調達しにきたんだ
もちろん表向きは未知の大陸の調査、だけどな","ui\00_message\quest\q21014001.gmd","\quest\q21014001.arc","q21014001.arc","1"
"0","0","で、このエラン水林の資源に目を付けたんだが――
この大陸の魔物は手強くてな、お前も知ってるだろ？","で、このエラン水林の資源に目を付けたんだが――
この大陸の魔物は手強くてな、お前も知ってるだろ？","ui\00_message\quest\q21014001.gmd","\quest\q21014001.arc","q21014001.arc","2"
"0","0","あ、そうだ――良いことを思いついた
新人覚者だったお前に神殿を案内したあの時から――
どれだけ成長したか、見せてくれよ！","あ、そうだ――良いことを思いついた
新人覚者だったお前に神殿を案内したあの時から――
どれだけ成長したか、見せてくれよ！","ui\00_message\quest\q21014001.gmd","\quest\q21014001.arc","q21014001.arc","3"
"0","0","ちょうどエラン水林に、腕試しに最適な奴がいるんだ
今のお前なら、一度も倒れずに
片づける事なんか朝飯前のはず――
期待してるぜ、隊長さん","ちょうどエラン水林に、腕試しに最適な奴がいるんだ
今のお前なら、一度も倒れずに
片づける事なんか朝飯前のはず――
期待してるぜ、隊長さん","ui\00_message\quest\q21014001.gmd","\quest\q21014001.arc","q21014001.arc","4"
"0","0","もちろん邪魔な魔物を片付けて欲しいんだが
それより、お前の成長を見たいというのが
大きいんだぜ？","もちろん邪魔な魔物を片付けて欲しいんだが
それより、お前の成長を見たいというのが
大きいんだぜ？","ui\00_message\quest\q21014001.gmd","\quest\q21014001.arc","q21014001.arc","5"
"0","0","初めて白竜神殿を案内した時、覚えてるか？
あの時から、随分立派になったよなあ","初めて白竜神殿を案内した時、覚えてるか？
あの時から、随分立派になったよなあ","ui\00_message\quest\q21014001.gmd","\quest\q21014001.arc","q21014001.arc","6"
"0","0","だが、魔物もかなり強大だぞ――
やるなら、心してかかれよ
お前が一度も倒れずに、無傷で帰って来ることを
祈ってるぜ","だが、魔物もかなり強大だぞ――
やるなら、心してかかれよ
お前が一度も倒れずに、無傷で帰って来ることを
祈ってるぜ","ui\00_message\quest\q21014001.gmd","\quest\q21014001.arc","q21014001.arc","7"
"0","0","はぁ――また一回り、成長しちまったんだな
なんだかさっき見送った時より
お前が大きく見える気がするよ","はぁ――また一回り、成長しちまったんだな
なんだかさっき見送った時より
お前が大きく見える気がするよ","ui\00_message\quest\q21014001.gmd","\quest\q21014001.arc","q21014001.arc","8"
"0","0","俺もお前を見習って、覚者一本で
やっていこうかな――なんてな、冗談だ","俺もお前を見習って、覚者一本で
やっていこうかな――なんてな、冗談だ","ui\00_message\quest\q21014001.gmd","\quest\q21014001.arc","q21014001.arc","9"
"0","0","ほら、祝いの品だ――
いろいろと、ありがとうよ","ほら、祝いの品だ――
いろいろと、ありがとうよ","ui\00_message\quest\q21014001.gmd","\quest\q21014001.arc","q21014001.arc","10"
"0","0","はは、あれだけの魔物――
さすがのお前でもキツかったか
とはいえ、倒してきただけでも大したもんだ","はは、あれだけの魔物――
さすがのお前でもキツかったか
とはいえ、倒してきただけでも大したもんだ","ui\00_message\quest\q21014001.gmd","\quest\q21014001.arc","q21014001.arc","11"
"0","0","覚者人生はまだまだ長い――
これからも、一緒に頑張ろうぜ
これは討伐の礼だ、受け取ってくれ","覚者人生はまだまだ長い――
これからも、一緒に頑張ろうぜ
これは討伐の礼だ、受け取ってくれ","ui\00_message\quest\q21014001.gmd","\quest\q21014001.arc","q21014001.arc","12"
"0","0","パーティメンバーが死亡状態になりました","パーティメンバーが死亡状態になりました","ui\00_message\quest\q21014001.gmd","\quest\q21014001.arc","q21014001.arc","13"
"0","0","依頼者からの報酬が下がります","依頼者からの報酬が下がります","ui\00_message\quest\q21014001.gmd","\quest\q21014001.arc","q21014001.arc","14"
"0","0","【高難度】密林の潜伏者","【高難度】密林の潜伏者","ui\00_message\quest_info\q21014002_00.gmd","\quest\q21014002.arc","q21014002.arc","0"
"1","1","【連続討伐クエスト】
エリアマスターの願いを聞き入れ
ダンジョン付近にて起きている問題を調査する","【連続討伐クエスト】
エリアマスターの願いを聞き入れ
ダンジョン付近にて起きている問題を調査する","ui\00_message\quest_info\q21014002_00.gmd","\quest\q21014002.arc","q21014002.arc","1"
"2","2","指定された場所を調べる","Investigate the specified location","ui\00_message\quest_info\q21014002_00.gmd","\quest\q21014002.arc","q21014002.arc","2"
"3","3","遭遇した魔物を討伐する","Defeat the encountered demons","ui\00_message\quest_info\q21014002_00.gmd","\quest\q21014002.arc","q21014002.arc","3"
"4","4","指定されたダンジョン内を捜索する","Search within the specified dungeon","ui\00_message\quest_info\q21014002_00.gmd","\quest\q21014002.arc","q21014002.arc","4"
"5","5","ダンジョン内の各所の魔物を討伐する（残り３）","Defeat the monsters at locations in the dungeon (3 left)","ui\00_message\quest_info\q21014002_00.gmd","\quest\q21014002.arc","q21014002.arc","5"
"6","6","ダンジョン内の各所の魔物を討伐する（残り２）","Defeat the monsters at locations in the dungeon (2 left)","ui\00_message\quest_info\q21014002_00.gmd","\quest\q21014002.arc","q21014002.arc","6"
"7","7","ダンジョン内の各所の魔物を討伐する（残り１）","Defeat the monsters at locations in the dungeon (1 left)","ui\00_message\quest_info\q21014002_00.gmd","\quest\q21014002.arc","q21014002.arc","7"
"8","8","エリアマスターに経緯を報告する","Report to the Area Master","ui\00_message\quest_info\q21014002_00.gmd","\quest\q21014002.arc","q21014002.arc","8"
"0","0","レスタニアの覚者様――
異なる大陸の竜に仕えるあなた様の貢献に
私達は感謝の言葉もございません","レスタニアの覚者様――
異なる大陸の竜に仕えるあなた様の貢献に
私達は感謝の言葉もございません","ui\00_message\quest\q21014002.gmd","\quest\q21014002.arc","q21014002.arc","0"
"0","0","しかし――
この森の復興を邪魔する魔物の討伐には
未だ人手が足りておりませんの
出没箇所が多く、全てを回りきれていないのです","しかし――
この森の復興を邪魔する魔物の討伐には
未だ人手が足りておりませんの
出没箇所が多く、全てを回りきれていないのです","ui\00_message\quest\q21014002.gmd","\quest\q21014002.arc","q21014002.arc","1"
"0","0","原因となっているであろう聖域の魔物は
この森の魔物たちとは比べ物にならないほど強大――
でも、覚者様なら、あるいは――","原因となっているであろう聖域の魔物は
この森の魔物たちとは比べ物にならないほど強大――
でも、覚者様なら、あるいは――","ui\00_message\quest\q21014002.gmd","\quest\q21014002.arc","q21014002.arc","2"
"0","0","――覚者様
もし腕を試したいという
お気持ちがおありなら――","――覚者様
もし腕を試したいという
お気持ちがおありなら――","ui\00_message\quest\q21014002.gmd","\quest\q21014002.arc","q21014002.arc","3"
"0","0","どうか――森で暴れる魔物と
《<STG 815>》に巣食った聖域の魔物たちを
討伐してきてはいただけないでしょうか
もちろん、お命を最優先にして――","どうか――森で暴れる魔物と
《<STG 815>》に巣食った聖域の魔物たちを
討伐してきてはいただけないでしょうか
もちろん、お命を最優先にして――","ui\00_message\quest\q21014002.gmd","\quest\q21014002.arc","q21014002.arc","4"
"0","0","魔物の活性化による害は予想していましたが
まさか聖域にまで手が伸びていたとは――
いささか想定以上でした","魔物の活性化による害は予想していましたが
まさか聖域にまで手が伸びていたとは――
いささか想定以上でした","ui\00_message\quest\q21014002.gmd","\quest\q21014002.arc","q21014002.arc","5"
"0","0","お命の無事を最優先に――
もし可能ならでかまいません、覚者様
森の魔物と――《<STG 815>》に巣食った
聖域の魔物を討伐してはいただけないでしょうか","お命の無事を最優先に――
もし可能ならでかまいません、覚者様
森の魔物と――《<STG 815>》に巣食った
聖域の魔物を討伐してはいただけないでしょうか","ui\00_message\quest\q21014002.gmd","\quest\q21014002.arc","q21014002.arc","6"
"0","0","まさか本当に――？
あぁ、覚者様――
この度のご協力、エランの守り人として
心より感謝致します","まさか本当に――？
あぁ、覚者様――
この度のご協力、エランの守り人として
心より感謝致します","ui\00_message\quest\q21014002.gmd","\quest\q21014002.arc","q21014002.arc","7"
"0","0","覚者様のご尽力――
無駄にするわけにはいきません
必ずや、エラン水林を復興してみせると
ここにお約束させていただきますわ","覚者様のご尽力――
無駄にするわけにはいきません
必ずや、エラン水林を復興してみせると
ここにお約束させていただきますわ","ui\00_message\quest\q21014002.gmd","\quest\q21014002.arc","q21014002.arc","8"
"0","0","富と力","富と力","ui\00_message\quest_info\q21014003_00.gmd","\quest\q21014003.arc","q21014003.arc","0"
"1","1","【納品討伐クエスト】
依頼者に高価なアイテムを渡し
珍しい敵の居場所を聞き出す","【納品討伐クエスト】
依頼者に高価なアイテムを渡し
珍しい敵の居場所を聞き出す","ui\00_message\quest_info\q21014003_00.gmd","\quest\q21014003.arc","q21014003.arc","1"
"2","2","<NAME AREA>にいる何者かが
エリア内で取得できる珍しいアイテムを求めている","<NAME AREA>にいる何者かが
エリア内で取得できる珍しいアイテムを求めている","ui\00_message\quest_info\q21014003_00.gmd","\quest\q21014003.arc","q21014003.arc","2"
"3","3","エラン水林を復興するって言っても
日々調査と魔物討伐に追われていて
あんまり良く進んでいる様には見えないねえ
まぁ、あの子がしっかりしているから
きっと何とかしてくれるんだろうけどさ","エラン水林を復興するって言っても
日々調査と魔物討伐に追われていて
あんまり良く進んでいる様には見えないねえ
まぁ、あの子がしっかりしているから
きっと何とかしてくれるんだろうけどさ","ui\00_message\quest_info\q21014003_00.gmd","\quest\q21014003.arc","q21014003.arc","3"
"4","4","＜<SQDI NAME>＞を＜<SQDI NUM>＞個、依頼者に渡す（残り:<SQDI DNUM>）","Deliver <SQDI NAME> x<SQDI NUM> to the requester (need: <SQDI DNUM>)","ui\00_message\quest_info\q21014003_00.gmd","\quest\q21014003.arc","q21014003.arc","4"
"5","5","指定された場所へ魔物を探しに行く","指定された場所へ魔物を探しに行く","ui\00_message\quest_info\q21014003_00.gmd","\quest\q21014003.arc","q21014003.arc","5"
"6","6","発見した魔物を討伐する","Defeat the found demons","ui\00_message\quest_info\q21014003_00.gmd","\quest\q21014003.arc","q21014003.arc","6"
"7","7","依頼者に報告する","Report to the requester","ui\00_message\quest_info\q21014003_00.gmd","\quest\q21014003.arc","q21014003.arc","7"
"0","0","まぁ――異国の覚者様！
廃村調査の件は、本当に感謝の言葉もないの
ミューセルお姉様も感心していらっしゃったわ","まぁ――異国の覚者様！
廃村調査の件は、本当に感謝の言葉もないの
ミューセルお姉様も感心していらっしゃったわ","ui\00_message\quest\q21014003.gmd","\quest\q21014003.arc","q21014003.arc","0"
"0","0","今回の件で、自分の無力さを痛感してね――
けれどわたしが鍛錬したところで知れているでしょ
わたしでも得られる力について思いを巡らせて――
そこで、素晴らしい考えに至ったの！","今回の件で、自分の無力さを痛感してね――
けれどわたしが鍛錬したところで知れているでしょ
わたしでも得られる力について思いを巡らせて――
そこで、素晴らしい考えに至ったの！","ui\00_message\quest\q21014003.gmd","\quest\q21014003.arc","q21014003.arc","1"
"0","0","“富”よ、覚者様！
武力はどうしても素質差が出てしまうけれど
持ってさえいれば誰でも等しく揮える力
それが富なの――","“富”よ、覚者様！
武力はどうしても素質差が出てしまうけれど
持ってさえいれば誰でも等しく揮える力
それが富なの――","ui\00_message\quest\q21014003.gmd","\quest\q21014003.arc","q21014003.arc","2"
"0","0","そういう訳で覚者様、わたしが富を得る
お手伝いをしてもらえない？
もちろん、それ相応の見返りは約束するから","そういう訳で覚者様、わたしが富を得る
お手伝いをしてもらえない？
もちろん、それ相応の見返りは約束するから","ui\00_message\quest\q21014003.gmd","\quest\q21014003.arc","q21014003.arc","3"
"0","0","手始めにまずは――
《<ITEM 15921>》を＜4＞つ
集めてきてもらえると助かるわ！","手始めにまずは――
《<ITEM 15921>》を＜4＞つ
集めてきてもらえると助かるわ！","ui\00_message\quest\q21014003.gmd","\quest\q21014003.arc","q21014003.arc","4"
"0","0","手始めまずは――
《<ITEM 15921>》を＜4＞つ集めてきて！
取引相手にとっては、金塊よりも貴重な物なの","手始めまずは――
《<ITEM 15921>》を＜4＞つ集めてきて！
取引相手にとっては、金塊よりも貴重な物なの","ui\00_message\quest\q21014003.gmd","\quest\q21014003.arc","q21014003.arc","5"
"0","0","も、もちろん森の復興が最優先だけどね！
でも――富の力が役立つ時は、必ず来るはずなの
森に滞在している、そっちの大陸から来たっていう
他の覚者様とお話して、そう確信したのよね","も、もちろん森の復興が最優先だけどね！
でも――富の力が役立つ時は、必ず来るはずなの
森に滞在している、そっちの大陸から来たっていう
他の覚者様とお話して、そう確信したのよね","ui\00_message\quest\q21014003.gmd","\quest\q21014003.arc","q21014003.arc","6"
"0","0","あっ――この事は、まだお姉様には
秘密にしておいてよね！
協力の見返りは弾むから――よろしくお願いね","あっ――この事は、まだお姉様には
秘密にしておいてよね！
協力の見返りは弾むから――よろしくお願いね","ui\00_message\quest\q21014003.gmd","\quest\q21014003.arc","q21014003.arc","7"
"0","0","迅速な納品ね――ありがとう
ところで、ついでのお願いになっちゃうんだけど
《<STG 844>》――ご存じかしら
今は枯れているけど、実は貴重な水資源の宝庫なの","迅速な納品ね――ありがとう
ところで、ついでのお願いになっちゃうんだけど
《<STG 844>》――ご存じかしら
今は枯れているけど、実は貴重な水資源の宝庫なの","ui\00_message\quest\q21014003.gmd","\quest\q21014003.arc","q21014003.arc","8"
"0","0","まだ侵食されていない地の清らかな湧水――
ね、これからどんどん価値が上がりそうじゃない？
それに、復興後の生活の要となる予定の場所だから
早めに保護したいんだけど――","まだ侵食されていない地の清らかな湧水――
ね、これからどんどん価値が上がりそうじゃない？
それに、復興後の生活の要となる予定の場所だから
早めに保護したいんだけど――","ui\00_message\quest\q21014003.gmd","\quest\q21014003.arc","q21014003.arc","9"
"0","0","やっぱり魔物がね――というわけで
覚者様、討伐してきてくれないかしら
お願いできる？","やっぱり魔物がね――というわけで
覚者様、討伐してきてくれないかしら
お願いできる？","ui\00_message\quest\q21014003.gmd","\quest\q21014003.arc","q21014003.arc","10"
"0","0","《<STG 844>》の魔物を片付けてきてほしいの
あそこは貴重な水資源が湧く場所だし
復興後の生活の要ともなる場所だから――
魔物に汚染された後じゃあ意味が無くなっちゃう","《<STG 844>》の魔物を片付けてきてほしいの
あそこは貴重な水資源が湧く場所だし
復興後の生活の要ともなる場所だから――
魔物に汚染された後じゃあ意味が無くなっちゃう","ui\00_message\quest\q21014003.gmd","\quest\q21014003.arc","q21014003.arc","11"
"0","0","だから、巣食う魔物を討伐してきてほしいの
お願いできる？","だから、巣食う魔物を討伐してきてほしいの
お願いできる？","ui\00_message\quest\q21014003.gmd","\quest\q21014003.arc","q21014003.arc","12"
"0","0","あぁ、覚者様！
やってきてくれたのね――本当にありがとう
お姉様も、これを聞いたら喜んでくれるはずだわ","あぁ、覚者様！
やってきてくれたのね――本当にありがとう
お姉様も、これを聞いたら喜んでくれるはずだわ","ui\00_message\quest\q21014003.gmd","\quest\q21014003.arc","q21014003.arc","13"
"0","0","あなたに相談したのは、やっぱり正解みたい
腕はいいし口も堅いし――
これからも、協力をお願いしてもいい？
ちゃんとお礼は払うから！","あなたに相談したのは、やっぱり正解みたい
腕はいいし口も堅いし――
これからも、協力をお願いしてもいい？
ちゃんとお礼は払うから！","ui\00_message\quest\q21014003.gmd","\quest\q21014003.arc","q21014003.arc","14"
"0","0","通商の先駆け","通商の先駆け","ui\00_message\quest_info\q21014004_00.gmd","\quest\q21014004.arc","q21014004.arc","0"
"1","1","【納品討伐クエスト】
依頼者に高価なアイテムを渡し
珍しい敵の居場所を聞き出す","【納品討伐クエスト】
依頼者に高価なアイテムを渡し
珍しい敵の居場所を聞き出す","ui\00_message\quest_info\q21014004_00.gmd","\quest\q21014004.arc","q21014004.arc","1"
"2","2","<NAME AREA>にいる何者かが
エリア内で取得できる珍しいアイテムを求めている","<NAME AREA>にいる何者かが
エリア内で取得できる珍しいアイテムを求めている","ui\00_message\quest_info\q21014004_00.gmd","\quest\q21014004.arc","q21014004.arc","2"
"3","3","これ本当は内緒の話なんだけどね
珍しい素材が取れる秘密の場所があってね
そこに行くと、好きなだけ取ることが出来たんだ
でもいつからか、変な魔物がでてくるようになって
そう簡単にとることができなくなっちゃったんだ","これ本当は内緒の話なんだけどね
珍しい素材が取れる秘密の場所があってね
そこに行くと、好きなだけ取ることが出来たんだ
でもいつからか、変な魔物がでてくるようになって
そう簡単にとることができなくなっちゃったんだ","ui\00_message\quest_info\q21014004_00.gmd","\quest\q21014004.arc","q21014004.arc","3"
"4","4","＜<SQDI NAME>＞を＜<SQDI NUM>＞個、依頼者に渡す（残り:<SQDI DNUM>）","Deliver <SQDI NAME> x<SQDI NUM> to the requester (need: <SQDI DNUM>)","ui\00_message\quest_info\q21014004_00.gmd","\quest\q21014004.arc","q21014004.arc","4"
"5","5","指定された場所へ魔物を探しに行く","指定された場所へ魔物を探しに行く","ui\00_message\quest_info\q21014004_00.gmd","\quest\q21014004.arc","q21014004.arc","5"
"6","6","発見した魔物を討伐する","Defeat the found demons","ui\00_message\quest_info\q21014004_00.gmd","\quest\q21014004.arc","q21014004.arc","6"
"7","7","依頼者に報告する","Report to the requester","ui\00_message\quest_info\q21014004_00.gmd","\quest\q21014004.arc","q21014004.arc","7"
"0","0","うーん、どうしたものか――
――お、そういえばお前
フィンダムでも大活躍なんだってな！
聖域の魔物を倒したって話、耳に入って来てるぜ","うーん、どうしたものか――
――お、そういえばお前
フィンダムでも大活躍なんだってな！
聖域の魔物を倒したって話、耳に入って来てるぜ","ui\00_message\quest\q21014004.gmd","\quest\q21014004.arc","q21014004.arc","0"
"0","0","――俺か？　俺だって覚者の端くれだからな
ジョゼフのじいさんに声をかけられて
こっちに来たってわけ
こんな美味しい話、逃す訳にいかないからな","――俺か？　俺だって覚者の端くれだからな
ジョゼフのじいさんに声をかけられて
こっちに来たってわけ
こんな美味しい話、逃す訳にいかないからな","ui\00_message\quest\q21014004.gmd","\quest\q21014004.arc","q21014004.arc","1"
"0","0","そうだ、ちょうどいい――
昔みたいに、商売の手伝いをしてくれよ
こっちでとれる珍しい品を、向こうに輸出しようと
思ってるんだ","そうだ、ちょうどいい――
昔みたいに、商売の手伝いをしてくれよ
こっちでとれる珍しい品を、向こうに輸出しようと
思ってるんだ","ui\00_message\quest\q21014004.gmd","\quest\q21014004.arc","q21014004.arc","2"
"0","0","お前のことだから、もうこの先はわかるな？
商品集めを手伝ってほしいのさ
手始めに、《<ITEM 15931>》を＜4＞個
なるべく早めで、頼むぜ","お前のことだから、もうこの先はわかるな？
商品集めを手伝ってほしいのさ
手始めに、《<ITEM 15931>》を＜4＞個
なるべく早めで、頼むぜ","ui\00_message\quest\q21014004.gmd","\quest\q21014004.arc","q21014004.arc","3"
"0","0","フィンダムとレスタニアで、貿易を始めるのさ
だが商品が無いと話にならないからな
手始めに《<ITEM 15931>》を＜4＞個頼むぜ","フィンダムとレスタニアで、貿易を始めるのさ
だが商品が無いと話にならないからな
手始めに《<ITEM 15931>》を＜4＞個頼むぜ","ui\00_message\quest\q21014004.gmd","\quest\q21014004.arc","q21014004.arc","4"
"0","0","――お前らとは別にこっちに来た覚者は
何も、俺だけって訳じゃないんだぜ
この先も多分出会うだろ――見知った顔にも、な","――お前らとは別にこっちに来た覚者は
何も、俺だけって訳じゃないんだぜ
この先も多分出会うだろ――見知った顔にも、な","ui\00_message\quest\q21014004.gmd","\quest\q21014004.arc","q21014004.arc","5"
"0","0","これだ！　よく見つけたな
入手は大変だったんじゃないか？
こいつは希少品だからな","これだ！　よく見つけたな
入手は大変だったんじゃないか？
こいつは希少品だからな","ui\00_message\quest\q21014004.gmd","\quest\q21014004.arc","q21014004.arc","6"
"0","0","よしよし、幸先がいい
本当、こんな場所でお前に会えてよかったよ
――で、ついでに頼みたい事があってな","よしよし、幸先がいい
本当、こんな場所でお前に会えてよかったよ
――で、ついでに頼みたい事があってな","ui\00_message\quest\q21014004.gmd","\quest\q21014004.arc","q21014004.arc","7"
"0","0","他にも狙っている品物の調達地があるんだが
これが、まぁ厄介な魔物が棲みついてて――
何も生態系を壊そうってんじゃない
ちょっとの間追い払ってくれるだけでいいんだ","他にも狙っている品物の調達地があるんだが
これが、まぁ厄介な魔物が棲みついてて――
何も生態系を壊そうってんじゃない
ちょっとの間追い払ってくれるだけでいいんだ","ui\00_message\quest\q21014004.gmd","\quest\q21014004.arc","q21014004.arc","8"
"0","0","ここまでやったんだし、ついでに受けてくれるだろ？
場所は《<STG 815>》って所なんだ
なぁ頼むぜ、隊長さん","ここまでやったんだし、ついでに受けてくれるだろ？
場所は《<STG 815>》って所なんだ
なぁ頼むぜ、隊長さん","ui\00_message\quest\q21014004.gmd","\quest\q21014004.arc","q21014004.arc","9"
"0","0","品物調達の調達地にいる厄介な魔物を
追い払って来てほしいんだ――
場所は、《<STG 815>》ってところだ","品物調達の調達地にいる厄介な魔物を
追い払って来てほしいんだ――
場所は、《<STG 815>》ってところだ","ui\00_message\quest\q21014004.gmd","\quest\q21014004.arc","q21014004.arc","10"
"0","0","ちょっと苦労するかもしれないが――
分け前は保障するぜ","ちょっと苦労するかもしれないが――
分け前は保障するぜ","ui\00_message\quest\q21014004.gmd","\quest\q21014004.arc","q21014004.arc","11"
"0","0","やったな！　ほんと、助かるぜ
お前もお前で、お人良しな奴だよな――
断ったっていいんだぜ？
まぁ、俺は断られると困るんだけど","やったな！　ほんと、助かるぜ
お前もお前で、お人良しな奴だよな――
断ったっていいんだぜ？
まぁ、俺は断られると困るんだけど","ui\00_message\quest\q21014004.gmd","\quest\q21014004.arc","q21014004.arc","12"
"0","0","実は――調査任務ってことで
こっちに来てるんだけど
こりゃあ、調査どころじゃなくなりそうだな","実は――調査任務ってことで
こっちに来てるんだけど
こりゃあ、調査どころじゃなくなりそうだな","ui\00_message\quest\q21014004.gmd","\quest\q21014004.arc","q21014004.arc","13"
"0","0","――冗談だよ！
調査もちゃんとするからさ
だから――また何かあったら、協力頼むぜ","――冗談だよ！
調査もちゃんとするからさ
だから――また何かあったら、協力頼むぜ","ui\00_message\quest\q21014004.gmd","\quest\q21014004.arc","q21014004.arc","14"
"0","0","【時限採取】深夜の採草道","Time Restriction: Late Night Harvest","ui\00_message\quest_info\q21014005_00.gmd","\quest\q21014005.arc","q21014005.arc","0"
"1","1","【時限採取クエスト：22時から2時（GT）】
エリアマスターから話を聞き
特定条件の間に採取を行い納品する","【時限採取クエスト：22時から2時（GT）】
エリアマスターから話を聞き
特定条件の間に採取を行い納品する","ui\00_message\quest_info\q21014005_00.gmd","\quest\q21014005.arc","q21014005.arc","1"
"2","2","<NAME AREA>のエリアマスターは
覚者へ相談したい事があるらしい","<NAME AREA>のエリアマスターは
覚者へ相談したい事があるらしい","ui\00_message\quest_info\q21014005_00.gmd","\quest\q21014005.arc","q21014005.arc","2"
"3","3","生き物の進化とは大変面白いものだね
その土地の自然環境にあわせて
自らの成長をどんどん変えていくんだから
あの素材もそんな進化を遂げたうちの一つだろう","生き物の進化とは大変面白いものだね
その土地の自然環境にあわせて
自らの成長をどんどん変えていくんだから
あの素材もそんな進化を遂げたうちの一つだろう","ui\00_message\quest_info\q21014005_00.gmd","\quest\q21014005.arc","q21014005.arc","3"
"4","4","＜22時から2時＞の間にパーティメンバーを拠点内に集める","Gather party members in the camp from ""22 to 2 GT""","ui\00_message\quest_info\q21014005_00.gmd","\quest\q21014005.arc","q21014005.arc","4"
"5","5","＜22時から2時＞の間に依頼者から詳細を聞く","Inquire details from the requester from ""22 to 2 GT""","ui\00_message\quest_info\q21014005_00.gmd","\quest\q21014005.arc","q21014005.arc","5"
"6","6","＜22時から2時＞の間に<AREA 14>で《<SQDI NAME>》を採取し＜<SQDI NUM>＞つ納品する","Obtain <SQDI NAME> x<SQDI NUM> at <AREA 14> from ""22 to 2 GT""","ui\00_message\quest_info\q21014005_00.gmd","\quest\q21014005.arc","q21014005.arc","6"
"7","7","エリアマスターに《<SQDI NAME>》を＜<SQDI NUM>＞つ納品する","Deliver <SQDI NAME> x<SQDI NUM> to the Area Master","ui\00_message\quest_info\q21014005_00.gmd","\quest\q21014005.arc","q21014005.arc","7"
"0","0","<AREA 14>フィールドの《<ITEM 15947>》を採取できる採取ポイントの数が増えました
＜22時から2時＞の間にたくさん採取し、納品しましょう","<AREA 14>フィールドの《<ITEM 15947>》を採取できる採取ポイントの数が増えました
＜22時から2時＞の間にたくさん採取し、納品しましょう","ui\00_message\quest\q21014005.gmd","\quest\q21014005.arc","q21014005.arc","0"
"0","0","＜22時から2時＞の時間が終了したため、<AREA 14>フィールドの《<ITEM 15947>》の採取ポイント数が通常に戻りました
納品し、クエストを終了しましょう","＜22時から2時＞の時間が終了したため、<AREA 14>フィールドの《<ITEM 15947>》の採取ポイント数が通常に戻りました
納品し、クエストを終了しましょう","ui\00_message\quest\q21014005.gmd","\quest\q21014005.arc","q21014005.arc","1"
"0","0","こんにちは、異国の覚者さま
エラン水林をこれから復興していくという
この時期に、覚者さまのような方に
足を運んでいただけること、嬉しく思います","こんにちは、異国の覚者さま
エラン水林をこれから復興していくという
この時期に、覚者さまのような方に
足を運んでいただけること、嬉しく思います","ui\00_message\quest\q21014005.gmd","\quest\q21014005.arc","q21014005.arc","2"
"0","0","旅の方に伺ったのですが――
なんでも、白竜の覚者さまは竜のためだけでなく
人々のために動くことも多いとか――","旅の方に伺ったのですが――
なんでも、白竜の覚者さまは竜のためだけでなく
人々のために動くことも多いとか――","ui\00_message\quest\q21014005.gmd","\quest\q21014005.arc","q21014005.arc","3"
