"id","old","new"
"1182","ゆさぶり２倍だよ！","Double Shaking!"
"1183","のけぶ＆ゆさ２倍だよ！","Double Knockback/Shaking!"
"1186","蒼葉の","Blue Leaf"
"1187","蒼葉の","Blue Leaf"
"1188","死体齧りの","Corpse-Eating"
"1189","グレイブワーグ","Gravewarg"
"1190","",""
"1198","竜力を秘めた","Hidden Dragon Force"
"1199","大竜力の精兵","Great Dragon Force Elite Soldier"
"1200","大竜力の精兵","Great Dragon Force Elite Soldier"
"1201","大竜力の精兵","Great Dragon Force Elite Soldier"
"1202","大竜力の精兵","Great Dragon Force Elite Soldier"
"1204","検証用","Verification"
"1223","ラヴァーズ・","[The Lovers]"
"1224","ハーミット・","[The Hermit]"
"1225","ハングドマン・","[The Hanged Man]"
"1226","ジャスティス・","[Justice]"
"1227","エンペラー・","[The Emperor]"
"1228","デビル・","[The Devil]"
"1229","フォーチュン・","[Fortune]"
"1230","ジャッジメント・","[Judgement]"
"1231","謎の魔物","Mysterious Beast"
"1232","廃村に巣食う","Deserted Village Haunting"
"1233","試練の魔物","Trial Beast"
"1234","試練の魔物","Trial Beast"
"1235","ロイグの家畜","Loeg's Tamed"
"1236","樹内に蔓延る","Tree-Dwelling"
"1237","樹内に蔓延る","Tree-Dwelling"
"1238","樹内に蔓延る","Tree-Dwelling"
"1239","キャニオンガードエント","Canyon Guard"
"1240","黒騎士ロイグ","Black Knight Loeg"
"1241","精霊竜ウィルミア","Spirit Dragon Willmia"
"1242","大竜力の精兵","Great Dragon Force Elite Soldier"
"1243","大竜力の精兵","Great Dragon Force Elite Soldier"
"1244","獣の主","Beastlord"
"1245","鍵を奪った墓守","Grave Keeper who stole the key"
"1246","鳴動の甲竜","Rumbling Shell Dragon"
"1247","妨害","Interfering"
"1248","急襲する石魔","Stone Golem Ambusher"
"1249","招かれざる白鷲","Unbidden White Eagle"
"1250","群れる","Flock"
"1251","同胞","Fellow"
"1252","荒れ崩す","Demolishing"
"1253","川辺の","Riverside"
"1254","命屠る","Life Slaughtering"
"1255","神殿に巣食う","Nesting in the Temple"
"1256","",""
"1257","",""
"1258","",""
"1259","",""
"1260","",""
"1261","",""
"1262","",""
"1263","",""
"1264","",""
"1265","",""
"1266","",""
"1267","",""
"1268","",""
"1269","目覚めし","Awakened"
"1270","怒り狂う大甲竜","Raging Great Shell Dragon"
"1271","緑の森護獣","Green Forest Guardian Beast"
"1272","村潰しの","the Village Crusher"
"1273","さまよう","Wandering"
"1274","蝕み散らす大鷲","Corruption Spreading Eagle"
"1275","忘れ去られた","Forgotten"
"1276","災厄を呼ぶ","Disaster Bringer"
"1277","",""
"1278","",""
"1279","",""
"1280","",""
"1281","",""
"1282","",""
"1283","",""
"1284","",""
"1285","",""
"1286","",""
"1287","",""
"1288","",""
"1289","",""
"1290","変異","Mutated"
"1291","変異","Mutated"
"1292","大変異","Highly Mutated"
"1293","変異","Mutated"
"1294","大変異","Highly Mutated"
"1295","変異","Mutated"
"1296","・エクストラ","(Extra)"
"1297","",""
"1298","・エクストラ","(Extra)"
"1299","",""
"1300","",""
"1301","",""
"1302","・エクストラ","(Extra)"
"1303","",""
"1304","",""
"1305","",""
"1306","・エクストラ","(Extra)"
"1307","",""
"1308","",""
"1309","",""
"1310","・エクストラ","(Extra)"
"1311","",""
"1312","",""
"1313","",""
"1314","・エクストラ","(Extra)"
"1315","",""
"1316","",""
"1317","",""
"1318","・エクストラ","(Extra)"
"1319","",""
"1320","",""
"1321","",""
"1322","",""
"1323","",""
"1324","",""
"1325","",""
"1326","・エクストラ","(Extra)"
"1327","",""
"1328","",""
"1329","",""
"1330","・エクストラ","(Extra)"
"1331","",""
"1332","",""
"1333","",""
"1334","",""
"1335","",""
"1336","・エクストラ","(Extra)"
"1337","",""
"1338","",""
"1339","",""
"1340","・エクストラ","(Extra)"
"1341","",""
"1342","",""
"1343","",""
"1344","・エクストラ","(Extra)"
"1345","",""
"1346","",""
"1347","",""
"1348","・エクストラ","(Extra)"
"1349","",""
"1350","",""
"1351","",""
"1352","・エクストラ","(Extra)"
"1353","",""
"1354","",""
"1355","",""
"1356","・エクストラ","(Extra)"
"1357","",""
"1358","",""
"1359","",""
"1360","・エクストラ","(Extra)"
"1361","",""
"1362","",""
"1363","",""
"1364","・エクストラ","(Extra)"
"1365","",""
"1366","",""
"1367","",""
"1368","・エクストラ","(Extra)"
"1369","",""
"1370","",""
"1371","",""
"1372","・エクストラ","(Extra)"
"1373","",""
"1374","",""
"1375","",""
"1376","",""
"1377","",""
"1378","",""
"1379","",""
"1380","・エクストラ","(Extra)"
"1381","",""
"1382","",""
"1383","",""
"1384","・エクストラ","(Extra)"
"1385","",""
"1386","",""
"1387","",""
"1388","・エクストラ","(Extra)"
"1389","",""
"1390","",""
"1391","",""
"1392","・エクストラ","(Extra)"
"1393","",""
"1394","",""
"1395","",""
"1396","・エクストラ","(Extra)"
"1397","",""
"1398","",""
"1399","",""
"1400","・エクストラ","(Extra)"
"1401","",""
"1402","",""
"1403","",""
"1404","最終練磨","Final Test"
"1405","最終練磨","Final Test"
"1406","最終練磨","Final Test"
"1407","最終練磨","Final Test"
"1408","最終練磨","Final Test"
"1409","最終練磨","Final Test"
"1410","最終練磨","Final Test"
"1411","最終練磨","Final Test"
"1412","最終練磨","Final Test"
"1413","最終練磨","Final Test"
"1414","最終練磨","Final Test"
"1415","最終練磨","Final Test"
"1416","",""
"1417","",""
"1418","最終練磨","Final Test"
"1419","最終練磨","Final Test"
"1420","最終練磨","Final Test"
"1421","最終練磨","Final Test"
"1422","最終練磨","Final Test"
"1423","最終練磨","Final Test"
"1424","最終練磨","Final Test"
"1425","最終練磨","Final Test"
"1426","最終練磨","Final Test"
"1427","最終練磨","Final Test"
"1428","鍵番","Key Guardian"
"1429","歪みの執行人","Agent of Corruption"
"1430","礎の番人","Foundation Guardian"
"1431","礎の番人","Foundation Guardian"
"1432","試練","Trial"
"1433","試練","Trial"
"1434","行く手を阻む","Obstructing"
"1447","瘴気を纏う","Miasmatic"
"1448","神殿に棲む","Temple Nesting"
"1449","魔を呼ぶ","Demon Calling"
"1450","呼び寄せられた","Called"
"1451","泉の番人","Fountain Guardian"
"1452","泉の番人","Fountain Guardian"
"1453","宝の番人","Treasure Guardian"
"1454","宝の番人","Treasure Guardian"
"1455","瘴気を纏う","Miasmatic"
"1456","瘴気を纏う","Miasmatic"
"1457","瘴気を纏う","Miasmatic"
"1458","瘴気を纏う","Miasmatic"
"1459","甲竜に怯える","frightened of the Shell Dragon"
"1460","甲竜に怯える","frightened of the Shell Dragon"
"1461","",""
"1462","襲撃","Raid"
"1463","",""
"1465","竜力に引かれた","Drawn by Dragon Force"
"1466","集いし者たち","The Gathered Ones"
"1467","？？？","???"
"1468","？？？","???"
"1478","淀みの影","Shadow of Stagnation"
"1479","淀みの影","Shadow of Stagnation"
"1480","傷ついた","Wounded"
"1488","",""
"1489","",""
"1490","",""
"1499","変異","Mutated"
"1500","変異","Mutated"
"1501","大変異","Highly Mutated"
"1502","変異","Mutated"
"1503","変異","Mutated"
"1504","大変異","Highly Mutated"
"1505","変異","Mutated"
"1506","変異","Mutated"
"1507","大変異","Highly Mutated"
"1508","",""
"1509","",""
"1510","",""
"1511","",""
"1515","",""
"1516","対の大竜力・天","Pair of Great Dragon Force - Heaven"
"1517","賞金首","Bounty"
"1520","賞金首","Bounty"
"1521","賞金首","Bounty"
"1530","",""
"1531","",""
"1532","",""
"1533","",""
"1534","",""
"1535","",""
"1536","",""
"1537","・ブレイズ","(Blaze)"
"1538","甲竜に怯える","frightened of the Shell Dragon"
"1539","甲竜に怯える","frightened of the Shell Dragon"
"1541","",""
"1544","対の大竜力・地","Pair of Great Dragon Force - Earth"
"1545","蒼甲竜","Pale Shell Dragon"
"1546","",""
"1547","",""
"1548","",""
"1549","",""
"1550","",""
"1551","",""
"1552","",""
"1553","",""
"1554","",""
"1555","",""
"1556","",""
"1557","",""
"1558","",""
"1559","",""
"1560","",""
"1561","",""
"1562","お化け","Ghost"
"1563","傷ついた","Wounded"
"1564","樹内の記憶","Memory Within the Tree"
"1565","うめきの記憶","Memory of Sighs"
"1566","祈りの記憶","Memory of Prayer"
"1567","魔封の竜晶","Dragon Crystal of Evil Sealing"
"1568","力滅の竜晶","Dragon Crystal of Power Sapping"
"1569","",""
"1570","甲竜に怯える","frightened of the Shell Dragon"
"1571","第一練磨","First Test"
"1572","第二練磨","Second Test"
"1573","第一練磨","First Test"
"1574","第二練磨","Second Test"
"1575","最終練磨","Final Test"
"1576","昌石を秘めた","Hidden Gemstones"
"1577","宝飾を秘めた","Hidden Jewelry"
"1578","竜力を秘めた","Hidden Dragon Force"
"1579","財宝を秘めた","Hidden Treasures"
"1580","昌石を秘めた","Hidden Gemstones"
"1581","宝飾を秘めた","Hidden Jewelry"
"1582","竜力を秘めた","Hidden Dragon Force"
"1583","財宝を秘めた","Hidden Treasures"
"1586","宝飾を秘めた","Hidden Jewelry"
"1587","宝飾を秘めた","Hidden Jewelry"
"1588","竜力を秘めた","Hidden Dragon Force"
"1589","",""
"1590","呪符に保護されし","Protected by an Amulet"
"1591","呪符の番人","Guardian of the Amulet"
"1592","呪符の番人","Guardian of the Amulet"
"1593","呪符の番人","Guardian of the Amulet"
"1598","召喚されし邪悪の眷属","Summoned Servant of Evil"
"1599","",""
"1600","",""
"1609","怪しい盗賊団","Suspicious Bandit"
"1610","急襲の","Raid"
"1611","森の怒り","Forest's Fury"
"1612","モゴックの部下","Mogok's Subordinate"
"1613","帰ってきたモゴック","Mogok who came back"
"1614","薬草を守りし","Protected by medicinal herbs."
"1615","襲撃の","Raid"
"1616","襲撃の","Raid"
"1617","時番群","Time Bonus Group"
"1618","時番群","Time Bonus Group"
"1619","時番群","Time Bonus Group"
"1620","黒騎士の配下","Underling of the Black Knight."
"1621","黒騎士の配下","Underling of the Black Knight."
"1634","",""
"1635","",""
"1636","",""
"1637","子飼いの","Hand-raised"
"1638","植物に誘われし魔物","Enemy lured by plants."
"1639","植物に誘われし魔物","Enemy lured by plants."
"1640","植物に誘われし魔物","Enemy lured by plants."
"1641","植物に誘われし魔物","Enemy lured by plants."
"1642","急襲の","Raid"
"1643","突然変異の","Mutant."
"1644","突然変異の","Mutant."
"1645","怪しいオーク","Suspicious Orc"
"1659","",""
"1660","",""
"1661","",""
"1662","",""
"1663","",""
"1664","",""
"1665","",""
"1666","",""
"1667","",""
"1668","",""
"1669","",""
"1670","",""
"1671","",""
"1672","",""
"1673","",""
"1674","スカージ","Scourge"
"1675","",""
"1676","",""
"1677","",""
"1678","",""
"1682","",""
"1685","",""
"1686","力滅の竜晶","Dragon Crystal of Power Sapping"
"1687","魔封の竜晶","Dragon Crystal of Evil Sealing"
"1688","",""
"1689","",""
"1692","時番群","Time Bonus Group"
"1693","時番群","Time Bonus Group"
"1694","",""
"1695","",""
"1696","",""
"1697","",""
"1698","異界の","of the Other World"
"1699","狭間の","Between"
"1700","瘴気を纏う","Miasmatic"
"1701","うめきの記憶","Memory of Sighs"
"1702","ロイグ","Loeg"
"1703","",""
"1704","黒闇より甦りし","Raised from the Darkness"
"1705","",""
"1706","蒼甲竜","Pale Shell Dragon"
"1707","樹内の記憶","Memory Within the Tree"
"1708","召喚士","Summoner"
"1709","甦生した","Revived"
"1710","魔封の竜晶","Dragon Crystal of Evil Sealing"
"1711","力滅の竜晶","Dragon Crystal of Power Sapping"
"1712","時番","Time Bonus"
"1713","見たことのない感じのスライム","Slime that looks like nothing I've ever seen before."
"1714","",""
"1715","",""
"1716","",""
"1717","",""
"1718","",""
"1719","",""
"1720","",""
"1721","",""
"1722","",""
"1723","",""
"1724","",""
"1725","",""
"1726","",""
"1727","",""
"1728","",""
"1729","",""
"1730","",""
"1731","",""
"1732","",""
"1733","",""
"1734","",""
"1735","ブルータルハーミット","Brutal Hermit"
"1736","",""
"1737","",""
"1738","",""
"1739","先遣隊","Vanguard"
"1740","悪しき竜軍甲兵","Evil Dragon Army Armored Soldiers"
"1741","第一悪しき竜軍本隊","Main force of the First Evil Dragon Army"
"1742","第一悪しき竜軍本隊","Main force of the First Evil Dragon Army"
"1743","第一増援部隊","First Reinforcement Unit"
"1744","第二悪しき竜軍本隊","The Second Evil Dragon Army Main Unit"
"1745","第二悪しき竜軍本隊","The Second Evil Dragon Army Main Unit"
"1746","第二増援部隊","Second Reinforcement Unit"
"1747","第三悪しき竜軍本隊","Third Evil Dragon Army Main Unit"
"1748","第三悪しき竜軍本隊","Third Evil Dragon Army Main Unit"
"1749","第三増援部隊","Third Reinforcement Unit"
"1750","謎のオーク","Mysterious Orc"
"1751","捕虜の見張り","Prisoner's Guard"
"1752","村を襲撃する","Village Raiding"
"1753","占領軍の大将","Occupation Army Leader"
"1754","砦を占拠する","Fort Occupying"
"1755","ロスギルを狙うオーク","Orc Aiming For Rothgill"
"1756","洞窟の主","Master of the Grotto"
"1757","行く手を阻む","Obstructing"
"1758","獣の将","Beast Commander"
"1759","砦を占拠する","Fort Occupying"
"1760","将の腰巾着","Warlord's Lackey"
"1761","襲撃の","Raid"
"1762","襲撃の","Raid"
"1763","進軍の","Marching"
"1764","進軍の","Marching"
"1765","ジフール城の門番","Jifule Castle Gatekeeper"
"1766","ジフール城の門番","Jifule Castle Gatekeeper"
"1767","ジフール城の門番","Jifule Castle Gatekeeper"
"1768","古の扉の番兵","Old Door Guard"
"1769","古の扉の番兵","Old Door Guard"
"1770","居残り番兵","Detainee Guard"
"1771","捕虜の見張り","Prisoner's Guard"
"1772","骸の将","Necro Master"
"1773","骸の腰巾着","Necro Follower"
"1774","展望城の見張り兵","Lookout Castle Guard Troop"
"1775","展望城の見張り兵","Lookout Castle Guard Troop"
"1776","砦外雑兵","Troop outside the Fort"
"1777","正門の番人","Main Gate Guard"
"1778","砦外雑兵","Troop outside the Fort"
"1779","砦内雑兵","Troop inside the Fort"
"1780","敵陣旗に集う雑兵","Troop Gathering at Enemy Flags"
"1781","兵器・補強隊","Weapon Reinforcement Unit"
"1782","番兵","Guard"
"1783","陣地防衛隊長","Encampment Defense Commander"
"1784","陣地防衛兵","Encampment Defense Troop"
"1785","敵陣守護隊長","Enemy Camp Guard Commander"
"1786","敵陣守護兵","Enemy Camp Guard Troop"
"1787","砲撃場兵","Bombardment Location Troop"
"1788","陣地防衛隊長","Encampment Defense Commander"
"1789","陣地防衛兵","Encampment Defense Troop"
"1790","陣地防衛隊長","Encampment Defense Commander"
"1791","陣地防衛兵","Encampment Defense Troop"
"1792","",""
"1793","",""
"1794","",""
"1795","魔領進攻軍雑兵","Invasion Force Grunt"
"1796","魔領進攻軍一等兵","Invasion Force Soldier"
"1797","魔領進攻軍特攻兵","Invasion Force Assault Trooper"
"1798","・エクストラ","(Extra)"
"1799","・エクストラ","(Extra)"
"1800","・エクストラ","(Extra)"
"1801","・エクストラ","(Extra)"
"1802","泉の守護者","Guardian of the Spring"
"1803","最終練磨","Final Test"
"1804","最終練磨","Final Test"
"1805","",""
"1806","",""
"1807","",""
"1808","伝令士官","Aide-de-camp"
"1825","ロスギル襲撃部隊","Rothgill Raid Force"
"1826","試練を与えし竜","Dragon That Bestows Trials"
"1827","試練","Trial"
"1828","拠点防衛","Base Defense"
"1829","防衛士官","Defense Officer"
"1830","",""
"1831","トリンの家畜","Thorin's Livestock"
"1832","？？？","???"
"1833","？？？","???"
"1834","試練","Trial"
"1836","処刑官","Execution Officer"
"1837","処刑長","Execution Head"
"1838","大砲士官","Artillery Officer"
"1839","襲撃","Raid"
"1840","メダルコレクター","Medal Collector"
"1841","メダルコレクター","Medal Collector"
"1842","メダルコレクター","Medal Collector"
"1843","メダルコレクター","Medal Collector"
"1846","",""
"1847","",""
"1848","",""
"1849","",""
"1850","",""
"1851","",""
"1852","",""
"1853","",""
"1854","",""
"1855","",""
"1856","",""
"1857","",""
"1859","",""
"1861","従属","Subordinate"
"1862","従属","Subordinate"
"1863","従属","Subordinate"
"1864","従属","Subordinate"
"1865","関所の番兵","Gatekeeper"
"1866","",""
"1867","",""
"1868","",""
"1869","",""
"1870","",""
"1871","",""
"1872","",""
"1873","",""
"1874","",""
"1875","",""
"1876","",""
"1877","",""
"1878","",""
"1879","",""
"1880","",""
"1881","",""
"1882","",""
"1883","",""
"1884","",""
"1885","",""
"1886","",""
"1887","",""
"1888","",""
"1889","",""
"1890","",""
"1891","",""
"1892","",""
"1893","魔領進攻軍二等兵","Invasion Force Private"
"1894","魔領進攻軍一等兵","Invasion Force Soldier"
"1895","魔領進攻軍兵長","Invasion Force Battalion Commander"
"1896","",""
"1897","",""
"1898","占領軍の","Occupation Army"
"1899","ロスギルを狙うマンティコア","Manticore Aiming For Rothgill"
"1900","砦を占拠する戦甲マンティコア","Fort Occupying War-Ready Manticore"
"1901","砦の番兵","Fort Guard"
"1905","10ｍ級","10m grade"
"1906","7ｍ級","7m grade"
"1907","超大型","Colossal"
"1926","",""
"1927","",""
"1928","",""
"1929","",""
"1930","",""
"1931","",""
"1932","",""
"1933","",""
"1934","",""
"1935","",""
"1936","",""
"1937","",""
"1938","",""
"1939","",""
"1940","",""
"1941","",""
"1942","",""
"1943","",""
"1944","",""
"1945","",""
"1946","",""
"1947","強勢","Powerful"
"1948","強勢","Powerful"
"1949","強勢","Powerful"
"1950","強勢","Powerful"
"1953","",""
"1954","",""
"1957","強勢","Powerful"
"1958","強勢","Powerful"
"1961","強勢","Powerful"
"1962","未使用","Unused"
"1965","強勢","Powerful"
"1966","",""
"1967","",""
"1968","",""
"1969","",""
"1970","",""
"1971","",""
"1974","",""
"1975","強勢","Powerful"
"1978","強勢","Powerful"
"1979","強勢","Powerful"
"1982","強勢","Powerful"
"1983","獣の将","Beast Commander"
"1986","",""
"1987","",""
"1988","強勢","Powerful"
"1989","強勢","Powerful"
"1990","正門の番人","Main Gate Guard"
"1991","強勢","Powerful"
"1992","",""
"1995","",""
"1996","",""
"1999","",""
"2000","",""
"2003","強勢","Powerful"
"2004","強勢","Powerful"
"2016","強勢","Powerful"
"2017","強勢","Powerful"
"2018","",""
"2019","",""
"2020","強勢","Powerful"
"2021","強勢","Powerful"
"2022","強勢","Powerful"
"2023","砦内残党兵","Remnant Soldier within The Fort"
"2024","砦内残党兵","Remnant Soldier within The Fort"
"2025","",""
"2026","",""
"2027","",""
"2028","",""
"2029","",""
"2030","",""
"2031","",""
"2032","",""
"2033","",""
"2034","",""
"2035","",""
"2036","",""
"2037","",""
"2038","",""
"2039","",""
"2040","",""
"2041","メダルオーナー","Medal Owner"
"2042","メダルオーナー","Medal Owner"
"2043","メダルオーナー","Medal Owner"
"2044","メダルオーナー","Medal Owner"
"2045","はぐれ","Stray"
"2046","脱走した白い","Escaped White"
"2047","ゴブリン一家のボス","Goblin Family Boss"
"2048","ゴブリン一家の下っ端","Goblin Family Underling"
"2049","",""
"2050","",""
"2051","",""
"2052","",""
"2053","",""
"2054","",""
"2055","",""
"2056","",""
"2057","",""
"2058","不完全な","Defective"
"2060","",""
"2061","",""
"2062","",""
"2063","",""
"2065","",""
"2066","",""
"2067","",""
"2076","",""
"2077","",""
"2078","",""
"2079","王家用4","Royal Family 4"
"2080","王家用5","Royal Family 5"
"2081","王家用6","Royal Family 6"
"2082","王家用7","Royal Family 7"
"2083","王家用8","Royal Family 8"
"2084","",""
"2085","",""
"2086","",""
"2087","",""
"2088","",""
"2089","",""
"2090","",""
"2091","彷徨う","Wandering"
"2092","不死の眷属","Undead Follower"
"2093","地底の遺壁","Underground Ruins Wall"
"2094","氷獄の番人","Ice Prison Guard"
"2095","深森の落胤","Deep Woods Bastard"
"2096","紅蓮の魔将","Lord of Crimson"
"2097","彷徨う","Wandering"
"2098","不死の眷属ゾンビ","Undead Follower Zombie"
"2099","不死の眷属","Undead Follower"
"2100","不死の眷属スクワイア・ゾンビ","Undead Follower Squire Zombie"
"2101","不死の眷属プレイグ・ボンバー","Undead Follower Plague Bomber"
"2102","氷獄の番人","Ice Prison Guard"
"2104","深森の落胤ムーンウルフ","Bastard Moon Wolf of the Deep Woods"
"2105","",""
"2106","",""
"2107","",""
"2108","お菓子大好き魔女","Candy-loving Witch"
"2109","レベルキャップ白竜（仮）","The White Dragon Level Cap (tentative)"
"2110","レベルキャップ白竜そに２（仮）","The White Dragon Level Cap 2 (tentative)"
"2111","賞金首","Bounty"
"2112","賞金首","Bounty"
"2113","宵闇より出でし翼","Wing Emerging at Twilight"
"2115","揺籃鳥","Cradle Bird"
"2116","",""
"2117","",""
"2118","",""
"2119","",""
"2120","",""
"2121","",""
"2122","",""
"2123","",""
"2124","",""
"2125","",""
"2126","",""
"2127","",""
"2128","",""
"2129","",""
"2130","",""
"2131","",""
"2132","",""
"2133","",""
"2134","",""
"2135","揺籃鳥","Cradle Bird"
"2138","",""
"2139","",""
"2140","",""
"2141","",""
"2145","迷いエント","Lost Ent"
"2146","",""
"2147","",""
"2148","",""
"2149","",""
"2150","",""
"2151","",""
"2152","",""
"2153","",""
"2154","",""
"2155","",""
"2156","",""
"2157","",""
"2158","不完全な","Defective"
"2159","不完全な","Defective"
"2171","堅牢無比な門番長","Matchless Gatekeeper Leader"
"2172","堅牢無比な","Matchless"
"2173","堅牢無比な","Matchless"
"2174","堅牢無比な","Matchless"
"2175","堅牢無比な","Matchless"
"2176","必死な門番長","Desperate Gatekeeper Leader"
"2177","必死な","Desperate"
"2178","必死な","Desperate"
"2179","必死な","Desperate"
"2180","必死な","Desperate"
"2181","弱った門番長","Weakened Gatekeeper Leader"
"2182","弱った","Weakened"
"2183","弱った","Weakened"
"2184","弱った","Weakened"
"2185","弱った","Weakened"
"2186","魔軍残党の将","Demon Army Remnant Leader"
"2187","魔軍残党の将","Demon Army Remnant Leader"
"2188","魔軍残党の将","Demon Army Remnant Leader"
"2189","魔軍残党の哨戒兵","Demon Army Remnant Patrol"
"2190","魔軍残党の哨戒兵","Demon Army Remnant Patrol"
"2191","魔軍残党の哨戒兵","Demon Army Remnant Patrol"
"2192","魔軍残党の","Demon Army Remnant"
"2193","魔軍残党の","Demon Army Remnant"
"2194","魔軍残党の","Demon Army Remnant"
"2198","隔離された","Isolated"
"2199","隔離された","Isolated"
"2200","隔離された","Isolated"
"2202","",""
"2205","",""
"2206","隔離された","Isolated"
"2207","隔離された","Isolated"
"2208","隔離された","Isolated"
"2209","堅牢無比な門番長","Matchless Gatekeeper Leader"
"2210","必死な門番長","Desperate Gatekeeper Leader"
"2211","弱った門番長","Weakened Gatekeeper Leader"
"2212","",""
"2213","",""
"2215","",""
"2216","",""
"2217","不完全な","Defective"
"2218","",""
"2220","怒りの働きバチ","Worker Bee of Rage"
"2221","",""
"2222","",""
"2223","",""
"2224","",""
"2225","",""
"2226","",""
"2227","",""
"2228","",""
"2229","",""
"2262","",""
"2263","",""
"2264","",""
"2265","",""
"2266","",""
"2267","",""
"2268","",""
"2269","",""
"2270","",""
"2271","",""
"2272","",""
"2273","",""
"2274","",""
"2275","",""
"2276","",""
"2277","",""
"2278","",""
"2279","",""
"2280","",""
"2281","",""
"2282","",""
"2283","",""
"2284","",""
"2285","",""
"2286","",""
"2287","",""
"2288","",""
"2289","",""
"2290","",""
"2291","",""
"2292","",""
"2293","",""
"2294","",""
"2295","",""
"2296","",""
"2297","",""
"2298","",""
"2299","",""
"2300","",""
"2301","",""
"2302","塔を占領する","Tower Occupying"
"2303","追跡","Pursuit"
"2304","追跡","Pursuit"
"2305","追跡","Pursuit"
"2306","占領する","Occupying"
"2307","行く手を阻む","Obstructing"
"2308","淀みを乱す","Stagnation Disturbing"
"2309","淀みの混沌","Chaos of Stagnation"
"2310","淀みを乱す","Stagnation Disturbing"
"2311","眠りから覚めた","Awoken"
"2312","古精霊竜の守獣","Old Spirit Dragon Guard Beast"
"2313","古精霊竜の守獣","Old Spirit Dragon Guard Beast"
"2314","襲撃の","Raid"
"2316","行方を阻む","Obstructing"
"2317","黒き戦士の家畜","Black Warrior's Tamed"
"2318","城を占拠する","Castle Occupying"
"2319","白竜黒騎士","White Dragon Black Knight"
"2320","",""
"2321","",""
"2322","",""
"2330","メガド護衛兵？","Megado Guard?"
"2331","メガドの狂犬","Megado's Mad Dog"
"2332","侵入したオーク","Invasion Orc"
"2333","侵入したオーク","Invasion Orc"
"2334","侵入したオーク","Invasion Orc"
"2335","憲兵隊小隊長","Military Police Captain"
"2336","憲兵隊兵士","Military Police Soldier"
"2337","",""
"2338","",""
"2339","",""
"2340","憲兵隊警邏小隊長","Captain of the Military Police Patrol Unit"
"2341","憲兵隊兵士","Military Police Soldier"
"2342","侵入した","Invasion"
"2343","侵略する","Invading"
"2344","侵略する","Invading"
"2345","",""
"2347","",""
"2348","",""
"2349","",""
"2350","",""
"2351","",""
"2352","",""
"2355","冥府の使い魔","Netherworld Familiar"
"2356","冥府の獄吏","Netherworld Gaoler"
"2357","冥府の使い魔","Netherworld Familiar"
"2358","冥府の悪魔","Netherworld Fiend"
"2359","冥府の使い魔","Netherworld Familiar"
"2360","冥府の獄吏","Netherworld Gaoler"
"2361","冥府の使い魔","Netherworld Familiar"
"2362","奈落の王","King of the Netherworld"
"2363","冥府の使い魔","Netherworld Familiar"
"2364","冥府の獄吏","Netherworld Gaoler"
"2365","冥府の使い魔","Netherworld Familiar"
"2366","壊滅させるもの","The Devastator"
"2367","冥府の番人","Netherworld Guardian"
"2368","死を約束するもの","One That Promises Death"
"2369","屋敷の鍵番","Mansion Gatekeeper"
"2370","使役獣","Enslaved Beast"
"2371","",""
"2372","",""
"2373","",""
"2374","",""
"2375","",""
"2376","",""
"2377","",""
"2378","",""
"2379","",""
"2380","",""
"2381","",""
"2382","",""
"2383","",""
"2384","",""
"2385","",""
"2386","",""
"2387","",""
"2388","",""
"2389","",""
"2390","",""
"2391","",""
"2392","",""
"2393","",""
"2394","",""
"2395","",""
"2396","",""
"2397","",""
"2398","",""
"2399","",""
"2400","",""
"2401","",""
"2402","",""
"2403","",""
"2404","",""
"2405","",""
"2406","",""
"2407","",""
"2408","",""
"2409","",""
"2410","",""
"2411","",""
"2412","",""
"2413","",""
"2414","",""
"2415","",""
"2416","フラッグブレイカー","Flag Breaker"
"2417","",""
"2419","",""
"2420","",""
"2421","",""
"2422","",""
"2424","",""
"2426","",""
"2428","",""
"2429","",""
"2430","",""
"2432","",""
"2433","",""
"2435","",""
"2437","",""
"2439","",""
"2440","",""
"2441","",""
"2442","",""
"2443","野盗","Bandit"
"2444","野盗","Bandit"
"2477","",""
"2478","",""
"2479","メダルコレクター","Medal Collector"
"2480","メダルオーナー","Medal Owner"
"2481","",""
"2482","",""
"2483","メダルコレクター","Medal Collector"
"2484","メダルオーナー","Medal Owner"
"2485","",""
"2486","",""
"2487","メダルコレクター","Medal Collector"
"2488","メダルオーナー","Medal Owner"
"2489","",""
"2490","",""
"2491","メダルコレクター","Medal Collector"
"2492","メダルオーナー","Medal Owner"
"2493","",""
"2494","",""
"2495","メダルコレクター","Medal Collector"
"2496","メダルオーナー","Medal Owner"
"2497","",""
"2498","",""
"2499","メダルコレクター","Medal Collector"
"2500","メダルオーナー","Medal Owner"
"2501","",""
"2502","",""
"2503","メダルコレクター","Medal Collector"
"2504","メダルオーナー","Medal Owner"
"2505","",""
"2506","",""
"2507","メダルコレクター","Medal Collector"
"2508","メダルオーナー","Medal Owner"
"2509","",""
"2510","朽ちた騎士の残魂","Remnant Soul of a Decayed Knight"
"2511","朽ちた兵士の残魂","Remnant Soul of a Decayed Soldier"
"2512","朽ちた魔女の残魂","Remnant Soul of a Decayed Witch"
"2513","",""
"2514","離宮の番人","Detached Palace Guard"
"2515","急襲の","Raid"
"2516","戦の将部隊","War Master Unit"
"2517","戦の将の子飼い","War Master's Pet"
"2518","戦の将","War Master"
