Identifier,Source string,Translation,Context,Labels,Max. length
EVENT_NAME_st0112ev020,新大陸へ,To the New Continent,"EVENT_NAME_st0112ev020
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0120ev000,フィンダムへ降り立つ,Landing at Phindym,"EVENT_NAME_st0120ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0121ev000,フィンダムの魔物との遭遇,Encountering the demons of Phindym,"EVENT_NAME_st0121ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0121ev005,礎を探す,Find the Cornerstone,"EVENT_NAME_st0121ev005
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0121ev010,礎の発見,Cornerstone Discoveries,"EVENT_NAME_st0121ev010
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0120ev005,廃村と化した故郷,Abandoned hometown,"EVENT_NAME_st0120ev005
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0120ev010,精霊竜の来襲,Coming of the Spirit Dragon,"EVENT_NAME_st0120ev010
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0120ev015,ダナ村での再会,Reunion at Dana Village,"EVENT_NAME_st0120ev015
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0123ev000,セシリーの故郷,Cecily's Hometown,"EVENT_NAME_st0123ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0123ev005,セシリーの気持ち,Cecily's feelings,"EVENT_NAME_st0123ev005
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0432ev000,瀕死のガラダ,Dying Gearóid,"EVENT_NAME_st0432ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0914ev000,ガラダを襲った犯人,The perpetrator of the attack on Gearóid,"EVENT_NAME_st0914ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0120ev020,ロイグの復讐,Loeg's Revenge,"EVENT_NAME_st0120ev020
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0120ev025,ロイグ逃亡,Loeg Escapes,"EVENT_NAME_st0120ev025
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0120ev030,フィンダムの未来を託す,Phindym's future is entrusted to us.,"EVENT_NAME_st0120ev030
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0120ev035,開門,Open the door,"EVENT_NAME_st0120ev035
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0880ev000,始まりの洞,Cave of Beginnings,"EVENT_NAME_st0880ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0880ev005,治療のためには,For treatment,"EVENT_NAME_st0880ev005
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0884ev000,樹内の魔物との遭遇,Encounter with the Inner-tree Monster,"EVENT_NAME_st0884ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0884ev005,精霊竜の咆哮,The roar of the Spirit Dragon,"EVENT_NAME_st0884ev005
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0880ev010,浄化を試みる,Attempt to purify,"EVENT_NAME_st0880ev010
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0122ev000,原始の雫を守る魔物との遭遇,Encounter with demons guarding the pristine drops,"EVENT_NAME_st0122ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0434ev000,原始の雫の入手,Obtaining primal drops,"EVENT_NAME_st0434ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0880ev015,黒騎士現れる,The Black Knight appears.,"EVENT_NAME_st0880ev015
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0880ev020,浄化のはじまり,Beginning of purification,"EVENT_NAME_st0880ev020
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0120ev040,間に合わない竜,Dragon that cannot be saved in time,"EVENT_NAME_st0120ev040
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0881ev025,精霊竜との決戦,Decisive battle against the Spirit Dragon,"EVENT_NAME_st0881ev025
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0435ev000,精霊竜ウィルミア,Willmia the Spirit Dragon,"EVENT_NAME_st0435ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0435ev005,消えゆくセシリー,Disappearing Cecily,"EVENT_NAME_st0435ev005
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0881ev030,精霊竜セシリー,Cecily the Spirit Dragon,"EVENT_NAME_st0881ev030
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0120ev045,未来の予告,Future notice,"EVENT_NAME_st0120ev045
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0120ev017,精霊槍の使い手,Spirit spear user,"EVENT_NAME_st0120ev017
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0201ev103,更なる厄災の兆し(ジョゼフ）,Signs of more bad luck (Joseph),"EVENT_NAME_st0201ev103
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0113ev000,EX2.0導入デモ1,EM2.0 introduction demo 1,"EVENT_NAME_st0113ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0201ev160,EX2.0導入デモ2,EM2.0 Introduction Demo 2,"EVENT_NAME_st0201ev160
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0113ev005,EX2.0スカージ登場開始デモ,EM2.0 Scourge Appears Introduction Demo,"EVENT_NAME_st0113ev005
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0113ev010,EX2.0スカージ討伐デモ,EM2.0 Defeating Scourge Demo,"EVENT_NAME_st0113ev010
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0437ev000,GM2.0開始デモ,GM2.0 Introduction Demo,"EVENT_NAME_st0437ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0437ev005,GM2.0カースドラゴン討伐デモ,GM2.0 Defeating Curse Dragon Demo,"EVENT_NAME_st0437ev005
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0100ev150,EX2.1導入デモ1,EM2.1 introduction demo 1,"EVENT_NAME_st0100ev150
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0201ev165,EX2.1導入デモ2,EM2.1 Introduction Demo 2,"EVENT_NAME_st0201ev165
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0431ev000,EX2.1淀みし大竜力登場開始デモ,EM2.1 Stagnant Great Dragon Power Appears Introduction Demo,"EVENT_NAME_st0431ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0431ev005,EX2.1淀みし大竜力討伐デモ,EM2.1 Defeating Stagnant Great Dragon Power Demo,"EVENT_NAME_st0431ev005
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0114ev010,GM2.1開始デモ,GM2.1 Introduction Demo,"EVENT_NAME_st0114ev010
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0114ev005,GM2.1アルタード・ズール討伐デモ,GM2.1 Defeating Altered Zuhl Demonstration,"EVENT_NAME_st0114ev005
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0438ev000,EX1.1タイムアタックデモ,EM1.1 Time Attack Demo,"EVENT_NAME_st0438ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0122ev005,原始の雫を守る魔物を討伐,Defeat the demons guarding the primordial drops,"EVENT_NAME_st0122ev005
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0200ev015,１ｓｔシーズン振り返り,1st Season Review,"EVENT_NAME_st0200ev015
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0114ev000,GM2.1開始デモ8人揃いスタート,GM2.1 8 player Introduction demo,"EVENT_NAME_st0114ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0124ev000,EX2.2導入デモ,EM2.2 Introduction Demo,"EVENT_NAME_st0124ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0124ev005,EX2.2アドタラスク登場開始デモ,EM2.2 Adtarasque Appears Introduction Demo,"EVENT_NAME_st0124ev005
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0124ev010,EX2.2アドタラスク討伐デモ,EM2.2 Defeating Adtarasque Demo,"EVENT_NAME_st0124ev010
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0433ev000,GM2.2開始デモ,GM2.2 Introduction Demo,"EVENT_NAME_st0433ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0888ev000,EX2.3導入デモ,EX2.3 Introduction Demo,"EVENT_NAME_st0888ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0889ev000,EX2.3黒騎士登場デモ,EM2.3 Black Knight appears demo,"EVENT_NAME_st0889ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0889ev005,EX2.3黒騎士討伐デモ,EM2.3 Defeating Black Knight Demo,"EVENT_NAME_st0889ev005
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0436ev000,GM2.3精霊竜ウィルミア開始デモ,GM2.3 Spirit Dragon Willmia Introduction Demo,"EVENT_NAME_st0436ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0436ev005,GM2.3精霊竜ウィルミア討伐デモ,GM2.3 Defeating the spirit dragon Willmia Demonstration,"EVENT_NAME_st0436ev005
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0201ev157,ゲート開通,Gate open,"EVENT_NAME_st0201ev157
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0813ev000,モローへの小路にて魔物と遭遇,Encounter with demons on the path to Morrow,"EVENT_NAME_st0813ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0813ev005,モローへの小路にて魔物を撃破,Defeat demons on the path to Morrow,"EVENT_NAME_st0813ev005
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0201ev170,精霊の地へ,To the Land of the Spirits,"EVENT_NAME_st0201ev170
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0890ev000,EX2.3メガダンジョン攻略開始,EM2.3 Mega dungeon attack begins.,"EVENT_NAME_st0890ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0201ev175,村を荒らせし盗賊,The bandit who ravaged the village.,"EVENT_NAME_st0201ev175
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0517ev000,隊長の右腕は誰か？,Who is the captain's right hand man?,"EVENT_NAME_st0517ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0511ev000,財宝を奪いし者,The robber of treasures,"EVENT_NAME_st0511ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0511ev005,見つかった財宝,Treasures found,"EVENT_NAME_st0511ev005
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0201ev180,エリオットの気持ち,Elliott's feelings,"EVENT_NAME_st0201ev180
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0213ev020,鳥の報せ,bird's call,"EVENT_NAME_st0213ev020
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0404ev010,モゴックの計画,Mogok's plan,"EVENT_NAME_st0404ev010
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0404ev015,メイリーフの守り手,Mayleaf Defenders,"EVENT_NAME_st0404ev015
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0201ev185,クラウスとジョゼフ,Klaus and Joseph,"EVENT_NAME_st0201ev185
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0914ev005,採取した植物を調べる,Examine the collected plants.,"EVENT_NAME_st0914ev005
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0201ev190,ジョゼフの薬,Joseph's Medicine,"EVENT_NAME_st0201ev190
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0400ev020,残されたメモ,Notes left behind,"EVENT_NAME_st0400ev020
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0100ev155,レオの残せし物,Leo's legacy,"EVENT_NAME_st0100ev155
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0200ev020,燃える神殿・前半,"Burning Temple, first half","EVENT_NAME_st0200ev020
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0201ev195,燃える神殿・後半,"Burning Temple, second half","EVENT_NAME_st0201ev195
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0130ev000,戦場の只中へ,Into the midst of battle,"EVENT_NAME_st0130ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0130ev005,ジリアンとの出遭い,Meet Gillian,"EVENT_NAME_st0130ev005
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0130ev010,絶望の大地,Land of Despair,"EVENT_NAME_st0130ev010
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0130ev015,捕虜奪還,Prisoner Retrieval,"EVENT_NAME_st0130ev015
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0130ev020,探し人,searcher,"EVENT_NAME_st0130ev020
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0130ev025,襲われた村,Attacked Village,"EVENT_NAME_st0130ev025
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0130ev030,老将軍メイロワ,Meirova the Veteran General,"EVENT_NAME_st0130ev030
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0440ev000,敵の将登場,Enemy Generals,"EVENT_NAME_st0440ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0440ev005,ティネス砦奪還,Recapture of Fort Thines,"EVENT_NAME_st0440ev005
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0131ev000,閉ざされた門,Closed gate,"EVENT_NAME_st0131ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st1001ev000,湖畔の洞窟の盗賊アジト,Thieves' hideout in the lakeside cave,"EVENT_NAME_st1001ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0441ev000,獣の将登場,Advent of the Beast General,"EVENT_NAME_st0441ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0441ev005,王子との再会,Reunion with the Prince,"EVENT_NAME_st0441ev005
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0201ev200,新たな局面,New situation,"EVENT_NAME_st0201ev200
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0131ev005,王子は覚者か？,Is the prince an Arisen?,"EVENT_NAME_st0131ev005
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st1021ev000,王家の秘蹟,The Royal Sacrament,"EVENT_NAME_st1021ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0631ev000,内密話し,private conversation,"EVENT_NAME_st0631ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0444ev000,狙われるネド,Ned being targeted,"EVENT_NAME_st0444ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0444ev005,ジリアンの報告,Gillian's Report,"EVENT_NAME_st0444ev005
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0132ev000,魔軍への奇襲,Surprise Attack on the Demon Army,"EVENT_NAME_st0132ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0132ev005,悪しき竜との対峙,Confronting the Evil Dragon,"EVENT_NAME_st0132ev005
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0443ev000,ティネス砦での会合,Meeting at Fort Thines,"EVENT_NAME_st0443ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0132ev010,ジリアンを残す,Leave Gillian,"EVENT_NAME_st0132ev010
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st1091ev000,秘密の扉,Secret Door,"EVENT_NAME_st1091ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0443ev005,駐留軍動く,Garrison forces are moving,"EVENT_NAME_st0443ev005
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0450ev000,骸の将登場,Advent of the Skeleton General,"EVENT_NAME_st0450ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0450ev005,骸の将を倒す,Defeat the Skeleton General,"EVENT_NAME_st0450ev005
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0201ev205,王都メガド奪回へ,Reclaiming the Royal City of Megado,"EVENT_NAME_st0201ev205
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0451ev000,使役獣,Working animals,"EVENT_NAME_st0451ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0133ev000,北の大地を望む,View of the northern land,"EVENT_NAME_st0133ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0133ev005,メガド守護兵との再会,Reunion with the Megado Guardians,"EVENT_NAME_st0133ev005
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0451ev005,メガド侵攻の作戦会議,Megado Invasion Strategy Meeting,"EVENT_NAME_st0451ev005
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0460ev000,姦計,Scheme,"EVENT_NAME_st0460ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0201ev210,白竜神殿の死闘,The Deathly Battle of the White Dragon Temple,"EVENT_NAME_st0201ev210
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0201ev215,白竜の救済,White Dragon's Salvation,"EVENT_NAME_st0201ev215
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0430ev010,いない擬竜,Within the Imitation Dragon,"EVENT_NAME_st0430ev010
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0213ev025,衰弱する覚者たち,Weakening Arisen,"EVENT_NAME_st0213ev025
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0881ev035,精霊竜の目覚め,Awakening of the Spirit Dragon,"EVENT_NAME_st0881ev035
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0451ev010,襲われる展望城,Lookout Castle under attack,"EVENT_NAME_st0451ev010
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0468ev005,攻防戦の勝利,Offensive and defensive victories,"EVENT_NAME_st0468ev005
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0460ev005,王都の決戦,The Final Battle of the Royal Capital,"EVENT_NAME_st0460ev005
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0464ev000,メガド王宮層にて黒騎士登場,Black Knight appears at the Megado Royal Palace,"EVENT_NAME_st0464ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0464ev005,黒騎士を追い闇の中へ,Follow the black knight into the darkness.,"EVENT_NAME_st0464ev005
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0467ev000,黒騎士を打ち破る,Defeating the Black Knight,"EVENT_NAME_st0467ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0464ev010,闇からの帰還,Return from the darkness,"EVENT_NAME_st0464ev010
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0201ev220,白竜に剣を捧げる,Offer sword to the White Dragon,"EVENT_NAME_st0201ev220
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0201ev225,リズからの言伝,Message from Lise,"EVENT_NAME_st0201ev225
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0465ev000,秘策,Secret plan,"EVENT_NAME_st0465ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0134ev002,王家の墓,Royal Tomb,"EVENT_NAME_st0134ev002
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st1102ev000,王子の決意,The Prince's Decision,"EVENT_NAME_st1102ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0134ev005,立ち塞がる恐ろしい魔物,Terrifying monster blocking the way,"EVENT_NAME_st0134ev005
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0134ev010,仲間との絆,Bonding with peers,"EVENT_NAME_st0134ev010
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0451ev020,それぞれの想い,Thoughts of each of us,"EVENT_NAME_st0451ev020
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st1103ev000,望みの果て,The End of Hope,"EVENT_NAME_st1103ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st1103ev005,事の顛末,The whole story,"EVENT_NAME_st1103ev005
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0201ev230,竜を継ぐ者,Heir to the Dragon,"EVENT_NAME_st0201ev230
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0470ev000,闇の中で,In the dark,"EVENT_NAME_st0470ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0451ev017,姿を消した王子,The Prince Who Disappeared,"EVENT_NAME_st0451ev017
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0131ev010,EX3.0導入デモ,EM3.0 Introduction demon,"EVENT_NAME_st0131ev010
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0136ev000,EX3.0限界域開始デモ,EM3.0 Limited Area Introduction Demo,"EVENT_NAME_st0136ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0136ev005,EX3.0限界域カトブレパス討伐デモ,EM3.0 Limited Area Catoblepas Defeat Demo,"EVENT_NAME_st0136ev005
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0445ev000,GM3.0開始デモ,GM3.0 Introduction Demo,"EVENT_NAME_st0445ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st1063ev000,EX3.1導入デモ,EM3.1 Introduction Demo,"EVENT_NAME_st1063ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st1063ev005,EX3.1限界域開始デモ,EM3.1 Limited Area Introduction Demo,"EVENT_NAME_st1063ev005
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st1063ev010,EX3.1限界域イービルアイ討伐デモ,EM3.1 Defeating Evil Eye in the Limited Area Demo,"EVENT_NAME_st1063ev010
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0442ev000,GM3.1開始デモ,GM3.1 Introduction Demo,"EVENT_NAME_st0442ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0138ev000,EX3.2導入デモ,EM3.2 Introduction Demo,"EVENT_NAME_st0138ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0138ev005,EX3.2限界域開始デモ,EM3.2 Limited area introduction demo,"EVENT_NAME_st0138ev005
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0138ev010,EX3.2限界域イフリート討伐デモ,EM3.2 Defeating Ifrit in the Limited Area Demo,"EVENT_NAME_st0138ev010
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0135ev000,WM3.2開始デモ,WM3.2 Introduction demo,"EVENT_NAME_st0135ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st1100ev000,EX3.3導入デモ,EM 3.3 Introduction demo,"EVENT_NAME_st1100ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st1104ev000,WM3.3開始デモ,WM3.3 Introduction demo,"EVENT_NAME_st1104ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st1104ev005,WM3.3悪しき竜討伐デモ,WM3.3 Defeating Evil Dragon Demo,"EVENT_NAME_st1104ev005
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0200ev025,２ｎｄシーズン振り返り,2nd season review,"EVENT_NAME_st0200ev025
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0130ev022,迫る魔軍戦車,The approaching demon army tanks,"EVENT_NAME_st0130ev022
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0445ev005,GM3.0獣の将討伐デモ外,GM3.0 Defeating the Beast General Outside Demo,"EVENT_NAME_st0445ev005
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0445ev010,GM3.0獣の将討伐デモ内,GM3.0 Defeating the Beast General Demo,"EVENT_NAME_st0445ev010
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0442ev005,GM3.1骸の将討伐デモ外,GM3.1 Defeating the Skeleton General Outside Demo,"EVENT_NAME_st0442ev005
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0442ev010,GM3.1骸の将討伐デモ内,GM3.1 Defeating the Skeleton General Demo,"EVENT_NAME_st0442ev010
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0468ev000,戦の将登場,Advent of the Warlord,"EVENT_NAME_st0468ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0448ev000,キャリーの回想,Carrie's Recollections,"EVENT_NAME_st0448ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0472ev000,尋問１,Interrogation 1,"EVENT_NAME_st0472ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0140ev000,WM3.2闇の将討伐デモ,WM3.2 Defeating the Dark General Demo,"EVENT_NAME_st0140ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st2000ev000,黒呪島導入デモ,Bitterblack Isle Introduction Demo,"EVENT_NAME_st2000ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0472ev005,尋問2,Interrogation 2,"EVENT_NAME_st0472ev005
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0473ev000,暗部との対峙,Confronting the Dark Side,"EVENT_NAME_st0473ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st3000ev000,水竜大陸,The Water Dragon Continent,"EVENT_NAME_st3000ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0201ev240,大陸の異変,Continental Anomalies,"EVENT_NAME_st0201ev240
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st3111ev000,ゲートの門番,Gate Keeper,"EVENT_NAME_st3111ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st3111ev005,レオとの再会,Reunion with Leo,"EVENT_NAME_st3111ev005
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st3111ev010,黒騎士とレオ,Black Knight and Leo,"EVENT_NAME_st3111ev010
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0451ev025,アッカーシェランの異変,Acre Selund Anomaly,"EVENT_NAME_st0451ev025
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st3212ev000,数多の覚者,Numerous Arisen,"EVENT_NAME_st3212ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st3300ev000,闇の世界,Underworld,"EVENT_NAME_st3300ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st3300ev005,黒騎士の最期,The Last Days of the Black Knight,"EVENT_NAME_st3300ev005
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st3411ev000,ミシアルの登場,Emergence of Mysial,"EVENT_NAME_st3411ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st3500ev000,レオの覚悟,Leo's Determination,"EVENT_NAME_st3500ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st3500ev005,レオとの別れ,Farewell to Leo,"EVENT_NAME_st3500ev005
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st3400ev000,黒竜の登場,Appearance of the Black Dragon,"EVENT_NAME_st3400ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st3400ev005,黒竜の最期,The Last Days of the Black Dragon,"EVENT_NAME_st3400ev005
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0201ev245,未来への歩み・前半,"Steps toward the Future, First Half","EVENT_NAME_st0201ev245
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0100ev160,新たな時代の幕開け,Dawn of a New Era,"EVENT_NAME_st0100ev160
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0120ev050,滅びの渦,An Omen of Destruction,"EVENT_NAME_st0120ev050
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0134ev001,追いし者たち,The Pursuers,"EVENT_NAME_st0134ev001
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st0200ev030,未来への歩み・後半,"Steps toward the Future, Second Half","EVENT_NAME_st0200ev030
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st3100ev000,EX3.4アバドーン開始デモ,EX3.4 Abaddon starting demo,"EVENT_NAME_st3100ev000
ui\00_message\event\event_name.gmd",,
EVENT_NAME_st3100ev005,EX3.4アバドーン討伐デモ,EX3.4 Abaddon Defeat Demonstration,"EVENT_NAME_st3100ev005
ui\00_message\event\event_name.gmd",,
