"Term [en]","Description [en]","Part of Speech [en]","Term [ja]","Description [ja]","Part of Speech [ja]"
"Seeker became Job Level 23",,,シーカーのジョブレベルが23になった,,
"AB Mastery_static_shattering",,,"AB習得_静射 砕",,
"Harvesting items!",,,アイテムを取ります！,,
"AB learning_hard_floating",,,AB習得_硬浮,,
"Custom Skill Palette Switching",,,カスタムスキルパレット切り替え,,
"Warg dwelling place in the western part of the Elan Water Grove. 
The soldiers have been trying repeatedly to repel the Warg, but shortly after, the creatures return to this location in flocks.",,,"エラン水林西部にあるワーグの住み処
戦士たちが力を合わせて何度もワーグの
撃退を試みているが、しばらくすると
この場に群れが舞い戻ってきてしまうという",,
"Seeker became Job Level 24",,,シーカーのジョブレベルが24になった,,
"Custom-Made Service Ticket",,,カスタムメイドサービス券,,
"Warlord's Lackey",,,将の腰巾着,,
"Seeker became Job Level 25",,,シーカーのジョブレベルが25になった,,
"Memory of Urteca: Western Entrance",,,"ウルテカの記憶 西部 入口",,
"ADV: ",,,有利：,,
Harvey,,,ハーヴェイ,,
"Menace of the Ruins",,," 古跡の厄介者",,
"Seeker became Job Level 26",,,シーカーのジョブレベルが26になった,,
"Warm Mud",,,あたたかい泥湯,,
"Custom-Made Workshop",,,カスタムメイド工房,,
"Has a chance to not consume Force/Revenge/Magick Gauge.
<COL ffdc78>LV UP: Further increases the chance.</COL>",,,"フォースゲージ／リベンジゲージ／魔力ゲージを
消費するスキルを使用した際に
一定確率で消費を無効にする
<COL ffdc78>LV UP毎に無効になる確率がより増加</COL>",,
AFK,,,離席中,,
AM,,,AM,,
"Seeker became Job Level 27",,,シーカーのジョブレベルが27になった,,
"Menacing Form",,,威姿,,
"Warm and Fuzzy Cat Mask",,,ぽかぽかネコマスク,,
"Custom-Made Workshop 1: Searcher's Return",,,カスタムメイド工房１　探求者の帰還,,
"Custom-Made Workshop 2: Limit Break",,,カスタムメイド工房２　リミット解除,,
"Seeker became Job Level 28",,,シーカーのジョブレベルが28になった,,
"Warm and Fuzzy Cat Mask (Black)",,,ぽかぽかネコマスク【黒】,,
"Menas Bangles",,,メナスバングル,,
AP,,,AP,,
"Has a chance to not consume stamina when
you use custom skills.
<COL ffdc78>LV UP: Further increases the chance.</COL>",,,"スタミナを一定量消費するスキルを使用した際に
一定確率で消費を無効にする
<COL ffdc78>LV UP毎に無効になる確率がより増加</COL>",,
"Warm and Fuzzy Cat Mask (Green)",,,ぽかぽかネコマスク【緑】,,
"Seeker became Job Level 29",,,シーカーのジョブレベルが29になった,,
"AP (Betland Plains)",,,AP【バートランド平原】,,
Mending,,,修復,,
"Custom-Made Workshop 3: Ultimate Arms Synthesis",,,カスタムメイド工房３　武具極限合成,,
"Mentor's Cap",,,指導者のキャップ,,
"Warm and Fuzzy Cat Mask (Orange)",,,ぽかぽかネコマスク【橙】,,
"Custom-made Arms",,,武具のカスタムメイド,,
"AP (Bloodbane Isle)",,,AP【魔赤島】,,
Hasta,,,ハスタ,,
"Seeker became Job Level 30",,,シーカーのジョブレベルが30になった,,
"Mentor's Ring",,,導師のリング,,
"Seeker became Job Level 31",,,シーカーのジョブレベルが31になった,,
Customize,,,カスタマイズ,,
"Haunted by Bitterblack Maze",,,極・黒呪にとりつかれしモノ,,
"AP (Breya Coast)",,,AP【ブリア海岸】,,
"Warm and Fuzzy Cat Mask (Purple)",,,ぽかぽかネコマスク【紫】,,
Hauteclere,,,オートクレール,,
Menu,,,メニュー,,
"Customize <VAL>",,,カスタマイズ<VAL>,,
"Seeker became Job Level 32",,,シーカーのジョブレベルが32になった,,
"AP (Deenan Woods)",,,AP【ディナン深層林】,,
"Warm and Fuzzy Cat Mask (Yellow)",,,ぽかぽかネコマスク【黄】,,
"Seeker became Job Level 33",,,シーカーのジョブレベルが33になった,,
"Have 10 appraisals through Appraisal Exchange",,,鑑定交換で10個鑑定,,
"Customize Pawn Reactions",,,ポーンリアクションを設定して下さい,,
"Warped Canopy",,,歪みの樹冠,,
"AP (Dowe Valley)",,,AP【ダウ渓谷】,,
"Seeker became Job Level 34",,,シーカーのジョブレベルが34になった,,
"AP (Eastern Zandora)",,,AP【ザンドラ東部】,,
"Have 50 appraisals through Appraisal Exchange",,,鑑定交換で50個鑑定,,
"Warping Soul",,,ワーピングソウル,,
"Customizing Equipment",,,装備品のカスタマイズ,,
Warrior,,,ウォリアー,,
"Menu Functions",,,便利なシステム機能,,
Cute!,,,可愛いね！,,
"AP (Elan Water Grove)",,,AP【エラン水林】,,
"Seeker became Job Level 35",,,シーカーのジョブレベルが35になった,,
"Have 100 appraisals through Appraisal Exchange",,,鑑定交換で100個鑑定,,
"Have a main pawn reach
level 5 in crafting",,,"メインポーンのクラフトレベルが
5に到達",,
"Menvili the Undead Priest",,,亡者司祭メンヴィル,,
"AP (Farana Plains)",,,AP【ファーラナ平原】,,
"Warrior Job Training",,,ウォリアーのジョブ修練,,
"Seeker became Job Level 36",,,シーカーのジョブレベルが36になった,,
"Warrior Strike Damage UP",,,ウォリアーの打属性ダメージUP,,
"Cutie Shorts - Marine",,,キューティショーツ・マリン,,
"Seeker became Job Level 37",,,シーカーのジョブレベルが37になった,,
"AP (Feryana Wilderness)",,,AP【フェルヤナ荒原】,,
Mephis,,,メフィス,,
"Have a main pawn reach
level 10 as a Fighter",,,"メインポーン（ファイター）の
ジョブレベルが10に到達",,
"Cutie Shorts - Pink",,,キューティショーツ・ピンク,,
"Seeker became Job Level 38",,,シーカーのジョブレベルが38になった,,
"Warrior Tactics Trial: A Strong Sword",,," 剛剣の証　ウォリアー戦術試練",,
"Have a main pawn reach
level 10 as a Hunter",,,"メインポーン（ハンター）の
ジョブレベルが10に到達",,
"AP (Hidell Plains)",,,AP【ハイデル平原】,,
"Mephisto Bracelet",,,メフィストブレス,,
"Seeker became Job Level 39",,,シーカーのジョブレベルが39になった,,
"Have a main pawn reach
level 10 as a Priest",,,"メインポーン（プリースト）の
ジョブレベルが10に到達",,
Mephite,,,メフィテ,,
"Cutie Shorts - Yellow",,,キューティショーツ・イエロー,,
"AP (Kingal Canyon)",,,AP【キンガル峡谷】,,
"Warrior Thief_Female_Special Frame 1",,,戦士盗賊_女_特殊枠1,,
"AP (Megadosys Plateau)",,,AP【メガドシス高地】,,
"Have a main pawn reach
level 10 as a Seeker",,,"メインポーン（シーカー）の
ジョブレベルが10に到達",,
"Cutie Wear - Berry",,,キューティウェア・ベリー,,
"Seeker became Job Level 40",,,シーカーのジョブレベルが40になった,,
"Warrior Thief_Female_Special Frame 2",,,戦士盗賊_女_特殊枠2,,
"AP (Mergoda Ruins)",,,AP【亡都メルゴダ】,,
"Mephite Traveler's Inn",,,メフィテ旅人宿,,
"Seeker became Job Level 41",,,シーカーのジョブレベルが41になった,,
"Have a main pawn reach
level 10 as a Shield Sage",,,"メインポーン（シールドセージ）の
ジョブレベルが10に到達",,
"Cutie Wear - Marine",,,キューティウェア・マリン,,
"Warrior Thief_Female_Special Frame 3",,,戦士盗賊_女_特殊枠3,,
"Warrior Thief_Female_Special Frame 4",,,戦士盗賊_女_特殊枠4,,
"Have a main pawn reach
level 10 as a Sorcerer",,,"メインポーン（ソーサラー）の
ジョブレベルが10に到達",,
"AP (Morrow Forest)",,,AP【モロー樹林】,,
"Mercenary Leg-Guards",,,傭兵のレッグガード,,
"Cutie Wear - Yellow",,,キューティウェア・イエロー,,
"Seeker became Job Level 42",,,シーカーのジョブレベルが42になった,,
"Seeker became Job Level 43",,,シーカーのジョブレベルが43になった,,
"Have a main pawn reach
level 10 as a Warrior",,,"メインポーン（ウォリアー）の
ジョブレベルが10に到達",,
"Warrior Undead",,,ウォリアーアンデッド,,
"AP (Mysree Forest)",,,AP【ミスリウ森林】,,
Merchant,,,商人,,
Cutlass,,,カットラス,,
"AP (Mysree Grove)",,,AP【ミスリウ森林深部】,,
"Warrior Vocation Emblem",,,ウォリアーのジョブの証,,
"Merciful, Pure-White Devil's Costume",,,慈悲深き純白の悪魔の装束,,
"Seeker became Job Level 44",,,シーカーのジョブレベルが44になった,,
"Have a main pawn reach
level 10 as an Alchemist",,,"メインポーン（アルケミスト）の
ジョブレベルが10に到達",,
Cyclops,,,サイクロプス,,
"Cyclops Lantern",,,サイクロランタン,,
"Seeker became Job Level 45",,,シーカーのジョブレベルが45になった,,
"AP (Northern Betland Plains)",,,AP【バートランド平原北部】,,
"Warrior War Skill Augmentation",,,ウォリアーの戦技の継承,,
Mergan,,,メルガン,,
"Have a main pawn reach
level 10 as an Element Archer",,,"メインポーン（エレメントアーチャー）の
ジョブレベルが10に到達",,
"Warrior bandit_Female_Light_3-1",,,戦士盗賊_女_軽装_3-1,,
"Seeker became Job Level 46",,,シーカーのジョブレベルが46になった,,
"Cyclops Lantern (Gold)",,,サイクロランタン【金】,,
"AP (Rathnite Foothills)",,,AP【ラスニテ山麓】,,
"Have a main pawn reach
level 15 in crafting",,,"メインポーンのクラフトレベルが
15に到達",,
"Mergan Alchemdia",,,メルガン・アルケミデア,,
"Seeker became Job Level 47",,,シーカーのジョブレベルが47になった,,
"Have a main pawn reach
level 30 in crafting",,,"メインポーンのクラフトレベルが
30に到達",,
"Warrior bandit_Female_Light_3-2",,,戦士盗賊_女_軽装_3-2,,
"AP (Urteca Mountains)",,,AP【ウルテカ山岳】,,
"Cyclops Lantern (Silver)",,,サイクロランタン【銀】,,
"Warrior bandit_Female_Light_3-3",,,戦士盗賊_女_軽装_3-3,,
"Have a main pawn reach
level 40 as a Fighter",,,"メインポーン（ファイター）の
ジョブレベルが40に到達",,
"AP (Volden Mines)",,,AP【ボルド鉱山】,,
"Seeker became Job Level 48",,,シーカーのジョブレベルが48になった,,
"Cyclops Tusk",,,サイクロプスの牙,,
"Mergan Alchemist",,,メルガンアルケミスト,,
"Cymbal Attack",,,シールドバッシュ,,
"AP (Zandora Wastelands)",,,AP【ザンドラ禁域】,,
"Seeker became Job Level 49",,,シーカーのジョブレベルが49になった,,
"Have a main pawn reach
level 40 as a Hunter",,,"メインポーン（ハンター）の
ジョブレベルが40に到達",,
"Mergan Cloth",,,メルガンクロス,,
"Warrior bandit_Female_Light_4-1",,,戦士盗賊_女_軽装_4-1,,
"Cymbal Attack (P)",,,"シールドバッシュ 剛",,
"Mergan Defender",,,メルガンガーダー,,
"Have a main pawn reach
level 40 as a Priest",,,"メインポーン（プリースト）の
ジョブレベルが40に到達",,
"Warrior bandit_Female_Light_4-2",,,戦士盗賊_女_軽装_4-2,,
"Seeker became Job Level 50",,,シーカーのジョブレベルが50になった,,
"AP gained this week",,,今週の獲得AP,,
"Cymbal Attack (T)",,,"シールドバッシュ 技",,
"Mergan Element Archer",,,メルガンエレメンター,,
"Have a main pawn reach
level 40 as a Seeker",,,"メインポーン（シーカー）の
ジョブレベルが40に到達",,
"Seeker became Job Level 51",,,シーカーのジョブレベルが51になった,,
"Aah, help!",,,あぁっ、助けて！！,,
"Warrior bandit_Female_Light_4-3",,,戦士盗賊_女_軽装_4-3,,
"Warrior bandit_Female_Light_5-1",,,戦士盗賊_女_軽装_5-1,,
"Mergan Engineer",,,メルガン・エンジニア,,
Cyril,,,セロ,,
"Seeker became Job Level 52",,,シーカーのジョブレベルが52になった,,
Abaddon,,,アバドーン,,
"Have a main pawn reach
level 40 as a Shield Sage",,,"メインポーン（シールドセージ）の
ジョブレベルが40に到達",,
Cyrus,,,サイラス,,
"Mergan Fighter",,,メルガンファイター,,
"Abandoned Boneyard",,,廃骨場,,
"Warrior bandit_Female_Light_5-2",,,戦士盗賊_女_軽装_5-2,,
"Have a main pawn reach
level 40 as a Sorcerer",,,"メインポーン（ソーサラー）の
ジョブレベルが40に到達",,
"Seeker became Job Level 53",,,シーカーのジョブレベルが53になった,,
"Warrior bandit_Female_Light_5-3",,,戦士盗賊_女_軽装_5-3,,
"D D D",,,ＤＤＤ,,
"Have a main pawn reach
level 40 as a Warrior",,,"メインポーン（ウォリアー）の
ジョブレベルが40に到達",,
"Seeker became Job Level 54",,,シーカーのジョブレベルが54になった,,
"Abandoned House Cellar",,,廃屋の地下室,,
"Mergan Healer",,,メルガンヒーラー,,
"Seeker became Job Level 55",,,シーカーのジョブレベルが55になった,,
"Have a main pawn reach
level 40 as an Alchemist",,,"メインポーン（アルケミスト）の
ジョブレベルが40に到達",,
"D Rank: <VAL DP>",,,"Ｄランク ： <VAL DP>",,
"Warrior bandit_Male_Light_4-1",,,戦士盗賊_男_軽装_4-１,,
"Mergan Hunter",,,メルガンハンター,,
"Have a main pawn reach
level 40 as an Element Archer",,,"メインポーン（エレメントアーチャー）の
ジョブレベルが40に到達",,
D.R.I.P.,,,Ｄ.Ｒ.Ｉ.Ｐ.,,
"Seeker became Job Level 56",,,シーカーのジョブレベルが56になった,,
"Mergan Mage",,,メルガンメイジ,,
"Warrior bandit_Male_Light_4-2",,,戦士盗賊_男_軽装_4-2,,
"Abandoned Underground Passage",,,棄てられた地下道,,
"DDDA Aelinore Equipment",,,DDDAエリノアなりきり装備,,
"Have a main pawn reach
level 60 as a Fighter",,,"メインポーン（ファイター）の
ジョブレベルが60に到達",,
"Seeker became Job Level 57",,,シーカーのジョブレベルが57になった,,
"Warrior bandit_Male_Light_4-3",,,戦士盗賊_男_軽装_4-3,,
"Mergan Ring",,,メルガンリング,,
"Mergan Seeker",,,メルガンシーカー,,
"Seeker became Job Level 58",,,シーカーのジョブレベルが58になった,,
"Warrior bandit_Male_Light_5-1",,,戦士盗賊_男_軽装_5-1,,
"Abandoned Well on Hidell Road",,,ハイデル街道の枯れ井戸,,
"Have a main pawn reach
level 60 as a Hunter",,,"メインポーン（ハンター）の
ジョブレベルが60に到達",,
"DDDA Feste Equipment",,,DDDAフェステなりきり装備,,
"Seeker became Job Level 59",,,シーカーのジョブレベルが59になった,,
"Have a main pawn reach
level 60 as a Priest",,,"メインポーン（プリースト）の
ジョブレベルが60に到達",,
"Warrior bandit_Male_Light_5-2",,,戦士盗賊_男_軽装_5-2,,
"Mergan Warrior",,,メルガンウォリアー,,
"DDON Million Deluxe Helm (I)",,,DDONミリオンデラックスヘルム【Ⅰ】,,
"Warrior bandit_Male_Light_5-3_Small_Dirt",,,戦士盗賊_男_軽装_5-3_汚少,,
"Have a main pawn reach
level 60 as a Seeker",,,"メインポーン（シーカー）の
ジョブレベルが60に到達",,
"DDON Million Deluxe Helm (II)",,,DDONミリオンデラックスヘルム【Ⅱ】,,
"Abandoned underground storehouse within a decaying shack by the seaside. 
It tends to become a gathering place for monsters and rogues, which is why it was sealed off. 
However, recently there have been frequent sightings of signs of someone or something trespassing and strange noises.",,,"海辺にある朽ちた廃屋の地下倉庫
魔物やならず者の溜まり場になりやすい
ことから封鎖されたが、何者かが侵入
したらしい形跡や物音が最近しばしば
確認されている",,
"Mergan's Sworn Enemy I",,,メルガンの怨敵Ⅰ,,
"Seeker became Job Level 60",,,シーカーのジョブレベルが60になった,,
"Mergan's Sworn Enemy II",,,メルガンの怨敵Ⅱ,,
"Seeker became Job Level 61",,,シーカーのジョブレベルが61になった,,
"Have a main pawn reach
level 60 as a Shield Sage",,,"メインポーン（シールドセージ）の
ジョブレベルが60に到達",,
Abattoir,,,肉裂き館,,
"DDON Million Deluxe Helm (III)",,,DDONミリオンデラックスヘルム【Ⅲ】,,
"Warrior bandit_Male_Light_6-1",,,戦士盗賊_男_軽装_6-1,,
"Have a main pawn reach
level 60 as a Sorcerer",,,"メインポーン（ソーサラー）の
ジョブレベルが60に到達",,
"DDON was awarded
a commemorative trophy.",,,"DDONが受賞された
記念のトロフィー",,
"Warrior bandit_Male_Light_6-2",,,戦士盗賊_男_軽装_6-2,,
"Seeker became Job Level 62",,,シーカーのジョブレベルが62になった,,
"Mergan's Sworn Enemy III",,,メルガンの怨敵Ⅲ,,
Mergitur,,,メルギトゥル,,
"Seeker became Job Level 63",,,シーカーのジョブレベルが63になった,,
"Warrior bandit_Male_Light_6-3_Small_Dirt",,,戦士盗賊_男_軽装_6-3_汚少,,
"DIS: ",,,不利：,,
Abbas,,,アッバス,,
"Have a main pawn reach
level 60 as a Warrior",,,"メインポーン（ウォリアー）の
ジョブレベルが60に到達",,
Mergoda,,,メルゴダ,,
"Have a main pawn reach
level 60 as an Alchemist",,,"メインポーン（アルケミスト）の
ジョブレベルが60に到達",,
"Warrior bandit_Male_Special Frame 1",,,戦士盗賊_男_特殊枠1,,
"Seeker became Job Level 64",,,シーカーのジョブレベルが64になった,,
"Abhorrent territory",,,忌み標の領域,,
DIYはじめました,,,ACHIEVEMENT_NAME_2312,,
"Warrior bandit_Male_Special Frame 2",,,戦士盗賊_男_特殊枠2,,
DOWN,,,DOWN,,
"Seeker became Job Level 65",,,シーカーのジョブレベルが65になった,,
"Mergoda Female Officer",,,メルゴダ女守官,,
"Have a main pawn reach
level 60 as an Element Archer",,,"メインポーン（エレメントアーチャー）の
ジョブレベルが60に到達",,
"Ability Set Slot",,,アビリティセット枠,,
"Seeker became Job Level 66",,,シーカーのジョブレベルが66になった,,
"Warrior bandit_Male_Special Frame 3",,,戦士盗賊_男_特殊枠3,,
"Mergoda Flood Channels",,,メルゴダ大水網,,
"Have to play attacker!",,,アタッカーでプレイしています！,,
DP,,,DP,,
"Ablaze Claymore",,,アブレイズクレイモア,,
"Seeker became Job Level 67",,,シーカーのジョブレベルが67になった,,
DPad,,,方向キー,,
"Warrior bandit_Male_Special Frame 4",,,戦士盗賊_男_特殊枠4,,
"Have to play healer!",,,ヒーラーでプレイしています！,,
"Seeker became Job Level 68",,,シーカーのジョブレベルが68になった,,
"Mergoda Golden Palace",,,メルゴダ・黄金宮,,
"Ablaze Composite",,,アブレイズコンポジット,,
"DPad Down",,,方向キー下,,
"Warrior bandit_Male_Special Frame 5",,,戦士盗賊_男_特殊枠5,,
"Have to play multiple jobs!",,,複数のジョブでプレイしています！,,
"Ablaze Daggers",,,アブレイズダガー,,
"DPad Left",,,方向キー左,,
"Warrior became Job Level 2",,,ウォリアーのジョブレベルが2になった,,
"Have to play tank!",,,タンクでプレイしています！,,
"Seeker became Job Level 69",,,シーカーのジョブレベルが69になった,,
"DPad Left/Right",,,方向キーの左右,,
"Ablaze Druid Wand",,,アブレイズドルイドワンズ,,
"Have you checked the Quest Board?
This is your chance to make a name for yourself.",,,"クエストボードの確認はしましたか？
貴方様の名を上げるチャンスです",,
"Mergoda Lower Level",,,メルゴダ下層,,
"Warrior became Job Level 3",,,ウォリアーのジョブレベルが3になった,,
"Seeker became Job Level 70",,,シーカーのジョブレベルが70になった,,
"Have you forgotten anything?　Tools, equipment...",,,忘れ物はありません？　道具に、装備に――,,
"Seeker became Job Level 71",,,シーカーのジョブレベルが71になった,,
"Mergoda Lower Level: Abundant Ruins",,,メルゴダ下層　廃墟群,,
"Warrior became Job Level 4",,,ウォリアーのジョブレベルが4になった,,
"Ablaze Falchion",,,アブレイズファルシオン,,
"DPad Right",,,方向キー右,,
"DPad Up",,,方向キー上,,
"Warrior became Job Level 5",,,ウォリアーのジョブレベルが5になった,,
"Ablaze Gauntlet",,,アブレイズガントレット,,
"Seeker became Job Level 72",,,シーカーのジョブレベルが72になった,,
Hawk-Eye,,,ホークアイ,,
"DPad Up/Down",,,方向キーの上下,,
"Mergoda Lower Level: Previous Portcrystal",,,メルゴダ下層　礎前,,
"Warrior became Job Level 6",,,ウォリアーのジョブレベルが6になった,,
Hawthorne,,,ホーソーン,,
"Seeker became Job Level 73",,,シーカーのジョブレベルが73になった,,
"Ablaze Partisan",,,アブレイズパルチザン,,
"Ablaze Scutum",,,アブレイズスクトゥム,,
"Seeker became Job Level 74",,,シーカーのジョブレベルが74になった,,
"DPad Up/Down/Left/Right",,,方向キーの上下左右,,
"Warrior became Job Level 7",,,ウォリアーのジョブレベルが7になった,,
Hayal,,,ハヤル,,
"Warrior became Job Level 8",,,ウォリアーのジョブレベルが8になった,,
"Mergoda Medal",,,メルゴダ印記章,,
"DYI Beginner",,,DIYはじめました,,
"Seeker became Job Level 75",,,シーカーのジョブレベルが75になった,,
"Ablaze Staff",,,アブレイズスタッフ,,
Hayden,,,ヘイデン,,
Daciaensis,,,ダキアエネシス,,
"Ablaze Twin Spell",,,アブレイズツインスペル,,
"Hazardous Locations",,,危険な場所,,
"Mergoda Patrol Corps",,,メルゴダ巡視兵団,,
"Seeker became Job Level 76",,,シーカーのジョブレベルが76になった,,
"Warrior became Job Level 9",,,ウォリアーのジョブレベルが9になった,,
"Mergoda Residential Area",,,メルゴダ居住区,,
"Able to Freeze!",,,凍らせます！,,
"Dacreim Fortress",,,ダクレイム砦,,
"Warrior became Job Level 10",,,ウォリアーのジョブレベルが10になった,,
"Seeker became Job Level 77",,,シーカーのジョブレベルが77になった,,
"Hazardous Locations: Additional Notes",,,危険な場所：追記,,
"Warrior became Job Level 11",,,ウォリアーのジョブレベルが11になった,,
"He's angry!　I gotta be careful!",,,ふん、怒ってやがる！　気を付けねぇとな！,,
"Able to deal precise damage from
long distances.
Has a variey of support abilities by the use of
special arrows.
The Sniper of the Battlefield.",,,"精密な射撃で遠距離から先制するスナイパー役
特殊矢による多様な支援力も魅力
強敵の弱点を正確に射ぬき戦況を優位に導く",,
"Seeker became Job Level 78",,,シーカーのジョブレベルが78になった,,
"Mergoda Royal Palace Level",,,メルゴダ王宮層,,
"Able to put it to sleep!",,,眠らせます！,,
"He's very cautious, so I don't think he's in a place
that can be easily found...
According to the diary, he says everything has been placed there?",,,"用心深い彼のことだ、たやすく見つかる場所に
あるとは思っていないが――
日記によると、全てをそこに置いてきたのだとか",,
"Seeker became Job Level 79",,,シーカーのジョブレベルが79になった,,
"Dacreim Fortress Recapture Battle",,," ダクレイム砦奪還戦",,
"Warrior became Job Level 12",,,ウォリアーのジョブレベルが12になった,,
"Warrior became Job Level 13",,,ウォリアーのジョブレベルが13になった,,
"Mergoda Royal Palace Level: Empty Court",,,メルゴダ王宮層　空庭,,
"Dacreim Fortress Recapture Battle: Boss Annihilation ",,," ダクレイム砦奪還戦　戦況：大将討滅",,
"Head Armor",,,頭防具,,
"Seeker became Job Level 80",,,シーカーのジョブレベルが80になった,,
"About Armored Battles: Additional Notes",,,戦甲種について：追記,,
"Seeker became Job Level 81",,,シーカーのジョブレベルが81になった,,
"Dacreim Fortress Recapture Battle: Enemy Annihilation",,," ダクレイム砦奪還戦　戦況：敵軍殲滅",,
"Warrior became Job Level 14",,,ウォリアーのジョブレベルが14になった,,
"About Armored Battles: Large Enemies",,,戦甲種について：大型敵,,
"Head Size",,,頭の大きさ,,
"Dacreim Fortress Recapture Battle: Stirring General",,,ダクレイム砦奪還戦　戦況：大将奮起,,
"Mergoda Ruins",,,亡都メルゴダ,,
"Seeker became Job Level 82",,,シーカーのジョブレベルが82になった,,
"Head for ""Small Cave Tombs""",,,＜死者の小窟＞を目指す,,
"Warrior became Job Level 15",,,ウォリアーのジョブレベルが15になった,,
"About Armored Battles: Small Enemies",,,戦甲種について：小型敵,,
"Seeker became Job Level 83",,,シーカーのジョブレベルが83になった,,
"Dagger of Tribe",,,ダガーオブトライブ,,
"Head for ""Spirit Dragon's Roost""",,,＜精霊竜のねぐら＞を目指す,,
"Warrior became Job Level 16",,,ウォリアーのジョブレベルが16になった,,
"About Custom-Made Workshop",,,カスタムメイド工房について,,
"Seeker became Job Level 84",,,シーカーのジョブレベルが84になった,,
"Head for Leo's Hideout deep within the dungeon",,,ダンジョンの奥にあるレオのアジトを目指す,,
"Warrior became Job Level 17",,,ウォリアーのジョブレベルが17になった,,
"About Dwarf Orcs",,,ドワーフオークについて,,
"Dagger of Vashak",,,ダガーオブヴァシャーク,,
"Mergoda Ruins Trial: The Fall of Salon ",,," 亡都メルゴダ　試練：破滅のサロン",,
"Mergoda Ruins Trial: The Frost Spirit Champion ",,," 亡都メルゴダ　試練：凍てつく魂の標榜",,
"Seeker became Job Level 85",,,シーカーのジョブレベルが85になった,,
Daggers,,,ダガー,,
"About Furniture",,,家具について,,
"Head for the cellar",,,地下保管庫を目指す,,
"Warrior became Job Level 18",,,ウォリアーのジョブレベルが18になった,,
"Seeker became Job Level 86",,,シーカーのジョブレベルが86になった,,
"Daggers of Agitator",,,ダガーオブアジテイター,,
"About Infected Plants",,,汚染植物について,,
"Warrior became Job Level 19",,,ウォリアーのジョブレベルが19になった,,
"Head for the marker",,,マーカーを目指しましょう,,
"Mergoda Ruins Trial: The Price of the Secret Arts",,," 亡都メルゴダ　試練：秘術の代償",,
"Warrior became Job Level 20",,,ウォリアーのジョブレベルが20になった,,
"About Infected: Large Enemies",,,"侵食魔について：大型敵 ",,
"Daggers of Altesch",,,ダガーオブアルテッシュ,,
"Head for the source of the bright light over the island",,,島の光り輝く光源を目指す,,
"Mergoda Ruins Trial: The Secret Arts' Lost Progeny ",,," 亡都メルゴダ　試練：秘術の落とし仔",,
"Seeker became Job Level 87",,,シーカーのジョブレベルが87になった,,
"Head into the heart of Erte Deenan",,,エルテ・ディナン中心部へ向かう,,
"Mergoda Ruins, located in the royal palace layer, is a deserted place where the remnants of the original residents, including a large number of books, remain untouched. Although it is completely in ruins, there are rumors that people who lean towards heretical ideologies still use it as a gathering place.",,,"亡都メルゴダ　王宮層にある廃墟
元の住民のものと思しき大量の書籍もそのままに
打ち捨てられている。すっかり荒れ果ててはいるが
異端思想に傾倒する者たちが未だに集会所として
いるとの噂がある",,
"Warrior became Job Level 21",,,ウォリアーのジョブレベルが21になった,,
"About Infected: Small Enemies",,,侵食魔について：小型敵,,
"Seeker became Job Level 88",,,シーカーのジョブレベルが88になった,,
"Daggers of Altura",,,ダガーオブアルトゥーラ,,
"Warrior became Job Level 22",,,ウォリアーのジョブレベルが22になった,,
"Mergoda Ruins: Lower Level",,,亡都メルゴダ　下層,,
"Head into the open cave",,,開いた洞窟の奥へ向かう,,
"About Quests",,,クエストのルール,,
"Daggers of Fedeltà",,,ダガーオブフェデルタ,,
"Seeker became Job Level 89",,,シーカーのジョブレベルが89になった,,
"Seeker became Job Level 90",,,シーカーのジョブレベルが90になった,,
"Head through the checkpoint to the village of Rothgill",,,関所を抜けロスギルの村へ向かう,,
"Warrior became Job Level 23",,,ウォリアーのジョブレベルが23になった,,
"Daggers of Guardian",,,ダガーオブガーディアン,,
"About the Expedition bookshelf",,,探検の書棚について,,
"About the Secret Mission in Megado",,,メガドでの極秘任務について,,
"Warrior became Job Level 24",,,ウォリアーのジョブレベルが24になった,,
"Head through the open huge doors",,,開いた大扉の先に向かう,,
"Mergoda Ruins: Royal Palace Level",,,亡都メルゴダ　王宮層,,
"Seeker became Job Level 91",,,シーカーのジョブレベルが91になった,,
"Daggers of Ice Age",,,ダガーオブアイスエイジ,,
"About the same appearance as one's pawn",,,自分のポーンと同じくらいの見栄えだ,,
"Seeker became Job Level 92",,,シーカーのジョブレベルが92になった,,
"Warrior became Job Level 25",,,ウォリアーのジョブレベルが25になった,,
"Head through the west checkpoint gate to the village of Rothgill",,,西門の関所を抜けロスギルの村へ向かう,,
"Daggers of Kraken",,,ダガーオブクラーケン,,
"Mergoda Security District",,,メルゴダ護政区,,
"Seeker became Job Level 93",,,シーカーのジョブレベルが93になった,,
"Warrior became Job Level 26",,,ウォリアーのジョブレベルが26になった,,
"About your history",,,素性について,,
"Head to ""<SPOT 475>""",,,"＜<SPOT 475>＞へ向かう",,
"Daggers of Legend",,,ダガーオブレジェンド,,
"Seeker became Job Level 94",,,シーカーのジョブレベルが94になった,,
"Daggers of Ombre",,,ダガーオブオンブル,,
"Warrior became Job Level 27",,,ウォリアーのジョブレベルが27になった,,
Abram,,,エイブラム,,
"Head to ""<SPOT 490>"" of Volden Mines",,,"ボルド鉱山の＜<SPOT 490>＞へ向かう",,
"Warrior became Job Level 28",,,ウォリアーのジョブレベルが28になった,,
"Seeker became Job Level 95",,,シーカーのジョブレベルが95になった,,
