NORMAL_SKILL_INFO_03_43,"<PADM>爆薬矢をつがえ弓を上方に構える<KEYM>通常の弓構えか、上方に向ける
爆矢構えかを選択する</KEYM>
空中でも発動可能","<PADM>Hold an explosive arrow, and keep the bow pointed upwards.
<KEYM>Point the bow upwards while in a normal bow stance,
and decide the destination of the explosive arrows.</KEYM>
Can be activated even while in the air."
NORMAL_SKILL_INFO_03_44,"爆薬矢を上方に放つ
爆薬矢は一定時間で自動起爆するが
攻撃により起爆させるとダメージが上昇する
空中でも発動可能","Loose an explosive arrow upwards.
The explosive arrow will detonate automatically after a period of time,
but the damage increases by detonating when struck by an attack.
Can be activated even while in the air."
NORMAL_SKILL_INFO_03_45,"爆薬矢の準備動作が高速化される
空中でも発動可能","Speed up the time it takes to prepare an
explosive arrow.
Can be activated even while in the air."
NORMAL_SKILL_INFO_03_47,"前方に蹴りを放つ
空中でも発動可能","Kick forward.
Can be activated even while in the air."
NORMAL_SKILL_INFO_03_48,矢筒に矢を補充する,Replenish the quiver with arrows.
NORMAL_SKILL_INFO_03_49,矢筒に矢を高速補充する,Quickly replenish the quiver with arrows.
NORMAL_SKILL_INFO_03_50,"矢の種類を切り替える
空中でも発動可能","Switch the type of arrow.
Can be activated even while in the air."
NORMAL_SKILL_INFO_03_60,"しがみついた状態から
装備中の矢の先端で突き刺す
ボタン連打で攻撃回数が増加する","While climbing an enemy, stab into them with
the tip of the arrow that is equipped.
The number of attacks rises with repeated button presses."
NORMAL_SKILL_INFO_04_61,"杖から魔法球を放つ
ボタンの長押しで弾数、威力が上昇する
空中でも発動可能（ボタン長押しは地上のみ）","Fire magickal bolts from the tip of the cane.
Holding the button down will increase the number and damage of bolts.
Can be activated even while in the air, but can only charge on the ground."
NORMAL_SKILL_INFO_04_62,"自身を中心に体力回復効果のある魔法エリアを
展開する（最大回復量は治癒上限値）
空中でも発動可能、フィールドシフトに対応
<COL ffdc78>LV UPで回復力が上昇し、より広範囲に
エリア展開する＜ヒールオーラエクス＞に進化</COL>","Release a magickal aura around yourself that recovers
the health of those within it. (Maximum recovery amount scales with healing power.)
Can be activated even while in the air, and works with Field Shift.
<COL ffdc78>LV UP: Increases healing power, and becomes a larger radius
form (Great Heal Aura).</COL>"
NORMAL_SKILL_INFO_04_63,"自身を中心に体力回復効果のある
魔法エリアを広範囲に展開する
空中でも発動可能、フィールドシフトに対応","Release a magical aura around yourself that recovers
the health of those within it.
Can be activated even while in the air, and works with Field Shift."
NORMAL_SKILL_INFO_04_64,"自身を中心に聖属性を帯びた攻撃魔法エリアを
展開する
空中でも発動可能、フィールドシフトに対応
<COL ffdc78>LV UPで攻撃威力が上昇し、より広範囲に
エリア展開する＜セイントオーラエクス＞に進化</COL>","Release a damaging Holy aura around yourself.
Can be activated even while in the air, and works with Field Shift.
<COL ffdc78>LV UP: Increases damage of the skill, and becomes
a larger radius form (Greater Holy Aura).</COL>"
NORMAL_SKILL_INFO_04_65,"自身を中心に聖属性を帯びた攻撃魔法エリアを
広範囲に展開する
空中でも発動可能、フィールドシフトに対応","Release a damaging Holy aura around yourself.
Can be activated even while in the air, and works with Field Shift."
NORMAL_SKILL_INFO_04_66,"自身が展開している魔法エリアを
味方全員に移し付与する",Transfer an active magickal aura to an ally.
NORMAL_SKILL_INFO_04_68,"ジャンプ中の落下速度を抑制し
滞空時間を延長する","Slow your descent while falling, and
extend the duration you stay in the air."
NORMAL_SKILL_INFO_04_69,"しがみついた状態から、癒しの魔法陣を展開させる
魔法陣の内部は味方の体力が回復する","While climbing an enemy, form a healing aura around yourself
that recovers the health of allies inside of it."
NORMAL_SKILL_INFO_04_146,"しがみついた状態から、自身を中心に
聖属性の攻撃魔法エリアを展開する","While climbing an enemy, form a damaging holy aura around yourself."
NORMAL_SKILL_INFO_05_70,大盾で殴りつける,Attack with your greatshield.
NORMAL_SKILL_INFO_05_83,空中から大盾で殴りつける,Attack with your greatshield in the air.
NORMAL_SKILL_INFO_05_72,"ロッドに属性効果を付与する
（炎・氷・雷のいずれか）
空中でも発動可能
<COL ffdc78>LV UPで選択可能属性が聖・闇を含む
５属性の＜ペンタエレメントチェンジ＞に進化</COL>","Change the elemental attribute on your rod.
(Ice/Fire/Thunder)
Can be activated in the air.
<COL ffdc78>LV UP: Add the elements of Light and Darkness
to the elements you can change to.</COL>"
NORMAL_SKILL_INFO_05_73,"ロッドに属性効果を付与する
（炎・氷・雷・聖・闇のいずれか）
空中でも発動可能","Change the elemental attribute on your rod.
(Ice/Fire/Thunder/Light/Darkness)
Can be activated in the air."
NORMAL_SKILL_INFO_05_74,"大盾で敵の攻撃を自動的に防ぎ、攻力を吸収する
ロッドの選択属性と受けた攻撃が同属性だと
吸収量増加。空中でも発動可能","Block the enemy's attack with your greatshield to
charge the gauge with the current element on your rod.
Can be activated in the air."
NORMAL_SKILL_INFO_05_75,"大盾を構え、防御方向を固定する
固定中は攻力吸収量が上がり、スキが減少
ロッドの選択属性と受けた攻撃が同属性だと
吸収量増加。空中でも発動可能","Affix your greatshield towards the enemy, increasing
the rate of gauge gain. Gauge increase is larger
if the attack matches the element on your rod.
Can be activated in the air."
NORMAL_SKILL_INFO_05_76,"大盾で敵の攻撃をタイミングよく直前防御する
多量の攻力を吸収し、スタミナ消費もゼロになる
ロッドの選択属性と受けた攻撃が同属性だと
吸収量増加。空中でも発動可能","Activate the greatshield as an enemy strikes you to
increase the gauge by a large amount. Gauge increase
is larger if the attack matches the element on
your rod. Consumes no Stamina on block."
NORMAL_SKILL_INFO_05_77,"大盾に蓄積した攻力を敵に放つ
空中でも発動可能
フォースゲージ１本消費で発動可能","Fire a ball of elemental energy at the enemy.
The element is the same as the current selected.
Consumes 1 bar of Force Gauge."
NORMAL_SKILL_INFO_05_78,"ロッドの閃光で敵の注目を集め、自身を狙わせる
注目を集めている間、フォースゲージがやや増加する
空中でも発動可能
<COL ffdc78>LV UPで敵の注目を奪う効果がより大きい
＜モアアトラクト＞に進化</COL>","Attract the attention of the enemies.
Increases Force Gauge slightly during execution.
<COL ffdc78>LV UP Increases the amount of attraction.</COL>"
NORMAL_SKILL_INFO_05_79,"ロッドの閃光で敵の注目をより集め、自身を狙わせる
注目を集めている間、フォースゲージがやや増加する
空中でも発動可能","Attract the attention of enemies by a large amount.
Increases Force Gauge slightly during execution.
Can be activated in the air."
NORMAL_SKILL_INFO_05_80,"大盾に蓄積した攻力（炎・氷・雷・聖・闇いずれか）
を属性化し味方に付与する。空中でも発動可能
フォースゲージ１本消費で発動可能","Consumes 1 bar of Force Gauge to enchant ally
weapons with the currently selected rod element.
Can be activated in the air."
NORMAL_SKILL_INFO_05_81,"敵の攻撃を大盾で防いだ直後、敵の注意を引く
属性攻撃をするか、素早く後方に身を逸らす
攻撃時フォースゲージ1本以上なら消費し技性能上昇","Immediately after blocking, either attack
the enemy to increase enmity or dodge backwards.
Will consume 1 Force Gauge to increase effects if available."
NORMAL_SKILL_INFO_05_91,"しがみついた状態から、付与した属性の異常値を
敵に蓄積させる放射光を放つ
フォースゲージ１本以上の時、消費して技性能上昇","While clinging to an enemy, attack with the currently
selected attribute. Will consume 1 bar of force
gauge to enhance the effect if available."
NORMAL_SKILL_COMMAND_06_92,<KC ATTACK1>を押して詠唱、詠唱完了で発動,"Press <KC ATTACK1> to chant,
activated on completion."
NORMAL_SKILL_COMMAND_06_93,<KC ATTACK2>を押して詠唱、詠唱完了で発動,"Press <KC ATTACK2> to chant,
activated on completion."
NORMAL_SKILL_COMMAND_06_94,"マジックボール、マジックトラップ使用時に
自動的に発動","Automatically activated when you use
Magick Bolts or Magick Trap."
NORMAL_SKILL_COMMAND_06_95,"詠唱中、<KC CHANGE_MODE>でスペリング入力モードに切り替え
<PADM>右スティックで規定コマンド入力<KEYM>マウス移動で規定コマンド入力</KEYM>","During a chant, switch to glyph
input mode with <KC CHANGE_MODE>.
Input the shown glyph with <PADM>the right stick<KEYM>mouse movement</KEYM>."
NORMAL_SKILL_COMMAND_06_96,<KC AVOID>を押す,Press <KC AVOID>.
NORMAL_SKILL_COMMAND_06_101,空中で<KC JUMP>を押す,"While in the air, press <KC JUMP>."
NORMAL_SKILL_COMMAND_06_102,しがみつき中に<KC ATTACK1>を押す,"While climbing an enemy,
press <KC ATTACK1>."
NORMAL_SKILL_COMMAND_07_103,<KC ATTACK1>を連続して押す,Repeatedly press <KC ATTACK1>.
NORMAL_SKILL_COMMAND_07_104,<KC ATTACK1>後、少し遅らせて<KC ATTACK1>を連続して押す,"After <KC ATTACK1>, delay a moment then
repeatedly press <KC ATTACK1>."
NORMAL_SKILL_COMMAND_07_105,<KC ATTACK2>長押し後、離すと発動,Hold <KC ATTACK2> for a moment then release.
NORMAL_SKILL_COMMAND_07_106,<KC ATTACK2>長押し後、離すと発動,Hold <KC ATTACK2> for a moment then release.
NORMAL_SKILL_COMMAND_07_107,<KC AVOID>を押す,Press <KC AVOID>.
NORMAL_SKILL_COMMAND_07_108,<KC CATAPULT>を押す,Press <KC CATAPULT>.
NORMAL_SKILL_COMMAND_07_109,空中で<KC ATTACK1>を押す,"While in the air, press <KC ATTACK1>."
NORMAL_SKILL_COMMAND_07_110,空中で<KC ATTACK2>を押す,"While in the air, press <KC ATTACK2>."
NORMAL_SKILL_COMMAND_07_111,吹き飛ばされ中に<KC JUMP>を押す,"While being knocked away, press <KC JUMP>."
NORMAL_SKILL_COMMAND_07_112,しがみつき中に<KC ATTACK1>長押し後、離すと発動,"While climbing an enemy,
hold <KC ATTACK1> for a moment then release."
NORMAL_SKILL_COMMAND_08_113,<PADM><KC WEAPON_SUB>を押す<KEYM><KC HOLD_BOW>を押して構えてから<ICON MOUSE_WHL_4>で構え切替（初期設定の場合）,"<PADM>Press <KC WEAPON_SUB>.<KEYM>Press and hold <KC HOLD_BOW>, then <ICON MOUSE_WHL_4> (default setting)
to switch stance."
NORMAL_SKILL_COMMAND_08_114,<PADM><KC WEAPON_SUB>を押しながら右スティックを倒す<KEYM>闘波の構え中にマウス移動,"<PADM>Press and hold <KC WEAPON_SUB>, then move the right stick<KEYM>During Seeker Stance, move the mouse</KEYM>."
NORMAL_SKILL_COMMAND_08_115,闘波の構え中に<KC SHOOT>を押す,"During Seeker Stance, press <KC SHOOT>."
NORMAL_SKILL_COMMAND_08_116,敵を狙って集中しジャストタイミングで矢を放つ,"Focus concentration on enemies and fire arrows
with perfect timing."
NORMAL_SKILL_COMMAND_08_117,<PADM><KC WEAPON_MAIN>を押す<KEYM><KC HOLD_BOW>を押して構えてから<ICON MOUSE_WHL_4>で構え切替（初期設定の場合）,"<PADM>Press <KC WEAPON_MAIN>.<KEYM>Press and hold <KC HOLD_BOW>, then <ICON MOUSE_WHL_4> (default setting)
to switch stance."
NORMAL_SKILL_COMMAND_08_118,<PADM><KC WEAPON_MAIN>を押しながら右スティックを倒す<KEYM>助真の構え中にマウス移動,"<PADM>Press and hold <KC WEAPON_MAIN>, then move the right stick<KEYM>During True Aid Stance, move the mouse</KEYM>."
NORMAL_SKILL_COMMAND_08_119,助真の構え中に<KC SHOOT>を押す,"During True Aid Stance, press <KC SHOOT>."
NORMAL_SKILL_COMMAND_08_120,味方を狙って集中しジャストタイミングで矢を放つ,"Focus concentration on allies and fire arrows
with perfect timing."
NORMAL_SKILL_COMMAND_08_121,<KC ATTACK1>を押す,Press <KC ATTACK1>.
NORMAL_SKILL_COMMAND_08_122,<KC CHANGE_ARROW>を押す,Press <KC CHANGE_ARROW>.
NORMAL_SKILL_COMMAND_08_123,<PADM><KC WEAPON_SUB>または<KC WEAPON_MAIN>を押しながら右スティックを倒す<KEYM>闘波／助真の構え中にマウス移動,"<PADM>Press and hold <KC WEAPON_SUB> or <KC WEAPON_MAIN>, then move the right stick<KEYM>During Seeker/True Aid Stance, move the mouse</KEYM>."
NORMAL_SKILL_COMMAND_08_135,しがみつき中に<KC ATTACK1>を押す,"While climbing an enemy,
press <KC ATTACK1>."
NORMAL_SKILL_COMMAND_08_178,<KC RELOAD>を押す,Press <KC RELOAD>.
NORMAL_SKILL_COMMAND_09_136,<KC ATTACK1>を連続して押す,Repeatedly press <KC ATTACK1>.
NORMAL_SKILL_COMMAND_09_137,<KC ATTACK1>後、少し遅らせて<KC ATTACK1>を連続して押す,"After <KC ATTACK1>, delay a moment then
repeatedly press <KC ATTACK1>."
NORMAL_SKILL_COMMAND_09_143,空中で<KC ATTACK1>を押す,"While in the air, press <KC ATTACK1>."
NORMAL_SKILL_COMMAND_09_144,<PADM>空中で左スティックを倒しながら<KC ATTACK1>を押す<KEYM>空中で移動キーを押しながら<KC ATTACK1>を押す,"While in the air, press <PADM><KC ATTACK1> while
moving the left stick<KEYM><KC ATTACK1> while
holding movement keys</KEYM>."
NORMAL_SKILL_COMMAND_09_138,<KC ATTACK2>を連続して押す,Repeatedly press <KC ATTACK2>.
NORMAL_SKILL_COMMAND_09_139,<KC ATTACK2>を連続して押す,Repeatedly press <KC ATTACK2>.
NORMAL_SKILL_COMMAND_09_142,<KC SKILL_NORMAL1>を押す,Press <KC SKILL_NORMAL1>.
NORMAL_SKILL_COMMAND_09_141,<KC ELIXIR_CHANGE>を押す,Press <KC ELIXIR_CHANGE>.
NORMAL_SKILL_COMMAND_09_140,<KC AVOID>を押す,Press <KC AVOID>.
NORMAL_SKILL_COMMAND_09_145,空中で<KC JUMP>を押す,"While in the air, press <KC JUMP>."
NORMAL_SKILL_COMMAND_09_147,しがみつき中に<KC ATTACK1>を連続して押す,"While climbing an enemy,
repeatedly press <KC ATTACK1>"
NORMAL_SKILL_COMMAND_09_148,しがみつき中に<KC ATTACK1>を連続して押す,"While climbing an enemy,
repeatedly press <KC ATTACK1>"
NORMAL_SKILL_COMMAND_09_164,敵の攻撃を引きつけて自身のスキルを放つ,"Just as an enemy attacks,
activate a skill with perfect timing."
NORMAL_SKILL_COMMAND_10_149,"<KC ATTACK1>を連続して押す
アタックブーストで強化可能","Repeatedly press <KC ATTACK1>.
Further enhanced with Attack Boost."
NORMAL_SKILL_COMMAND_10_150,"<KC ATTACK1>後、少し遅らせて<KC ATTACK1>を連続して押す
アタックブーストで強化可能","Press <KC ATTACK1>, delay a moment
and then repeatedly press <KC ATTACK1>.
Further enhanced in Attack Boost mode."
NORMAL_SKILL_COMMAND_10_158,"空中で<KC ATTACK1>を押す
アタックブーストで強化可能","While in the air, press <KC ATTACK1>.
Further enhanced in Attack Boost mode."
NORMAL_SKILL_COMMAND_10_159,"<PADM>空中で左スティックを倒しながら<KC ATTACK1>を押す<KEYM>空中で移動キーを押しながら<KC ATTACK1>を押す</KEYM>
アタックブーストで強化可能","While in the air, press <PADM><KC ATTACK1> while
moving the left stick<KEYM><KC ATTACK1> while
holding movement keys</KEYM>.
Further enhanced with Attack Boost."
NORMAL_SKILL_COMMAND_10_151,"<KC ATTACK2>を押す
ヒールブーストで強化可能","Press <KC ATTACK2>.
Further enhanced with Heal Boost."
NORMAL_SKILL_COMMAND_10_152,"<KC ATTACK2>を押す
ヒールブーストで強化可能","Press <KC ATTACK2>.
Further enhanced with Heal Boost."
NORMAL_SKILL_COMMAND_10_161,吹き飛ばされ中に<KC JUMP>を押す,"While being knocked away, press <KC JUMP>."
NORMAL_SKILL_COMMAND_10_153,<KC AVOID>を押す,Press <KC AVOID>.
NORMAL_SKILL_COMMAND_10_155,<KC ELIXIR_CHANGE>を押す,Press <KC ELIXIR_CHANGE>.
NORMAL_SKILL_COMMAND_10_156,<KC SKILL_NORMAL1>を押す,Press <KC SKILL_NORMAL1>.
NORMAL_SKILL_COMMAND_10_162,ブースト発動中に<KC ELIXIR_CHANGE>または<KC SKILL_NORMAL1>を押す,"During boost, press <KC ELIXIR_CHANGE> or <KC SKILL_NORMAL1>."
NORMAL_SKILL_COMMAND_10_160,"しがみつき中に<KC ATTACK1>を連続して押す
アタックブーストで強化可能","Repeatedly press <KC ATTACK1> while climbing.
Further enhanced in Attack Boost mode."
NORMAL_SKILL_COMMAND_10_163,ブースト発動中に<KC ELIXIR_CHANGE>または<KC SKILL_NORMAL1>を押す,"During boost, press <KC ELIXIR_CHANGE> or <KC SKILL_NORMAL1>."
NORMAL_SKILL_COMMAND_11_165,<KC ATTACK1>を押す,Press <KC ATTACK1>.
NORMAL_SKILL_COMMAND_11_166,<KC ATTACK1>後、少し遅らせて<KC ATTACK1>を連続して押す,"After <KC ATTACK1>, delay a moment then
repeatedly press <KC ATTACK1>."
NORMAL_SKILL_COMMAND_11_175,空中で<KC ATTACK1>を押す,"While in the air, press <KC ATTACK1>."
NORMAL_SKILL_COMMAND_11_174,<PADM>空中で左スティックを倒しながら<KC ATTACK1>を押す<KEYM>空中で移動キーを押しながら<KC ATTACK1>を押す</KEYM>,"While in the air, press <PADM><KC ATTACK1> while
moving the left stick<KEYM><KC ATTACK1> while
holding movement keys</KEYM>."
NORMAL_SKILL_COMMAND_11_167,<KC ATTACK2>を押す,Press <KC ATTACK2>.
NORMAL_SKILL_COMMAND_11_171,<KC ROLLING>を押す,Press <KC ROLLING>.
NORMAL_SKILL_COMMAND_11_169,<KC WEAPON_SUB>を押す,Press <KC WEAPON_SUB>.
NORMAL_SKILL_COMMAND_11_168,<KC WEAPON_SUB>を押しながら<KC MARK_SHOT>を押す,"Hold <KC WEAPON_SUB>, then press <KC MARK_SHOT>."
NORMAL_SKILL_COMMAND_11_172,"<KC SKILL_NORMAL1>を押す
　カテゴリ：補助魔法
　魔力１ゲージ消費で発動可能","Press <KC SKILL_NORMAL1>.
　Category: Support Magick.
　Consumes 1 magick gauge on activation."
NORMAL_SKILL_COMMAND_11_170,バックリープ発動後に<KC SKILL_NORMAL1>を押す,"After activating Back Leap, press <KC SKILL_NORMAL1>."
NORMAL_SKILL_COMMAND_11_173,"<KC OVER_BRADE>を押す
　カテゴリ：純魔法
　魔力１スタック消費で発動可能","Press <KC OVER_BRADE>.
　Category: Pure Magick.
　Consumes 1 magick stack on activation."
NORMAL_SKILL_COMMAND_11_177,吹き飛ばされ中に<KC JUMP>を押す,"While being knocked away, press <KC JUMP>."
NORMAL_SKILL_COMMAND_11_176,しがみつき中に<KC ATTACK1>を連続して押す,"While climbing an enemy,
repeatedly press <KC ATTACK1>"
NORMAL_SKILL_COMMAND_01_4,<KC ATTACK1>を連続して押す,Repeatedly press <KC ATTACK1>.
NORMAL_SKILL_COMMAND_01_5,<KC ATTACK1>後、少し遅らせて<KC ATTACK1>を連続して押す,"After <KC ATTACK1>, delay a moment then
repeatedly press <KC ATTACK1>."
NORMAL_SKILL_COMMAND_01_13,<KC ATTACK2>長押し後、離すと発動,Hold <KC ATTACK2> for a moment then release.
NORMAL_SKILL_COMMAND_01_14,<KC ATTACK2>長押し後、離すと発動,Hold <KC ATTACK2> for a moment then release.
NORMAL_SKILL_COMMAND_01_18,空中で<KC ATTACK1>を押す,"While in the air, press <KC ATTACK1>."
NORMAL_SKILL_COMMAND_01_19,空中で<KC ATTACK2>を押す,"While in the air, press <KC ATTACK2>."
NORMAL_SKILL_COMMAND_01_15,<KC WEAPON_SUB>を押す,Press <KC WEAPON_SUB>.
NORMAL_SKILL_COMMAND_01_16,敵の攻撃を引きつけて<KC WEAPON_SUB>を押す,"Just as an enemy attacks,
press <KC WEAPON_SUB>."
NORMAL_SKILL_COMMAND_01_17,<KC CATAPULT>を押す,Press <KC CATAPULT>.
NORMAL_SKILL_COMMAND_01_22,吹き飛ばされ中に<KC JUMP>を押す,"While being knocked away, press <KC JUMP>."
NORMAL_SKILL_COMMAND_01_23,しがみつき中に<KC ATTACK1>を押す,"While climbing an enemy,
press <KC ATTACK1>."
NORMAL_SKILL_COMMAND_02_24,<KC ATTACK1>を連続して押す,Repeatedly press <KC ATTACK1>.
NORMAL_SKILL_COMMAND_02_25,<KC ATTACK1>後、少し遅らせて<KC ATTACK1>を連続して押す,"After <KC ATTACK1>, delay a moment then
repeatedly press <KC ATTACK1>."
NORMAL_SKILL_COMMAND_02_26,<KC ATTACK2>を連続して押す,Repeatedly press <KC ATTACK2>.
NORMAL_SKILL_COMMAND_02_27,<KC ATTACK2>を連続して押す,Repeatedly press <KC ATTACK2>.
NORMAL_SKILL_COMMAND_02_32,空中で<KC ATTACK1>を連続して押す,Press <KC ATTACK1> while in the air.
NORMAL_SKILL_COMMAND_02_33,空中で<KC ATTACK2>を押す,"While in the air, press <KC ATTACK2>."
NORMAL_SKILL_COMMAND_02_28,<KC WEAPON_SUB>を押す,Press <KC WEAPON_SUB>.
NORMAL_SKILL_COMMAND_02_29,<KC WEAPON_SUB>を押しながら<KC THROW_ROPE>を押す,"Hold <KC WEAPON_SUB>, then press <KC THROW_ROPE>."
NORMAL_SKILL_COMMAND_02_30,<KC ROLLING>を押す,Press <KC ROLLING>.
NORMAL_SKILL_COMMAND_02_31,<KC CATAPULT>を押す,Press <KC CATAPULT>.
NORMAL_SKILL_COMMAND_02_36,<PADM>空中で壁に対して逆に左スティックを倒しながら<KC JUMP>を押す<KEYM>空中で壁に対して逆に移動キーを押しながら<KC JUMP>を押す,"Press <PADM><KC JUMP><KEYM><KC JUMP></KEYM> while holding the <PADM>left stick<KEYM>movement key</KEYM>
opposite a wall while in the air."
NORMAL_SKILL_COMMAND_02_37,空中で<KC JUMP>を押す,"While in the air, press <KC JUMP>."
NORMAL_SKILL_COMMAND_02_38,しがみつき中に<KC ATTACK1>を連続して押す,"While climbing an enemy,
repeatedly press <KC ATTACK1>"
NORMAL_SKILL_COMMAND_02_39,しがみつき中に<KC ATTACK1>を連続して押す,"While climbing an enemy,
repeatedly press <KC ATTACK1>"
NORMAL_SKILL_COMMAND_03_40,<KC HOLD_BOW>を押す,Press <KC HOLD_BOW>.
NORMAL_SKILL_COMMAND_03_41,弓構え中に<KC SHOOT>を押す,"While aiming, press <KC SHOOT>."
NORMAL_SKILL_COMMAND_03_42,<KC HOLD_BOW>を押す,Press <KC HOLD_BOW>.
NORMAL_SKILL_COMMAND_03_46,弓構え中に<KC CHANGE_MODE>を押す,"While aiming, press <KC CHANGE_MODE>."
NORMAL_SKILL_COMMAND_03_43,<PADM><KC WEAPON_MAIN>を押す<KEYM>構え中に<ICON MOUSE_WHL_4>前後で選択（初期設定の場合）,"<PADM>Press <KC WEAPON_MAIN><KEYM>While aiming, select with <ICON MOUSE_WHL_4> (default setting)</KEYM>."
NORMAL_SKILL_COMMAND_03_44,<PADM><KC WEAPON_MAIN>を押しながら<KC SHOOT>を押す<KEYM>爆矢構え中に<KC SHOOT>を押す,"<PADM>Hold <KC WEAPON_MAIN>, then press <KC SHOOT><KEYM>During Explosive Stance, press <KC SHOOT></KEYM>."
NORMAL_SKILL_COMMAND_03_45,<PADM><KC WEAPON_MAIN>を押す<KEYM>構え中に<ICON MOUSE_WHL_4>前後で選択（初期設定の場合）,"<PADM>Press <KC WEAPON_MAIN><KEYM>While aiming, select with <ICON MOUSE_WHL_4> (default setting)</KEYM>."
NORMAL_SKILL_COMMAND_03_47,<KC ATTACK1>を押す,Press <KC ATTACK1>.
NORMAL_SKILL_COMMAND_03_48,<KC RELOAD>を押す,Press <KC RELOAD>.
NORMAL_SKILL_COMMAND_03_49,<PADM>矢の装填中、特定のタイミングで<KC TOUCH>を押す<KEYM>矢の装填中、特定のタイミングで<KC RELOAD>を押す,"While reloading arrows, press <PADM><KC TOUCH><KEYM><KC RELOAD></KEYM>
with perfect timing."
NORMAL_SKILL_COMMAND_03_50,<KC CHANGE_ARROW>を押す,Press <KC CHANGE_ARROW>.
NORMAL_SKILL_COMMAND_03_60,しがみつき中に<KC ATTACK1>を押す,"While climbing an enemy,
press <KC ATTACK1>."
NORMAL_SKILL_COMMAND_04_61,<KC ATTACK2>を押す,Press <KC ATTACK2>.
NORMAL_SKILL_COMMAND_04_62,<KC ATTACK1>を押す、再度押すと解除,"Press <KC ATTACK1>, press again to cancel."
NORMAL_SKILL_COMMAND_04_63,<KC ATTACK1>を押す、再度押すと解除,"Press <KC ATTACK1>, press again to cancel."
NORMAL_SKILL_COMMAND_04_64,<KC SKILL_NORMAL1>を押す、再度押すと解除,"Press <KC SKILL_NORMAL1>, press again to cancel."
NORMAL_SKILL_COMMAND_04_65,<KC SKILL_NORMAL1>を押す、再度押すと解除,"Press <KC SKILL_NORMAL1>, press again to cancel."
NORMAL_SKILL_COMMAND_04_66,<KC SKILL_NORMAL2>を押す,Press <KC SKILL_NORMAL2>.
NORMAL_SKILL_COMMAND_04_68,空中で<KC JUMP>を押す,"While in the air, press <KC JUMP>."
NORMAL_SKILL_COMMAND_04_69,しがみつき中に<KC ATTACK1>を押す、再度押すと解除,"While climbing an enemy,
press <KC ATTACK1>, press again to cancel."
NORMAL_SKILL_COMMAND_04_146,しがみつき中に<KC SKILL_NORMAL1>を押す、再度押すと解除,"While climbing an enemy,
press <KC SKILL_NORMAL1>, press again to cancel."
NORMAL_SKILL_COMMAND_05_70,<KC ATTACK1>を押す,Press <KC ATTACK1>.
NORMAL_SKILL_COMMAND_05_83,空中で<KC ATTACK1>を押す,"While in the air, press <KC ATTACK1>."
NORMAL_SKILL_COMMAND_05_72,"<PADM><KC ATTACK2>を押し、左スティックを倒して３属性を選択<KEYM><KC ATTACK2>を押し、マウス移動で３属性を選択</KEYM>
<PADM><KC ATTACK2>を押して属性決定<KEYM><KC ATTACK1>または<KC ATTACK2>を押して属性決定","Press <PADM><KC ATTACK2><KEYM><KC ATTACK2></KEYM>, then select from <PADM>3<KEYM>3</KEYM> elements
using <PADM>the left stick<KEYM>mouse movement</KEYM>.
Press <PADM><KC ATTACK2><KEYM><KC ATTACK1> or <KC ATTACK2></KEYM> to confirm element choice."
NORMAL_SKILL_COMMAND_05_73,"<PADM><KC ATTACK2>を押し、左スティックを倒して５属性を選択<KEYM><KC ATTACK2>を押し、マウス移動で５属性を選択</KEYM>
<PADM><KC ATTACK2>を押して属性決定<KEYM><KC ATTACK1>または<KC ATTACK2>を押して属性決定","Press <PADM><KC ATTACK2><KEYM><KC ATTACK2></KEYM>, then select from <PADM>5<KEYM>5</KEYM> elements
using <PADM>the left stick<KEYM>mouse movement</KEYM>.
Press <PADM><KC ATTACK2><KEYM><KC ATTACK1> or <KC ATTACK2></KEYM> to confirm element choice."
NORMAL_SKILL_COMMAND_05_74,敵の攻撃を受ける（スキル発動中を除く）,Block an enemy attack (except when using skills).
NORMAL_SKILL_COMMAND_05_75,<KC WEAPON_SUB>を押す,Press <KC WEAPON_SUB>.
NORMAL_SKILL_COMMAND_05_76,敵の攻撃を引きつけて<KC WEAPON_SUB>を押す,"Just as an enemy attacks,
press <KC WEAPON_SUB>."
NORMAL_SKILL_COMMAND_05_77,<KC SKILL_NORMAL2>を押す,Press <KC SKILL_NORMAL2>.
NORMAL_SKILL_COMMAND_05_78,<KC WEAPON_MAIN>を押し続ける,Hold <KC WEAPON_MAIN>
NORMAL_SKILL_COMMAND_05_79,<KC WEAPON_MAIN>を押し続ける,Hold <KC WEAPON_MAIN>
NORMAL_SKILL_COMMAND_05_80,<KC SKILL_NORMAL1>を押す,Press <KC SKILL_NORMAL1>.
NORMAL_SKILL_COMMAND_05_81,敵の攻撃を防いだ直後、<PADM>左スティックを素早く後方から前方で反撃、前方から後方で後退<KEYM><KC MOVE_FORWARD>を素早く２回押すと反撃、<KC MOVE_BACKWARD>を素早く２回押すと後退</KEYM>,"Immediately after guarding against an enemy attack,
<PADM>quickly tap the left stick to counterattack,
quickly tap the left stick twice to retreat.<KEYM>quickly press <KC MOVE_FORWARD> twice to counterattack,
quickly press <KC MOVE_BACKWARD> twice to retreat."
NORMAL_SKILL_COMMAND_05_91,しがみつき中に<KC ATTACK1>を押す,"While climbing an enemy,
press <KC ATTACK1>."
