最早、話すことなどない,There is nothing to say anymore.,
"話してやれることなんか
特に無いんだよな――",There is nothing in particular that I can do -,
"やめろ、何かを期待して
何度も話しかけるのは",Stop it. Repeatedly talking to me with expectations...,
"む――
頭領に、よそものと
あんまり馴れ合うなって言われてるからよ","I'm not--
my chieftain told me not to get too friendly with strangers.",
"いやぁ――勘弁してくれ
俺、ユーモアってやつが無くてよ
あんたを笑かしてやれたらよかったんだがなぁ","No... Please spare me.
I lack a sense of humor, you know.
I wish I could have made you laugh.",
"あっ、いらっしゃい！
何か食べていってよ！","Oh, come on in! Please have something to eat!",
"みんなのために食料――
なんとかしないと――","For the sake of everyone, we need to do something about the food situation ――",
なんだかおなか空いてきちゃった,I'm kind of hungry.,
"あ――
でも勢いだけの拾い食いは危険だからね～","Ah--
But it's dangerous to just pick up and eat with such alacrity~!",
"瓦礫だらけでホコリっぽいし
できたら空気、入れ替えたいけど――","There's rubble everywhere and it's dusty. I'd like to change the air if I could, but--",
"よく考えたらこの部屋――
窓ないよね？","When I think about it, this room—doesn't have a window, does it?",
"ここで一人火を眺めてると
色々と思い出しちゃうな――","Here, as I gaze at the fire alone, Various memories come rushing back...",
"なんかさ――
火ってすごいよね","You know... fire is amazing, isn't it?",
"おいしいごはん作ってくれることもあれば――
大事なもの何もかも奪ってくことだってあるし","They can cook you a delicious meal, or they can--
take away everything that's important to you.",
ははは！,ははは！,
ちょっと！,Hey!,
えぇ！？,Eh!?,
うーん,Hmm...,
うーん,Hmm...,
ダメ、もうホントに無理,"No, it's really impossible now.",
♪～,♪～,
よし！,Alright!,
ねぇ！,ねぇ！,
ねぇ！,ねぇ！,
ハァイ,Yes,
そっか――,I see...,
何か無いかなぁ？,Is there anything?,
こうなったら――！,If it becomes like this—!,
これは食べられそうだね！,This looks edible!,
ふぅー,Phew,
待ってよー！,Wait a minute!,
待ってよー！,Wait a minute!,
こっち来ないでってば！,Don't come over here!,
あっち行きなさいよ！,Go away!,
アタシ、おいしくないって！,I'm not delicious!,
今日は何する？,What are you doing today?,
今日は何する？,What are you doing today?,
どうしようか,What should I do?,
どうしようか,What should I do?,
お願い――,Please...,
"今日できることは全部やれたみたい
また明日も来てくれると嬉しいな！",I was able to do everything I could do today. I would be happy if you could come again tomorrow!,
"ローナやブラッド――
それに砦の兵隊さんまで
大食堂の修復手伝ってくれてるんだよ！","Lorna and Brad, and even the soldiers in the fort, are helping with the restoration work!",
なんか“チーム”って感じだよね？,"It feels like a 'team,' you know?",
もちろん、あなたも！,"And you, of course!",
"あ！
なんか名前付けたいなー",Ah! I want to name it.,
"ね！
何がいい？",Hey! What would you like?,
"瓦礫はまだ残ってるけどさ
食料庫が復活しただけで
力が湧いてくるんだぁ","The debris is still there, but the pantry is back up and running. It gives me strength!",
"ローナにね
最初にどこを直すか聞かれたから
でっかい声で――","Lorna, huh.
When asked where to fix it first,
I shouted loudly――",
"「食料庫！　食料庫がいい！！」
――って叫んじゃった","""Food storage! Food storage is good!"" - I shouted.",
"大食堂って壁に囲まれてるから
食料守るのには向いてるんだけど――","The big dining hall is surrounded by walls, so it is suitable for protecting food, but...",
"お料理焦がしちゃったときとか
部屋中煙だらけになって
鼻の奥までコゲ臭くなるんだよね","When the cooking gets burned,
and the room becomes filled with smoke,
it even smells burnt inside the nose.",
"バレないように
壁にこっそり穴あけちゃおうかな？",Shall we discreetly make a hole in the wall so that we won't get caught?,
"ペコ、ずっとここにいることにしたみたい
まぁ――初めて食堂に来た人は
ちょっとびっくりしてるけどね","Peco seems to have decided to stay here forever.
Well, people who come to the cafeteria for the first time might be a little surprised, though.",
"あの子ってばゴブリンなのに
妙に気が弱かったりするからさ
アタシとしても、ここで元気にしてるの
見られる方が気が楽だよ","She's a goblin, but she's strangely timid. As for me, it's easier for me to see her here doing well.",
"復旧してから色んな人が来てくれるんだ
おかげで忙しくって、賑やかで
毎日やることだらけだよ","Since we've been back up and running, we've had all kinds of people coming in. It's kept us busy and buzzing. There's so much to do every day!",
"ヘザーとアイダンも盛り上げてくれるし――
ペコも居ついちゃって、何だか自分なりに
仕事みたいなことしてるしね","Heather and Aidan are also uplifting―― Peco has settled in too, and in a way, is doing something like work",
"――さぁ、もっともっと頑張って
戦士のみんなに力付けてもらわないと！
ここからラスニテを――
ううん、アッカーシェランを元気にしていきたいんだ","Alright, we need to push ourselves even harder, We have to get support from all the soldiers! From here on, let's restore Rath-- No, I want to bring back the vitality of all of Acre Selund!",
"大食堂、もうすっかり元通りだよ！
――ううん、元の大食堂よりも良い感じかも
何ていったって皆で作り上げた食堂だからね！","大食堂、もうすっかり元通りだよ！
――ううん、元の大食堂よりも良い感じかも
何ていったって皆で作り上げた食堂だからね！",
"あなたにもいっぱい協力してもらったよね
お陰で、ここまでやってこれたこと
とっても感謝してる！　本当にありがとう！","You've helped me a lot.
Thanks to you, I've made it this far.
I'm very grateful!　Thank you so much!",
"あなたは何が好き？
思い出の味とか、あるでしょ？","What do you like?
Do you have a taste for memories?",
ウ、ウガ？,"U, uga?",
"食ベモノ、集めタ！
キャリーうれしい？","Food and collectibles!
Carrie, are you happy?",
ココにいる、楽しイ！,It's fun being here!,
"誰モ、イジメナイ――
ペコ――悪いコト、シナイ","Whoever is in the armor, if they show up in front of me, I'm just going to fight!",
"次の作戦は――こっちでいくか
いやいや、逆にあっちの方が――","The next strategy is...shall we go this way... No, the other way around is better...",
"ボクは、よく独り言を言ってるらしいんだけど
みんなが言うほどの実感がなくってね","I often seem to be talking to myself, but I don't really feel it as much as everyone says.",
"普段から、まわりに誰かいるかとかは
特に気にしてはいないけど
ボクにとっては自然なことさ",I usually don't pay much attention to whether someone is around me or not. It's just natural for me.,
――これは、独り言じゃないよね？,"This isn't just talking to myself, right?",
"展望城に自分の部屋はないのかって？
ああ、それなら以前
一度作ってもらったことがあってね","Lookout Castle, isn't there a room for me there?
Ah, well, it's because I had one made before",
"でも、城内って広くて複雑でさ
部屋に戻るたびに迷うのに飽きてしまって
気が付いたら場所を忘れてたんだよ","But the castle is so big and complicated.
I got tired of getting lost every time I went back to my room and realized I'd forgotten where I was.",
"今覚えてる場所は――
城の入り口と、王宮層と
あとはシチューのある食堂だけさ！","The only places I remember now are--
the castle entrance, the royal layer,
and the cafeteria with the stew!",
ボクは、作戦というものは“生き物”だと思ってる,I think that a strategy is like a living creature.,
"いくら事前に完璧に計画したつもりでも
その場の状況でいくらだって変わるし
思い通りに行く方が珍しいくらいさ","No matter how perfectly you plan it in advance, it can change at any moment, and it's rare that things go the way you want them to.",
"まぁ、そこが面白いところなんだけどね
何でも思った通りになるなんて
つまんないだろ？","Well, that's the interesting part about it, you know? It's boring for everything to just go as you think.",
準備はいいかい？それじゃ行こう,Are you ready? Let's go.,
準備はいいかい？　それじゃ行こう,Are you ready?　Let's go.,
きっと、何かあるはずさ,There must be something for sure.,
きっと、何かあるはずさ,There must be something for sure.,
ふんふん、なるほどね,Hmmm... I see.,
いや、待てよ？,"No, wait, could you?",
いや、待てよ？,"No, wait, could you?",
"そうか！　そういうことか！
やはり僕は、天才だね！","Ah, I see! So that's how it is! As I thought, I am a genius!",
"おかしいなぁ――
今日はちょっと調子が悪いらしい！","Hmm, that's strange... It seems like I'm feeling a little unwell today!",
"おかしいなぁ――
今日はちょっと調子が悪いらしい！","Hmm, that's strange... It seems like I'm feeling a little unwell today!",
ほら、僕の思った通りだろう？,"See, it's just as I thought, isn't it?",
"はっはっは！
たまにはこんなこともあるさ！",Hahaha! Sometimes things like this happen!,
"はっはっは！
たまにはこんなこともあるさ！",Hahaha! Sometimes things like this happen!,
あー、キミキミ,"Oh, you, you.",
あー、キミキミ,"Oh, you, you.",
ちょっといいかな？　隊長,Can I have a word with you?　Captain.,
ちょっといいかな？　隊長,Can I have a word with you?　Captain.,
おかしいなぁ――,"Hmm, something is strange.",
やはり僕は、天才だね！,"I am a genius, after all!",
それじゃあ行こう！,Let's go then!,
ここにはもう何もなさそうだ,There doesn't seem to be anything here anymore.,
さて、帰るとしよう！,"Now, let's go home!",
ああ、もう――だめだ――,"Oh, no—it's no use—",
アハハハ！,Ahahaha!,
アハハハ！,Ahahaha!,
んんっ！？,Huh?!,
んんっ！？,Huh?!,
えぇっと――,Um...,
はぁ～,Ha~,
はぁ～,Ha~,
あれ――,That—,
"ここにはもう何もなさそうだ
僕の勘がそう囁いているのでね
さて、帰るとしよう！","There doesn't seem to be anything else here. That's what my instincts are whispering to me, you know. Well, let's go home!",
"やったね！
僕らがいれば敵無しなんじゃないか！？","Great job! If we're together, we have no enemies, don't we?!",
"あー、ごめん
今ちょっと考えなきゃいけないことが
あってね、忙しいんだ","Oh, sorry. There's something I need to think about right now. I'm busy.",
"ありがとう！　助かったよ！
よしよしこれで――",Thank you! I'm saved! Good job—,
"もう終わったの？
さすが、頼りになるね！","Is it already over? As expected, you're dependable!",
さて、何をする？,"Now, what to do?",
さて、何をする？,"Now, what to do?",
やあ,Hey,
やあ,Hey,
よく来たね,Nice to see you,
よく来たね,Nice to see you,
はあはあ、久しぶりの戦は体に応えるなぁ,"Ha ha! It's been a while since the last battle, it's taking a toll on my body",
ちょっと待った、少し休憩させてくれ,"Wait a moment, please let me take a short break.",
あれ、体が重いぞ、こんなはずじゃあ,"Oh, my body feels heavy. This is not how it should be.",
や、やっぱり僕は室内で策を練ってる方が――,"I think I'd rather be indoors, planning...",
少しは、動けるようになってきたぞ――,I've become a little more mobile.,
ああ、でもまだ苦しい、ちょっと休憩,"Ah, but I'm still hurting, I need a little break.",
キミから見て、今の僕ってどうかな？,How do I look now from your point of view?,
もうちょっと頑張れそうな気も――ううん,I think I can do a little more -- no.,
あははは、どうだい僕の動き、軽やかだろう？,"Ha-ha-ha, how's my movement, light, isn't it?",
風のように走り、雷のように刺す！,"Running like the wind, piercing like thunder!",
なに、前はちょっと腕が鈍ってただけさ！,"No, I was just a little rusty before!",
ふふ、戦える参謀官っていいよね,"Hehe, having a capable staff officer who can fight is nice, isn't it?",
え、見つかった！？,"Wait, it was found!?",
さすが隊長だ！,"As expected, Captain!",
"ハッ――
驚いた、何か用？",Ha-- You scared the hell out of me. What can I do for you?,
悪いけど、楽しく世間話する気分じゃないんだ,"Sorry, I'm just not in the mood for pleasant small talk.",
"こんな状況だから――
子供だからって何もわからないわけじゃないよ","Because of this situation ――
Just because I'm a child doesn't mean I don't understand anything.",
"もっと悪いことになったら
生きていくのが難しくなるかもしれない
そんな時に、走り回って遊べる？",If things get worse... It might be difficult to survive. Can you run around and play at such times?,
ああ、どうも,"Oh, thank you.",
"家の中に閉じこもったり
洞窟に隠れたりできればいいんですが
そういうわけにもいかないでしょう","I wish I could lock myself in my house or hide in a cave, but that's not going to happen.",
"ちょっとした用がありましてね
ある程度、覚悟して家を出てきたんです
――いや、甘かったです","I had some business to attend to, and I left home with some degree of determination, but I underestimated it.",
"今も商人が来てくれる村もありますが
そうじゃない小さな村もたくさんありますから
危険を承知で外に出ざるを得ないんです","There are some villages that still have merchants coming to them, but there are many small villages that don't, so we have to go out there and take the risk.",
"え、なんだって？
すまないね、最近耳が遠くて――","What? What did you say?
I'm sorry, I've been a little hard of hearing lately.",
"竜が倒された――
言ってしまえば、ただ一つの事件が
起こっただけで、この有様だ","The dragon has been defeated――
To put it simply, only one event
has occurred, resulting in this state.",
"竜と――それに連なる王家を
もっと守っておけば
こうはならなかったのかね――","If only we had protected the dragons and the royal family that follows them more, would it not have come to this?",
"王家に仕えてた人たちは
一体何をしてるんだか
まったく情けない話だよ",I don't know what the hell the people who served the royal family are doing. It's utterly pathetic.,
ふぅん、君が覚者ですか,"Oh, are you an Arisen?",
"――何でもチャンスとして見ないと
我が家の家訓でしてね","--I have to look at everything as an opportunity.
It's a family tradition.",
"自分の暮らしは自分で守らないと、ですよ
そういった努力ができない者は
まぁ、痛い目を見ても――仕方ないのでは？","If you don't protect your own life, well, it can't be helped if you suffer the consequences.",
"我々の一族は、万が一の時のために
人脈を広げ、貯蓄してきましたから
そういったことをしていない人は
まぁ、今大変なんじゃないですか","Our family has been networking and saving in case of an emergency, so if you haven't done those things, well, you're in a tough spot right now.",
"こんにちは
あのぅ、えっと――","Hello, umm, well...",
わたし、これからどうすればいいんでしょう,What am I going to do now?,
"母に逃げてって言われたんです
それでここまで来たんです――","My mother told me to run away, so I came here...",
ちょっと疲れちゃった――,I'm a little tired...,
"ん？　何？
言いたいことがあるなら言いなよ","Huh? What is it?
If you have something to say, go ahead",
"今までも辛いことはたくさんあったんだ
今回だって、絶対に乗り越えられる――","I've been through a lot of hard times in the past. I'll get through this one, too--I promise.",
"眠る場所と、食べる物――
あとは、守りたいもの
それだけあればしばらく大丈夫、私はね","A place to sleep, something to eat-- and something to protect That's all you need for a while, for me.",
"この通り、剣持って戦えはしないけど
逃げ足はまぁまぁ速い方だと思ってるからさ","As you can see, I can't fight with a sword, but I think I'm a reasonably fast runner.",
ああ、どうも――,"Ah, thank you.",
"あの、旅をしていらっしゃるなら――
若い夫婦を見ませんでしたか？","Um, if you are traveling--
have you seen a young couple?",
"息子夫婦と一緒に暮らしてたんですが
オークの襲撃から逃れる時に
はぐれてしまったんです",I was living with my son and his wife when we got separated while fleeing an orc raid.,
"命は助かっても、独りで暮らすのは
堪えるものです――","Even if your life is spared, living alone can be unbearable--",
あら、どうかして？,"Oh, what's wrong?",
"みんなで力を合わせて立ち上がれば――
でも、上手くいかないものね
なかなか協力してくれる方がいなくて","If everyone were to come together and work as a team, but it's not going so well. It's hard to find people willing to cooperate.",
ふぅ、私だってやればできるわ,"Phew, I can do it too if I try",
"少し休もうかしら
誰も手を貸してくれないんだもの",Maybe I should take a short rest. Since no one is lending a hand.,
な、なんでしょう？,"Yes, what is it?",
"もう、命からがら逃げてきたんです
な、何も持ってませんよ
勘弁してください","Hey, I don't have anything. I've already escaped with my life. Give me a break!",
"この体以外、何も手元に残りませんでした
せめて親父の形見くらいは
持ってきたかったんですけど――","I was left with nothing but this body.
I wanted to bring at least a memento of my dad's, but--",
"腹も減ったし、喉も乾いてますよ
どこか落ち着ける場所を探さないと",I'm hungry and thirsty. I need to find a place to settle down.,
"はぁ、少し休みたいわ
ここまで逃げてくるのに精一杯で――","Sigh, I want to rest a little. I'm exhausted from running away this far.",
"どこか、わたしを
受け入れてくれる村は無いかしら
ねぇ、ご存じない――？","I wonder if there is a village somewhere that would accept me.
Hey, do you know of any--?",
"とにかく少しだけ休みたいの
そうすれば、次に何をすればいいか
考えられそうだから","I just want to rest for a while. That way, I can think about what to do next.",
"村のみんな
無事かしら――",I hope everyone in the village is safe—,
"あ、はい――
何かご用、ですか？","Ah, yes―― Do you need anything?",
"ぐすっ――
ここがどこか、わからないんです",I don't know where this is.,
"前を向いて走るのに必死で―ー
後ろにいたお母さんがいつの間にか
いなくなってたのに気付かなかったんです","I was running desperately, facing forward, and I didn't even realize when my mother, who was behind me, disappeared.",
"どこに、行けばいいんでしょう
しくしく――","Where should I go, sob sob...",
むぅ、なんだなんだ！？,"What is it, what is it!?",
"この剣は王家へ捧げたもの！
今に名を残す英雄のように
それは勇ましく振るってみせよう","This sword is dedicated to the royal family!
Just like the renowned hero who will be remembered,
Let's swing it valiantly.",
"いつかは王都メガドの護衛に
選ばれるツワモノにと夢見てきたが
今は手の届く範囲で戦うのに必死！
――だが、それも悪くない","I once dreamt of being one of the elite chosen to guard the capital, Megado. But now, I'm just struggling to fight within my reach. But even that isn't so bad.",
"ん？　この盾が気になるのですかな？
素晴らしいデザインでしょう","Hm? Are you interested in this shield?
It has a splendid design.",
うん、話なら聞くよ,"Yeah, I'll listen if you want to talk.",
"魔物は私たちよりも鼻が利くし
もちろん耳だっていい
――まぁ、だから人間を
甘くみてるところもあるんだろうね","Enemies have a better sense of smell than us, and of course, their hearing is also good. Well, that's why they might underestimate humans sometimes.",
"臨機応変に対処できるってのが
人間の一番の強みなんじゃないかな","The ability to adapt to different situations is probably the greatest strength of a human, don't you think?",
"魔物を追う時は
マズい場所に誘いこまれてないか
気を付けた方がいいよ","When pursuing enemies, it's better to be careful and make sure you're not being led into dangerous places.",
ああ、少し話すか？,"Ah, would you like to talk for a bit?",
"もう少しいい装備が欲しいところだが
贅沢は言ってられないか","I would like to have better equipment, but I can't afford to be extravagant.",
"――なんだって？
すまない、大砲の音のせいか
ここのところ耳が遠くなったみたいだ","— What did you say? I'm sorry, it might be because of the sound of the cannons. I think I'm going deaf these days.",
"ここのところ戦いに出る日が続いて
なかなか武具の手入れができないのが、な――
戦場で壊れでもしたら、終わりだ","Lately, I have been going out to battle for consecutive days and it's been difficult to maintain my equipment, ah— If it were to break on the battlefield, it would be the end.",
はい、どうかしました？,"Um, what's wrong?",
"あなたも、きっとお強いんでしょうね
私はまだまだで――","I'm sure you must be very strong, too. I'm not ready to--",
"もっとがんばらないといけませんね
今度こそ、人を支えられるように
なりたいんです","I have to work harder. This time, I want to become someone who can support others.",
"解放軍には入ったばかりなんです
――元から剣を持っていた人たちとは
やっぱり実力の差を感じますね","I have just joined the Liberation Army. Compared to those who already had swords, I can definitely feel the difference in skill.",
はっ、任務中ですので手短にお願いします！,"Uh, please keep it brief as I am on a mission!",
"オークとの戦いに散った者も数知れず――
遺された家族のことを想うと
胸が潰れそうになります","Countless others have scattered in the battle against the orcs--
My heart breaks for the families left behind.",
"オークは、仲間が死んでも
何とも思わないのでしょうか？
――それとも――","Do orcs think nothing of when their friends die?
Or--or--don't they?",
"はっ、気弱になってはいけないと
自分に言い聞かせております","H-hold on, I mustn't lose heart—- I keep reminding myself",
よう、元気か？,"Hey, how are you doing?",
"まぁ、お互い身構えずに行こうぜ
俺も盗賊になったばっかりだけど
君が腕の立つ人だってことは、見りゃわかるよ","Well, let's go without being too cautious—- I've only just become a bandit. But I can tell that you're skilled, just by looking at you.",
"人生何が起こるかわからないものだよな
起こっちまってから「まさか」と思うんだよ","You never know what can happen in life—You think ""it couldn't possibly happen,"" but then it does.",
"家族はいるのか？
はぁ、ポーンがいる――
なんか哲学的な答えだな","Do you have a family? Huh, there's a Pawn―― That's quite a philosophical answer.",
"ん、なになに？
呼んだ？","Hmm, what is it? Did you call me?",
さーて、どうしよっかな,"Well, what should I do?",
"ねぇねぇ～
何かおいしい話、知らない？","Hey, hey~ Do you know any interesting stories?",
"あーあ
どっかにすんごいお宝、転がってないかなぁ
そしたらセルマの姐さんに見直してもらえるのに","Oh dear. I wonder if there might be an amazing treasure hidden somewhere. If so, Sister Selma could take another look at it for me.",
おお、どうかしたかい？,"Oh, is something wrong?",
"いやぁ、久しぶりに持つ剣は重いな
前はもうちょっと、こう――","Oh, it's been a while since I held a sword. It feels heavy now. It used to be a little lighter, like...",
"こう見えても俺、前に
剣士を目指したこともあるんだぜ！
まぁ、子供の頃の話だけど","You see, I once tried to become a swordsman!
Well, that was when I was a kid.",
"盾もずっと持ってると重いんだよな
もうちょっと軽い盾を買えばよかったかなぁ",Shields are also heavy when you hold them all the time. I guess I should have bought a lighter one.,
ぬっ！？　何かご用でも――,Huh!? Is there something you need—,
"己自身を見つめ直すため
戦に乱れた各地を行脚しておるのです","To reflect on oneself, I am wandering around various places that have been disturbed by war.",
"荒廃した景色、それを見て己が心に
湧きあがるもの――
私はそれを見極めたい","The devastated landscape, what wells up in my heart
when I see it--
I want to find out what it is.",
"一時は世を捨て、隠遁生活を送ったことも
ありますがね――そうしたところで
私には何も見えてこなかったのです","I even left the world for a time and went into seclusion
- and I didn't see anything!",
何？　じろじろ見ちゃって,What? You're staring at me.,
"面倒事はごめんよ
――そりゃ、義理や礼儀は通すけどさ
それ以外でってこと","I don't want to be a bother— that is, I'll be polite and respectful, but other than that, I mean.",
"どうしたの、誰か探してるの？
いえ、そんな風に見えたってだけなんだけど","What's wrong, are you looking for someone? No, it only seemed that way.",
"――あたし、どうも面倒事に
まきこまれやすい気がするのよね
どうしてだろう","--I feel like I get into trouble a lot.
I don't know why.",
まあ、どうなさいました？,"Well, what happened?",
"私でお力になれることなら
よろこんで手をお貸ししますわ","If there is anything I can assist you with,
I would be delighted to lend a hand.",
"私の故郷は離れていますし
小さいながらも守りの固い城に
住んでおりますから、家族も無事ですよ","My hometown is far away.
And even though it is small, it is a securely fortified castle,
So my family is safe.",
"このような時こそ
周りの方に手を差し伸べるべきだと――
そう思って、はるばるこちらへ参りましたの","It is at times like this that we should reach out to those around us--
That's why I came all the way here!",
"《英霊眠りし道》についての伝承は多いのです
子供もおとぎ話を通して知っていますよ","There are many legends about the ""Heroic Spirit Sleeping Path,"" and even children are familiar with it through fairy tales.",
"中は土砂で埋まっているので
いわゆる“墓場荒らし”もここにはやってきません","The inside is filled with earth and sand, so the so-called ""grave robbers"" won't come here either!",
"王家ゆかりの地であるのに、番人が
自分一人なのはそのせいですね――","It's a place associated with the royal family, but that's why there's only one guardian--",
"自分も中には何度か足を踏み入れています
管理のこともありますから――
まぁ、土砂が無いところまで覗く程度ですが","I've stepped inside a few times myself
because of the management--
Well, I've only peeked in to where there's no sediment.",
"はっ、覚者様！
ようこそおいでくださいました","Hah, Lord Arisen! Welcome, please come in",
"英霊眠りし道は普通のダンジョンとは異なります
ある程度の武具を揃えて挑まなければ
踏破は難しいのではと――",The Heroic Spirit Sleeping Path is different from a normal dungeon. It may be difficult to conquer without equipping a certain level of weapons and armor.,
"また、内部は土砂で埋まっている通路もあります
もう土砂が流れ込むことはありませんから
一度でも撤去できればいいのですが","Furthermore, there are also passageways that are filled with sediment internally. There will no longer be any inflow of sediment, so it would be good to remove it just once.",
"覚者様、お気をつけて――
危険を感じられたら
すぐに戻ってきてくださいね","Arisen, please be careful--
If you feel any danger,
Please come back immediately.",
"開拓後の場所から
再突入できるようになりましたよ！
これで内部の調査がより捗るかと","You can now re-enter from your pioneering location!
I thought this would help us make more progress in our investigation of the interior.",
開拓後の場所から再突入しますか？,Do you want to re-enter the place after development?,
はい,Yes,
いいえ,No,
"パーティーリーダーが行き先を
選ぶまで、少々お待ちください",Please wait a moment while the party leader selects the destination.,
"パーティーリーダーが待っていらっしゃいますよ
《英霊眠りし道》へ突入しますか？","The party leader is waiting.
Will you enter the Heroic Spirit Sleeping Path?",
はい,Yes,
いいえ,No,
"内部へ向かわれる際は十分に注意してください
まずは状況確認など、いかがでしょう？","Please be careful when heading inside.
How about a status check first?",
ダンジョンに入る,Enter Dungeon,
開拓状況確認,Check Reclamation Status,
報酬取得状況確認,Check Acquired Rewards Status,
まさか、全ての道を拓かれるとは――！,I can't believe all the roads have been opened up—!,
"実は――伝承では
全ての道を拓くことで
最後の試練が受けられると言われているんです","Actually, in the legend, it is said that by opening up all paths, one can receive the final trial.",
"覚者様が全ての道を拓いたと同時刻に、
開かずの扉に変化が起きました
まるで、共鳴するみたいにです","At the same time that the Arisen paved the way for everything,
a change occurred in the unopened door, as if it were resonating!",
"最後の試練が待ち受けるのは
きっと開かずの扉の先なのでしょうね
――最後の試練に向かわれる時は
ぜひ声をかけてください","The final trial is surely waiting beyond the sealed door. When you're ready to face the last trial, please don't hesitate to contact me.",
"内部へ向かわれる際は十分に注意してください
まずは状況確認など、いかがでしょう？","Please be careful when heading inside.
How about a status check first?",
ダンジョンに入る,Enter Dungeon,
開拓状況確認,Check Reclamation Status,
報酬取得状況確認,Check Acquired Rewards Status,
最後の試練に挑む,Challenge Final Ordeal,
"最後の試練に向かわれるのですね
それでは、扉の封印を解除しておきます","I see that you are heading for the final ordeal.
I will now unseal the door.",
"あの先には、今までより困難な試練が
待ち受けているかもしれません","Beyond that point, more difficult challenges than ever before may await you!",
"心して向かってください
ご武運をお祈りします
――覚者様のお戻りを信じておりますので！",Please proceed with caution. We pray for your success. We believe in the return of the Arisen!,
"覚者様、申し訳ありませんが
そのような武具で内部に進まれるのは
かなり危険かと――","Lord Arisen, I'm sorry but it is quite dangerous to proceed inside with such weaponry.",
"番人として、覚者様をみすみす危険に
晒すわけにはいきません
武具を整えてから、もう一度いらしてください","As a guardian, I cannot simply expose the esteemed Arisen to danger. Please come again after preparing your equipment.",
やあ、あんたが白き竜の覚者さんか,"Hey, are you the Arisen of the White Dragon?",
"このほこらに分散している
私の力を集めて
ここまで持ってきてくれないかい？",Can you gather the power scattered at this shrine and bring it here?,
"そうすれば、あんたに力を貸してやれる――
何せ今は何の力も無くってね","If you do that, then I can lend you my strength—after all, I don't have any power right now.",
"ありがとう、よく集めてきたね
おかげで何かといい感じだよ","Thanks, you've done a great job collecting them.
It's made me feel like I'm on to something.",
"見たところ、あんたなら
もっと深くまで潜ることもできそうだし――","From what I can see, you could probably delve even deeper -",
"さぁ、見てな
土砂ごとき、力さえ戻ればこんなもんさ","Now, look here.
Just some earth and sand.
If only I regain my strength, it's nothing.",
"どうだい？
土砂をどけて、道を作っておいたよ
これで先に進めるだろう","How about it?
I cleared away the debris and made a path.
You should be able to proceed now.",
"あんたほどの実力があるなら
この先に眠る宝物にもたどり着けるんじゃない？","If you're as good as you say you are,
you'll get to the treasures that lie ahead, won't you?",
"期待してるよ――
ああ、久しぶりに楽しかった","I'm counting on you— Ah, I haven't had this much fun in a while.",
"すまないけど、思ったより
土砂が詰まっててね
さすがに時間がかかってしまってるんだ","Sorry, it's more
packed with sediment than I thought.
It's taking longer than expected.",
"もう少しだけ時間をくれない？
なに、目途は立ってるからさ","Can you give me a little more time?
No, I've got a plan.",
"ふふふ、そう怪訝な顔をしないで
あんたの力になりたいだけさ","Hahaha, don't make such a bewildered face.
I just want to support you.",
"まだ王子は幼いんだろ？
そうそう、ネド王子――","The prince is still young, right? Yes, Prince Nedo—",
"そう気を遣わなくていいさ
私だってそんな大層な人間じゃないからさ
昔ね、腕っぷしが強かっただけだよ――ハハハ","You don't have to worry about it,
because I'm not that extraordinary either.
In the past, it was just that I was strong physically - Hahaha.",
"あれ、あんたの仲間は
すでに道を拓いてるんじゃない？","Oh, your companions, aren't they already carving their own path?",
"これなら仲間の力をたどって
一時的に道を開くことができそうだよ","If you follow the power of your companions
you may be able to temporarily open the path",
通常開拓する,Explore normally.,
仲間の力をたどる,Follow the power of your companion,
"ふふ、ごきげんよう
遠いところからやってきた覚者さん","Ah, good day. You, the Arisen who has come from a distant place.",
"ねぇ、もうわかってるんでしょう？
この辺りに散らばった力を集めて
わたしにくれないかしら","Hey, you already know the answer to that, don't you?
You're going to gather all the power scattered around here and give it to me.",
"今のわたしたちは
こうして姿を現すだけで精一杯――
だけど、あなたに協力したいのよ","Right now we're doing our best just showing up like this--
but we want to help you!",
"ありがとう、少しの間動くなら
これで十分よ","Thanks, if it works for a little while
this should be enough.",
"さて、あなたにはもっと深くまで
行ってもらわないとね――","Now, I need you to go deeper—",
"あなたに協力することが
王家のためになるはずですもの
さぁ、邪魔な土砂は吹っ飛ばしてしまいましょう","It should be beneficial for the royal family for me to assist you. Now, let's blow away that obstruction.",
"土砂を片付けたわよ
これなら通れるでしょう？","I've cleared away the debris. This should be passable, right?",
"あなたの力を見込んで言うわ
もっと深くまで、諦めずに進んでね","I'll say this, counting on your strength, go deeper without giving up.",
"エゴといわれても仕方ないけど――
まだ、この国の終わりをみたくは無いの","Call me egotistical, but-- I don't want to see the end of this country just yet.",
"ごめんね、急いではいるんだけど
もう少しかかりそう――","I'm sorry, but I'm in a hurry, so it might take a little longer...",
"だけど、きっとやり遂げるわ
あなたに協力することが
王家のためになるはずですもの","But I'm sure we'll get it done.
Helping you will be for the good of the royal family.",
"わたしたちがこうしていられるのも
ようするに、この地に充満した
竜力みたいなモノのお陰――
そういう力が溜まりやすいのよね、ここって",The reason we can exist like this is essentially because of the Dragon Force that pervades this place. It's easy for that kind of power to accumulate here.,
"出られるものなら、わたしたちだって
ここを飛び出して行くわ――
でも、ここでしか姿を保てないんですもの","If we could go, we would also venture out of here―― 
but we can only maintain our presence here.",
