"21787","
","
"9440","鉱石系のクラフト用素材
強力なコカトリス（ＬＶ．56～）の
胃の中で磨かれた石","Ore Crafting Material:
A powerful Cockatrice (LV. 56~) has polished this stone inside its stomach."
"9441","砂系のクラフト用素材
思念体（ＬＶ．55～）が運んだいずこかの砂","Sand Crafting Material: Sand brought by ethereal creatures (LV. 55 and above) from... somewhere."
"9442","木材系のクラフト用素材
エント（ＬＶ．55～）から剥ぎ取った
身じろぎする樹皮。希少品","Wood Crafting Material: Bark that flinches. A rare item obtained by carving it from Ents (LV. 55~)."
"9443","液体系のクラフト用素材
強力なオーク（ＬＶ．55～）秘蔵の
かなりの年代物と思われる異臭を放つ酒液","Liquid Crafting Material: Potent liquor with a strong odor believed to be of considerable age, from the hoard of a powerful Orc (Level 55~)."
"9444","金属系のクラフト用素材
力強い緑色に輝く合成金属の塊","Metal Crafting Material: A solid mass of synthetic metal that shines with a powerful green color."
"9445","布系のクラフト用素材
魔除けの力が込められた光沢のある布","Cloth Crafting Material: Glossy cloth imbued with the power of warding off evil."
"9446","糸系のクラフト用素材
高度な技術で紡がれた見えないほど細く軽い糸","String Crafting Material: High-tech, invisible thread that is spun incredibly thin and light."
"9447","魔道書系のクラフト用素材
強力な魔力の印が付与されたスクロール","Grimoire Crafting Material:
Scrolls with powerful magical seals."
"9448","入手機会が限られたクラフト用素材
禍々しく不気味な質感の翼膜","Crafting materials with limited availability:
Wing membranes with a spooky and eerie texture."
"9449","入手機会が限られたクラフト用素材
幾人もの血を吸った革製のベルト","Crafting materials with limited availability.
A leather belt that has absorbed the blood of many."
"9450","強力な武具を作る際に必要な
白竜の力が込められた物質
特定武具のクラフト素材に使用できる","Material imbued with the power of the White Dragon, necessary for crafting powerful equipment. 
Can be used as a crafting material for specific pieces of equipment."
"9451","古種族の武具を再現する試みのため
作り出された物質
特定武具のクラフト素材に使用できる","A substance created in an attempt to reproduce ancient race equipment.
Can be used as a crafting material for specific equipment."
"9452","錬金素材で特殊な武具を作る際に
基盤として使う物質
特定武具のクラフト素材に使用できる","A material used as a foundation when creating special equipment with alchemical materials.
Can be used as a crafting material for specific equipment."
"9453","爪牙系のクラフト用素材
霊竜の結晶化した透明の牙。希少品","Fang Crafting Material
A transparent fang crystallized from a spirit dragon.
A rare item."
"9455","竜の祝福が込められたリング状プレート
覚者の力に呼応する性質がある貴重品
《鑑定交換》の取引対象になるようだ","A ring-shaped plate imbued with the blessing of the dragon, a valuable item that resonates with the power of the Arisen.
It seems to be eligible for an ""Appraisal Exchange"" transaction."
"9456","特定の場所でのみ入手できるクラフト用素材
瘴気に晒され濁った竜力が結晶化したもの","Crafting Material that can only be obtained in specific locations.
It is a crystallization of Dragon Force that has been tainted by exposure to miasma."
"9457","特定の場所でのみ入手できるクラフト用素材
祭祀場に渦巻く古い竜力が結晶化したもの","Crafting Material that can only be obtained in specific locations.
It is a crystallization of Dragon Force that swirls in the Ritual Hall."
"9458","入手機会が限られたクラフト用素材
大地の力が宿るガラス質の欠片","Crafting materials with limited availability.
Glass-like shards imbued with the power of the earth."
"9459","入手機会が限られたクラフト用素材
大地の力が宿る大樹からできた琥珀","Crafting materials with limited availability.
An amber made from the power of the earth dwelling within a mighty tree."
"9460","入手機会が限られたクラフト用素材
大地の力が凝縮された多角の水晶","Crafting materials with limited availability.
A multi-faceted crystal that condenses the power of the earth."
"9461","入手機会が限られたクラフト用素材
秩序の乱れを誘発する妖しき雫","Crafting materials with limited availability:
Mysterious droplets that induce a disturbance of order."
"9462","入手機会が限られたクラフト用素材
秩序の乱れを誘発する妖しき水","Crafting materials with limited availability:
Mysterious water that induces disorder in the order."
"9463","入手機会が限られたクラフト用素材
秩序の乱れを誘発する妖しき氷塊","Crafting materials with limited availability:
Mysterious ice chunks that induce a disturbance of order."
"9788","特定の場所でのみ入手できるクラフト用素材
大樹の生命力を含む竜力が結晶化したもの","Crafting Material that can only be obtained in specific locations.
It is a crystallization of Dragon Force that contains the vitality of the great tree."
"9789","特定の場所でのみ入手できるクラフト用素材
黄金の輝きを放つ竜力が結晶化したもの","Crafting Material that can only be obtained in specific locations.
Crystallized Dragon Force that radiates a golden glow."
"9796","雑多なクラフト用素材
真珠のように輝く乳白色の希少な貝","Miscellaneous Crafting Material:
A rare shell that shines like a pearl with a milky white color."
"10133","戦徒との契約に必要な神秘の石片
新たな契約のためには規定個数必要","Mystic stone fragments required for a contract with Myrmidons.
A certain number is necessary for a new contract."
"10985","レスタニアの守り手たる者に送られる品
大いなる白竜の力を帯びている","Item sent to the protector of Lestania.
It is imbued with the power of the Great White Dragon."
"10986","角系のクラフト用素材
大魔ズールの波打ち湾曲した大角","Horn Crafting Material: Large curved horn from the mighty Zuhl."
"10990","レスタニアを巡る竜力を精製した結晶
その結晶は、覚者にとって
強力な武具の材料となる","A crystal that refines the Dragon Force circulating in Lestania.
That crystal serves as a powerful material for the Arisen's equipment."
"10991","レスタニアを巡る竜力を精製した結晶
高純度の結晶は、覚者にとって
強力な武具の材料となる","A crystal that refines the Dragon Force circulating in Lestania.
High-purity crystals serve as powerful materials for Arisen's equipment."
"10992","レスタニアを巡る竜力を精製した結晶
輝きに包まれた結晶は、覚者にとって
強力な武具の材料となる","A crystal that refines the Dragon Force circulating in Lestania.
Crystals enveloped in radiance serve as powerful materials for Arisen's equipment."
"10993","レスタニアを巡る竜力を精製した結晶
白竜の祝福を受けた結晶は、覚者にとって
強力な武具の材料となる","A crystal that refines the Dragon Force revolving around Lestania. 
The crystal blessed by the White Dragon is a powerful material for the equipment of the Arisen."
"10996","黄金竜を生みだす錬金秘術に
用いられたとされる楔
特定武具のクラフト素材に使用できる","The wedge said to have been used in the alchemized secret technique that gives birth to the Golden Dragon. Can be used as a crafting material for specific equipment."
"10997","黄金竜を生みだす錬金秘術に
用いられたとされる祭器
特定武具のクラフト素材に使用できる","The sacred artifact said to have been used in the alchemized secret technique that births the Golden Dragon. Can be used as a crafting material for specific equipment."
"10998","黄金竜を生みだす錬金秘術に
用いられたとされる竜力の宝珠
特定武具のクラフト素材に使用できる","The orb of Dragon Force, said to have been used in the alchemized secret technique that gives birth to the Golden Dragon. 
Can be used as a crafting material for specific equipment."
"10999","《ハイデル平原》で高い功績をあげた者に
のみ送られる名誉ある記章
特定武具のクラフト素材に使用できる","The honorable emblem that is only awarded to those who have achieved great feats in the Hidell Plains. 
It can be used as a crafting material for specific equipment."
"11000","《ブリア海岸》で高い功績をあげた者に
のみ送られる名誉ある記章
特定武具のクラフト素材に使用できる","The honorable emblem that is only awarded to those who have achieved great feats in the Breya Coast.
It can be used as a crafting material for specific equipment."
"11001","《ミスリウ森林》で高い功績をあげた者に
のみ送られる名誉ある記章
特定武具のクラフト素材に使用できる","The honorable emblem that is only awarded to those who have achieved great feats in the Mysree Forest.
It can be used as a crafting material for specific equipment."
"11002","《ボルド鉱山》で高い功績をあげた者に
のみ送られる名誉ある記章
特定武具のクラフト素材に使用できる","The honorable emblem that is only awarded to those who have achieved great feats in the Volden Mines. 
It can be used as a crafting material for specific equipment."
"11003","《ダウ渓谷》で高い功績をあげた者に
のみ送られる名誉ある記章
特定武具のクラフト素材に使用できる","The honorable emblem that is only awarded to those who have achieved great feats in Dowe Valley. 
It can be used as a crafting material for specific equipment."
"11004","《ミスリウ森林深部》で高い功績をあげた者に
のみ送られる名誉ある記章
特定武具のクラフト素材に使用できる","The honorable emblem that is only awarded to those who have achieved great feats in the depths of the Mysree Forest.
It can be used as a crafting material for specific equipment."
"11005","《バートランド平原》で高い功績をあげた者に
のみ送られる名誉ある記章
特定武具のクラフト素材に使用できる","The honorable emblem that is only awarded to those who have achieved great feats in the Betland Plains.
It can be used as a crafting material for specific equipment."
"11006","《ディナン深層林》で高い功績をあげた者に
のみ送られる名誉ある記章
特定武具のクラフト素材に使用できる","The honorable emblem that is only awarded to those who have achieved great feats in the Deenan Woods.
It can be used as a crafting material for specific equipment."
"11007","《バートランド平原北部》で高い功績をあげた者に
のみ送られる名誉ある記章
特定武具のクラフト素材に使用できる","The honorable emblem that is only awarded to those who have achieved great feats in the Northern Betland Plains. 
It can be used as a crafting material for specific equipment."
"11008","《ザンドラ東部》で高い功績をあげた者に
のみ送られる名誉ある記章
特定武具のクラフト素材に使用できる","The honorable emblem that is only awarded to those who have achieved great feats in Eastern Zandora. 
It can be used as a crafting material for specific equipment."
"11009","《ザンドラ禁域》で高い功績をあげた者に
のみ送られる名誉ある記章
特定武具のクラフト素材に使用できる","The honorable emblem that is only awarded to those who have achieved great feats in the Zandora Wastelands. 
It can be used as a crafting material for specific equipment."
"11010","《亡都メルゴダ》で高い功績をあげた者に
のみ送られる名誉ある記章
特定武具のクラフト素材に使用できる","The honorable emblem that is only awarded to those who have achieved great feats in the Mergoda Ruins. 
It can be used as a crafting material for specific equipment."
"11210","風を模した紋章入りのリング状プレート
さまざまな素材を合成し鍛えた貴重品
《鑑定交換》の取引対象になるようだ","A ring-shaped plate with a coat of arms design, modeled after the wind.
A precious item forged by combining various materials.
It seems to be eligible for ""Appraisal Exchange"" as a trading object."
"11211","翼を模した紋章入りのリング状プレート
さまざまな素材を合成し鍛えた貴重品
《鑑定交換》の取引対象になるようだ","A ring-shaped plate with a coat of arms design, modeled after wings.
A precious item forged by combining various materials.
It seems to be eligible for ""Appraisal Exchange"" as a trading object."
"11212","掌を模した紋章入りのリング状プレート
さまざまな素材を合成し鍛えた貴重品
《鑑定交換》の取引対象になるようだ","A ring-shaped plate with a coat of arms design, modeled after a hand.
A precious item forged by combining various materials.
It seems to be eligible for ""Appraisal Exchange"" as a trading object."
"11504","鉱石系のクラフト用素材
角ばっていて割れやすい
冷気を秘めた鉱石の欠片","Ore Crafting Material:
Fragments of jagged and brittle mineral infused with cold energy."
"11505","鉱石系のクラフト用素材
角ばっていて割れやすい
冷気を秘めた鉱石","Ore Crafting Material:
A jagged and brittle mineral infused with cold energy."
"11506","鉱石系のクラフト用素材
まるで指のように見える小さな石","Ore Crafting Material: A tiny stone that looks like a finger."
"11507","鉱石系のクラフト用素材
腕のように見える奇妙な形の石","Ore Crafting Material: Strange stone with a peculiar shape resembling an arm."
"11508","鉱石系のクラフト用素材
不衛生な環境で発見されることが多い鉱石","Ore Crafting Material: Materials used for crafting made from ores that are often found in unsanitary environments."
"11509","雑多なクラフト用素材
広く使われている伝統的な火薬","Miscellaneous Crafting Material:
Traditionally used gunpowder widely used for crafting."
"11768","宝石系のクラフト用素材
灰がかったような奥深い色味をもつ宝石","Gem Crafting Material: A gem with a deep, ash-like color."
"11769","宝石系のクラフト用素材
過ぎ去りし時の記憶を封じたといわれる宝石","Gem Crafting Material: A gem said to seal the memories of a bygone era."
"11770","鉱石系のクラフト用素材
ボルド鉱山で産出される極めて良質な石炭","Ore Crafting Material:
An extremely high-quality coal produced in the Volden Mines."
"11771","宝石系のクラフト用素材
ボルド鉱山で稀に見つかる良質なダイヤ","Gem Crafting Material: High-quality diamonds that can be found rarely in the Volden Mines."
"11772","雑多なクラフト用素材
墓場に散らばる怨嗟のこもった小石","Miscellaneous Crafting Material: Gravel scattered in the graveyard, filled with lamentation."
"11773","雑多なクラフト用素材
罪人に使われていた重い石枷","Miscellaneous Crafting Material:
Heavy iron shackles that were used by criminals."
"11774","肉系のクラフト用素材
胞子によって濁った侵食ゴアサイクロプスの目玉","Meat Crafting Material: Eyes of the corrupt, Infected Gorecyclops clouded by spores."
"11775","鉱石系のクラフト用素材
洞窟内で生成された鍾乳石の先端","Ore Crafting Material: Stalactite Tip"
"11776","鉱石系のクラフト用素材
発光性微生物を内包しほの青く光る鍾乳石","Ore Crafting Material: Stalactite containing luminescent microorganisms that emit a gentle blue light."
"11777","角系のクラフト用素材
侵食症状により変色した巨大な角","Horn Crafting Material: Enormous horn discolored by corruption."
"11778","金属系のクラフト系素材
フロスト・マキナの装甲に含まれる
霜が付くほど超低温の金属塊","Metal Crafting Material
Contained in the armor of Frost Machina, a metal mass that reaches ultra-low temperatures, enough to frost over."
"11779","《魔赤島》で高い功績をあげた者に
のみ送られる名誉ある記章
特定武具のクラフト素材に使用できる","The honorable emblem that is only awarded to those who have achieved great feats in Bloodbane Isle. 
It can be used as a crafting material for specific equipment."
"11780","特定の場所でのみ入手できるクラフト用素材
天空に広がる竜力が結晶化したもの","Crafting Material that can only be obtained in specific locations.
It is a crystallization of the Dragon Force that spreads in the sky,"
"11781","入手機会の限られたクラフト素材
ハリのある竜髭","Limited availability crafting material
Dragon Beard with a firm texture"
"11782","入手機会の限られたクラフト素材
特に長くハリのある竜髭","Crafting materials with limited availability
Especially long and sturdy Dragon Beard material."
"11783","入手機会の限られたクラフト素材
強い竜力に満ちた長い竜髭","Crafting materials with limited availability
Long Dragon Beard filled with powerful Dragon Force."
"11784","砂系のクラフト用素材
純度を高めた軟らかな固形のロウ
特定武具のクラフトに利用できる
白竜神殿素材屋で購入可能","Sand Crafting Material: Soft solid wax with enhanced purity that can be used for crafting specific equipment. 
Available for purchase at the White Dragon Temple Material Shop."
"11789","鉱石系のクラフト用素材
特定の洞窟内で発見される
つぼみのように見える小さな小石","Ore Crafting Material: Small stones that resemble buds, discovered in specific caves."
"11790","鉱石系のクラフト用素材
花のような石を集めたブーケ","Ore Crafting Material:
Bouquet made by collecting stone-like flowers."
"11791","雑多なクラフト用素材
暗いところを好む、糸を吐くイモムシ","Miscellaneous Crafting Material:
A caterpillar that prefers dark places and spits out string."
"11792","雑多なクラフト用素材
ホラアナカイコの繭から作った強度のある糸","Miscellaneous Crafting Material:
Strong thread made from the cocoon of the Cave Silkworm."
"11793","皮革系のクラフト用素材
何年も潜み大きく成長した獣の皮","Pelt Crafting Material: The skin of a large beast that has been lurking for many years, undergoing tremendous growth."
"11794","布系のクラフト用素材
様々な魔物の毛が絡み合ってできた厚い布","Cloth Crafting Material: Thick cloth created by the tangled fur of various enemies."
"11795","液体系のクラフト用素材
樹木の強い生命力を秘めた濃厚な液体","Liquid Crafting Material: Intensely rich liquid imbued with the strong vitality of trees."
"11796","雑多なクラフト用素材
生命力を濃縮したかのように輝く樹脂","Miscellaneous Crafting Material:
A resin that shines as if it has been enriched with vitality."
"11798","雑多なクラフト用素材
苔から作ったきめの細かい紙","Miscellaneous Crafting Material:
Fine paper made from moss."
"11799","羽根系のクラフト用素材
丸みを帯びて羽軸まで柔らかい羽毛","Feather Crafting Material: Soft feathers with a rounded shape up to the quill."
"11800","布系のクラフト用素材
重さを感じない薄く軽やかな布","Cloth Crafting Material: Lightweight and airy cloth that you can't feel the weight of."
"11801","肉系のクラフト用素材
腐敗するうちに強烈な粘り気をもった肉","Meat Crafting Material: Meat that develops a strong stickiness as it rots."
"11802","液体系のクラフト用素材
有機系の素材から取り出した強力な接着剤","Liquid Crafting Material: Strong adhesive extracted from organic materials."
"11803","毛系のクラフト用素材
一本一本に微細な金が混じった奇妙な毛","Fur Crafting Material: Strange fur with tiny specks of gold mixed in each strand."
"11804","布系のクラフト用素材
角度によって光がちらつく豪奢な布","Cloth Crafting Material: Luxurious fabric that shimmers with light depending on the angle."
"11805","肉系のクラフト用素材
マンティコアの毒を含んだ鋭い尾","Meat Crafting Material: Sharp tail containing Manticore's poison."
"11806","皮革系のクラフト用素材
特殊な環境下におかれ
ぬるついた手触りとなった獣の皮","Pelt Crafting Material: The skin of a beast that has been placed in a special environment, resulting in a slimy texture."
"11807","皮革系のクラフト用素材
特殊な環境下で熟成し
極度になめらかな手触りとなった獣の皮","Pelt Crafting Material: The skin of a beast that has been placed in a special environment, resulting in an extremely smooth texture."
"11808","入手機会が限られたクラフト用素材
覗きこむと視界が屈折して映る石","Crafting materials with limited availability:
A stone that, when looked into, refracts the field of view."
"11809","入手機会が限られたクラフト用素材
様々な幻像が映ると伝えられる輝く石","Crafting materials with limited availability.
A shining stone said to reflect various illusions."
"11810","特定の場所でのみ入手できるクラフト用素材
強大な淀みの中で渦巻く竜力が結晶化したもの ","Crafting Material that can only be obtained in specific locations.
It is a crystallization of Dragon Force that swirls within powerful stagnation. "
"11811","入手機会が限られたクラフト用素材
破滅へと誘う妖しき滴","Crafting materials with limited availability:
Mysterious droplets that lead to destruction."
"11812","入手機会が限られたクラフト用素材
破滅へと誘う妖しき水","Crafting materials with limited availability:
Mysterious water that entices towards destruction."
"11813","入手機会が限られたクラフト用素材
破滅へと誘う妖しき氷塊 ","Crafting materials with limited availability:
Mysterious ice chunks that lead to destruction. "
"11819","レスタニア全土で高い功績をあげ、白騎団に
認められた者にのみ送られる名誉ある記章
特定武具のクラフト素材に使用できる","An honorable badge sent only to those who have achieved great merits throughout all of Lestania and have been recognized by the White Knights.
Can be used as a crafting material for specific equipment."
"12784","レスタニア全土で高い功績をあげ、神殿に
認められた者にのみ送られる名誉ある記章
特定武具のクラフト素材に使用できる","An honorable badge sent only to those who have achieved great merits throughout all of Lestania and have been recognized by the Temple.
Can be used as a crafting material for specific equipment."
"13223","羽根系のクラフト用素材
多量の侵食胞子を含み変色した大鷲の羽","Feather Crafting Material: A large eagle feather contaminated with a large amount of Corruption spores, causing it to become discolored."
"13224","毛系のクラフト用素材
メドゥーサの頭部に生えた蛇
切り取られてしばらくすると繊維状に解ける","Fur Crafting Material: Snakes that grow on the head of Medusa. 
When cut off, they gradually dissolve into fibrous strands."
"13233","レスタニアの職人の協力によって
作成できるようになったパペット
キッチンのイスに座らせられるサイズ","With the cooperation of Lestanian artisans, a puppet has been created that can be placed on a kitchen chair, just the right size."
"13234","レスタニアの職人の協力によって
作成できるようになったパペット
キッチンのイスに座らせられるサイズ","With the cooperation of Lestanian artisans, a puppet has been created that can be placed on a kitchen chair, just the right size."
"13238","寝返りをうっても平気なサイズのベッド
天蓋付きのゆったりサイズで安眠を約束してくれる","A bed of a size that allows you to turn over comfortably, promising a peaceful sleep with its spacious canopy."
"13239","レスタニアの職人の協力によって
作成できるようになったパペット
ベッドに置くのにちょうど良いサイズ","Through the cooperation of Lestanian artisans, a puppet has been created that is just the right size to be placed on the bed."
"13240","レスタニアの職人の協力によって
作成できるようになったパペット
何段にも積み上げられる絶妙なバランスが持ち味","Thanks to the collaboration of Lestania's craftsmen, the puppets that can be created have a unique feature of being able to be stacked in multiple layers with exquisite balance."
"13247","レスタニアの職人の協力によって
作成できるようになったパペット
チェストの上に置ける大きめサイズ","Through the cooperation of Lestanian artisans, a puppet has been created that can be placed on top of a chest, in a larger size."
"13319","書斎に設置できる本棚
の作り方が書かれたレシピ","A recipe for creating Bookshelves that can be installed in the Study"
"13320","キッチンに設置できるレンガ造りの調理設備
の作り方が書かれたレシピ","Recipe for a Brick Cooking Station that can be installed in the Kitchen."
"13321","キッチンに設置できる食事セット
の作り方が書かれたレシピ","Recipe for a meal set that can be installed in the kitchen."
"13322","レスタニアの職人の協力によって
作成できるようになったパペット
キッチンのイスに座らせられるパペット
の作り方が書かれたレシピ","A recipe detailing how to create a puppet, which can be seated on a kitchen chair, thanks to the cooperation of Lestanian artisans."
"13323","レスタニアの職人の協力によって
作成できるようになったパペット
キッチンのイスに座らせられるパペット
の作り方が書かれたレシピ","A recipe detailing how to create a puppet, which can be seated on a kitchen chair, thanks to the cooperation of Lestanian artisans."
"13358","キッチンに設置できる食材収納棚
の作り方が書かれたレシピ","Recipe for a food storage shelf that can be installed in the kitchen."
"13359","キッチンに設置できる調理器具セット
の作り方が書かれたレシピ","Recipe for a Cookware Set that can be installed in the Kitchen."
"13360","天蓋付きでゆったりサイズのベッド
の作り方が書かれたレシピ","A recipe that explains how to make a spacious bed with a canopy."
"13361","ベッドに置くのにちょうど良い大きさのパペット
の作り方が書かれたレシピ","A recipe is written on how to make a puppet of just the right size to put on a bed."
"13363","室内を優しい光で照らすルームランプ
の作り方が書かれたレシピ","A recipe that explains how to make a room lamp that illuminates the interior with gentle light."
"13364","室内を清涼感のある光で照らすルームランプ
の作り方が書かれたレシピ","Recipe for making a room lamp that illuminates the interior with a refreshing light"
"13365","室内を明るい光で照らすルームランプ
の作り方が書かれたレシピ","Recipe for making a room lamp that illuminates the interior with bright light"
"13371","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13372","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13373","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13374","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13375","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13376","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13377","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13378","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13379","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13380","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13381","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13382","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13383","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13384","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13385","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13386","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13387","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13388","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13389","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13390","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13391","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13392","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13393","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13394","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13395","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13396","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13397","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13398","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13399","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13400","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13401","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13402","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13403","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13404","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13405","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13406","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13407","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13408","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13409","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13410","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13411","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13412","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13413","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13414","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13415","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13416","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13417","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13418","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13419","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13420","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13421","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13422","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13423","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13424","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13425","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13426","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13427","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13428","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13429","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13430","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13431","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13432","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13433","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13434","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13435","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13436","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13437","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13438","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13439","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13440","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13441","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13442","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13443","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13444","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
"13445","対象のアビリティと同等の効果を得る
効果は重複しない","Gain the same effects as the target ability.
Effects do not stack."
