0,,"不思議な力で封鎖されている
英霊の協力<COL ffdc78>《大開拓》</COL>が必要そうだ――","It is sealed with a mysterious power.
The cooperation of the heroic spirit 
<COL ffdc78>《Great Frontier Development》</COL> 
seems necessary.",ui\00_message\examine_message\stage\stage_examine_st1150.gmd,\stage\st1150\st1150.arc,st1150.arc,0,
0,HISTORY_STEP_62,"　レオはミシアルを連れ帰ることができなかった。誇
り高き巫女は命を敵に利用されることを拒み、同時
に、レオたちに勝機を与えるために自らの命を断った
のだ
　その献身でレオは敵を打ち倒すことができたが、そ
の敵とは、かつての盟友であるイリスだ
　なんという悲劇だろうか。だが、出来事が巡り巡っ
た結果の運命の悪戯による悲劇ではない。裏で巧みに
登場人物たちを操った者がいるのだ。忌まわしきディ
アマンテスだ
　封じられた錬金術師に対抗するために、魔物の命を
白竜に捧げ、竜力の加護を得るべきだとわたしは考え
た。クラウスは、魔物の命を使って敵の本拠に乗り込
むべきだと主張した
　しかし、我々の論争は無駄に終わった。魔物の命を
所持したままレオが姿を消してしまっていたのだ","Leo couldn't bring Mysial back.
The proud priestess refused to be used as a pawn
and sacrificed herself in a final act of support.
Not without tragedy, victory was attained,
but as cruelly as fate laughs at us all,
Iris had to be put to the sword.

However, fate it was not.
This was the wicked and willful act of someone
who manipulated actors behind the scenes.
The detestable Diamantes.

To counter the sealed alchemist,
I believed that we should offer the lives
of monsters to the White Dragon
and gain the protection of Dragon Force.
Klaus argued to use the lives of monsters
to infiltrate the enemy's stronghold.
However, our debate was in vain.
Leo made off with the lives in question.",ui\00_message\history\001\q00000020.gmd,\ui\history\history_data_001.arc,history_data_001.arc,0,
0,HISTORY_STEP_64,"　第三のアークの中で、レオはクラウスが望んだ道を
選んだ。示し合わせたわけではないとは分かっている
が、時代の変化を感じずにはいられない
　わたしの意見は時代に合わない。単純に老いたの
だ。第一線から退くべきなのだろう
　白竜は夢とうつつを行きつ戻りつしており、その意
志を読む巫女はもういない。よりどころをなくした我
々の心は、散って離れていくしかないのだろうか
　わずかながらの希望は、わたしに届いたレオの伝言
だ。若者たちにわたしを敬うようにと言い残したらし
い
　レオの気持ちに応えるには、わたしは何をすべきだ
ろうか。不意に、冷たい水を浴びたように頭が冴え
た
　わたしの役目は、一歩退いた、客観的、かつ、冷徹
な判断を下すこと。敵はディアマンテスだ。イリスの
二の舞に陥る者が現れないとは限らない。その時に、
厳しい判断を下せるのはわたしだけだろう","In the Third Ark, Klaus' aim was met.
I can't help but feel the change of time.
My opinion is outdated; I have simply grown old.
I suppose I should step back from the front lines.
The White Dragon comes and goes
between dreams and reality,
and there is no longer a shrine maiden
to interpret its intentions.
Our hearts, with no place to rely on,
can only scatter and drift apart.

There is a faint glimmer of hope
in Leo's message that reached me recently.
It seems he told the young ones to respect me.
How shall I respond to Leo's intention?

Suddenly, my mind cleared
as if being doused in cold water.
As it is Diamantes, Iris' case may repeat itself.
I shall endeavor to remain objective.",ui\00_message\history\001\q00000021.gmd,\ui\history\history_data_001.arc,history_data_001.arc,0,
0,HISTORY_STEP_61,"　かつての首都、錬金術師が治めたメルゴダが復活し
た。送り込まれたアーク内の装置と捧げられた命はす
べて都市の復活に使われたのだ
　そのメルゴダへクラウスが旅立っていった。到着
後、向こうで暮らす錬金術師とも相まみえたらしい
　名はテオドール。ディアマンテスと敵対する錬金術
師がいたとは想定外だった。彼らは戦力を必要として
おり、その相談をわたしに持ちかけてきた。異存があ
ろうはずはない
　これでレオが正気のままに協力してくれれば申し分
ないのだが","The former capital ruled by alchemists,
Mergoda, has been revived.
All the devices sent into the Ark
and all the lives sacrificed
were used for the city's revival.

Klaus has set off for Mergoda.
After arriving, he encountered alchemists living there.
One of particular note is Theodore.
It was unexpected to encounter alchemists
who oppose Diamantes.
They are in need of reinforcements
and have approached me for advice.

I have no objections to this allyship.
If only Leo would cooperate
while still in his right mind,
there would be no problems.",ui\00_message\history\001\q00000022.gmd,\ui\history\history_data_001.arc,history_data_001.arc,0,
0,HISTORY_STEP_60,"　メルゴダへ乗り込んだ者たちからの報告が届く。デ
ィアマンテスは街の一角に封じられているが、その封
印が、ほどなく内部から解かれそうな気配らしい
　そこでテオドールたちが立案したのは、外から積極
的に封印を解き、ディアマンテスに先制するという作
戦だった
　完全なる復活を遂げてしまえばディアマンテスの力
は計り知れない。彼らの作戦には一理ある。問題は、
事を一気に進めて、敵を圧倒することができるか否
か
　もし失敗した場合に予想される被害。判断を委ねら
れたわたしは大会議を召集することにした。検討を要
請するわけではない。覚悟を促すためだ","Reports are coming in from Mergoda.
Diamantes is sealed in a corner of the city,
but the seal is about to be broken from within.
In response, Theodore and his allies
have devised a plan to actively break the seal
from the outside and preempt Diamantes.

Once Diamantes achieves complete revival,
his power will be immeasurable.
There is some merit to Theodore's strategy.
The question is whether they can proceed swiftly
and overwhelm the enemy.
If the plan fails, the expected damage
must be considered.
As the one entrusted with the decision,
I have decided to convene the Grand Council.
It is not a request for discussion,
but rather to encourage prudence.",ui\00_message\history\001\q00000023.gmd,\ui\history\history_data_001.arc,history_data_001.arc,0,
0,HISTORY_STEP_59,"　覚者、騎士団、神殿で祈った人々、メルゴダの人々
が知勇を出し合い、ついにディアマンテスを命の器に
封じるに至った

　いや、表現を抑える必要はないだろう。高らかに宣
言しようではないか。我々は勝利した。最強の敵に勝
利したのだ。なんと素晴らしい日だろう","The Arisen, the Knight's Order,
the people who prayed in the Temple,
and the people of Mergoda,
all combined their knowledge and courage,
and finally succeeded in sealing away Diamantes
in the Vessel of Life.

Nay, there be no reason to inhibit ourselves!
Let us declare it loudly, with pride!
We stand victorious!
We have felled the most troublesome foe.
Thank the Dragon, what a wonderful day it is!",ui\00_message\history\001\q00000024.gmd,\ui\history\history_data_001.arc,history_data_001.arc,0,
0,HISTORY_STEP_20,"　グリッテン砦の修復は着々と進んでいるようだ。幸
いヴァネッサたちハイデル平原守備隊の士気も高いま
まだ

　油断があったことを率直に認め、対策を講じること
で、今回の敵の侵入も良い経験とすることができるだ
ろう

　さて、久しぶりに白竜の前に《ブラッドオーブ》が
運ばれてきた。手に入れたのはレオが気に入っている
新人の覚者だ。なるほど、なかなか見込みがあるにち
がいない

　これで白竜の石化は回復し、進行も速度を下げるだ
ろう。効果は一時的で対症療法に過ぎないが、目下我
々に許された方法は《ブラッドオーブ》以外にはない
のだ

　悲観的な見方をする者もいるようだが、有効な方法
が判明しているだけマシだと考えた方が良いはずだ","The restoration of Fort Gritten continues on.
Fortunately, morale remains high
amongst Vanessa's Defense Corps.
However, we must admit our negligence
in allowing this invasion to occur.
Many lessons could be learnt.

Now, after a long time, the《Blood Orb》
has been brought before the White Dragon.
Leo's aspiring Arisen acquired it.
Indeed, they show great potential.

With this, the petrification of the White Dragon
will be driven back, slowing its progress.
Although the effect is temporary
and only a palliative measure, 
there is no other method available to us.
Some may have a pessimistic view,
but it is best to consider the outlook
that we have discovered an effective remedy.",ui\00_message\history\001\q00000025.gmd,\ui\history\history_data_001.arc,history_data_001.arc,0,
0,HISTORY_STEP_26,"　覚者とポーンによる契約の儀式は何度見ても慣れる
ということがない
　ポーンはどこから来るのだろうか。こことは異なる
別の世界の存在を思わずにはいられない
　幾つもの世界がポーンによって繋がっているのかも
しれないと想像しては、その途方もない無限に、わた
しは憧れ、怯えるのだ
　ともあれ、ポーンは現れ、契約は無事に交わされ
た。おめでとうと言わせてもらおう","Without fail, whenever I witness
the ritual of contract between Arisen and Pawn,
I never get used to it.
I cannot help but think that the Pawns
come from a different world than this one.

I imagine that many worlds
are connected by Pawns,
creating an unimaginable infinity.
I admire it, though terrifying as it may be.

Anyway, the Pawn appears,
and the contract is successfully formed.
Let us rejoice.",ui\00_message\history\001\q00000026.gmd,\ui\history\history_data_001.arc,history_data_001.arc,0,
0,HISTORY_STEP_31,"　元より稀少ではあったが、この数年は特に《ブラッ
ドオーブ》が減っている。《ブラッドオーブ》が無け
れば白竜の石化は進むばかりだ
　探索の人員と機会を少しでも増やすようにレオ並び
にゲルトには依頼済みだ。わたしも覚者たちにはひと
声かけるようにしている
　一方で、《ブラッドオーブ》に頼らず白竜の回復を
促す方法を探そうという動きがある。提唱者はレオ
だ
　彼は古文書に答えを探すつもりらしい。何か方策が
見つかれば良いが、古文書の内容は玉石混淆。研究に
習熟した者でなければ単なる思いつきの記述を信じ、
無駄な時間や犠牲を払うことになるだろう
　入手した古文書の解析はクラウスに命じたようだ
が、まだまだ未熟者。しっかりと指導してやらねば","Blood Orbs have always been rare,
dwindling further in recent years.
If there are no Blood Orbs,
the White Dragon would petrify.
I requested Leo and Gerd
to take on more exploration personnel.
I also sought out the Arisen.

Leo is making headway in a new process
that does away with Blood Orbs.
He seeks answers in ancient documents.
'Twould benefit us well, but the contents within
yield both dull ore and bright gems.
If one is not proficient in research,
they may believe it to be just a whimsical description
and waste time and sacrifice in vain.
Klaus has been ordered to analyze
said ancient documents, but he remains green.
I shall give him proper guidance.",ui\00_message\history\001\q00000027.gmd,\ui\history\history_data_001.arc,history_data_001.arc,0,
0,HISTORY_STEP_52,"　ミシアルが覚者のひとりと散歩に出たようだ。かつ
て少年だったわたしも彼女と歩いたことがある
　気の利いた行き先など知るはずもなく、バザーをひ
やかす恋人たちを眺めて過ごしたものだ
　大会議では古文書の査読が続いている。嵐の前の静
けさとはこのことだろうか。願わくは、嵐など起こら
ないことを","It seems that Mysial has gone for a walk
with one of the Arisen.

There was a time when I was young lad,
and walked with her often.
We spent our time
watching lovers tease each other
and perusing the bazaar
without knowing any clever destinations.

At the grand assembly,
the review of ancient documents continues.
Is this the calm before the storm?

By the Dragon,
I pray that no such turmoil shall come to pass.",ui\00_message\history\001\q00000028.gmd,\ui\history\history_data_001.arc,history_data_001.arc,0,
0,HISTORY_STEP_57,"　レオを中心とした決死隊はズールを倒すという華々
しい戦果を上げる一方で、新たなアークの出現を許し
てしまった。だが、最大の事件はレオの留守中に神殿
で起こったことだろう
　神殿は魔物の侵入を許してしまっていた。しかも小
賢しいことに魔物どもの破壊活動は陽動だったのだ
　あろうことか敵の目的はミシアルの誘拐だった。神
殿内の警備を強化していた騎士団が出し抜かれたのも
無理はない
　敵の中心にいて魔物を差配していたのは覚者イリス
だった。その姿を頼もしく感じる者がほとんどで、ま
さか彼女が敵側だとは誰も思わなかった
　イリスの要求はズールの命が納められた器とミシア
ルの交換だ。かばい続けたレオもここに至り覚悟を固
めたようだ","Thanks to their decisive action,
Leo's companys gloriously defeated Zuhl.
However, they inadvertently
allowed the emergence of a new Ark
and during Leo's absence from the Temple,
it had been invaded by monsters.

And to make matters worse,
the enemy's destructive path was just a diversion.
Unbelievably, their true aim was to kidnap Mysial.
Functioning as security reinforcements in the Temple,
the Knight's Order was outmaneuvered.
At the center of the enemy commanding them
was the Arisen Iris herself.
No one could have imagined
she was on the enemy's side.
Iris holds Mysial hostage in exchange for Zuhl's life.
Leo, who had protected her all this time,
seemed to have made up his mind.",ui\00_message\history\001\q00000029.gmd,\ui\history\history_data_001.arc,history_data_001.arc,0,
0,HISTORY_STEP_85,"　器に封じられたディアマンテスの命は白竜に捧げら
れ、浄化された

　第一のアークの出現から始まった一連の事変はここ
に終結したと考えても構わないだろう。とはいえ、白
竜の回復への道はまだ半ば。レスタニアの安定はまだ
先のことにちがいない

　不安の種は尽きない。だが、今は、危機を脱した喜
びを分かち合おう","The life of Diamantes sealed within the artifact
was offered to the White Dragon and purified.

It can be said that the series of events
that began with the appearance of the First Ark
has come to a final conclusion.
However, the White Dragon's full recovery
has not yet found purchase.
Maintaining stability in Lestania is undoubtedly
still a circumstance proceeding into future.

The rot of anxiety never ends.
However, for now, let us simply share in the joy
of having surmounted crisis, together.",ui\00_message\history\001\q00000030.gmd,\ui\history\history_data_001.arc,history_data_001.arc,0,
0,HISTORY_STEP_88,"　嵐は一夜のうちに、レスタニアの各地に――人々に
深い傷を残した
　これほどの厄災は白竜の記憶にもないという。未だ
被害の全容は不明だが、失意の中の民たちに白竜の加
護があらんことを願う
　さて、被害状況の報告をとりまとめる前にブリア海
岸における変事について記しておく
　ブリア海岸に魔物の死骸が打ち上げられたが、正体
が不明であったことから調査のために覚者を派遣した
　覚者たちは死骸の検分の最中に、ひとりの若い娘が
行き倒れているのを発見し、生死の確認を試みたとこ
ろ、次の瞬間には見知らぬ土地にいることに気づいた
のだという
　その地で覚者たちは黒い鎧の騎士の襲撃を受け絶体
絶命の危機に陥ったが、白竜が飛ばした気によって無
事に救出され、帰還した
　娘は神殿に保護されるも未だ意識を取り戻さず、早
々の回復を期待したい
　また、海岸の死骸と同等と思しき魔物を覚者たち
は、謎の大地で目撃しており、これもまた、レスタニ
アの危機に繋がる懸念である","In a single night,
a storm ravaged various parts of Lestania,
affecting many citizens.
The White Dragon recalls no such calamity
happening afore, the extent of damage yet unknown.

Arisen were dispatched to investigate
a carcass of an unknown monster
washed ashore along Breya Coast.
There, they discovered an unconscious young girl.
When attempting to confirm life,
they were whisked to an unfamiliar land,
and were accosted by a fearsome knight
clad in black armor.
Thanks to the White Dragon,
they returned safely from the rift.
The girl is sheltered in the Temple, comatose.
We pray for her swift recovery.

There is concern for crisis in Lestania.",ui\00_message\history\001\q00020010.gmd,\ui\history\history_data_001.arc,history_data_001.arc,0,
0,HISTORY_STEP_89,"　ブリア海岸で保護された娘が意識を取り戻してから
語った内容、加えて、セシリーと名乗るその娘を巡っ
て起こった事件から判明した事実を以下に記しておく
　セシリーは黒い鎧を着た騎士に追われ逃走中であっ
た。意識を失い、気づいた時にはすでに我々の保護下
にあったのであるが、ブリア海岸で発見されるに至る
経緯は不明だ。セシリーの記憶は大部分欠損している
らしい
　また、あの忌まわしき怪物ズールが現れ、目的はセ
シリーを捕らえることにあると表明した。ズールは長
くディアマンテスの手下だと思われていたが、自ら語
るところによると黒き鎧の騎士のポーンであるらしい
　となれば、ズールの意志は黒騎士の意志であろう
し、同時に、ズールがポーンであることから黒騎士は
覚者ということになるであろう
　問題は、黒騎士はいかなる竜の覚者なのかズールの
言動は、その竜の意志なのか
　どうやらあの嵐が運んできた厄災は、人智を超えた
竜の領域の変事らしい。我々にできることは、はて、
なんであろうか","Cecily, the girl from Breya Coast
regained consciousness,
recalling being chased by a knight in black armor.
Before she knew it,
she was already under our protection.
She is afflicted with amnesia.

That dreaded monster Zuhl reappeared
and announced his aim to capture her.
We thought him to be subordinate to Diamantes,
but according to his own account,
he is a Pawn of the Black Knight, an Arisen.

Questions remain, what manner of dragon he doth serve,
and are Zuhl's movements the will of that dragon?
Apparently, the calamity brought by that storm
seems to be a disturbance in the realm of dragons
that surpasses human understanding.

What can we do, I wonder?",ui\00_message\history\001\q00020020.gmd,\ui\history\history_data_001.arc,history_data_001.arc,0,
0,HISTORY_STEP_90,"　セシリーを助けた覚者たちが図らずも渡航した先は
島だったという報告を受け、騎士団を中心とする捜索
隊が船出する予定だった。しかし、各地の魔物退治に
人手を奪われ、思うように進んでいなかった
　そこでわたしは、覚者たちの力を借りるよう、騎士
団に助言し、覚者たちには引き受けるよう根回しをし
ておいた
　結果、騎士団の魔物討伐は軌道に乗り、ほどなく捜
索隊も出せるようになることだろう
　尚、嵐の夜以降に現れるようになった新手の魔物た
ちを、レスタニア土着の魔物と区別するため、以降、
侵食魔と呼ぶこととする","The report received stated
that the Arisen who aided Cecily
unintentionally ended up traveling to an island.
A search party, led by the Knights,
had planned to set sail.
However, due to manpower being diverted
for monster subjugation in various places,
things weren't going as smoothly as expected.
Therefore, I advised the Knights
to seek the assistance of the Arisen
and made arrangements for them to take on the task.
As a result, the Knights' monster extermination
efforts are on track, and soon the search party
will be able to set out.
Furthermore, the newly emerged monsters post-storm
shall be referred to as ""Corrupted""
in order to distinguish them
from the local monsters in Lestania.",ui\00_message\history\001\q00020030.gmd,\ui\history\history_data_001.arc,history_data_001.arc,0,
0,HISTORY_STEP_91,"　セシリーはフィンダム大陸から、その地の竜に助け
られるかたちで、このレスタニアに来たようだ。探索
隊が例の島を発見し、セシリーと覚者隊が再訪したと
ころ、彼女の記憶が一部だが、戻ったらしい
　もう一点、レスタニアを侵食するように展開する侵
食魔どもは、フィンダムの魔物が侵食されてなり果て
た姿らしい
　いったい、侵食とは何事なのだろうか。フィンダム
に蔓延する病気か何かだろうか。我々は侵食から、い
かなる方法でレスタニアを守ればよいのだろうか
　セシリーの記憶の完全な復活が待たれる","It seems that Cecily came to Lestania
from the Phindym continent in some manner
aided by the dragon of that land.

The exploration team
discovered the infamous island,
and Cecily and the Arisen team set sail for it,
where her memories partially returned.
Furthermore, the ""Corrupted"" that spread
through Lestania seem to be the twisted forms
of the monsters from Phindym.
What exactly is corruption?
Is it some kind of disease from Phindym?
How can we protect Lestania from corruption,
by any means necessary?
We eagerly await the complete retrieval
of Cecily's lost memories.",ui\00_message\history\001\q00020040.gmd,\ui\history\history_data_001.arc,history_data_001.arc,0,
0,HISTORY_STEP_92,"　おしなべて侵食魔は強い傾向にあるが、その中でも
長く騎士団を手こずらせていた侵食魔の討伐作戦がド
リード城を舞台に実行され、成功裡に終わった
　また、長く音信が途絶えていたレオが現れ、フィン
ダムから来たロイグなる男を保護していることを告げ
ていったという
　セシリーとロイグを引き合わせれば、我々の欲する
情報は手に入る可能性が高まるが、レオの思惑も大い
に気になるところである","Overall, the invading Corrupted tend to be strong,
but among them, the mission to exterminate
a particular one ended in success.
'Twas causing trouble for the Knights
for a long time was executed at Dreed Castle.

Furthermore, Leo, who had been out of contact
for a long time, appeared and informed us
that he is protecting a man named Loeg
who came from Phindym.

If Cecily and Loeg are introduced to each other,
there is a high possibility
of obtaining the information we desire.
However, Leo's intentions also greatly concern us.",ui\00_message\history\001\q00020050.gmd,\ui\history\history_data_001.arc,history_data_001.arc,0,
0,HISTORY_STEP_93,"　セシリーとロイグが話し合えば事変の全容が明らか
になると期待していたのだが、得られた情報は、ごく
断片的なものであった
　セシリーはフィンダムに生きる種族のひとつで、族
長を務めるガラダなる男の娘であり、理由は不明なれ
ど、黒騎士の執拗な追撃を受けている
　また、セシリーを追って現れ、覚者によって討伐さ
れたズールが残した言葉によれば、この事変は全て黒
騎士が関与したものであり、レスタニアへの攻撃はセ
シリーを確保あるいは無き者にするまで続くとのこと
だ
　セシリーの保護は白竜をはじめとする神殿の総意、
となれば、黒騎士との総力戦は避けられぬさだめだ","I expected that if Cecily and Loeg talked,
the whole matter would become clear,
but what came to be was rather fragmented.

Cecily is one of the races living in Phindym
and she serves as the leader of the Gearóids.
However, she is being relentlessly pursued
by the Black Knight for reasons unknown.
Furthermore, according to Zuhl,
who had appeared to chase Cecily
and then defeated by the Arisen,
all of it is related to the Black Knight,
and the attacks on Lestania will continue
until Cecily is captured or eliminated.

If protecting Cecily
is the consensus of the Temple,
including the White Dragon,
then a full-scale battle
with the Black Knight is inevitable.",ui\00_message\history\001\q00020060.gmd,\ui\history\history_data_001.arc,history_data_001.arc,0,
0,HISTORY_STEP_94,"　我々白竜神殿陣営は総力を尽くして、黒騎士の影響
下にある魔物たちを退けた
　これで戦いが終わったわけではないことは百も承知
だ。しかし、騎士団と覚者たちが力を合わせれば、敵
は対処可能な相手である。それがわかった今、戦う者
たちの士気はかつてないほどに高まっている
　どんよりとした空から射す太陽の光、その光にも似
た希望が、我々の心を満たしている。失われたセシリ
ーの記憶も、いつか戻るのだろう。願わくばその日が
一日でも早いことを","We, the White Dragon Temple forces,
have exerted our full strength
and repelled the Black Knight's influence,
as well as his demon underlings.
We are well aware
that the battle is not yet over.
However, if the Knights and Arisen join forces,
the insurmountable enemy
becomes a manageable task.

Now that this is evident,
the morale of our fighters
has reached an unprecedented high.
The sunlight piercing through the gloomy heavens
fills our hearts with hope,
a hope that resembles that light itself.

Cecily's lost memories will surely return someday.
By the Dragon,
may that day come as soon as possible.",ui\00_message\history\001\q00020070.gmd,\ui\history\history_data_001.arc,history_data_001.arc,0,
0,HISTORY_STEP_95,"　島の調査に赴いていた覚者が新たな難敵に遭遇した
ようだ。何か良くないことの前触れなのだろうか。い
や、おそらく、その通りなのだろう
　フィンダムに乗り込んで、侵食の元凶を見つけ出し
て排除すべしという声は以前からあったが、実現に向
けて動き出す時が来たようだ
　追記：白竜、そしてわたしの直轄である特命部隊の
人選を悪し様に言う者は少なくなかった。しかし、そ
の者たちは今回のガルドリンの英雄的な行動をどう考
えるのだろう。エリオットの義理に篤い言動をどう考
えるのだろうか","The Arisen who was investigating the island
has encountered a new formidable enemy.
Is this perhaps a sign of something unfavorable?
Fie, that is quite likely to be the case.

The voice calling to board Phindym
and locate and eliminate the source of corruption
has been there for a while,
and now it is the time of action.

Additional note:
There were many who criticized
the selection by the White Dragon
of the special task force under my direct control.
However, I wonder how those individuals
perceive Gurdolin's heroic actions at this time?
How do they regard Elliot's sincerity?",ui\00_message\history\001\q00020080.gmd,\ui\history\history_data_001.arc,history_data_001.arc,0,
0,HISTORY_STEP_96,"　敵地に乗り込むにあたっては敵の素性と敵状を知ら
ねばならない。セシリーとロイグを引き合わせれば、
互いの記憶の連鎖が真相に辿り着くと考えたが、そう
単純ではなかった
　さて、長く盟友だと信じていた覚者が神殿を離れた
理由を、ついに知ることができた。しかし、覚者なら
ぬわたしには理解できない欲求がその根源にあるらし
い
　かつて通い合った信頼と尊敬を思うと、なんとも口
惜しい状況ではあるが、今はただ、敵対の意志はない
というレオの言葉を信じよう","In infiltrating enemy territory,
it is necessary to know their identity
and their current situation.
I thought that by introducing Cecily
and Loeg to each other,
the chain formed from their memory
would lead us to the truth,
but it was not that simple.

Now, I have finally learned the reason
why that man, whom I believed
to be a long-standing ally, left the Temple.
However, there seems to be a desire
that I cannot understand at the root of it.
When I think of the trust and respect
we once shared, it is a frustrating situation.
But for now, I will simply believe in Leo's words
that there is no intention of hostility.",ui\00_message\history\001\q00020090.gmd,\ui\history\history_data_001.arc,history_data_001.arc,0,
0,HISTORY_STEP_97,"　治療のために神殿で過ごすことになったロイグの病
気は赤色病だった
　古くに根絶された病ゆえ薬の調達に多少手間がかか
ったが、覚者たちの献身により入手済みだ。ロイグは
ほどなく健康を取り戻すことだろう
　フィンダムから来たふたりが言葉を交わす機会が格
段に増えるわけであるから、セシリーの記憶が戻る可
能性も大いに高まるに違いない","Loeg suffers from Red Blight.
He spends some time in the Temple for treatment.
Although it took some effort to procure medicine
for this disease eradicated long ago,
it had already been obtained
thanks to the dedication of the Arisen.
Loeg would soon regain his health.

Since the two Phindymians
would have more opportunities
for conversation, it is highly likely
that Cecily's memory will return.",ui\00_message\history\001\q00020100.gmd,\ui\history\history_data_001.arc,history_data_001.arc,0,
0,HISTORY_STEP_98,"　セシリーの容態は一進一退ということだろうか。こ
のような事態に陥った顛末を記しておく
　ロイグの赤色病は快癒したが、旧知との対話も、セ
シリーの記憶を呼び戻すことはなかった。しかし、ロ
イグは、侵食魔の島に関する新たな情報をもたらした
　記憶が戻らず焦るセシリーは、わたしの反対意見を
退け覚者たちとともに島に渡った
　島はセシリーをつけ狙う黒騎士の本拠地だ、そこへ
乗り込もうなどとは、罠に飛び込むゴブリンのような
もの
　案の定、黒騎士が現れ、セシリーは生死の境を彷徨
うことになった
　セシリーの回復を祈る気持ちに偽りはないが、もっ
と強く引き止めるべきだったという思いと、これで黒
騎士は目的を果たしたのではないかという、淡い期待
の両方が我が胸中にある","I wonder if Cecily's condition is in flux.

Loeg's Red Blight has been cured,
but it did not retrieve Cecily's recollection
of her past acquaintances.
However, Loeg brought new information
regarding the Island of the Corruption.

Unable to regain her memories
and feeling anxious,
Cecily disregarded my objections
and went to the island with the Arisen,
the base of the Black Knight.
It is akin to jumping straight into a trap,
like a goblin.
As expected, the Black Knight appeared,
and Cecily finds herself
on the verge of life and death.

I truly pray for Cecily's recovery.
I should have held her back more strongly
and I hope that the Black Knight
did not succeed in his objective.",ui\00_message\history\001\q00020110.gmd,\ui\history\history_data_001.arc,history_data_001.arc,0,
0,HISTORY_STEP_99,"　レオに助力を求める提案はロイグのものだ。レオの
保護下にあった時に聞きかじった話を持ち出したらし
い
　レオの放浪の目的は、大勢の覚者に分散された覚者
としての資質、強さを、増強するその特別な方法を探
すことにあった。確かに、その力があれば黒騎士を倒
すことが可能になるのかもしれない
　古文書の中に答えを見つけ、いよいよ実行に移すと
いう頃合いに取り入ることができたのもロイグの手柄
だ
　神殿を去ったレオをどこまで信用していいのか、そ
の判断は行動をともにする覚者たちに任せて、わたし
はセシリーの回復を祈ることにしよう","Loeg proposed to seek assistance from Leo.
It seems that he brought up a story
he heard during Leo's protection.

Leo's purpose in his wandering
is to find a special method to enhance qualities
and strength as an Arisen
and to disperse it amongst them all.
Indeed, with that power,
it might be possible to defeat the Black Knight.

It was also thanks to Loeg
that we were able to intervene
at the timing of finding the answer
in the ancient documents 
and finally put it into practice.

As for how much we can trust Leo
after leaving the Temple,
I leave that judgment to the Arisen
who will act together with him,
and I shall pray for Cecily's recovery.",ui\00_message\history\001\q00020120.gmd,\ui\history\history_data_001.arc,history_data_001.arc,0,
0,HISTORY_STEP_100,"　覚者たちは厳しい戦いの報償として、手に入れた竜
力を使ってセシリーの治療を試みることに決め、実行
した
　竜力は本来大地を養生する癒しの力だ。その力を注
ぎ込まれたセシリーの傷は、驚くほどの早さで完全に
回復した
　治ったのは傷だけではなかった。セシリーの記憶が
元に戻ったのだ。我々のかけがえのない友セシリーは
フィンダムとともに生きる精霊竜ウィルミアの覚者だ
った
　我々はフィンダムの未来の竜を匿っていたことにな
る。黒騎士の目的も見えてくるというものだ","The Arisen decided to use the Dragon Force
they obtained as a reward for their fierce battle
to attempt to heal Cecily,
and they executed their plan.

Dragon Force is originally a healing power
that nourishes the earth.

Astonishingly, Cecily's wounds
infused with this power
healed completely and swiftly.
Not only was her physical condition healed,
but her amnesia is cured.

Our irreplaceable friend Cecily
turned out to be an Arisen,
Partner of the Spirit Dragon Willmia,
living alongside Fionn.

We ended up harboring a future dragon of Phindym.
With that, the Black Knight's goal
is also becoming clear.",ui\00_message\history\001\q00020130.gmd,\ui\history\history_data_001.arc,history_data_001.arc,0,
0,HISTORY_STEP_101,"　彼らはついに黒騎士を倒した。レオという当代一の
英傑の命と引き替えではあるが黒騎士はもういない
　レオの死についての個人的な思いをここに記すのは
やめておこう。年寄りの、とめどなくあふれる悲しみ
で濡れた言葉など誰も読みたくなかろう、今後のこと
を考えようではないか
　セシリーを狙う邪魔者はいなくなった。それでもな
おレスタニアに押し寄せる侵食魔を根絶やしにするに
は、フィンダムに乗り込んで侵食の原因を排除するし
かない
　この地とフィンダムを結ぶゲートが開けばそれも可
能になるだろう。困難を極めるだろうが、できないこ
とはない、レオが身を持って教えてくれたことだ。忘
れるものか","The Black Knight is no more.
Though it came at the great cost.
Leo, the greatest hero of our time, has fallen.

I shall refrain from sharing my personal thoughts
on Leo's death here.
No one would want to read words
soaked in the endless grief of an old man.
Let us focus on what comes ahead.

Cecily is no longer being targeted.
However, in order to completely eradicate
the Corrupted that continue to invade Lestania,
we must board to Phindym
and eliminate the source of corruption.

If the gate connecting
this land and Phindym is opened,
it may become possible.
It will undoubtedly be a great challenge,
but as Leo taught us, nothing is impossible.
We must not forget.",ui\00_message\history\001\q00020140.gmd,\ui\history\history_data_001.arc,history_data_001.arc,0,
