0,q40200005_00_305,物資運搬路の安全確保,Securing Transport Routes,ui\00_message\quest_info\q40200005_00.gmd,\quest\q40200005.arc,q40200005.arc,0,
0,q40200052_00_390,特製の装具,Specially Made Equipment,ui\00_message\quest_info\q40200052_00.gmd,\quest\q40200052.arc,q40200052.arc,0,
1,q40200052_00_390,"少しでもここの役に立とうと思って装具を編んでるんだよ
<LQIM>があと<LQVA>つあれば、１つ完成するんだけど
どこかで手に入らないものかね","I'm weaving equipment to be of some help here. 
If I had <LQVA> <LQIM> more, 
I could finish one piece. 
I wonder if I can find it somewhere.",ui\00_message\quest_info\q40200052_00.gmd,\quest\q40200052.arc,q40200052.arc,1,
0,q40200053_00_391,困らせたくないのに,I Don't Want to Cause Trouble,ui\00_message\quest_info\q40200053_00.gmd,\quest\q40200053.arc,q40200053.arc,0,
1,q40200053_00_391,"ミューセルお姉様に手配を頼まれた
<LQIM>が中々手に入らないの
いつもなら<LQVA>個くらいすぐに手配できるのに――","I've been asked by Miss Mucel to arrange 
<LQIM>, 
but it's proving difficult to obtain. 
I usually can arrange about <LQVA> quickly, 
but not this time.",ui\00_message\quest_info\q40200053_00.gmd,\quest\q40200053.arc,q40200053.arc,1,
0,q40200054_00_392,庵の修理品,The Hermitage's Refurbished Goods,ui\00_message\quest_info\q40200054_00.gmd,\quest\q40200054.arc,q40200054.arc,0,
1,q40200054_00_392,"庵の修理に使う<LQIM>を<LQVA>個探しているの
譲ってくださる方はディリスまでご連絡を","I'm looking for <LQVA> piece of 
<LQIM> for repairing the retreat. 
If you can spare them, please contact Dirith.",ui\00_message\quest_info\q40200054_00.gmd,\quest\q40200054.arc,q40200054.arc,1,
0,q40200055_00_393,鹿狩りの罠,A Trap for Hunting Deer,ui\00_message\quest_info\q40200055_00.gmd,\quest\q40200055.arc,q40200055.arc,0,
1,q40200055_00_393,"鹿狩りのための罠作りに欠かせない<LQIM>を<LQVA>個探している
代金はディリスに預けてあるから受け取ってくれ
モノは次に庵に寄った時に貰っていくよ","I'm looking for <LQVA> <LQIM>, 
essential for deer hunting traps.
Payment has been left with Dirith, 
so please collect it.
I'll retrieve the items the next time 
I come by the hut.",ui\00_message\quest_info\q40200055_00.gmd,\quest\q40200055.arc,q40200055.arc,1,
0,q40200056_00_394,燻製の隠し味,Smoke to Enhance the Flavor,ui\00_message\quest_info\q40200056_00.gmd,\quest\q40200056.arc,q40200056.arc,0,
1,q40200056_00_394,"意外かも知れんが、実は料理が好きでね！
<LQIM>で燻したイノシシの肉なんて美味そうだと思わないか？
<LQVA>個都合してくれれば、いつかとびっきりのを味見させてやるぞ","It might surprise you, 
but I actually enjoy cooking!
Doesn't smoked wild boar with 
<LQIM> sound delicious?
If you can arrange <LQVA> pieces, 
I'll treat you to a fantastic meal someday.",ui\00_message\quest_info\q40200056_00.gmd,\quest\q40200056.arc,q40200056.arc,1,
0,q40200057_00_395,磨いてビーズに,Polish Into Beads,ui\00_message\quest_info\q40200057_00.gmd,\quest\q40200057.arc,q40200057.arc,0,
1,q40200057_00_395,"<LQIM>を磨き上げると、キレイなビーズができるんだ
少しずつ集めて、いつかおばあちゃんにネックレスをあげたいな
今は<LQVA>個くらい欲しいんだ","By polishing <LQIM>, 
you can make beautiful beads. 
I want to collect them gradually and give a 
necklace to my grandmother someday. 
Right now, I need about <LQVA>.",ui\00_message\quest_info\q40200057_00.gmd,\quest\q40200057.arc,q40200057.arc,1,
0,q40200058_00_396,新たな試作物,A New Prototype,ui\00_message\quest_info\q40200058_00.gmd,\quest\q40200058.arc,q40200058.arc,0,
1,q40200058_00_396,"ううん、アレを試すためには
<LQIM>が<LQVA>つほど必要みたいですね
新たな発見のために、早めに試したいものです","No, it seems <LQVA> 
<LQIM> is required to try that.
I'm looking forward to testing it 
soon for new insights.",ui\00_message\quest_info\q40200058_00.gmd,\quest\q40200058.arc,q40200058.arc,1,
0,q40200059_00_397,安請け合いしたみたい,Agreed Too Quickly,ui\00_message\quest_info\q40200059_00.gmd,\quest\q40200059.arc,q40200059.arc,0,
1,q40200059_00_397,"ごめん、頼まれてた<LQIM><LQVA>個だけど
このままじゃ集まりそうにないよ
報酬は返すから別の人に頼んでみて","I'm sorry, but I'm struggling to gather the
<LQVA> <LQIM> items you requested.
I'll return the reward, 
so please try asking someone else.",ui\00_message\quest_info\q40200059_00.gmd,\quest\q40200059.arc,q40200059.arc,1,
0,q40200060_00_398,＜エリアオーダー＞エラン補給,Area Order: Elan Resupply,ui\00_message\quest_info\q40200060_00.gmd,\quest\q40200060.arc,q40200060.arc,0,
1,q40200060_00_398,"エラン水林を管理・研究する者としてお願いいたします
まとまった<LQIM>が手に入らず、現在手掛けている調査が進みません
この際どのようなルートでも構いませんので<LQVA>個、用意していただけないでしょうか","As the manager and researcher of 
the Elan Water Grove,
I'm unable to acquire the necessary 
<LQIM>,
which is halting my current research.
If possible, 
could you obtain <LQVA> of them through
any means available?",ui\00_message\quest_info\q40200060_00.gmd,\quest\q40200060.arc,q40200060.arc,1,
0,q40200061_00_399,本日の記録,Today's Record,ui\00_message\quest_info\q40200061_00.gmd,\quest\q40200061.arc,q40200061.arc,0,
1,q40200061_00_399,"<LQEM><LQVA>匹を一人で叩きのめしてきたぜ
どうだ、俺の記録を破れるヤツはいるか？
――ただし、叔父貴たちは除く","I took down <LQVA> 
<LQEM> all by myself.
So, who can break my record?
― Except for the old-timers, of course.",ui\00_message\quest_info\q40200061_00.gmd,\quest\q40200061.arc,q40200061.arc,1,
0,q40200062_00_400,万が一のための駆除,Precautionary Extermination,ui\00_message\quest_info\q40200062_00.gmd,\quest\q40200062.arc,q40200062.arc,0,
1,q40200062_00_400,"この前、村の外を歩いていたら<LQEM>が攻撃してきたのさ
武器を持っていなかったから石を投げて追い払ったんだけど
子供が襲われでもしたら危険だろ？
<LQVA>匹くらい討伐しておいてくれないかい？","Recently, while walking outside the village, 
I was attacked by <LQEM>. 
Without weapons, 
I threw stones to drive them away. 
It could be dangerous if children were attacked. 
Could you eliminate about <LQVA>?",ui\00_message\quest_info\q40200062_00.gmd,\quest\q40200062.arc,q40200062.arc,1,
0,q40200063_00_401,食糧庫を守れ！,Protect the Food Warehouse!,ui\00_message\quest_info\q40200063_00.gmd,\quest\q40200063.arc,q40200063.arc,0,
1,q40200063_00_401,"何日か前から村の近くを<LQEM>が<LQVA>匹ほど
ウロウロしてるのが気になってね
村に入りこんで、食糧庫を荒らす気かもしれないよ","I've noticed <LQEM> 
roaming around the village, 
about <LQVA> in number. 
They might enter the village and 
ravage the food storage.",ui\00_message\quest_info\q40200063_00.gmd,\quest\q40200063.arc,q40200063.arc,1,
0,q40200064_00_402,仕入れの邪魔者,Hindering Restock,ui\00_message\quest_info\q40200064_00.gmd,\quest\q40200064.arc,q40200064.arc,0,
1,q40200064_00_402,"ここのところ<LQEM>に仕入れの邪魔をされるのよ
<LQVA>匹くらい追い払っておいてもらえると
何かと助かるわ","Lately, <LQEM> 
have been interfering with my procurement. 
If you could drive away about <LQVA>, 
it would be very helpful.",ui\00_message\quest_info\q40200064_00.gmd,\quest\q40200064.arc,q40200064.arc,1,
0,q40200065_00_403,食材調達の邪魔者,Hindering Food Procurement,ui\00_message\quest_info\q40200065_00.gmd,\quest\q40200065.arc,q40200065.arc,0,
1,q40200065_00_403,"いつも食材を調達しに行くのに使っている道に
<LQEM>が出るようになって困ってるんだ
よかったら<LQVA>体討伐してくれないかなぁ","The path I usually use for gathering food now has 
<LQEM>. 
Could you defeat about <LQVA>?",ui\00_message\quest_info\q40200065_00.gmd,\quest\q40200065.arc,q40200065.arc,1,
0,q40200066_00_404,思惑が外れて,Expectations Unmet,ui\00_message\quest_info\q40200066_00.gmd,\quest\q40200066.arc,q40200066.arc,0,
1,q40200066_00_404,"<LQEM>の群れを見つけたんだが
<LQVA>匹ほど逃がしてしまったんだ――
いいところ見せようと思ったのにな、ちぇっ
誰か見かけたら討伐しといてくれないか？","I found a group of <LQEM>,
but I let <LQVA> of them get away ―
I was trying to show off, but oh well.
Could someone take them down if you spot them?",ui\00_message\quest_info\q40200066_00.gmd,\quest\q40200066.arc,q40200066.arc,1,
0,q40200067_00_405,小さな監視人,The Little Watchman,ui\00_message\quest_info\q40200067_00.gmd,\quest\q40200067.arc,q40200067.arc,0,
1,q40200067_00_405,"物見台から景色を眺めてたら<LQEM>が村の周りで
コソコソ何かやってるのが見えたんだ！
全部で<LQVA>匹いたよ","From the observation tower, I saw <LQEM> 
sneaking around the village! 
There were <LQVA> in total.",ui\00_message\quest_info\q40200067_00.gmd,\quest\q40200067.arc,q40200067.arc,1,
0,q40200068_00_407,古兵の主張,The Veteran's Claim,ui\00_message\quest_info\q40200068_00.gmd,\quest\q40200068.arc,q40200068.arc,0,
1,q40200068_00_407,"村の近くを<LQEM>がウロついとるぞ！
あんな小物にバカにされては戦士の村・ダナの名折れだ
<LQVA>匹ほど始末してヤツらを震え上がらせてやれ
わしが若い頃は、小物なんぞダナに近寄りもしなかったものだ","<LQEM> are wandering near the village!
It's a disgrace to Dana, the warrior's village,
to be disrespected by such small creatures.
Finish off <LQVA> of them and scare them away.
When I was young, no weaklings came near Dana.",ui\00_message\quest_info\q40200068_00.gmd,\quest\q40200068.arc,q40200068.arc,1,
0,q40200069_00_406,鹿が減った理由,Why the Deer Are Fewer,ui\00_message\quest_info\q40200069_00.gmd,\quest\q40200069.arc,q40200069.arc,0,
1,q40200069_00_406,"最近鹿の数が減っているのは<LQEM>のせいらしい
このダナの付近で勝手な真似をしているのは
<LQVA>匹規模の群れだ","It seems the number of deer has decreased because 
of <LQEM>. 
The group causing trouble around Dana 
is about <LQVA>.",ui\00_message\quest_info\q40200069_00.gmd,\quest\q40200069.arc,q40200069.arc,1,
0,q40200070_00_408,＜エリアオーダー＞ファーラナ魔物征伐,Area Order: Farana Demon Extermination,ui\00_message\quest_info\q40200070_00.gmd,\quest\q40200070.arc,q40200070.arc,0,
1,q40200070_00_408,"ダナを預かるエリアマスターとして言おうじゃないか
最近<LQEM>が村の周りをうろついてるみたいだよ
あんな小物どもにナメられるほど、ダナの武勇は地に落ちちまったのかい！？
周辺の安全のためにも<LQVA>匹くらい軽く討伐してきてやりな！","As the area master responsible for Dana, 
I'll say this—recently, <LQEM> have 
been wandering around the village. 
Is Dana's valor so diminished that it's being 
mocked by such small creatures?! 
For the safety of the area, 
please defeat at least <LQVA>!",ui\00_message\quest_info\q40200070_00.gmd,\quest\q40200070.arc,q40200070.arc,1,
0,q40200071_00_409,ついでのおつかい,An Errand While You're Here,ui\00_message\quest_info\q40200071_00.gmd,\quest\q40200071.arc,q40200071.arc,0,
1,q40200071_00_409,"もし<LQIM>を見かけたら<LQVA>個
持って帰ってきてくれないかしら？
わざわざ取りに行くものでもないから
これだけのために外に出るのも、ね","If you see <LQIM>, 
could you bring back <LQVA>? 
It's not worth going out just for this, 
so if you could find it when you're out, 
that would be great.",ui\00_message\quest_info\q40200071_00.gmd,\quest\q40200071.arc,q40200071.arc,1,
0,q40200072_00_410,負けが込んでな,A Losing Streak,ui\00_message\quest_info\q40200072_00.gmd,\quest\q40200072.arc,q40200072.arc,0,
1,q40200072_00_410,"しまった、<LQIM>が<LQVA>個も無いぞ
この前賭けに負けた時に根こそぎ持っていかれたのを
すっかり忘れてこのザマだ！
誰か分けてくれないか？","Oh no, I don't have <LQVA> <LQIM>. 
I completely forgot that I lost 
everything in a bet recently. 
Could someone spare some?",ui\00_message\quest_info\q40200072_00.gmd,\quest\q40200072.arc,q40200072.arc,1,
0,q40200073_00_411,少女の探究心,A Girl's Inquisitive Mind,ui\00_message\quest_info\q40200073_00.gmd,\quest\q40200073.arc,q40200073.arc,0,
1,q40200073_00_411,"<LQIM>を調べたいんだけど、誰か持ってない？
身近なもののこと、もっと詳しく知っておくべきなのよ
そうね、まずは<LQVA>個でいいわ","I want to research <LQIM>. 
Does anyone have any? 
I need to know more about familiar things. 
For now, <LQVA> should be enough.",ui\00_message\quest_info\q40200073_00.gmd,\quest\q40200073.arc,q40200073.arc,1,
0,q40200074_00_412,美味し酒を求めて,In Search of Delicious Liquor,ui\00_message\quest_info\q40200074_00.gmd,\quest\q40200074.arc,q40200074.arc,0,
1,q40200074_00_412,"<LQIM>を酒に漬けると風味が増すって
聞いたんだけど本当かな――
一度試してみたいから、<LQVA>個手に入れたいんだ
誰か持ってないか？","I heard that soaking <LQIM> 
in liquor enhances its flavor. 
Is that true? 
I want to try it, so I need <LQVA>. 
Does anyone have any?",ui\00_message\quest_info\q40200074_00.gmd,\quest\q40200074.arc,q40200074.arc,1,
0,q40200075_00_413,取扱いの無い品,We Don't Handle Those Goods,ui\00_message\quest_info\q40200075_00.gmd,\quest\q40200075.arc,q40200075.arc,0,
1,q40200075_00_413,"<LQIM>を<LQVA>個譲ってくれる人、いないかしら？
うちの店じゃ取り扱ってないのよ
お礼は用意してあるから、誰かよろしくね","Is there anyone who can give me 
<LQVA> <LQIM>? 
My store doesn't carry them. 
I have a reward prepared, so please help out.",ui\00_message\quest_info\q40200075_00.gmd,\quest\q40200075.arc,q40200075.arc,1,
0,q40200076_00_414,突然の入り用,A Sudden Need,ui\00_message\quest_info\q40200076_00.gmd,\quest\q40200076.arc,q40200076.arc,0,
1,q40200076_00_414,"<LQIM><LQVA>個
すまないが急いでいる
早めに都合できるなら買い取らせてくれ","I need <LQVA> <LQIM> urgently. 
If you can arrange it quickly, 
I'll buy it from you.",ui\00_message\quest_info\q40200076_00.gmd,\quest\q40200076.arc,q40200076.arc,1,
0,q40200077_00_415,遠出準備,Preparing for a Trip,ui\00_message\quest_info\q40200077_00.gmd,\quest\q40200077.arc,q40200077.arc,0,
1,q40200077_00_415,"万が一の遠出に備えて準備をしているんだが
<LQIM>の手持ちがこころもとなくてな
<LQVA>個ほど探しているのだ","I'm preparing for a potentially long journey, 
but my supply of <LQIM> is insufficient. 
I'm looking for about <LQVA>.",ui\00_message\quest_info\q40200077_00.gmd,\quest\q40200077.arc,q40200077.arc,1,
0,q40200078_00_416,すぐに棚が空になってね,It Flew Off the Shelves,ui\00_message\quest_info\q40200078_00.gmd,\quest\q40200078.arc,q40200078.arc,0,
1,q40200078_00_416,"育ち盛りの子が多いと何かと消費が早くてね
<LQIM>を持ってたら<LQVA>個ほど分けてくれないかい？
お礼はするからさ！","With so many growing kids, 
things get used up quickly. 
If you have <LQIM>, 
could you share about <LQVA>? 
I'll be sure to thank you!",ui\00_message\quest_info\q40200078_00.gmd,\quest\q40200078.arc,q40200078.arc,1,
0,q40200079_00_417,魔物避けのお香,Demon-Warding Incense,ui\00_message\quest_info\q40200079_00.gmd,\quest\q40200079.arc,q40200079.arc,0,
1,q40200079_00_417,"<LQIM>を使って、魔物が嫌がる匂いのお香を作れないか試してるの
完成のために<LQVA>個くらいあるといいんだけど――
戦わなくても追い払えたら、わたしみたいな子供でも
魔物を気にせず散歩できるようになるでしょ！","I'm trying to make an incense with a smell that monsters dislike using <LQIM>. 
It would be great to have around <LQVA> pieces 
for completion―― 
If we could repel them without fighting, 
even children like me could walk around without 
worrying about monsters!",ui\00_message\quest_info\q40200079_00.gmd,\quest\q40200079.arc,q40200079.arc,1,
0,q40200080_00_418,＜エリアオーダー＞ファーラナ補給,Area Order: Farana Resupply,ui\00_message\quest_info\q40200080_00.gmd,\quest\q40200080.arc,q40200080.arc,0,
1,q40200080_00_418,"ダナの村を預かるエリアマスターとして言うよ
みんな、<LQIM>が減ってきてるみたいじゃないか
いつ戦いに出ることになってもいいように<LQVA>個程度は常に持っておきたいもんだね
きっちり揃えて持ってこられたら、それなりに礼も弾むよ","As the Area Master of Dana Village, I'll say this:
It looks like we're running low on 
<LQIM>. 
We should always keep around <LQVA> pieces on 
hand in case we need to go to battle. 
If you can bring them in neatly, 
you'll be rewarded accordingly.",ui\00_message\quest_info\q40200080_00.gmd,\quest\q40200080.arc,q40200080.arc,1,
0,q40200081_00_419,毎日の疲労度調査,Researching Each Day's Exhaustion,ui\00_message\quest_info\q40200081_00.gmd,\quest\q40200081.arc,q40200081.arc,0,
1,q40200081_00_419,"日々の戦いと、その疲れの関係を知りたいんだ
軽く<LQEM>を<LQVA>匹ほど討伐して
その後の体の調子を聞かせてもらえないかな？","I want to understand the relationship between daily 
battles and the resulting fatigue. 
Could you defeat about <LQVA> <LQEM> 
and let me know how your body feels afterward?",ui\00_message\quest_info\q40200081_00.gmd,\quest\q40200081.arc,q40200081.arc,1,
0,q40200082_00_420,一人歩きの不安,Afraid to Walk Alone,ui\00_message\quest_info\q40200082_00.gmd,\quest\q40200082.arc,q40200082.arc,0,
1,q40200082_00_420,"外に出る時はいつも<LQEM>を警戒してるんです
この前も<LQVA>匹ほど見かけて――
いつも一緒にいて、守ってくれる人がいれば
安心なんですけどね","I always stay alert for <LQEM> 
when going outside. 
I saw about <LQVA> the other day―― 
If I had someone with me all the time to protect 
me, I'd feel more at ease.",ui\00_message\quest_info\q40200082_00.gmd,\quest\q40200082.arc,q40200082.arc,1,
0,q40200083_00_421,騒ぐ野生の血,Blood of the Clamoring Beasts,ui\00_message\quest_info\q40200083_00.gmd,\quest\q40200083.arc,q40200083.arc,0,
1,q40200083_00_421,"<LQEM>が村のそばで騒ぐから
飼ってる動物が落ち着かないんだ
やっぱり野生の血が騒いじゃうのかな――
<LQVA>匹くらい、駆除をお願いできませんか？","The <LQEM> 
are making a racket near the village, 
making our animals restless. 
I wonder if it's the wild blood stirring them up――
Could you please eliminate around <LQVA> of them?",ui\00_message\quest_info\q40200083_00.gmd,\quest\q40200083.arc,q40200083.arc,1,
0,q40200084_00_422,畑の実りを狙う輩,They're After the Crops,ui\00_message\quest_info\q40200084_00.gmd,\quest\q40200084.arc,q40200084.arc,0,
1,q40200084_00_422,"野菜を狙ってか、<LQEM>をよく見かけるようになっての――
畑が踏み荒らされないうちに<LQVA>匹ほど
こらしめておいてもらえんか","It seems <LQEM> 
have been frequenting the fields, 
possibly targeting the vegetables―― 
Please take care of around <LQVA> of them before 
the fields are trampled.",ui\00_message\quest_info\q40200084_00.gmd,\quest\q40200084.arc,q40200084.arc,1,
0,q40200085_00_423,日頃の討伐努力,The Usual Subjugation Efforts,ui\00_message\quest_info\q40200085_00.gmd,\quest\q40200085.arc,q40200085.arc,0,
1,q40200085_00_423,"この辺りも昔と比べてずいぶん危険になったものだ
常日頃から危険な獣を少しずつ減らしていくことが大事だぞ
例えば、今日は<LQEM>を<LQVA>体減らしておく――とかだな","This area has become much more
dangerous compared to the past.
It's important to gradually reduce
the dangerous beasts. For example,
today, reduce the <LQEM> by <LQVA>.",ui\00_message\quest_info\q40200085_00.gmd,\quest\q40200085.arc,q40200085.arc,1,
0,q40200086_00_424,憎きハーブ泥棒,A Detestable Herb Thief,ui\00_message\quest_info\q40200086_00.gmd,\quest\q40200086.arc,q40200086.arc,0,
1,q40200086_00_424,"もう、信じられない！
干しておいたハーブが根こそぎ消えたんですよ
きっと<LQEM>が持っていったに決まってます
ハーブを摘んでいる時から<LQVA>匹くらい
ずっと周囲をうろついていましたから！","I can't believe it!
The herbs I dried are completely gone.
It must have been taken by the 
<LQEM>.
There were about <LQVA> of them
lurking around while I was picking herbs!",ui\00_message\quest_info\q40200086_00.gmd,\quest\q40200086.arc,q40200086.arc,1,
0,q40200087_00_425,子供たちの安全確保,Ensure the Children's Safety,ui\00_message\quest_info\q40200087_00.gmd,\quest\q40200087.arc,q40200087.arc,0,
1,q40200087_00_425,"ここのところ<LQEM>が村の周りを徘徊しているだろう？
もしも子供たちが襲われたら大変だから
見かける度に駆除してるんだが、中々数が減らないんだ
よかったら<LQVA>匹分ほど協力してくれないかな","Recently, <LQEM> have been wandering 
around the village, right? It's crucial to keep 
an eye out for them, as it would be a disaster 
if the children were attacked. 
I've been exterminating them whenever I see them, 
but the numbers aren't decreasing. 
Could you help by dealing with around 
<LQVA> of them?",ui\00_message\quest_info\q40200087_00.gmd,\quest\q40200087.arc,q40200087.arc,1,
0,q40200088_00_426,よみがえる記憶,Reawakened Memories,ui\00_message\quest_info\q40200088_00.gmd,\quest\q40200088.arc,q40200088.arc,0,
1,q40200088_00_426,"ううっ、困ったなぁ
足りない資材を取りにいかなきゃいけないのに
外を<LQEM>がうろついてるなんて――
<LQVA>匹も相手にするなんて、とても考えられないよ――","Oh no, this is troubling! 
I need to go get some missing materials, 
but there are <LQEM> wandering outside―― 
I can't even imagine dealing with <LQVA> of them――",ui\00_message\quest_info\q40200088_00.gmd,\quest\q40200088.arc,q40200088.arc,1,
0,q40200089_00_427,みんなの無事を祈って,Prayer for Everyone's Safety,ui\00_message\quest_info\q40200089_00.gmd,\quest\q40200089.arc,q40200089.arc,0,
1,q40200089_00_427,"<LQEM>が辺りをうろついているらしいの
森に行く人たちが心配だわ――
何せ<LQVA>匹もいるらしいから、群れになったら大変よ","It seems there are <LQEM> 
wandering around the area. 
I'm worried about people going into the forest―― 
There are even <LQVA> of them, so if they form 
a group, it could be serious.",ui\00_message\quest_info\q40200089_00.gmd,\quest\q40200089.arc,q40200089.arc,1,
0,q40200090_00_428,＜エリアオーダー＞モロー魔物征伐,Area Order: Morrow Demon Extermination,ui\00_message\quest_info\q40200090_00.gmd,\quest\q40200090.arc,q40200090.arc,0,
1,q40200090_00_428,"周辺に<LQEM>が出没する頻度が増え
エリアマスターとして看過できない状況になってきました
これを機に<LQVA>体の討伐を要請することとします
報酬については私が保証しましょう","The frequency of <LQEM> sightings 
has increased, and it's become a situation that I, 
as the Area Master, cannot overlook. 
I request the extermination of <LQVA> of them at 
this opportunity. I will ensure the reward.",ui\00_message\quest_info\q40200090_00.gmd,\quest\q40200090.arc,q40200090.arc,1,
0,q40200091_00_429,在庫管理は万全に,Perfect Inventory Management,ui\00_message\quest_info\q40200091_00.gmd,\quest\q40200091.arc,q40200091.arc,0,
1,q40200091_00_429,"<LQIM>が不足気味だな――
今はまだ大丈夫だが、このまま不足状態が続けば
いつか手元から一つも無くなってしまうかもしれん
誰か<LQVA>個ほど分けてくれないか？","We're running low on <LQIM>―― 
It's still okay for now, but if this shortage 
continues, we might run out completely. 
Could someone share around <LQVA> pieces?",ui\00_message\quest_info\q40200091_00.gmd,\quest\q40200091.arc,q40200091.arc,1,
0,q40200092_00_430,多忙な見張り番,The Overworked Watchman,ui\00_message\quest_info\q40200092_00.gmd,\quest\q40200092.arc,q40200092.arc,0,
1,q40200092_00_430,"<LQIM>を<LQVA>つ譲ってくれる人はいないかな
本当は自分で採りに行ければいいんだけど
見張りをしていると中々手が空かなくてね","Is there anyone who can spare 
<LQVA> <LQIM>? 
I would go collect them myself if I could, 
but it's hard to find the time 
while on lookout duty.",ui\00_message\quest_info\q40200092_00.gmd,\quest\q40200092.arc,q40200092.arc,1,
0,q40200093_00_431,見るのも嫌なヤツらの影,Shadows of That Damned Lot,ui\00_message\quest_info\q40200093_00.gmd,\quest\q40200093.arc,q40200093.arc,0,
1,q40200093_00_431,"<LQIM>が<LQVA>個いるんですけど
その、採りにいくのはちょっと――
侵食魔に遭遇したらと思うと億劫になってしまって――","I need <LQIM> 
but going to get them is a bit―― 
I feel reluctant at the thought of encountering 
corrupted demons――",ui\00_message\quest_info\q40200093_00.gmd,\quest\q40200093.arc,q40200093.arc,1,
0,q40200094_00_432,虫寄らずの――？,Is It Bug Repellent?,ui\00_message\quest_info\q40200094_00.gmd,\quest\q40200094.arc,q40200094.arc,0,
1,q40200094_00_432,"<LQIM>を持っていると、虫に刺されないって本当かしら
本当なら、ハーブを摘みに行く時に使ってみたいものです
試しに<LQVA>個分けてくれる人はいません？","Is it true that carrying <LQIM> 
prevents insect bites? 
If so, I'd like to use it when picking herbs. 
Is there anyone who can spare 
<LQVA> pieces for a trial?",ui\00_message\quest_info\q40200094_00.gmd,\quest\q40200094.arc,q40200094.arc,1,
0,q40200095_00_433,香油が切れる前に,Before the Balm Runs Out,ui\00_message\quest_info\q40200095_00.gmd,\quest\q40200095.arc,q40200095.arc,0,
1,q40200095_00_433,"髪に付ける香油を作るのに
<LQIM>が<LQVA>個必要なんだけど、誰か持ってないかしら
そろそろ香油が切れそうなの","I need <LQIM> 
to make fragrance oil for my hair. 
Does anyone have <LQVA> pieces? 
I'm about to run out.",ui\00_message\quest_info\q40200095_00.gmd,\quest\q40200095.arc,q40200095.arc,1,
0,q40200096_00_434,秘密のペット,The Secret Pet,ui\00_message\quest_info\q40200096_00.gmd,\quest\q40200096.arc,q40200096.arc,0,
1,q40200096_00_434,"<LQIM>が<LQVA>個欲しいんです
何に使うかは、えっと、その、飼ってる動物に
エサとしてあげてみようかと思って――","I need <LQVA> of <LQIM>.
What for? Well, uh, I'm thinking of
using it as feed for my pets――",ui\00_message\quest_info\q40200096_00.gmd,\quest\q40200096.arc,q40200096.arc,1,
0,q40200097_00_435,アナタにお願い,A Request for You,ui\00_message\quest_info\q40200097_00.gmd,\quest\q40200097.arc,q40200097.arc,0,
1,q40200097_00_435,"これを読んでるアナタにお願い
<LQIM>を<LQVA>個揃えてくれない？
私一人じゃ集めきれないのよ
お礼はちゃんとするから、ね？","I have a request for you,
whoever is reading this.
Could you gather <LQVA> <LQIM>?
I can't collect them all by myself.
I'll make sure to reward you.",ui\00_message\quest_info\q40200097_00.gmd,\quest\q40200097.arc,q40200097.arc,1,
0,q40200098_00_436,旅人の土産物,The Traveler's Souvenirs,ui\00_message\quest_info\q40200098_00.gmd,\quest\q40200098.arc,q40200098.arc,0,
1,q40200098_00_436,"<LQIM>が中々手に入らないの
前は森に入った人が持ち帰ってくれたんだけど
最近はそうもいかないみたいで――
誰か、余っていたら<LQVA>つくらい分けてもらえない？","It's hard to get <LQIM>. 
People used to bring them back from the forest, 
but it seems they're not doing so lately―― 
If anyone has extras, 
could you share around <LQVA> pieces?",ui\00_message\quest_info\q40200098_00.gmd,\quest\q40200098.arc,q40200098.arc,1,
0,q40200099_00_437,畑にならないアレ,Not Fit for a Field,ui\00_message\quest_info\q40200099_00.gmd,\quest\q40200099.arc,q40200099.arc,0,
1,q40200099_00_437,"<LQIM>が要るんじゃが、中々手に入らなくての――
わしの畑で採れるものなら何とかなるが
そういうわけにもいかんじゃろ？
<LQVA>個ほど買い取らせてくれんかの","I need <LQIM>, but it's hard to get―― 
I can manage with things grown in my field, 
but it doesn't work out that way, does it? 
Could you sell me around <LQVA> pieces?",ui\00_message\quest_info\q40200099_00.gmd,\quest\q40200099.arc,q40200099.arc,1,
0,q40200100_00_438,＜エリアオーダー＞モロー補給,Area Order: Morrow Resupply,ui\00_message\quest_info\q40200100_00.gmd,\quest\q40200100.arc,q40200100.arc,0,
1,q40200100_00_438,"族長ガラダよりモローのエリアマスターの任を預かる者として依頼します
モルフォールにて管理する<LQIM>の補給が滞っています
急ぎ、<LQVA>個の収集をお願いします
報酬については私が保証しましょう","As the one entrusted with the duties of
the Area Master of Morfaul by Chief Gearóid,
I request your assistance.
The supply of <LQIM> 
managed in Morfaul
is currently delayed.
Please urgently collect <LQVA> of them.
I will personally guarantee the reward.",ui\00_message\quest_info\q40200100_00.gmd,\quest\q40200100.arc,q40200100.arc,1,
0,q40200101_00_439,ママの説得材料,The Material to Persuade Mama,ui\00_message\quest_info\q40200101_00.gmd,\quest\q40200101.arc,q40200101.arc,0,
1,q40200101_00_439,"いつも外に出ちゃダメって言われるのは
外には<LQEM>っていう魔物がいっぱいいるからなんでしょう？
じゃあ、誰かが<LQVA>匹倒してきてくれたら
ママも外に出ていいって言うんじゃないかしら","Mom always says not to go outside because there 
are many monsters like 
<LQEM> out there, right? 
So, if someone defeats around <LQVA> of them, 
wouldn't Mom say it's okay to go outside?",ui\00_message\quest_info\q40200101_00.gmd,\quest\q40200101.arc,q40200101.arc,1,
